datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2018-06-18 12:06:00,30.0,31.5,28.5,31.5,7006229,,,,,,,,,,,,
2018-06-19 12:06:00,32.7,33.05,31.0,32.6,2895692,,,,,,,,,,,,
2018-06-20 12:06:00,31.5,32.2,31.0,31.0,1115553,,,,,,,,,,,,
2018-06-21 12:06:00,29.45,30.0,29.45,29.65,2854524,,,,,,,,,,,,
2018-06-22 12:06:00,28.2,29.8,28.2,29.45,1612972,,,,,,,,,,,,
2018-06-25 12:06:00,30.0,30.0,28.5,28.95,365859,,,,,,,,,,,,
2018-06-26 12:06:00,28.8,29.4,27.55,28.8,493868,,,,,,,,,,,,
2018-06-27 12:06:00,28.3,28.3,27.4,27.4,133412,,,,,,,,,,,,
2018-06-28 12:06:00,26.05,26.05,26.05,26.05,61587,,,,,,,,,,,,
2018-06-29 12:06:00,24.75,27.35,24.75,26.8,1158865,,,,,,,,,,,,
2018-07-02 12:07:00,27.2,27.25,22.8,25.2,1369795,,,,,,,,,,,,
2018-07-03 12:07:00,26.95,26.95,24.5,26.35,519628,,,,,,,,,,,,
2018-07-04 12:07:00,26.0,29.95,25.8,29.6,1033451,,,,,,,,,,,,
2018-07-05 12:07:00,29.8,31.95,28.6,29.8,1546192,51.42254510243071,,,,,,,,,,,
2018-07-06 12:07:00,29.0,30.9,28.85,30.35,523472,54.10115170507914,,,,,,,,,,,
2018-07-09 12:07:00,30.45,31.4,29.55,30.95,616718,56.893624373275685,,,,,,,,,,,
2018-07-10 12:07:00,30.55,31.85,30.25,31.1,492511,57.588324321605064,,,,,,,,,,,
2018-07-11 12:07:00,31.05,33.4,30.6,31.95,1610144,61.38596040470156,,,,,,,,,,,
2018-07-12 12:07:00,31.8,32.9,30.95,31.1,524503,55.98711733387544,,,,,,,,,,,
2018-07-13 12:07:00,32.5,32.7,31.2,31.45,770830,57.639192054353614,,,,,,,,,,,
2018-07-16 12:07:00,32.4,32.4,30.85,31.1,696778,55.39973745825814,,,,,,,,,,,
2018-07-17 12:07:00,31.65,31.85,30.95,31.45,557931,57.19094021949223,,,,,,,,,,,
2018-07-18 12:07:00,31.5,31.75,29.55,29.75,497514,47.262338272662994,,,,,,,,,,,
2018-07-19 12:07:00,29.8,30.4,28.1,29.7,469529,47.003874139991986,,,,,,,,,,,
2018-07-20 12:07:00,29.95,35.6,29.5,35.4,5891772,68.29217699004678,,,,,,,,,,,
2018-07-23 12:07:00,37.9,42.45,37.1,42.45,2766587,79.34413536613278,,,,,,,,,,,
2018-07-24 12:07:00,45.85,46.65,45.0,46.65,1510186,83.11910271343051,,,,,,,,,,,
2018-07-25 12:07:00,50.7,51.3,47.1,51.3,868232,86.13934577895715,,,,,,,,,,,
2018-07-26 12:07:00,55.8,56.4,48.0,52.9,6847468,87.00113957285505,,,,,,,,,,,
2018-07-27 12:07:00,54.5,54.8,51.15,52.35,1425686,85.04369644982673,,,,,,,,,,,
2018-07-30 12:07:00,52.8,57.55,52.8,57.55,2011508,87.83131422298138,,,,,,,,,,,
2018-07-31 12:07:00,60.4,60.4,58.6,60.4,3461295,89.03732626111375,,,,,,,,,,,
2018-08-01 12:08:00,62.7,63.4,62.3,63.4,1023345,90.14457318274111,,,,,,,,,,,
2018-08-02 12:08:00,66.55,66.55,66.55,66.55,162902,91.1547806659913,,,,,,,,,,,
2018-08-03 12:08:00,69.85,69.85,69.85,69.85,116347,92.07164731285253,,,,,,,,,,,
2018-08-06 12:08:00,73.3,73.3,73.3,73.3,66210,92.90022287853327,,,,,,,,,,,
2018-08-07 12:08:00,71.3,73.0,69.65,69.65,1031500,83.01545315327157,,,,,,,,,,,
2018-08-08 12:08:00,66.2,66.2,66.2,66.2,71603,74.90286980094862,,,,,,,,,,,
2018-08-09 12:08:00,62.9,62.9,62.9,62.9,130477,68.0523591973836,,,,,,,,,,,
2018-08-10 12:08:00,61.55,66.0,60.1,66.0,3789655,70.75796496414202,,,,,,,,,,,
2018-08-13 12:08:00,62.7,62.7,62.7,62.7,262033,64.49619976759968,,,,,,,,,,,
2018-08-14 12:08:00,59.6,59.6,59.6,59.6,117253,59.19651518209367,,,,,,,,,,,
2018-08-16 12:08:00,56.65,56.65,56.65,56.65,82087,54.59878109600799,,,,,,,,,,,
2018-08-17 12:08:00,53.85,59.45,53.85,54.7,4325129,51.738187276605096,,,,,,,,,,,
2018-08-20 12:08:00,54.7,57.4,54.7,57.4,585571,55.23539808222774,,,,,,,,,,,
2018-08-21 12:08:00,59.0,60.25,56.0,57.1,2223954,54.76057875868906,,,,,,,,,,,
2018-08-23 12:08:00,58.7,59.95,56.55,57.2,946929,54.8997512055791,,,,,,,,,,,
2018-08-24 12:08:00,58.5,58.5,54.9,55.55,544872,52.05423589870074,,,,,,,,,,,
2018-08-27 12:08:00,55.2,57.4,53.25,55.5,1065753,51.966337007084284,,,,,,,,,,,
2018-08-28 12:08:00,56.1,58.25,55.35,58.25,895093,56.33371645691026,48.73917386749892,,,,,,,,,,
2018-08-29 12:08:00,60.0,61.15,58.0,60.9,3048560,60.098676600876274,49.21606900994995,,,,,,,,,,
2018-08-30 12:08:00,62.6,62.8,58.7,59.05,927625,56.44009752718379,49.60171336250093,,,,,,,,,,
2018-08-31 12:08:00,59.0,59.4,56.9,57.4,611779,53.32226336039047,49.9075285247558,,,,,,,,,,
2018-09-03 12:09:00,57.8,58.6,55.7,55.9,444735,50.586420169043734,50.14252740613793,,,,,,,,,,
2018-09-04 12:09:00,56.8,56.8,53.25,53.5,528265,46.477479589455186,50.2741929980541,,,,,,,,,,
2018-09-05 12:09:00,53.5,54.5,51.0,52.25,476641,44.452255116696776,50.351675625581386,,,,,,,,,,
2018-09-06 12:09:00,53.25,54.85,52.45,54.85,773528,49.391930267589544,50.52808050300957,,,,,,,,,,
2018-09-07 12:09:00,56.0,57.45,55.0,55.7,470728,50.92829169561984,50.73090087544057,,,,,,,,,,
2018-09-10 12:09:00,56.0,56.0,53.75,54.05,277861,47.88908746124631,50.86106162542329,,,,,,,,,,
2018-09-11 12:09:00,54.35,55.4,52.0,52.5,281671,45.16254881257798,50.92533371854394,,,,,,,,,,
2018-09-12 12:09:00,54.0,54.0,51.2,52.65,248721,45.486013801683534,50.992967690365745,,,,,,,,,,
2018-09-14 12:09:00,54.4,55.25,53.35,55.25,335372,50.893055343351406,51.159910133880814,,,,,,,,,,
2018-09-17 12:09:00,55.5,56.2,52.9,53.75,383467,47.93884171483754,51.26148228549334,,,,,,,,,,
2018-09-18 12:09:00,53.4,54.75,53.15,53.3,190458,47.056356159891976,51.34142415665046,,,,,,,,,,
2018-09-19 12:09:00,54.0,54.2,51.4,51.8,242903,44.139525869965894,51.359407523056326,,,,,,,,,,
2018-09-21 12:09:00,52.5,52.8,49.25,49.25,871518,39.64099208293276,51.27668565940706,,,,,,,,,,
2018-09-24 12:09:00,48.8,48.8,46.8,46.8,298844,35.85953982042341,51.101129359038154,,,57.4895608311827,,,,,,,
2018-09-25 12:09:00,44.55,46.65,44.5,44.55,554878,32.76806300141469,50.84422232535039,,,57.4895608311827,,,,,,,
2018-09-26 12:09:00,46.45,46.75,44.6,45.2,757920,34.52419694759959,50.62288027337586,,,57.4895608311827,,,,,,,
2018-09-27 12:09:00,45.95,45.95,42.95,42.95,370953,31.46078492290961,50.32198300775328,,,57.4895608311827,,,,,,,
2018-09-28 12:09:00,42.95,43.3,40.85,40.85,241990,28.88464024226569,49.950532693723744,,,57.4895608311827,,,,,,,
2018-10-01 12:10:00,38.85,40.75,38.85,39.2,715774,27.01299809217295,49.52894317632282,,,47.91378051017204,,,,,,,
2018-10-03 12:10:00,40.0,40.0,37.25,37.25,610429,24.95498331555234,49.047415992937616,,,47.91378051017204,,,,,,,
2018-10-04 12:10:00,35.4,35.4,35.4,35.4,103762,23.152792081653118,48.51222320890085,,,47.91378051017204,,,,,,,
2018-10-05 12:10:00,33.65,33.65,33.65,33.65,80519,21.566189999949955,47.929390926198856,,,47.91378051017204,,,,,,,
2018-10-08 12:10:00,32.75,33.1,32.0,32.0,1125121,20.16319966968264,47.304708929093024,,,41.52863583082863,,,,,,,
2018-10-09 12:10:00,30.4,32.1,30.4,30.4,1129990,18.88052632613534,46.64177916716781,,,41.52863583082863,,,,,,,
2018-10-10 12:10:00,29.1,31.9,29.1,31.9,310963,23.776101623982,46.06367018022006,,,41.52863583082863,,,,,,,
2018-10-11 12:10:00,32.9,33.45,32.05,33.45,351022,28.57305821919894,45.56901644766241,,,41.52863583082863,,,,,,,
2018-10-12 12:10:00,35.1,35.1,35.1,35.1,170930,33.37945626812676,45.1584667830482,,,41.52863583082863,,,,,,,
2018-10-15 12:10:00,35.9,36.85,35.25,36.85,2501987,38.134403192668,44.832644556262,,,43.17111410760722,,,,,,,
2018-10-16 12:10:00,37.6,38.65,37.3,38.65,1241610,42.667137530448876,44.590187906996825,,,43.17111410760722,,,,,,,
2018-10-17 12:10:00,40.55,40.55,39.1,39.35,2436836,44.37400221005119,44.38469034201656,,,43.17111410760722,,,,,,,
2018-10-19 12:10:00,39.5,39.5,37.4,37.4,633110,40.735752801639585,44.110780916839445,,,43.17111410760722,,,,,,,
2018-10-22 12:10:00,37.45,38.85,35.55,35.75,421538,37.903832619755434,43.78290715539476,,,45.77316154626912,,,,,,,
2018-10-23 12:10:00,35.75,35.75,34.0,35.25,498569,37.062986703460844,43.44828334537928,,,45.77316154626912,,,,,,,
2018-10-24 12:10:00,35.55,37.0,35.55,37.0,856135,41.91941523276483,43.19540948869774,,,45.77316154626912,,,,,,,
