datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,8.88,10.26,8.88,9.42,1610,,,,,,,,,,,,
2008-07-18 12:07:00,9.12,9.84,9.12,9.52,1918,,,,,,,,,,,,
2008-07-21 12:07:00,8.2,10.21,8.2,9.4,778,,,,,,,,,,,,
2008-07-22 12:07:00,8.88,9.84,8.88,9.52,1591,,,,,,,,,,,,
2008-07-23 12:07:00,9.24,11.4,9.24,10.44,13189,,,,,,,,,,,,
2008-07-24 12:07:00,10.08,10.5,10.08,10.25,2577,,,,,,,,,,,,
2008-07-28 12:07:00,9.63,10.8,9.63,10.59,3550,,,,,,,,,,,,
2008-07-29 12:07:00,9.24,11.27,9.24,10.65,8503,,,,,,,,,,,,
2008-07-30 12:07:00,10.2,10.74,10.03,10.25,10266,,,,,,,,,,,,
2008-07-31 12:07:00,9.75,10.43,9.75,9.91,4007,,,,,,,,,,,,
2008-08-01 12:08:00,9.3,10.01,9.3,9.8,5266,,,,,,,,,,,,
2008-08-04 12:08:00,8.82,10.26,8.82,10.2,2576,,,,,,,,,,,,
2008-08-05 12:08:00,10.08,10.72,10.08,10.42,7495,,,,,,,,,,,,
2008-08-06 12:08:00,10.74,10.9,10.26,10.47,6718,64.53572051635612,,,,,,,,,,,
2008-08-07 12:08:00,10.5,10.71,10.39,10.53,3443,65.55406428802067,,,,,,,,,,,
2008-08-08 12:08:00,10.2,10.62,9.96,10.28,4657,58.07166331505716,,,,,,,,,,,
2008-08-11 12:08:00,10.29,11.16,10.29,11.0,15532,69.03400930847728,,,,,,,,,,,
2008-08-12 12:08:00,11.0,11.39,10.56,10.95,5599,67.71006028745542,,,,,,,,,,,
2008-08-13 12:08:00,10.44,11.86,10.44,11.18,12475,70.51163008589273,,,,,,,,,,,
2008-08-14 12:08:00,10.57,11.69,10.57,11.03,3386,66.46164516134273,,,,,,,,,,,
2008-08-18 12:08:00,11.04,11.04,10.57,10.69,1054,58.28918229255764,,,,,,,,,,,
2008-08-19 12:08:00,10.41,10.58,10.41,10.57,1393,55.686513476101666,,,,,,,,,,,
2008-08-20 12:08:00,10.35,10.8,10.35,10.45,1384,53.13164307083296,,,,,,,,,,,
2008-08-21 12:08:00,9.17,10.67,9.17,10.47,732,53.51444166363061,,,,,,,,,,,
2008-08-25 12:08:00,10.17,10.56,10.14,10.21,4257,48.0232093232886,,,,,,,,,,,
2008-08-26 12:08:00,9.72,10.67,9.72,10.34,5193,50.74469778146082,,,,,,,,,,,
2008-08-27 12:08:00,10.04,10.49,10.04,10.24,851,48.63515344247186,,,,,,,,,,,
2008-08-28 12:08:00,9.83,10.2,9.83,9.99,1942,43.73964368540938,,,,,,,,,,,
2008-08-29 12:08:00,9.81,10.2,9.81,10.03,2034,44.69879448837512,,,,,,,,,,,
2008-09-01 12:09:00,9.31,10.5,9.31,9.89,16366,41.999902954540964,,,,,,,,,,,
2008-09-02 12:09:00,9.9,10.5,9.9,10.19,2478,49.093130815908744,,,,,,,,,,,
2008-09-04 12:09:00,9.79,10.42,9.79,10.08,2101,46.831561299697675,,,,,,,,,,,
2008-09-05 12:09:00,9.67,10.14,9.67,9.77,6212,41.087110611586624,,,,,,,,,,,
2008-09-08 12:09:00,9.9,10.32,9.9,10.21,2369,50.38886193347056,,,,,,,,,,,
2008-09-09 12:09:00,9.71,10.36,9.71,9.91,4399,45.15401447666315,,,,,,,,,,,
2008-09-10 12:09:00,8.76,10.08,8.76,9.59,6545,40.33988720327772,,,,,,,,,,,
2008-09-11 12:09:00,9.48,9.71,9.28,9.35,6372,37.14153019637925,,,,,,,,,,,
2008-09-12 12:09:00,8.79,9.35,8.79,9.05,6836,33.559699759756015,,,,,,,,,,,
2008-09-15 12:09:00,8.56,9.06,8.56,8.8,3419,30.886579581476823,,,,,,,,,,,
2008-09-18 12:09:00,7.83,8.75,7.83,8.42,5314,27.323939106654734,,,,,,,,,,,
