datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2024-11-04 12:11:00,426.0,479.45,420.25,474.2,60012876,,,,,,,,,,,,
2024-11-05 12:11:00,473.75,496.0,471.2,493.7,16830053,,,,,,,,,,,,
2024-11-06 12:11:00,499.15,513.5,485.05,489.05,10501905,,,,,,,,,,,,
2024-11-07 12:11:00,481.9,483.95,471.0,476.45,4796420,,,,,,,,,,,,
2024-11-08 12:11:00,475.45,512.8,460.15,490.85,10571869,,,,,,,,,,,,
2024-11-11 12:11:00,487.75,503.95,483.6,493.75,4437853,,,,,,,,,,,,
2024-11-12 12:11:00,494.3,500.85,456.1,458.4,3640687,,,,,,,,,,,,
2024-11-13 12:11:00,458.95,481.8,452.0,469.25,4394267,,,,,,,,,,,,
2024-11-14 12:11:00,470.0,483.9,468.75,474.75,2094067,,,,,,,,,,,,
2024-11-18 12:11:00,473.05,478.95,462.5,467.8,1136641,,,,,,,,,,,,
2024-11-19 12:11:00,470.15,503.65,470.15,480.1,8660732,,,,,,,,,,,,
2024-11-21 12:11:00,480.1,497.0,475.9,487.8,3307627,,,,,,,,,,,,
2024-11-22 12:11:00,504.95,506.8,477.1,497.25,4698464,,,,,,,,,,,,
2024-11-25 12:11:00,500.0,532.05,498.45,528.25,9312028,71.02777807636011,,,,,,,,,,,
2024-11-26 12:11:00,534.0,552.5,521.6,525.9,4788112,69.5400538601489,,,,,,,,,,,
2024-11-27 12:11:00,526.9,527.4,493.55,495.4,2805267,53.791953328484496,,,,,,,,,,,
2024-11-28 12:11:00,498.4,514.5,498.4,509.5,2410432,58.47382051134057,,,,,,,,,,,
2024-11-29 12:11:00,511.4,517.95,502.05,503.85,1456563,56.024241333376835,,,,,,,,,,,
2024-12-02 12:12:00,503.0,503.85,488.15,494.1,3156496,51.97766594037517,,,,,,,,,,,
2024-12-03 12:12:00,495.9,501.95,489.35,493.35,1280558,51.668509062338345,,,,,,,,,,,
2024-12-04 12:12:00,497.05,499.4,489.05,496.9,1061964,53.0907475418992,,,,,,,,,,,
2024-12-05 12:12:00,498.95,537.3,497.8,526.15,6175325,62.80321962058147,,,,,,,,,,,
2024-12-06 12:12:00,530.05,559.3,527.0,545.55,5324630,67.59545116245013,,,,,,,,,,,
2024-12-09 12:12:00,543.6,544.9,523.0,524.7,1509113,58.82391987304595,,,,,,,,,,,
2024-12-10 12:12:00,526.0,537.85,525.0,533.85,1484969,61.203241258817634,,,,,,,,,,,
2024-12-11 12:12:00,535.5,554.85,522.2,524.4,3245226,57.50728862030615,,,,,,,,,,,
2024-12-12 12:12:00,535.0,538.95,523.35,526.25,1708282,58.04147983428066,,,,,,,,,,,
2024-12-13 12:12:00,523.45,528.95,513.1,522.5,1346210,56.49120965043601,,,,,,,,,,,
