datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,4.46,5.7,4.46,5.57,2827,,,,,,,,,,,,
2008-07-18 12:07:00,5.52,5.67,5.48,5.67,218,,,,,,,,,,,,
2008-07-21 12:07:00,5.41,5.59,5.41,5.51,282,,,,,,,,,,,,
2008-07-22 12:07:00,5.49,5.56,5.37,5.49,6919,,,,,,,,,,,,
2008-07-23 12:07:00,5.41,5.84,5.41,5.78,1830,,,,,,,,,,,,
2008-07-24 12:07:00,5.82,5.89,5.63,5.63,464,,,,,,,,,,,,
2008-07-28 12:07:00,5.68,5.85,5.56,5.79,7442,,,,,,,,,,,,
2008-07-29 12:07:00,5.77,6.03,5.65,5.99,7701,,,,,,,,,,,,
2008-07-30 12:07:00,6.0,6.26,6.0,6.2,7687,,,,,,,,,,,,
2008-07-31 12:07:00,6.04,6.19,6.04,6.06,1541,,,,,,,,,,,,
2008-08-01 12:08:00,6.0,6.14,5.78,5.97,1864,,,,,,,,,,,,
2008-08-04 12:08:00,6.07,6.33,6.07,6.18,2331,,,,,,,,,,,,
2008-08-05 12:08:00,6.3,6.35,6.15,6.26,1921,,,,,,,,,,,,
2008-08-06 12:08:00,6.26,6.39,6.16,6.22,1318,68.20134180025586,,,,,,,,,,,
2008-08-07 12:08:00,6.14,6.59,6.14,6.47,40417,74.0557297789849,,,,,,,,,,,
2008-08-08 12:08:00,6.32,6.47,6.29,6.3,3187,65.25747440215561,,,,,,,,,,,
2008-08-11 12:08:00,6.0,6.74,6.0,6.34,1422,66.2728195258737,,,,,,,,,,,
2008-08-12 12:08:00,6.19,6.44,6.19,6.27,987,62.81321802453209,,,,,,,,,,,
2008-08-13 12:08:00,6.09,6.34,6.09,6.25,1662,61.82024378564776,,,,,,,,,,,
2008-08-14 12:08:00,6.0,6.22,5.93,6.06,1730,53.21387227149197,,,,,,,,,,,
2008-08-18 12:08:00,5.86,6.2,5.86,6.03,2956,51.98330433389962,,,,,,,,,,,
2008-08-19 12:08:00,6.48,6.57,6.02,6.05,1525,52.76748339683236,,,,,,,,,,,
2008-08-20 12:08:00,6.29,6.33,6.0,6.21,2305,58.593434696587444,,,,,,,,,,,
2008-08-21 12:08:00,6.15,6.29,6.06,6.12,980,54.51975507640095,,,,,,,,,,,
