datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,28.0,28.6,27.52,27.64,451692,,,,,,,,,,,,
2008-07-18 12:07:00,27.55,28.3,27.52,28.03,202272,,,,,,,,,,,,
2008-07-21 12:07:00,28.21,28.54,27.16,27.43,204886,,,,,,,,,,,,
2008-07-22 12:07:00,27.73,28.3,27.22,27.46,351656,,,,,,,,,,,,
2008-07-23 12:07:00,28.3,29.62,28.24,28.99,511092,,,,,,,,,,,,
2008-07-24 12:07:00,29.2,29.5,28.42,28.69,306252,,,,,,,,,,,,
2008-07-28 12:07:00,28.6,30.7,28.6,30.4,607022,,,,,,,,,,,,
2008-07-29 12:07:00,29.8,31.48,29.5,30.13,944465,,,,,,,,,,,,
2008-07-30 12:07:00,30.4,30.94,30.16,30.4,377249,,,,,,,,,,,,
2008-07-31 12:07:00,29.8,30.22,28.45,28.72,1419970,,,,,,,,,,,,
2008-08-01 12:08:00,28.6,28.9,27.58,28.06,1219090,,,,,,,,,,,,
2008-08-04 12:08:00,29.74,29.74,28.24,29.14,771650,,,,,,,,,,,,
2008-08-05 12:08:00,29.14,29.71,28.66,29.35,486539,,,,,,,,,,,,
2008-08-06 12:08:00,29.8,30.25,29.11,29.26,462201,57.10203633767867,,,,,,,,,,,
2008-08-07 12:08:00,29.11,29.41,28.54,28.66,593193,51.34450438731592,,,,,,,,,,,
2008-08-08 12:08:00,28.6,29.08,28.33,28.6,286627,50.79296942623951,,,,,,,,,,,
2008-08-11 12:08:00,28.93,29.89,28.93,29.17,387204,55.6652433683121,,,,,,,,,,,
2008-08-12 12:08:00,29.47,29.74,28.72,29.26,369480,56.39933453007675,,,,,,,,,,,
2008-08-13 12:08:00,29.8,30.25,29.29,29.8,665414,60.613301952940624,,,,,,,,,,,
2008-08-14 12:08:00,29.8,30.01,28.69,28.81,222609,50.90046827605071,,,,,,,,,,,
2008-08-18 12:08:00,33.64,33.64,28.24,28.36,238744,47.19821927266438,,,,,,,,,,,
2008-08-19 12:08:00,28.12,28.96,28.03,28.42,396785,47.74398163605131,,,,,,,,,,,
2008-08-20 12:08:00,28.33,29.08,28.33,28.75,403275,50.75860286490261,,,,,,,,,,,
2008-08-21 12:08:00,28.84,29.68,27.58,27.76,511952,42.784391620177914,,,,,,,,,,,
2008-08-25 12:08:00,28.48,28.48,27.76,27.85,501231,43.65106564853465,,,,,,,,,,,
2008-08-26 12:08:00,27.94,28.48,27.55,28.12,764969,46.28001998416963,,,,,,,,,,,
2008-08-27 12:08:00,28.09,28.66,27.79,27.91,1484413,44.53948506380234,,,,,,,,,,,
2008-08-28 12:08:00,28.0,28.9,27.43,28.0,2711698,45.485737996159536,,,,,,,,,,,
2008-08-29 12:08:00,28.42,28.69,28.12,28.51,215938,50.62652259098166,,,,,,,,,,,
2008-09-01 12:09:00,24.64,29.92,24.64,29.62,698801,59.56416831496382,,,,,,,,,,,
2008-09-02 12:09:00,29.77,29.8,29.02,29.29,324887,56.30112998237179,,,,,,,,,,,
2008-09-04 12:09:00,28.72,29.59,28.72,29.05,238427,53.98485038983647,,,,,,,,,,,
2008-09-05 12:09:00,29.02,29.02,28.48,28.6,211880,49.84414813380954,,,,,,,,,,,
2008-09-08 12:09:00,29.44,29.8,28.63,28.75,195763,51.18812267085129,,,,,,,,,,,
2008-09-09 12:09:00,28.69,28.81,28.51,28.63,159019,50.033071395833915,,,,,,,,,,,
2008-09-10 12:09:00,28.6,28.78,28.18,28.39,160584,47.71410974865539,,,,,,,,,,,
2008-09-11 12:09:00,28.42,28.6,27.94,28.12,195868,45.17726691577602,,,,,,,,,,,
2008-09-12 12:09:00,28.3,28.39,27.55,27.61,430977,40.76808384269383,,,,,,,,,,,
2008-09-15 12:09:00,27.7,27.7,25.03,25.63,739282,28.953490016447418,,,,,,,,,,,
2008-09-18 12:09:00,23.62,23.74,22.42,22.93,1471128,20.309964509802214,,,,,,,,,,,
2008-09-19 12:09:00,23.68,24.34,23.29,23.59,354288,26.116316890149562,,,,,,,,,,,
2008-09-22 12:09:00,23.8,24.04,23.2,23.32,271926,25.30405875779246,,,,,,,,,,,
2008-09-23 12:09:00,23.2,23.77,22.9,23.23,327558,25.024666819122928,,,,,,,,,,,
2008-09-24 12:09:00,23.23,23.62,23.17,23.29,610718,25.614333201168463,,,,,,,,,,,
2008-09-25 12:09:00,23.2,23.44,22.3,22.45,2247808,22.899033143057153,,,,,,,,,,,
2008-09-26 12:09:00,22.6,22.75,21.31,21.43,435327,20.11113487601692,,,,,,,,,,,
2008-09-29 12:09:00,21.28,21.7,20.11,20.71,490551,18.40751769639425,,,,,,,,,,,
2008-09-30 12:09:00,20.62,21.49,19.6,21.22,508691,23.359896733403488,,,,,,,,,,,
2008-10-01 12:10:00,21.7,21.7,21.01,21.13,361206,23.093511151070402,,,,,,,,,,,
2008-10-06 12:10:00,20.56,20.68,18.85,19.06,411888,18.007240360579104,26.011321985084688,,,,,,,,,,
2008-10-07 12:10:00,19.51,20.26,18.13,19.87,953777,24.97091566184126,25.770485828806855,,,,,,,,,,
