datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,31.15,32.0,30.65,30.95,212528,,,,,,,,,,,,
2008-07-18 12:07:00,31.7,31.9,30.5,30.9,571375,,,,,,,,,,,,
2008-07-21 12:07:00,31.05,31.4,29.8,29.95,214182,,,,,,,,,,,,
2008-07-22 12:07:00,29.9,31.25,29.9,30.7,287818,,,,,,,,,,,,
2008-07-23 12:07:00,31.8,32.2,30.75,30.95,1093733,,,,,,,,,,,,
2008-07-24 12:07:00,30.25,31.85,30.25,31.0,394865,,,,,,,,,,,,
2008-07-28 12:07:00,31.25,31.5,30.65,30.85,273719,,,,,,,,,,,,
2008-07-29 12:07:00,30.1,31.6,30.05,30.45,553722,,,,,,,,,,,,
2008-07-30 12:07:00,30.55,31.3,30.35,30.45,292046,,,,,,,,,,,,
2008-07-31 12:07:00,29.0,30.85,29.0,30.35,219193,,,,,,,,,,,,
2008-08-01 12:08:00,30.4,30.6,29.4,29.65,958972,,,,,,,,,,,,
2008-08-04 12:08:00,30.2,30.3,29.1,29.4,1107975,,,,,,,,,,,,
2008-08-05 12:08:00,30.0,32.0,29.5,31.5,4009206,,,,,,,,,,,,
2008-08-06 12:08:00,32.6,33.75,31.8,32.45,3585040,67.58604185544081,,,,,,,,,,,
2008-08-07 12:08:00,33.0,33.45,32.15,32.85,1391050,70.13345452017192,,,,,,,,,,,
2008-08-08 12:08:00,32.5,35.05,32.25,33.9,2768244,75.5626485463804,,,,,,,,,,,
2008-08-11 12:08:00,34.4,35.4,34.35,35.0,1518808,79.72150681737301,,,,,,,,,,,
2008-08-12 12:08:00,35.0,35.35,34.3,34.6,762691,74.74038346397066,,,,,,,,,,,
2008-08-13 12:08:00,34.0,37.2,34.0,36.15,2457351,79.96445722721013,,,,,,,,,,,
2008-08-14 12:08:00,35.9,37.2,35.25,36.05,1013369,78.83170107260165,,,,,,,,,,,
2008-08-18 12:08:00,35.0,35.7,34.85,35.4,506047,71.7199364729931,,,,,,,,,,,
2008-08-19 12:08:00,35.05,35.9,34.4,35.35,1131108,71.18792117948357,,,,,,,,,,,
2008-08-20 12:08:00,35.9,37.95,35.35,36.8,982651,76.60727713780929,,,,,,,,,,,
