datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,14.23,14.23,13.75,13.88,1958384,,,,,,,,,,,,
2008-07-18 12:07:00,14.05,14.13,13.8,13.88,2131307,,,,,,,,,,,,
2008-07-21 12:07:00,14.05,14.1,13.53,13.88,719485,,,,,,,,,,,,
2008-07-22 12:07:00,14.93,14.93,13.65,13.9,1197961,,,,,,,,,,,,
2008-07-23 12:07:00,14.25,14.75,14.25,14.63,2269000,,,,,,,,,,,,
2008-07-24 12:07:00,14.75,14.95,14.5,14.55,1104310,,,,,,,,,,,,
2008-07-28 12:07:00,14.13,14.7,14.0,14.35,2333979,,,,,,,,,,,,
2008-07-29 12:07:00,14.35,14.68,14.0,14.13,2179907,,,,,,,,,,,,
2008-07-30 12:07:00,14.13,14.4,13.95,14.1,2157894,,,,,,,,,,,,
2008-07-31 12:07:00,14.3,14.35,13.85,13.93,2585707,,,,,,,,,,,,
2008-08-01 12:08:00,13.95,14.15,13.83,14.08,1418930,,,,,,,,,,,,
2008-08-04 12:08:00,14.23,14.68,14.08,14.53,1493048,,,,,,,,,,,,
2008-08-05 12:08:00,14.55,16.35,14.5,15.85,10252862,,,,,,,,,,,,
2008-08-06 12:08:00,16.48,16.8,16.0,16.3,8796346,85.0501096846603,,,,,,,,,,,
2008-08-07 12:08:00,16.2,16.8,16.05,16.6,5117125,86.49511895817038,,,,,,,,,,,
2008-08-08 12:08:00,16.9,16.9,16.35,16.58,1975345,85.89902559072486,,,,,,,,,,,
2008-08-11 12:08:00,16.95,17.1,16.65,16.88,2847786,87.31158290447524,,,,,,,,,,,
2008-08-12 12:08:00,17.0,17.1,16.0,16.13,2468792,68.76549818267377,,,,,,,,,,,
2008-08-13 12:08:00,16.15,16.35,15.9,16.15,750264,68.95487517014459,,,,,,,,,,,
2008-08-14 12:08:00,16.0,16.63,16.0,16.48,2366393,71.97425917017009,,,,,,,,,,,
2008-08-18 12:08:00,16.48,16.53,16.13,16.2,1207241,66.09997428997255,,,,,,,,,,,
2008-08-19 12:08:00,16.23,16.23,15.75,16.0,1174366,62.19523906635948,,,,,,,,,,,
2008-08-20 12:08:00,16.2,16.45,15.83,16.13,2364069,63.69643577986841,,,,,,,,,,,
2008-08-21 12:08:00,16.0,16.13,15.75,15.83,764863,57.9751268077514,,,,,,,,,,,
2008-08-25 12:08:00,16.18,16.18,15.58,15.68,525964,55.300495165719894,,,,,,,,,,,
2008-08-26 12:08:00,15.5,15.8,15.45,15.73,721819,56.02870238755318,,,,,,,,,,,
2008-08-27 12:08:00,15.9,16.2,15.68,16.0,2025285,59.83400534605274,,,,,,,,,,,
2008-08-28 12:08:00,15.93,16.2,15.5,15.6,2078177,52.57495546428671,,,,,,,,,,,
2008-08-29 12:08:00,15.75,17.03,15.75,16.78,5315386,65.76856242456557,,,,,,,,,,,
2008-09-01 12:09:00,16.85,17.4,16.4,16.93,2670132,67.0244249676745,,,,,,,,,,,
2008-09-02 12:09:00,17.0,17.23,16.8,16.95,4397098,67.19722783203548,,,,,,,,,,,
2008-09-04 12:09:00,16.75,16.75,16.28,16.4,2272379,58.16962937976019,,,,,,,,,,,
2008-09-05 12:09:00,16.0,16.5,15.78,16.38,2427125,57.86519737695955,,,,,,,,,,,
2008-09-08 12:09:00,16.6,16.88,16.28,16.35,1129175,57.380097424802535,,,,,,,,,,,
2008-09-09 12:09:00,16.38,16.6,16.28,16.35,867476,57.380097424802535,,,,,,,,,,,
2008-09-10 12:09:00,16.4,16.6,16.13,16.18,1195467,54.38382971659259,,,,,,,,,,,
2008-09-11 12:09:00,16.0,16.45,15.95,16.28,1587943,55.84445998089682,,,,,,,,,,,
2008-09-12 12:09:00,16.5,16.5,16.0,16.23,1637644,54.89793480773236,,,,,,,,,,,
2008-09-15 12:09:00,16.0,16.2,15.25,15.98,1771100,50.30667010389228,,,,,,,,,,,
2008-09-18 12:09:00,14.9,15.0,14.18,14.55,2121951,33.20182895888189,,,,,,,,,,,
2008-09-19 12:09:00,15.75,15.75,14.78,15.0,1964383,40.10352598459192,,,,,,,,,,,
2008-09-22 12:09:00,15.2,15.2,14.75,14.8,771592,38.2137383211336,,,,,,,,,,,
2008-09-23 12:09:00,16.35,16.35,14.4,14.48,761604,35.34394793708215,,,,,,,,,,,
2008-09-24 12:09:00,14.5,14.73,14.18,14.25,2016730,33.40230389403331,,,,,,,,,,,
2008-09-25 12:09:00,14.45,14.5,13.78,13.93,3824077,30.862001218375013,,,,,,,,,,,
2008-09-26 12:09:00,13.93,14.28,13.55,13.73,2007078,29.35914593932138,,,,,,,,,,,
2008-09-29 12:09:00,13.75,14.15,12.88,13.0,6278484,24.642298415869135,,,,,,,,,,,
2008-09-30 12:09:00,13.03,13.5,12.5,13.28,4005301,29.33205940400464,,,,,,,,,,,
2008-10-01 12:10:00,13.48,13.83,13.13,13.5,1944502,32.867203626637746,,,,,,,,,,,
2008-10-06 12:10:00,12.5,13.4,12.5,13.1,1893888,29.935050234369314,14.918976357000357,,,,,,,,,,
2008-10-07 12:10:00,13.05,13.45,12.93,13.28,2737859,32.83867430474122,14.854702774372893,,,,,,,,,,
2008-10-08 12:10:00,13.28,13.28,12.0,12.1,2037680,25.405669644167048,14.746675214593564,,,,,,,,,,
2008-10-10 12:10:00,12.0,12.0,10.88,11.2,2236030,21.422768177937527,14.607589912060483,,,,,,,,,,
2008-10-13 12:10:00,11.5,11.7,11.25,11.35,2701261,23.573307625620686,14.479841288058111,,,,,,,,,,
2008-10-14 12:10:00,11.7,12.23,11.05,11.23,3150974,23.030276759767418,14.352396531663675,,,,,,,,,,
2008-10-15 12:10:00,11.23,11.25,10.7,10.88,6041967,21.476331978793354,14.216224118657257,,,,,,,,,,
2008-10-16 12:10:00,10.5,10.78,9.78,10.53,1850481,20.021484755932434,14.071666310082461,,,,,,,,,,
2008-10-17 12:10:00,10.78,11.1,10.25,10.4,1222871,19.493280135196557,13.927679395961581,,,,,,,,,,
2008-10-20 12:10:00,10.5,10.53,10.23,10.48,1133467,20.876661236007095,13.79247628239446,,,25.164291184160305,,,,,,,
2008-10-21 12:10:00,10.6,10.6,10.38,10.48,1432587,20.876661236007095,13.662575251712324,,,25.164291184160305,,,,,,,
2008-10-22 12:10:00,10.48,10.5,10.2,10.28,815040,19.88591015622508,13.529925241841253,,,25.164291184160305,,,,,,,
