datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,5.25,6.0,5.25,5.94,2432,,,,,,,,,,,,
2008-07-18 12:07:00,6.21,6.21,5.72,6.0,2198,,,,,,,,,,,,
2008-07-21 12:07:00,5.89,6.0,5.85,5.88,132,,,,,,,,,,,,
2008-07-22 12:07:00,5.74,5.85,5.74,5.85,52,,,,,,,,,,,,
2008-07-23 12:07:00,5.85,6.22,5.83,6.02,1223,,,,,,,,,,,,
2008-07-24 12:07:00,5.78,5.78,5.67,5.72,520,,,,,,,,,,,,
2008-07-28 12:07:00,5.81,5.81,5.81,5.81,1,,,,,,,,,,,,
2008-07-29 12:07:00,6.04,6.04,6.04,6.04,2,,,,,,,,,,,,
2008-07-30 12:07:00,6.04,6.11,5.85,6.04,1098,,,,,,,,,,,,
2008-07-31 12:07:00,6.04,6.19,6.04,6.17,1505,,,,,,,,,,,,
2008-08-01 12:08:00,6.11,6.11,5.81,5.89,384,,,,,,,,,,,,
2008-08-04 12:08:00,6.0,6.19,5.98,6.17,143,,,,,,,,,,,,
2008-08-05 12:08:00,5.63,6.21,5.63,6.0,258,,,,,,,,,,,,
2008-08-06 12:08:00,6.0,6.08,5.78,5.84,882,45.64378637217372,,,,,,,,,,,
2008-08-07 12:08:00,5.98,5.98,5.98,5.98,65,50.84037703903503,,,,,,,,,,,
2008-08-08 12:08:00,6.07,6.07,6.07,6.07,4,53.892091475562715,,,,,,,,,,,
2008-08-11 12:08:00,6.15,6.15,5.8,5.93,1991,48.81559440032469,,,,,,,,,,,
2008-08-12 12:08:00,5.85,6.56,5.85,6.5,6657,63.77657638926135,,,,,,,,,,,
2008-08-13 12:08:00,6.53,6.56,6.38,6.38,3409,59.81281286848924,,,,,,,,,,,
2008-08-14 12:08:00,6.38,6.43,6.37,6.38,2514,59.81281286848924,,,,,,,,,,,
2008-08-18 12:08:00,6.38,6.52,6.38,6.38,7101,59.81281286848924,,,,,,,,,,,
2008-08-19 12:08:00,6.38,6.54,6.11,6.34,1508,58.304195386103885,,,,,,,,,,,
