datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,45.82,45.82,43.65,44.25,391481,,,,,,,,,,,,
2008-07-18 12:07:00,42.76,44.82,41.19,43.25,166930,,,,,,,,,,,,
2008-07-21 12:07:00,43.27,44.24,43.01,43.25,109056,,,,,,,,,,,,
2008-07-22 12:07:00,42.49,44.54,42.49,44.09,125018,,,,,,,,,,,,
2008-07-23 12:07:00,45.27,46.81,44.82,45.71,524250,,,,,,,,,,,,
2008-07-24 12:07:00,45.82,49.59,45.82,46.95,146863,,,,,,,,,,,,
2008-07-28 12:07:00,45.64,47.0,45.19,45.55,15178,,,,,,,,,,,,
2008-07-29 12:07:00,45.45,45.45,44.64,44.99,53978,,,,,,,,,,,,
2008-07-30 12:07:00,43.04,46.14,43.04,45.69,14333,,,,,,,,,,,,
2008-07-31 12:07:00,44.91,46.55,44.91,46.15,13873,,,,,,,,,,,,
2008-08-01 12:08:00,45.0,46.81,44.36,46.18,23610,,,,,,,,,,,,
2008-08-04 12:08:00,45.11,47.27,45.11,47.06,12186,,,,,,,,,,,,
2008-08-05 12:08:00,47.06,49.09,45.73,48.45,15674,,,,,,,,,,,,
2008-08-06 12:08:00,48.18,51.09,48.18,49.75,46278,79.22995443207991,,,,,,,,,,,
2008-08-07 12:08:00,50.91,54.55,48.65,52.75,127300,85.35807491563033,,,,,,,,,,,
2008-08-08 12:08:00,52.27,54.09,51.82,52.95,40717,85.66179811176706,,,,,,,,,,,
2008-08-11 12:08:00,54.55,59.73,53.91,55.05,235630,88.38598117760456,,,,,,,,,,,
2008-08-12 12:08:00,55.91,55.91,52.5,53.52,54384,76.91939183910802,,,,,,,,,,,
2008-08-13 12:08:00,53.07,56.36,52.27,55.37,77028,80.25498661573545,,,,,,,,,,,
2008-08-14 12:08:00,54.55,55.86,53.64,54.0,27675,71.96111269521222,,,,,,,,,,,
2008-08-18 12:08:00,51.73,53.91,51.73,53.1,52577,67.05830772622329,,,,,,,,,,,
2008-08-19 12:08:00,51.55,55.9,51.55,55.06,181658,71.59680598584988,,,,,,,,,,,
2008-08-20 12:08:00,56.01,56.01,53.46,54.24,29888,67.41226658633889,,,,,,,,,,,
2008-08-21 12:08:00,52.86,55.55,52.86,53.92,27053,65.79614049574072,,,,,,,,,,,
2008-08-25 12:08:00,54.09,55.09,53.27,54.07,30557,66.20513083112388,,,,,,,,,,,
2008-08-26 12:08:00,53.2,55.72,53.2,53.87,48975,65.0875997569776,,,,,,,,,,,
2008-08-27 12:08:00,56.27,56.27,52.45,53.15,44049,61.08977572135736,,,,,,,,,,,
2008-08-28 12:08:00,52.32,55.91,52.32,55.39,69852,67.73053057630051,,,,,,,,,,,
2008-08-29 12:08:00,55.91,56.64,54.31,54.75,49228,64.3512271658276,,,,,,,,,,,
2008-09-01 12:09:00,54.31,55.45,54.09,54.47,9667,62.87323791231921,,,,,,,,,,,
2008-09-02 12:09:00,54.55,55.24,54.4,54.65,18033,63.454336014462584,,,,,,,,,,,
2008-09-04 12:09:00,54.09,54.89,53.28,53.75,33867,58.52217204485793,,,,,,,,,,,
2008-09-05 12:09:00,53.19,55.36,53.18,53.63,34115,57.87622073009649,,,,,,,,,,,
2008-09-08 12:09:00,55.45,55.45,53.0,53.35,38680,56.31429818114106,,,,,,,,,,,
2008-09-09 12:09:00,53.18,53.91,52.77,53.38,72156,56.4499096118704,,,,,,,,,,,
2008-09-10 12:09:00,52.45,54.98,51.82,53.23,68972,55.52185058035164,,,,,,,,,,,
2008-09-11 12:09:00,53.18,53.45,48.91,49.46,47512,38.42377709369147,,,,,,,,,,,
2008-09-12 12:09:00,49.64,50.36,47.1,48.57,23704,35.63393055052205,,,,,,,,,,,
2008-09-15 12:09:00,46.82,47.26,43.14,46.19,17263,29.47147538329334,,,,,,,,,,,
2008-09-18 12:09:00,41.82,41.82,37.82,39.84,41952,19.68830189308693,,,,,,,,,,,
2008-09-19 12:09:00,41.36,41.36,38.85,39.98,142879,20.31634021382655,,,,,,,,,,,
2008-09-22 12:09:00,40.0,41.68,40.0,41.37,87283,26.46490091447123,,,,,,,,,,,
2008-09-23 12:09:00,40.09,41.06,40.09,40.81,16468,25.607604406835534,,,,,,,,,,,
2008-09-24 12:09:00,39.91,41.73,39.91,41.28,12401,27.72377539153986,,,,,,,,,,,
2008-09-25 12:09:00,40.27,42.45,40.27,41.92,30354,30.61802298860269,,,,,,,,,,,
2008-09-26 12:09:00,40.85,42.0,40.19,40.5,11006,27.944243241822093,,,,,,,,,,,
2008-09-29 12:09:00,40.15,40.91,39.8,40.16,35562,27.328860566701195,,,,,,,,,,,
2008-09-30 12:09:00,36.83,41.36,36.82,41.06,28963,31.621466025575828,,,,,,,,,,,
2008-10-01 12:10:00,40.32,41.09,38.73,38.99,17324,27.585460424075208,,,,,,,,,,,
2008-10-06 12:10:00,36.82,37.09,33.3,34.41,39225,21.15249546073072,46.40672996381205,,,,,,,,,,
2008-10-07 12:10:00,34.55,35.72,31.4,32.49,13770,19.137657347586497,45.86097584758412,,,,,,,,,,
2008-10-08 12:10:00,32.45,32.73,27.36,28.12,20067,15.515216660253131,45.165251304541606,,,,,,,,,,
2008-10-10 12:10:00,24.11,26.91,23.68,23.68,132964,12.853203953325988,44.3226924298537,,,,,,,,,,
2008-10-13 12:10:00,25.36,25.36,21.9,22.09,44431,12.055509302651956,43.45082213848689,,,,,,,,,,
2008-10-14 12:10:00,23.45,23.7,22.66,23.13,34733,15.739107355705599,42.653927152663876,,,,,,,,,,
2008-10-15 12:10:00,22.27,22.81,21.55,21.74,25074,14.844183557972713,41.83377314667706,,,,,,,,,,
2008-10-16 12:10:00,21.36,21.45,20.64,20.9,69341,14.314482570528526,41.01284086641522,,,,,,,,,,
