datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,77.8,79.0,73.8,74.6,2792158,,,,,,,,,,,,
2008-07-18 12:07:00,74.9,75.8,72.2,73.7,2166283,,,,,,,,,,,,
2008-07-21 12:07:00,75.5,75.8,72.8,73.85,2627104,,,,,,,,,,,,
2008-07-22 12:07:00,74.0,75.5,73.2,74.1,2155172,,,,,,,,,,,,
2008-07-23 12:07:00,76.8,80.8,75.4,77.35,3816612,,,,,,,,,,,,
2008-07-24 12:07:00,78.0,79.45,74.0,74.8,2437671,,,,,,,,,,,,
2008-07-28 12:07:00,77.0,83.15,76.5,82.45,4153316,,,,,,,,,,,,
2008-07-29 12:07:00,81.0,84.25,80.5,83.5,3285165,,,,,,,,,,,,
2008-07-30 12:07:00,84.5,85.75,83.15,84.25,2182202,,,,,,,,,,,,
2008-07-31 12:07:00,85.0,87.35,83.4,85.55,5369743,,,,,,,,,,,,
2008-08-01 12:08:00,84.95,89.9,83.5,88.9,5940300,,,,,,,,,,,,
2008-08-04 12:08:00,89.0,92.3,88.4,90.2,4640762,,,,,,,,,,,,
2008-08-05 12:08:00,90.0,92.35,89.5,91.75,4925025,,,,,,,,,,,,
2008-08-06 12:08:00,93.0,98.0,92.15,93.95,9718536,89.99610352006819,,,,,,,,,,,
2008-08-07 12:08:00,93.85,98.9,93.05,93.8,8357420,89.18610785909044,,,,,,,,,,,
2008-08-08 12:08:00,94.05,95.3,90.65,93.45,7481065,87.21366250790123,,,,,,,,,,,
2008-08-11 12:08:00,94.5,95.3,93.1,93.65,2209122,87.38534647084961,,,,,,,,,,,
2008-08-12 12:08:00,94.8,96.85,94.05,94.8,4048328,88.35367967720298,,,,,,,,,,,
2008-08-13 12:08:00,95.0,95.3,90.4,90.8,3128100,68.62215358547934,,,,,,,,,,,
2008-08-14 12:08:00,91.0,93.6,88.7,91.25,5617606,69.44876613660676,,,,,,,,,,,
2008-08-18 12:08:00,91.9,94.15,87.8,89.0,6986610,60.82119587038309,,,,,,,,,,,
2008-08-19 12:08:00,90.0,96.5,88.0,96.0,6794184,72.33567419821759,,,,,,,,,,,
2008-08-20 12:08:00,97.1,98.0,94.15,96.0,6839767,72.33567419821759,,,,,,,,,,,
2008-08-21 12:08:00,95.9,96.25,92.2,92.7,3176941,62.32147787781807,,,,,,,,,,,
2008-08-25 12:08:00,96.0,96.1,93.3,93.7,2208264,63.95016474824372,,,,,,,,,,,
2008-08-26 12:08:00,93.0,94.55,92.5,93.95,1556586,64.36487683364699,,,,,,,,,,,
2008-08-27 12:08:00,94.0,95.0,91.65,92.15,1653215,59.0937648060405,,,,,,,,,,,
2008-08-28 12:08:00,93.0,93.55,85.55,86.85,6949768,46.91166398067524,,,,,,,,,,,
2008-08-29 12:08:00,86.0,92.95,86.0,92.35,7104950,56.852216505713926,,,,,,,,,,,
2008-09-01 12:09:00,91.1,93.45,88.85,90.5,4113940,53.24101704734136,,,,,,,,,,,
2008-09-02 12:09:00,90.5,91.45,87.1,90.2,2905246,52.6569083914117,,,,,,,,,,,
2008-09-04 12:09:00,90.0,92.2,88.7,89.6,3222105,51.4413540747233,,,,,,,,,,,
2008-09-05 12:09:00,88.5,89.7,87.1,87.5,2585450,47.323694988840465,,,,,,,,,,,
2008-09-08 12:09:00,90.25,94.0,89.3,92.05,9871336,55.61384366114702,,,,,,,,,,,
2008-09-09 12:09:00,92.8,95.75,91.5,95.1,6270769,60.1421332474378,,,,,,,,,,,
2008-09-10 12:09:00,95.0,95.4,91.05,91.75,3277794,53.666003254350926,,,,,,,,,,,
2008-09-11 12:09:00,91.4,92.95,89.8,90.75,2122287,51.87045667045215,,,,,,,,,,,
2008-09-12 12:09:00,91.0,91.8,85.7,86.35,3391649,44.772319631075774,,,,,,,,,,,
2008-09-15 12:09:00,84.4,84.5,79.8,83.65,3061042,41.05926569863308,,,,,,,,,,,
2008-09-18 12:09:00,78.55,83.9,78.0,82.9,1703613,40.065298110267804,,,,,,,,,,,
2008-09-19 12:09:00,85.5,88.0,84.1,87.3,2508922,48.01602167911402,,,,,,,,,,,
2008-09-22 12:09:00,87.5,88.0,85.0,85.75,1264325,45.71535296387823,,,,,,,,,,,
2008-09-23 12:09:00,84.1,88.65,84.0,86.8,2262321,47.54878881072343,,,,,,,,,,,
2008-09-24 12:09:00,87.5,88.3,85.1,85.9,1080525,46.11120534697024,,,,,,,,,,,
2008-09-25 12:09:00,85.5,86.5,82.35,83.95,4506424,43.072618396115374,,,,,,,,,,,
2008-09-26 12:09:00,84.15,86.4,80.4,81.8,2509014,39.94698704559232,,,,,,,,,,,
2008-09-29 12:09:00,83.0,83.0,74.75,77.65,2621459,34.71100667128779,,,,,,,,,,,
2008-09-30 12:09:00,73.5,82.35,73.3,81.2,2027166,41.74514705240416,,,,,,,,,,,
2008-10-01 12:10:00,81.25,82.9,78.3,79.2,1718982,39.18382486500512,,,,,,,,,,,
2008-10-06 12:10:00,76.1,77.0,67.0,69.1,2738856,29.38016037630635,84.59484048724903,,,,,,,,,,
2008-10-07 12:10:00,70.95,79.0,64.5,66.5,2298689,27.474489477090316,83.88523889951378,,,,,,,,,,
2008-10-08 12:10:00,64.0,64.7,54.0,62.3,3373231,24.68867524507101,83.0387589426701,,,,,,,,,,
2008-10-10 12:10:00,60.0,60.0,50.1,52.8,3230044,19.798595851175293,81.85292525864384,,,,,,,,,,
2008-10-13 12:10:00,54.9,59.2,53.8,54.7,3830467,23.080089532559995,80.78810466026565,,,,,,,,,,
2008-10-14 12:10:00,56.5,60.0,51.9,52.55,5973197,21.983952333290006,79.6807280069219,,,,,,,,,,
2008-10-15 12:10:00,50.55,53.6,50.1,50.9,2487046,21.15363776446081,78.55207200665045,,,,,,,,,,
2008-10-16 12:10:00,42.55,58.8,42.55,55.8,3864992,29.65113092645136,77.65983388874258,,,,,,,,,,
2008-10-17 12:10:00,56.5,58.0,52.0,52.5,1919002,27.50148078050951,76.67317373624287,,,,,,,,,,
2008-10-20 12:10:00,52.5,52.5,45.0,45.95,4303347,23.81149105464793,75.46834339364511,,,22.028211448619146,,,,,,,
2008-10-21 12:10:00,47.45,48.75,46.1,46.9,1988576,25.375423348402222,74.34801620173747,,,22.028211448619146,,,,,,,
2008-10-22 12:10:00,47.0,49.3,45.35,47.7,2681143,26.739224490987112,73.30299595853208,,,22.028211448619146,,,,,,,
2008-10-23 12:10:00,47.0,47.7,45.0,45.35,2176627,25.277817112900337,72.20680003858965,,,22.028211448619146,,,,,,,
2008-10-24 12:10:00,44.9,45.4,39.5,40.45,1964101,22.514687185785007,70.96143533119398,,,22.028211448619146,,,,,,,
