datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2018-03-27 12:03:00,499.0,499.0,455.0,476.85,91036634,,,,,,,,,,,,
2018-03-28 12:03:00,463.85,478.9,463.0,469.05,12056881,,,,,,,,,,,,
2018-04-02 12:04:00,474.9,485.0,472.0,475.7,5239378,,,,,,,,,,,,
2018-04-03 12:04:00,474.0,485.9,469.15,483.45,2796977,,,,,,,,,,,,
2018-04-04 12:04:00,484.6,488.8,478.0,486.05,2459030,,,,,,,,,,,,
2018-04-05 12:04:00,490.0,514.9,487.3,509.2,8163440,,,,,,,,,,,,
2018-04-06 12:04:00,512.5,517.7,505.2,508.25,1844654,,,,,,,,,,,,
2018-04-09 12:04:00,508.8,519.9,496.05,514.45,2656272,,,,,,,,,,,,
2018-04-10 12:04:00,515.0,520.8,510.2,518.65,1731872,,,,,,,,,,,,
2018-04-11 12:04:00,519.9,535.0,513.0,533.5,3555719,,,,,,,,,,,,
2018-04-12 12:04:00,530.0,540.8,526.1,534.75,1884412,,,,,,,,,,,,
2018-04-13 12:04:00,533.0,536.95,526.4,528.65,1057977,,,,,,,,,,,,
2018-04-16 12:04:00,523.9,532.35,516.1,518.8,760439,,,,,,,,,,,,
2018-04-17 12:04:00,520.0,521.4,500.0,505.1,1156139,55.45381001573632,,,,,,,,,,,
2018-04-18 12:04:00,508.0,513.5,501.0,504.15,815508,54.67216813816097,,,,,,,,,,,
2018-04-19 12:04:00,505.2,508.9,502.0,505.1,589106,55.34993942264341,,,,,,,,,,,
2018-04-20 12:04:00,505.1,510.5,493.1,495.05,949874,47.293441857596896,,,,,,,,,,,
2018-04-23 12:04:00,496.0,504.3,481.75,498.35,2474228,49.87349762985691,,,,,,,,,,,
2018-04-24 12:04:00,500.0,502.3,486.0,489.85,1200876,43.91100949264268,,,,,,,,,,,
2018-04-25 12:04:00,490.05,497.1,485.25,494.3,1313604,47.45287777946857,,,,,,,,,,,
2018-04-26 12:04:00,497.1,501.4,491.1,495.0,1878261,48.00904487548094,,,,,,,,,,,
2018-04-27 12:04:00,498.8,522.95,498.5,506.45,5635987,56.179175968385316,,,,,,,,,,,
2018-04-30 12:04:00,509.5,515.9,502.7,513.45,1461600,60.28785153352552,,,,,,,,,,,
2018-05-02 12:05:00,513.0,520.9,511.0,515.85,1319363,61.61665873063295,,,,,,,,,,,
2018-05-03 12:05:00,511.95,515.0,496.4,502.05,861937,51.040942251310916,,,,,,,,,,,
2018-05-04 12:05:00,503.0,506.0,500.5,504.6,1078225,52.65792260650481,,,,,,,,,,,
2018-05-07 12:05:00,507.0,508.0,492.65,494.5,764766,46.155685857457584,,,,,,,,,,,
2018-05-08 12:05:00,496.95,497.0,490.0,494.35,568372,46.06471087621262,,,,,,,,,,,
2018-05-09 12:05:00,492.0,495.25,485.3,488.6,505802,42.598519477273186,,,,,,,,,,,
2018-05-10 12:05:00,490.0,493.9,484.05,486.45,251959,41.34575224010703,,,,,,,,,,,
2018-05-11 12:05:00,486.55,492.2,480.25,484.35,1030945,40.105125106543525,,,,,,,,,,,
2018-05-14 12:05:00,484.0,489.4,478.4,479.95,377154,37.561948305608595,,,,,,,,,,,
2018-05-15 12:05:00,483.9,489.8,473.5,483.85,1463884,41.125635094230454,,,,,,,,,,,
2018-05-16 12:05:00,479.9,484.9,475.0,482.5,432584,40.26884738490111,,,,,,,,,,,
2018-05-17 12:05:00,483.0,487.0,477.65,483.85,477080,41.57956778615596,,,,,,,,,,,
2018-05-18 12:05:00,481.05,485.05,478.0,479.55,294337,38.66891425405368,,,,,,,,,,,
2018-05-21 12:05:00,474.0,481.2,463.2,468.8,363194,32.53680197595796,,,,,,,,,,,
2018-05-22 12:05:00,468.8,477.4,468.0,470.35,243251,34.15808374555127,,,,,,,,,,,
2018-05-23 12:05:00,471.8,500.0,469.3,495.95,1809012,53.87442474280454,,,,,,,,,,,
2018-05-24 12:05:00,489.8,495.1,474.6,477.2,435390,43.58086298104413,,,,,,,,,,,
2018-05-25 12:05:00,483.75,487.0,476.85,483.1,289819,47.011687762847274,,,,,,,,,,,
2018-05-28 12:05:00,486.7,488.4,481.0,484.55,228736,47.85099087662571,,,,,,,,,,,
2018-05-29 12:05:00,485.1,488.5,478.25,479.75,172900,45.293397130723186,,,,,,,,,,,
2018-05-30 12:05:00,477.0,478.95,468.2,469.9,372779,40.50856051279563,,,,,,,,,,,
2018-05-31 12:05:00,472.2,474.0,463.1,470.5,375833,40.917997551424506,,,,,,,,,,,
2018-06-01 12:06:00,470.0,478.75,470.0,475.1,347149,44.0947024857695,,,,,,,,,,,
2018-06-04 12:06:00,479.0,479.0,470.4,473.95,331178,43.465499123866394,,,,,,,,,,,
2018-06-05 12:06:00,474.0,474.0,456.15,470.05,535857,41.31252972470895,,,,,,,,,,,
2018-06-06 12:06:00,471.0,503.6,467.0,495.7,2580270,56.55461226971065,,,,,,,,,,,
2018-06-07 12:06:00,501.0,502.9,491.2,498.05,767664,57.64008562968894,486.60579316924066,,,,,,,,,,
2018-06-08 12:06:00,496.9,502.35,492.3,498.1,971489,57.66432207011498,487.0565463782901,,,,,,,,,,
2018-06-11 12:06:00,501.0,529.0,496.05,512.2,3530631,63.93154439207048,488.0425641673767,,,,,,,,,,
2018-06-12 12:06:00,510.1,525.5,505.55,520.2,1061375,66.92342761755475,489.30364008238155,,,,,,,,,,
2018-06-13 12:06:00,521.05,539.85,518.55,535.7,1541850,71.80361902881171,491.1231051771901,,,,,,,,,,
2018-06-14 12:06:00,538.0,560.0,538.0,547.2,3171005,74.77708185650427,493.3221990918101,,,,,,,,,,
2018-06-15 12:06:00,544.4,553.8,531.4,550.15,1468910,75.49108813843029,495.55074030389596,,,,,,,,,,
2018-06-18 12:06:00,548.05,557.9,545.2,551.95,653866,75.9386588969449,497.762475978253,,,,,,,,,,
2018-06-19 12:06:00,546.25,549.95,532.0,534.2,603528,63.60386927683388,499.1913984889098,,,,,,,,,,
2018-06-20 12:06:00,536.95,551.4,535.15,539.7,617216,65.47519371626412,500.77997109718785,,,,,,,,,,
2018-06-21 12:06:00,541.0,547.9,535.15,537.55,327133,64.08801896825108,502.2219330149452,,,,,,,,,,
2018-06-22 12:06:00,537.55,544.0,533.15,536.1,293938,63.11680787480144,503.5504846614179,,,,,,,,,,
2018-06-25 12:06:00,538.35,542.0,533.05,534.5,308692,62.00028623329601,504.76419114528386,,,,,,,,,,
2018-06-26 12:06:00,532.1,542.0,528.05,531.5,1183515,59.86203110286784,505.8126542376257,,,,,,,,,,
2018-06-27 12:06:00,535.0,535.0,520.05,523.85,855250,54.6830598535489,506.5200011302678,,,,,,,,,,
2018-06-28 12:06:00,522.0,523.85,508.0,512.2,260547,47.88834749649511,506.7427461839828,,,,,,,,,,
2018-06-29 12:06:00,514.95,530.0,512.25,526.55,346849,55.26233271498344,507.5195012355913,,,,,,,,,,
2018-07-02 12:07:00,530.0,530.65,523.0,527.65,1119123,55.77889474251907,508.3089325596858,,,61.43968187738246,,,,,,,
2018-07-03 12:07:00,527.0,567.8,525.0,559.25,679896,67.41773080514554,510.3066214789138,,,61.43968187738246,,,,,,,
2018-07-04 12:07:00,552.8,558.7,545.05,548.45,367351,61.463588292434,511.80244024444664,,,61.43968187738246,,,,,,,
2018-07-05 12:07:00,547.15,549.8,538.0,540.05,270838,57.229996069700164,512.9101876858409,,,61.43968187738246,,,,,,,
2018-07-06 12:07:00,538.05,548.4,538.05,544.3,313428,58.77711542439038,514.1411607177688,,,61.43968187738246,,,,,,,
2018-07-09 12:07:00,548.8,560.7,544.5,557.95,687065,63.36121457160392,515.8591544151112,,,65.614416545045,,,,,,,
2018-07-10 12:07:00,561.0,585.95,561.0,580.0,1321938,69.30019468521982,518.37448169295,,,65.614416545045,,,,,,,
2018-07-11 12:07:00,577.0,588.8,564.0,567.4,862150,63.01443880669904,520.2970510383245,,,65.614416545045,,,,,,,
2018-07-12 12:07:00,569.9,572.0,555.65,563.15,960998,61.004476879000784,521.9775588407432,,,65.614416545045,,,,,,,
2018-07-13 12:07:00,564.8,579.35,556.4,568.95,1274500,62.750661157603,523.8196153567925,,,65.614416545045,,,,,,,
