datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,73.55,75.0,70.68,71.68,163009,,,,,,,,,,,,
2008-07-18 12:07:00,72.5,73.0,70.65,71.88,123422,,,,,,,,,,,,
2008-07-21 12:07:00,72.0,73.98,70.53,71.45,60410,,,,,,,,,,,,
2008-07-22 12:07:00,71.8,74.38,71.13,73.93,162787,,,,,,,,,,,,
2008-07-23 12:07:00,75.35,78.0,75.05,76.55,253239,,,,,,,,,,,,
2008-07-24 12:07:00,77.43,77.95,74.75,75.38,101411,,,,,,,,,,,,
2008-07-28 12:07:00,75.5,76.5,72.55,74.48,249686,,,,,,,,,,,,
2008-07-29 12:07:00,73.45,77.18,72.55,74.98,235930,,,,,,,,,,,,
2008-07-30 12:07:00,76.5,76.95,73.85,74.45,513211,,,,,,,,,,,,
2008-07-31 12:07:00,75.0,78.0,73.75,74.4,954832,,,,,,,,,,,,
2008-08-01 12:08:00,72.95,79.5,72.95,77.95,333755,,,,,,,,,,,,
2008-08-04 12:08:00,81.0,86.45,80.13,84.48,1490614,,,,,,,,,,,,
2008-08-05 12:08:00,85.3,85.3,83.05,83.73,366445,,,,,,,,,,,,
2008-08-06 12:08:00,86.0,87.65,83.13,83.85,610589,82.33416580557545,,,,,,,,,,,
2008-08-07 12:08:00,84.45,85.88,84.05,85.18,179224,83.97436252525517,,,,,,,,,,,
2008-08-08 12:08:00,85.05,85.4,82.6,84.53,161674,80.06203836981979,,,,,,,,,,,
2008-08-11 12:08:00,86.75,87.5,85.05,85.5,98316,81.45088524017127,,,,,,,,,,,
2008-08-12 12:08:00,85.5,85.5,83.4,83.95,90133,72.73230789886722,,,,,,,,,,,
2008-08-13 12:08:00,83.33,87.48,82.5,86.63,364649,77.26392396561278,,,,,,,,,,,
2008-08-14 12:08:00,87.25,88.7,85.38,86.53,715121,76.75136864691629,,,,,,,,,,,
2008-08-18 12:08:00,87.5,89.5,85.0,88.75,259583,79.93384891415106,,,,,,,,,,,
2008-08-19 12:08:00,87.5,89.48,86.88,87.88,200068,75.56810913970705,,,,,,,,,,,
2008-08-20 12:08:00,88.75,90.35,87.15,87.83,204721,75.31352255436933,,,,,,,,,,,
2008-08-21 12:08:00,87.5,88.23,84.75,86.58,205586,69.05044043936088,,,,,,,,,,,
2008-08-25 12:08:00,87.5,89.5,85.8,86.28,79654,67.59752000136956,,,,,,,,,,,
2008-08-26 12:08:00,84.0,85.9,84.0,85.38,67255,63.294741885352344,,,,,,,,,,,
2008-08-27 12:08:00,85.88,87.7,84.55,85.38,137882,63.294741885352344,,,,,,,,,,,
2008-08-28 12:08:00,85.05,86.25,81.55,82.6,72675,51.54173754500325,,,,,,,,,,,
2008-08-29 12:08:00,83.98,84.48,82.55,83.63,95237,54.884346899113886,,,,,,,,,,,
2008-09-01 12:09:00,83.05,84.45,82.73,83.55,45757,54.56949582923546,,,,,,,,,,,
