datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2018-03-23 12:03:00,185.0,201.35,181.0,194.9,3939659,,,,,,,,,,,,
2018-03-26 12:03:00,194.9,207.3,194.5,198.48,1174165,,,,,,,,,,,,
2018-03-27 12:03:00,200.13,204.4,199.75,202.78,515536,,,,,,,,,,,,
2018-03-28 12:03:00,200.5,202.5,197.15,198.33,176954,,,,,,,,,,,,
2018-04-02 12:04:00,199.5,201.0,195.03,196.13,107431,,,,,,,,,,,,
2018-04-03 12:04:00,196.35,198.95,194.53,196.13,114225,,,,,,,,,,,,
2018-04-04 12:04:00,196.0,197.5,194.25,196.05,120048,,,,,,,,,,,,
2018-04-05 12:04:00,196.53,198.15,194.0,194.45,69668,,,,,,,,,,,,
2018-04-06 12:04:00,194.85,195.95,193.13,195.38,74974,,,,,,,,,,,,
2018-04-09 12:04:00,196.0,196.5,187.5,194.98,88302,,,,,,,,,,,,
2018-04-10 12:04:00,193.55,195.4,191.95,192.45,50055,,,,,,,,,,,,
2018-04-11 12:04:00,194.4,194.4,190.0,190.6,47804,,,,,,,,,,,,
2018-04-12 12:04:00,190.25,192.0,187.5,187.8,61014,,,,,,,,,,,,
2018-04-13 12:04:00,186.15,191.0,186.15,187.85,91335,27.275822515425176,,,,,,,,,,,
2018-04-16 12:04:00,186.5,205.0,186.5,199.78,551934,60.93905260319617,,,,,,,,,,,
2018-04-17 12:04:00,201.35,208.9,200.2,202.58,460153,65.03042990755624,,,,,,,,,,,
2018-04-18 12:04:00,203.93,204.83,200.53,202.35,129015,64.43340516414455,,,,,,,,,,,
2018-04-19 12:04:00,204.25,210.95,203.18,207.5,457538,70.88000943872304,,,,,,,,,,,
2018-04-20 12:04:00,207.95,209.5,205.5,207.8,220266,71.20740161198636,,,,,,,,,,,
2018-04-23 12:04:00,207.9,210.5,203.25,204.05,151209,61.84707647342994,,,,,,,,,,,
2018-04-24 12:04:00,204.08,205.9,202.45,204.3,74862,62.20378015101535,,,,,,,,,,,
2018-04-25 12:04:00,203.0,205.0,202.5,204.13,58275,61.780793324740515,,,,,,,,,,,
2018-04-26 12:04:00,202.75,203.88,202.33,202.58,34019,57.91391548659747,,,,,,,,,,,
2018-04-27 12:04:00,201.5,203.05,201.5,202.5,39984,57.713133568506834,,,,,,,,,,,
2018-04-30 12:04:00,200.28,205.7,197.05,201.18,69904,54.364078205509614,,,,,,,,,,,
2018-05-02 12:05:00,198.0,201.98,193.53,195.05,49460,42.13569456037542,,,,,,,,,,,
2018-05-03 12:05:00,196.5,197.5,193.18,196.15,32273,44.54618466423102,,,,,,,,,,,
2018-05-04 12:05:00,196.5,197.0,194.0,194.43,20572,41.626192150108736,,,,,,,,,,,
2018-05-07 12:05:00,194.0,196.15,193.0,194.13,28915,41.119900492722145,,,,,,,,,,,
2018-05-08 12:05:00,195.0,198.5,193.05,194.05,267245,40.97677227990656,,,,,,,,,,,
2018-05-09 12:05:00,197.0,197.0,192.5,193.93,87762,40.74765819402449,,,,,,,,,,,
2018-05-10 12:05:00,193.5,195.45,193.5,194.05,36990,41.10230579006352,,,,,,,,,,,
2018-05-11 12:05:00,194.38,194.85,193.5,194.03,30664,41.05819703417935,,,,,,,,,,,
2018-05-14 12:05:00,193.0,194.53,193.0,194.03,27849,41.05819703417935,,,,,,,,,,,
2018-05-15 12:05:00,190.5,193.38,190.5,191.08,25506,34.689903152283875,,,,,,,,,,,
2018-05-16 12:05:00,190.0,190.25,189.0,189.5,19116,31.841289062312626,,,,,,,,,,,
2018-05-17 12:05:00,188.53,191.98,188.53,190.2,15657,34.41101653283128,,,,,,,,,,,
2018-05-18 12:05:00,188.03,190.33,185.0,185.45,50354,26.978126082515942,,,,,,,,,,,
2018-05-21 12:05:00,185.5,187.83,185.0,186.15,42165,29.398396585121887,,,,,,,,,,,
2018-05-22 12:05:00,185.03,189.5,185.0,188.2,26398,36.080104608784616,,,,,,,,,,,
2018-05-23 12:05:00,186.0,190.35,186.0,189.75,24798,40.65341994131258,,,,,,,,,,,
2018-05-24 12:05:00,190.5,192.0,187.88,189.93,20319,41.17973711730384,,,,,,,,,,,
2018-05-25 12:05:00,188.5,192.28,188.23,191.6,22443,45.967529611812026,,,,,,,,,,,
2018-05-28 12:05:00,190.05,199.45,190.05,198.13,43083,59.76013395766152,,,,,,,,,,,
2018-05-29 12:05:00,198.48,205.73,198.48,201.3,150237,64.49792551068197,,,,,,,,,,,
2018-05-30 12:05:00,200.0,202.5,199.0,201.15,35818,64.11325937093588,,,,,,,,,,,
2018-05-31 12:05:00,210.0,212.5,201.5,202.7,179428,66.34677996102869,,,,,,,,,,,
2018-06-01 12:06:00,203.48,204.73,200.0,200.6,46710,60.823469979578384,,,,,,,,,,,
2018-06-04 12:06:00,201.5,201.5,195.0,197.83,33885,54.39134434785651,,,,,,,,,,,
2018-06-05 12:06:00,197.5,197.53,193.0,194.03,36903,47.041868019258494,195.61996831616085,,,,,,,,,,
2018-06-06 12:06:00,195.0,195.03,192.4,194.3,18963,47.583815075033456,195.568204852782,,,,,,,,,,
2018-06-07 12:06:00,192.53,202.5,192.53,200.43,93341,58.07411366634474,195.75886348600625,,,,,,,,,,
