datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,115.0,124.7,114.5,121.78,83567,,,,,,,,,,,,
2008-07-18 12:07:00,121.0,126.7,121.0,123.78,80401,,,,,,,,,,,,
2008-07-21 12:07:00,124.0,129.48,124.0,126.8,95522,,,,,,,,,,,,
2008-07-22 12:07:00,126.25,127.5,118.05,121.25,101803,,,,,,,,,,,,
2008-07-23 12:07:00,124.05,131.63,122.53,128.55,254379,,,,,,,,,,,,
2008-07-24 12:07:00,131.48,131.48,121.1,122.3,72404,,,,,,,,,,,,
2008-07-28 12:07:00,124.35,124.35,120.58,121.98,43745,,,,,,,,,,,,
2008-07-29 12:07:00,122.0,122.98,120.0,121.58,66901,,,,,,,,,,,,
2008-07-30 12:07:00,122.0,123.5,121.25,121.6,119789,,,,,,,,,,,,
2008-07-31 12:07:00,121.38,130.2,113.75,127.8,1266696,,,,,,,,,,,,
2008-08-01 12:08:00,125.0,129.95,125.0,127.7,288340,,,,,,,,,,,,
2008-08-04 12:08:00,127.0,130.35,125.03,127.7,155065,,,,,,,,,,,,
2008-08-05 12:08:00,130.45,130.45,126.6,128.03,206033,,,,,,,,,,,,
2008-08-06 12:08:00,130.0,141.25,130.0,134.55,1048533,72.36751360386826,,,,,,,,,,,
2008-08-07 12:08:00,135.0,137.98,129.6,130.78,444006,61.889817253527774,,,,,,,,,,,
2008-08-08 12:08:00,130.5,134.0,130.5,133.35,82397,65.55141018940361,,,,,,,,,,,
2008-08-11 12:08:00,133.5,140.0,133.03,138.08,447198,71.0621295969246,,,,,,,,,,,
2008-08-12 12:08:00,138.95,138.95,133.7,135.08,90343,64.06234785350816,,,,,,,,,,,
2008-08-13 12:08:00,133.0,138.4,133.0,134.0,122712,61.70588786461016,,,,,,,,,,,
2008-08-14 12:08:00,133.28,136.0,131.78,133.83,84019,61.32350883682717,,,,,,,,,,,
2008-08-18 12:08:00,128.7,137.5,128.7,131.3,102425,55.783279007648,,,,,,,,,,,
2008-08-19 12:08:00,130.0,134.48,128.68,133.23,59324,58.838308906712975,,,,,,,,,,,
2008-08-20 12:08:00,133.5,138.45,132.55,137.55,167961,64.71496882007824,,,,,,,,,,,
2008-08-21 12:08:00,137.5,138.5,133.48,134.68,159918,58.717252651398546,,,,,,,,,,,
2008-08-25 12:08:00,139.85,139.85,132.03,132.78,72850,55.07797244442724,,,,,,,,,,,
2008-08-26 12:08:00,132.78,132.78,129.75,130.43,90611,50.8777114161569,,,,,,,,,,,
2008-08-27 12:08:00,131.95,131.95,127.65,128.33,108029,47.39911022474702,,,,,,,,,,,
2008-08-28 12:08:00,129.48,132.48,128.33,131.4,267696,52.510919042034125,,,,,,,,,,,
