datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2022-11-16 12:11:00,322.8,334.7,314.2,317.45,27437210,,,,,,,,,,,,
2022-11-17 12:11:00,320.0,334.7,320.0,321.25,4548853,,,,,,,,,,,,
2022-11-18 12:11:00,322.8,324.45,303.0,317.5,2754410,,,,,,,,,,,,
2022-11-21 12:11:00,315.1,315.75,306.1,310.9,1119849,,,,,,,,,,,,
2022-11-22 12:11:00,312.0,316.0,309.05,313.45,1194243,,,,,,,,,,,,
2022-11-23 12:11:00,314.0,344.75,310.55,344.75,4006812,,,,,,,,,,,,
2022-11-24 12:11:00,351.6,379.2,351.6,379.2,9697965,,,,,,,,,,,,
2022-11-25 12:11:00,387.1,410.0,368.1,391.85,9386769,,,,,,,,,,,,
2022-11-28 12:11:00,387.0,431.0,387.0,427.35,6560933,,,,,,,,,,,,
2022-11-29 12:11:00,426.0,446.8,418.9,434.65,6168593,,,,,,,,,,,,
2022-11-30 12:11:00,431.7,441.95,412.95,416.45,3126303,,,,,,,,,,,,
2022-12-01 12:12:00,420.0,430.65,403.4,408.05,1318502,,,,,,,,,,,,
2022-12-02 12:12:00,410.0,417.95,407.5,411.9,829068,,,,,,,,,,,,
2022-12-05 12:12:00,414.0,415.45,396.0,398.3,552058,67.172041112735,,,,,,,,,,,
2022-12-06 12:12:00,400.3,406.25,391.25,395.6,560446,65.61481083566372,,,,,,,,,,,
2022-12-07 12:12:00,410.0,415.35,405.0,412.65,2545980,70.29756771876657,,,,,,,,,,,
2022-12-08 12:12:00,412.45,415.5,403.0,407.1,957992,67.09446989684808,,,,,,,,,,,
2022-12-09 12:12:00,409.1,409.1,391.0,393.3,570979,59.7983810143011,,,,,,,,,,,
2022-12-12 12:12:00,394.6,398.95,391.0,394.6,415159,60.23704401169338,,,,,,,,,,,
2022-12-13 12:12:00,396.0,396.4,381.6,384.0,362195,54.9700725508377,,,,,,,,,,,
2022-12-14 12:12:00,385.0,403.2,380.3,390.25,1222965,57.338666292071046,,,,,,,,,,,
2022-12-15 12:12:00,388.7,397.95,385.05,387.45,432752,55.919557299611135,,,,,,,,,,,
2022-12-16 12:12:00,385.0,392.8,376.0,385.05,1353175,54.67056539311264,,,,,,,,,,,
2022-12-19 12:12:00,386.65,388.0,379.7,385.3,252839,54.783858334078026,,,,,,,,,,,
2022-12-20 12:12:00,380.05,384.9,378.85,380.2,161483,51.932345459114714,,,,,,,,,,,
2022-12-21 12:12:00,382.15,384.0,361.2,369.05,389627,46.262849211198,,,,,,,,,,,
2022-12-22 12:12:00,369.05,373.85,351.25,363.3,435880,43.61829266473591,,,,,,,,,,,
2022-12-23 12:12:00,356.0,356.4,345.15,350.15,856994,38.23525885519309,,,,,,,,,,,
2022-12-26 12:12:00,347.0,367.65,347.0,367.65,210930,47.51781041808484,,,,,,,,,,,
2022-12-27 12:12:00,375.25,386.0,375.25,386.0,290085,55.132336851495175,,,,,,,,,,,
2022-12-28 12:12:00,405.0,405.3,400.0,405.3,499502,61.46507329630183,,,,,,,,,,,
2022-12-29 12:12:00,425.55,425.55,420.6,425.55,578705,66.76538086097409,,,,,,,,,,,
2022-12-30 12:12:00,446.8,446.8,405.4,436.2,1871999,69.16734603671908,,,,,,,,,,,
