datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,32.24,32.33,28.89,29.33,619235,,,,,,,,,,,,
2008-07-18 12:07:00,29.33,29.58,28.04,29.17,208398,,,,,,,,,,,,
2008-07-21 12:07:00,29.33,29.9,29.04,29.75,65646,,,,,,,,,,,,
2008-07-22 12:07:00,29.92,30.5,29.75,30.36,58613,,,,,,,,,,,,
2008-07-23 12:07:00,30.83,31.33,30.68,31.02,60821,,,,,,,,,,,,
2008-07-24 12:07:00,31.33,31.57,30.25,30.5,57620,,,,,,,,,,,,
2008-07-28 12:07:00,30.67,31.49,30.67,31.32,25641,,,,,,,,,,,,
2008-07-29 12:07:00,31.25,31.4,30.8,31.13,29344,,,,,,,,,,,,
2008-07-30 12:07:00,31.4,31.91,31.17,31.48,58025,,,,,,,,,,,,
2008-07-31 12:07:00,31.82,32.21,31.29,31.77,107634,,,,,,,,,,,,
2008-08-01 12:08:00,31.5,33.08,31.5,32.06,83847,,,,,,,,,,,,
2008-08-04 12:08:00,31.83,32.67,31.68,32.49,46136,,,,,,,,,,,,
2008-08-05 12:08:00,32.83,33.0,32.42,32.61,236564,,,,,,,,,,,,
2008-08-06 12:08:00,32.99,33.17,32.52,32.58,72093,83.44809107946453,,,,,,,,,,,
2008-08-07 12:08:00,32.83,32.92,32.08,32.2,19892,73.57856239383642,,,,,,,,,,,
2008-08-08 12:08:00,32.42,32.67,31.6,31.7,47270,63.01740294459373,,,,,,,,,,,
2008-08-11 12:08:00,33.33,33.33,31.67,31.9,33605,65.1709137575861,,,,,,,,,,,
2008-08-12 12:08:00,32.58,34.25,31.67,33.6,151123,77.28091334214747,,,,,,,,,,,
2008-08-13 12:08:00,33.6,34.45,33.43,33.6,137908,77.28091334214747,,,,,,,,,,,
2008-08-14 12:08:00,33.33,33.99,33.08,33.16,70408,69.97738256840614,,,,,,,,,,,
2008-08-18 12:08:00,33.58,33.67,33.11,33.24,36559,70.52284910911654,,,,,,,,,,,
2008-08-19 12:08:00,33.33,33.5,32.57,33.22,22447,70.17956403442051,,,,,,,,,,,
2008-08-20 12:08:00,33.33,34.29,33.18,34.06,50508,75.56043439017775,,,,,,,,,,,
2008-08-21 12:08:00,34.18,34.33,33.58,33.71,61512,69.90073066690354,,,,,,,,,,,
2008-08-25 12:08:00,33.63,34.08,33.33,33.44,34967,65.80582419192449,,,,,,,,,,,
2008-08-26 12:08:00,33.25,33.55,32.92,33.03,39254,60.0527503282187,,,,,,,,,,,
2008-08-27 12:08:00,33.26,33.48,32.52,32.64,43140,55.116651192702726,,,,,,,,,,,
2008-08-28 12:08:00,32.92,32.92,32.25,32.38,69384,52.045323819210225,,,,,,,,,,,
2008-08-29 12:08:00,32.75,32.91,32.45,32.67,46726,55.05379366153124,,,,,,,,,,,
2008-09-01 12:09:00,32.83,33.7,32.42,33.43,78389,61.81478285825978,,,,,,,,,,,
2008-09-02 12:09:00,33.66,34.0,33.18,33.33,85762,60.52469030678946,,,,,,,,,,,
2008-09-04 12:09:00,33.5,34.58,33.43,34.27,122820,67.41002536762993,,,,,,,,,,,
2008-09-05 12:09:00,34.27,35.07,33.58,34.51,110910,68.90147108186555,,,,,,,,,,,
2008-09-08 12:09:00,35.33,35.5,34.5,34.65,104647,69.77054209468227,,,,,,,,,,,
2008-09-09 12:09:00,34.83,35.16,34.18,34.32,78512,65.14893196037777,,,,,,,,,,,
2008-09-10 12:09:00,34.17,34.42,33.0,33.14,135530,51.908250146625264,,,,,,,,,,,
2008-09-11 12:09:00,33.67,34.38,32.73,33.18,245432,52.2624317571579,,,,,,,,,,,
2008-09-12 12:09:00,33.67,33.87,31.75,31.97,160939,42.149859784863395,,,,,,,,,,,
2008-09-15 12:09:00,31.97,31.97,30.33,31.02,85273,36.22353134285501,,,,,,,,,,,
2008-09-18 12:09:00,30.0,31.65,29.33,30.77,75277,34.83545867572367,,,,,,,,,,,
2008-09-19 12:09:00,31.52,32.5,31.0,32.14,152935,46.854123685867684,,,,,,,,,,,
2008-09-22 12:09:00,32.14,32.5,31.34,31.63,42049,43.62825266111619,,,,,,,,,,,
2008-09-23 12:09:00,30.99,31.67,30.72,30.83,54496,39.0826855634464,,,,,,,,,,,
2008-09-24 12:09:00,30.75,31.47,30.75,31.1,62180,41.30536642244704,,,,,,,,,,,
2008-09-25 12:09:00,31.28,32.08,30.17,30.61,299608,38.555924910474964,,,,,,,,,,,
2008-09-26 12:09:00,30.83,31.5,29.68,30.13,111509,36.02612921419236,,,,,,,,,,,
2008-09-29 12:09:00,30.5,30.5,28.42,28.87,99603,30.389364217636867,,,,,,,,,,,
2008-09-30 12:09:00,28.33,30.48,26.5,29.74,80836,37.64412497907713,,,,,,,,,,,
