datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2016-06-15 12:06:00,22.38,23.48,21.28,21.85,6623,,,,,,,,,,,,
2016-06-20 12:06:00,21.88,22.29,21.75,22.28,6148,,,,,,,,,,,,
2016-06-21 12:06:00,22.3,22.33,22.22,22.33,10388,,,,,,,,,,,,
2016-06-22 12:06:00,22.33,23.15,22.33,23.13,10882,,,,,,,,,,,,
2016-06-23 12:06:00,23.18,23.3,23.18,23.3,10316,,,,,,,,,,,,
2016-06-24 12:06:00,23.3,23.3,22.87,23.01,8506,,,,,,,,,,,,
2016-06-27 12:06:00,22.98,23.2,22.97,23.2,10829,,,,,,,,,,,,
2016-06-28 12:06:00,23.21,23.45,23.21,23.45,6699,,,,,,,,,,,,
2016-06-29 12:06:00,23.46,23.65,23.46,23.65,10002,,,,,,,,,,,,
2016-06-30 12:06:00,23.65,24.0,23.65,23.99,13688,,,,,,,,,,,,
2016-07-01 12:07:00,24.05,24.21,23.84,24.21,12076,,,,,,,,,,,,
2016-07-04 12:07:00,24.3,24.75,24.19,24.75,9299,,,,,,,,,,,,
2016-07-05 12:07:00,24.75,24.86,24.4,24.41,10014,,,,,,,,,,,,
2016-07-07 12:07:00,24.25,24.56,24.2,24.5,12513,81.25464706078678,,,,,,,,,,,
2016-07-11 12:07:00,25.68,25.68,24.7,24.96,8701,84.31460811340753,,,,,,,,,,,
2016-07-12 12:07:00,24.95,25.0,24.7,24.71,9329,76.96162812495555,,,,,,,,,,,
2016-07-13 12:07:00,24.63,24.66,24.53,24.55,3799,72.59797971883414,,,,,,,,,,,
2016-07-15 12:07:00,25.48,25.48,24.5,24.5,2380,71.23864668885435,,,,,,,,,,,
2016-07-18 12:07:00,24.5,24.58,24.28,24.5,2121,71.23864668885435,,,,,,,,,,,
2016-07-19 12:07:00,24.98,24.98,24.05,24.13,3541,61.37585273592179,,,,,,,,,,,
2016-07-20 12:07:00,24.13,24.15,23.75,23.85,4273,55.15293681498235,,,,,,,,,,,
2016-07-22 12:07:00,23.9,23.95,23.84,23.94,6810,56.673549694762045,,,,,,,,,,,
2016-07-25 12:07:00,23.93,24.0,23.9,24.0,7535,57.703190370851146,,,,,,,,,,,
2016-07-27 12:07:00,24.06,24.15,24.05,24.15,8304,60.24668389400758,,,,,,,,,,,
2016-07-28 12:07:00,24.16,24.43,24.15,24.43,9211,64.53401044046234,,,,,,,,,,,
2016-07-29 12:07:00,24.3,24.38,23.2,23.2,7393,42.73194545582925,,,,,,,,,,,
2016-08-01 12:08:00,23.23,24.0,22.05,23.93,7882,52.901818777186335,,,,,,,,,,,
2016-08-02 12:08:00,24.5,24.97,24.38,24.76,10783,61.313812840643315,,,,,,,,,,,
2016-08-03 12:08:00,24.84,24.85,24.58,24.64,7356,59.65488063204,,,,,,,,,,,
2016-08-04 12:08:00,24.85,25.0,24.83,24.9,13296,62.05068338804514,,,,,,,,,,,
2016-08-05 12:08:00,24.95,24.96,24.75,24.84,8894,61.148267366812156,,,,,,,,,,,
2016-08-08 12:08:00,24.98,24.98,24.5,24.57,8973,57.122361824177275,,,,,,,,,,,
2016-08-09 12:08:00,24.53,24.58,23.6,24.27,7816,52.95084059474363,,,,,,,,,,,
2016-08-10 12:08:00,24.25,24.28,24.08,24.13,6402,51.07628190572806,,,,,,,,,,,
2016-08-11 12:08:00,24.13,24.2,24.13,24.2,3462,51.99144708252779,,,,,,,,,,,
2016-08-12 12:08:00,24.25,24.45,24.25,24.36,7956,54.10471578384117,,,,,,,,,,,
2016-08-16 12:08:00,24.5,24.58,24.4,24.4,3729,54.642257567337126,,,,,,,,,,,
2016-08-17 12:08:00,24.33,24.43,24.33,24.38,5770,54.29980758934752,,,,,,,,,,,
2016-08-18 12:08:00,24.5,24.68,24.5,24.66,7682,58.245178672908764,,,,,,,,,,,
2016-08-19 12:08:00,24.5,24.65,24.47,24.53,6633,55.83501535192951,,,,,,,,,,,
2016-08-22 12:08:00,24.34,24.42,24.29,24.4,6375,53.45300681112874,,,,,,,,,,,
2016-08-23 12:08:00,24.2,24.27,24.17,24.2,5553,49.92426653575541,,,,,,,,,,,
2016-08-24 12:08:00,24.25,24.38,24.19,24.36,6500,52.61906241821148,,,,,,,,,,,
2016-08-25 12:08:00,24.16,24.27,24.04,24.26,7508,50.77975689889702,,,,,,,,,,,
2016-08-26 12:08:00,24.08,24.2,24.05,24.2,7725,49.658158671564266,,,,,,,,,,,
2016-08-29 12:08:00,24.05,24.13,24.01,24.13,8120,48.31730654146257,,,,,,,,,,,
2016-08-30 12:08:00,24.14,24.23,24.14,24.18,5072,49.36893892494096,,,,,,,,,,,
2016-08-31 12:08:00,24.2,24.25,24.19,24.25,5257,50.87598114922766,,,,,,,,,,,
2016-09-01 12:09:00,24.28,24.3,24.23,24.28,2152,51.541690336403434,,,,,,,,,,,
2016-09-02 12:09:00,24.28,24.32,24.28,24.29,4031,51.77628318571536,23.91045253903338,,,,,,,,,,
2016-09-06 12:09:00,24.33,24.36,24.23,24.3,5309,52.02639462246581,23.925728910051678,,,,,,,,,,
2016-09-07 12:09:00,24.29,24.36,24.23,24.35,5725,53.329764123514686,23.942366992010435,,,,,,,,,,
2016-09-08 12:09:00,24.37,24.95,24.36,24.74,5935,62.001579552791654,23.973646717813946,,,,,,,,,,
2016-09-09 12:09:00,24.5,25.98,24.38,25.98,12702,76.77679759828655,24.05232723868399,,,,,,,,,,
2016-09-12 12:09:00,25.63,27.28,25.63,27.28,1414,83.86168433086564,24.17890264108854,,,,,,,,,,
2016-09-14 12:09:00,28.63,28.64,27.5,27.75,2016,85.57510024728802,24.318945674771346,,,,,,,,,,
2016-09-15 12:09:00,28.45,29.14,28.45,29.14,2215,89.22024705449218,24.508006628701885,,,,,,,,,,
2016-09-16 12:09:00,29.75,30.58,29.5,30.3,1732,91.21530974052371,24.735143623654753,,,,,,,,,,
2016-09-19 12:09:00,31.63,31.63,30.75,30.99,220,92.14640099268127,24.980432109001626,,,86.03579013499771,,,,,,,
2016-09-20 12:09:00,31.38,31.5,29.44,31.48,3137,92.73526780021683,25.235317124334895,,,86.03579013499771,,,,,,,
2016-09-21 12:09:00,31.51,33.0,31.48,32.5,589,93.78066447499413,25.52020664887078,,,86.03579013499771,,,,,,,
2016-09-22 12:09:00,33.0,34.13,33.0,33.93,2821,94.89071381573123,25.850002466562124,,,86.03579013499771,,,,,,,
2016-09-23 12:09:00,35.63,35.63,33.75,34.21,3373,95.07603288781787,26.1778455070891,,,86.03579013499771,,,,,,,
2016-09-26 12:09:00,34.13,35.38,34.13,35.25,4392,95.69990795657297,26.53361627151698,,,90.28221296566765,,,,,,,
2016-09-27 12:09:00,35.0,35.75,34.55,35.25,12098,95.69990795657297,26.875435241261414,,,90.28221296566765,,,,,,,
2016-09-28 12:09:00,35.25,35.25,34.35,34.5,5032,86.53035308228085,27.17443778081979,,,90.28221296566765,,,,,,,
2016-09-29 12:09:00,34.75,35.38,33.63,35.0,14541,87.39730233365928,27.481322573728818,,,90.28221296566765,,,,,,,
2016-09-30 12:09:00,35.13,36.25,35.13,35.99,3368,88.91819277063063,27.814996198288473,,,90.28221296566765,,,,,,,
2016-10-03 12:10:00,36.5,36.58,36.43,36.58,2897,89.714807506751,28.158721837571278,,,91.54302373328787,,,,,,,
2016-10-04 12:10:00,38.35,38.4,36.45,38.4,5640,91.69748277653476,28.560340589039072,,,91.54302373328787,,,,,,,
2016-10-05 12:10:00,39.05,40.32,39.05,40.32,2207,93.18910226510906,29.021503703194405,,,91.54302373328787,,,,,,,
2016-10-06 12:10:00,42.34,42.34,40.75,41.8,8076,94.07304665251984,29.52262120502992,,,91.54302373328787,,,,,,,
2016-10-07 12:10:00,42.5,42.5,41.63,41.8,3997,94.07304665251984,30.004087040126787,,,91.54302373328787,,,,,,,
2016-10-13 12:10:00,42.83,44.88,42.61,42.86,894,94.64981677489813,30.50824048953358,,,94.19188223218755,,,,,,,
2016-10-14 12:10:00,43.13,44.75,42.75,43.94,3131,95.16597484935323,31.034976156610696,,,94.19188223218755,,,,,,,
2016-10-17 12:10:00,43.75,45.0,42.5,43.18,4019,88.68224002079369,31.511251601449494,,,94.83374450788533,,,,,,,
2016-10-18 12:10:00,44.0,45.25,43.0,44.87,6213,90.26977788978601,32.035124087667164,,,94.83374450788533,,,,,,,
2016-10-19 12:10:00,46.5,46.5,42.63,43.26,6003,78.91343682526508,32.475315299915515,,,94.83374450788533,,,,,,,
2016-10-20 12:10:00,43.25,45.42,43.13,45.02,4577,81.63358150686841,32.96726371952667,,,94.83374450788533,,,,,,,
2016-10-21 12:10:00,45.75,47.27,45.5,46.25,2559,83.2589301682367,33.48815533836876,,,94.83374450788533,,,,,,,
2016-10-24 12:10:00,47.48,47.5,46.25,46.5,3583,83.57705148691802,33.998423756471944,,,95.42187893352714,,,,,,,
2016-10-25 12:10:00,46.5,46.5,46.0,46.2,3372,81.57384179937635,34.47691694249265,,,95.42187893352714,,,,,,,
2016-10-26 12:10:00,46.0,47.38,45.95,46.0,186,80.1938582818974,34.92880255259098,,,95.42187893352714,,,,,,,
2016-10-27 12:10:00,46.05,47.0,45.83,46.24,3240,80.61759545616171,35.37237892307761,,,95.42187893352714,,,,,,,
2016-10-28 12:10:00,48.0,48.0,45.95,46.0,2109,78.80200196083577,35.78914837707457,,,95.42187893352714,,,,,,,
2016-10-30 12:10:00,46.75,47.5,46.5,47.43,2547,81.47854029508616,36.24565236228733,,,95.6916915307207,,,,,,,
2016-11-01 12:11:00,46.5,49.78,45.63,46.31,2374,73.63634729737724,36.64033266180547,,,95.6916915307207,,,,,,,
2016-11-02 12:11:00,45.9,46.2,45.7,46.1,2366,72.2325221397541,37.011300008401335,,,95.6916915307207,,,,,,,
2016-11-03 12:11:00,47.25,47.25,46.0,46.6,2483,73.52661559977805,37.387327459052266,,,95.6916915307207,,,,,,,
2016-11-04 12:11:00,46.0,46.13,45.0,45.09,2284,63.848872933253034,37.68939304889335,,,95.6916915307207,,,,,,,
2016-11-07 12:11:00,47.25,47.25,45.0,45.76,3746,65.98803531246789,38.00588743913283,,,84.99418201900572,,,,,,,
2016-11-08 12:11:00,46.0,46.04,43.78,44.86,1384,60.78484606764005,38.27467616700997,,,84.99418201900572,,,,,,,
2016-11-09 12:11:00,42.62,43.75,42.62,43.71,304,54.83504256585251,38.48782612124487,,,84.99418201900572,,,,,,,
2016-11-10 12:11:00,44.25,44.25,43.63,43.63,31,54.43586213986626,38.68947999884311,,,84.99418201900572,,,,,,,
2016-11-11 12:11:00,45.0,45.0,43.75,44.27,384,57.12486476154795,38.90832392045711,,,84.99418201900572,,,,,,,
2016-11-15 12:11:00,43.75,43.75,42.09,42.09,138,46.958927197218685,39.033095531419576,,,81.55358214042761,,,,,,,
2016-11-16 12:11:00,40.0,43.0,39.98,42.52,1718,48.89096911455764,39.16983688312861,,,81.55358214042761,,,,,,,
2016-11-17 12:11:00,44.58,44.58,42.85,42.87,2952,50.47234913246703,39.31494131908435,,,81.55358214042761,,,,,,,
2016-11-18 12:11:00,43.75,43.75,42.5,43.23,3363,52.11358158739738,39.46847303206143,,,81.55358214042761,,,,,,,
2016-11-21 12:11:00,44.7,44.7,41.06,42.43,2217,48.28443746695857,39.58461134452961,34.3676876879871,,77.2807067612124,,,,,,,
2016-11-22 12:11:00,43.25,43.38,40.33,41.9,4990,45.87930928216935,39.675410899646096,34.51684238723488,,77.2807067612124,,,,,,,
2016-11-23 12:11:00,43.13,43.13,41.78,41.79,9885,45.37413537230046,39.75833596240508,34.660865310259936,,77.2807067612124,,,,,,,
2016-11-24 12:11:00,42.98,42.98,41.38,41.92,1942,46.12907774744841,39.84310710113429,34.80461055164093,,77.2807067612124,,,,,,,
2016-11-28 12:11:00,41.88,42.5,40.8,41.23,3257,42.75184665083043,39.897495057952554,34.9318459862619,,72.15265785629076,,,,,,,
2016-11-29 12:11:00,40.03,42.43,39.18,41.0,1200,41.65703897695362,39.94073054587599,35.05200745188047,,72.15265785629076,,,,,,,
2016-11-30 12:11:00,39.31,42.11,39.0,40.78,613,40.58640008727631,39.973643073488695,35.16543304689274,,72.15265785629076,,,,,,,
2016-12-01 12:12:00,42.0,42.13,39.0,41.3,5079,44.23464854661372,40.02565707060678,35.2869096202216,,72.15265785629076,,,,,,,
2016-12-02 12:12:00,41.25,42.53,41.25,41.64,15183,46.54586236121742,40.08896463646534,35.4127133901182,,72.15265785629076,,,,,,,
2016-12-05 12:12:00,41.8,43.5,41.13,42.17,24463,50.02304205297851,40.17057386640788,35.54652104575943,,71.06717850693376,,,,,,,
2016-12-06 12:12:00,42.5,43.44,41.83,42.88,29781,54.31076626730578,40.276825871646786,35.69173845079389,,71.06717850693376,,,,,,,
2016-12-07 12:12:00,43.35,44.25,42.98,43.55,30910,57.9748658792466,40.40518564138613,35.847347590382135,,71.06717850693376,,,,,,,
2016-12-08 12:12:00,44.0,45.5,44.0,45.48,40247,66.34712651612654,40.60419796917491,36.03809318265179,,71.06717850693376,,,,,,,
2016-12-09 12:12:00,45.75,46.24,45.4,45.92,31953,67.91639359001476,40.81266079391315,36.2337745057676,,71.06717850693376,,,,,,,
2016-12-12 12:12:00,46.0,46.1,45.0,45.14,20411,62.36452781533301,40.982360370622445,36.41013540664349,,76.81015987814186,,,,,,,
2016-12-13 12:12:00,49.33,49.66,46.25,47.85,73723,71.17956648847851,41.2516795717745,36.63666737878916,,76.81015987814186,,,,,,,
2016-12-14 12:12:00,48.5,51.0,47.75,48.69,59429,73.26948278932362,41.54337841209707,36.87534723267452,,76.81015987814186,,,,,,,
2016-12-15 12:12:00,48.25,48.88,46.03,48.64,46193,72.93047255168034,41.82167729789718,37.10831065380968,,76.81015987814186,,,,,,,
2016-12-16 12:12:00,48.75,48.75,47.0,47.45,37687,65.19852182682251,42.042395835234544,37.31309658145702,,76.81015987814186,,,,,,,
2016-12-19 12:12:00,47.52,47.75,47.25,47.66,38266,65.88586159777898,42.26269403777437,37.517985758061826,,78.45641429757502,,,,,,,
2016-12-20 12:12:00,47.5,47.7,47.0,47.18,30795,62.83124924440313,42.455529565704786,37.70931277275367,,78.45641429757502,,,,,,,
2016-12-21 12:12:00,47.03,48.63,47.0,47.74,52539,64.87715237430803,42.66276370038303,37.907940242600134,,78.45641429757502,,,,,,,
2016-12-22 12:12:00,48.13,48.13,47.0,47.13,29755,60.942095813642005,42.83794943762292,38.09055528730112,,78.45641429757502,,,,,,,
2016-12-23 12:12:00,47.0,48.31,47.0,47.96,27535,64.13012307897885,43.03881416555927,38.285989836067436,,78.45641429757502,,,,,,,
2016-12-26 12:12:00,47.98,48.68,47.45,48.57,35519,66.30678966482897,43.25572341396872,38.48963360168987,,78.99178161030493,,,,,,,
2016-12-27 12:12:00,48.48,48.63,47.0,47.62,24318,60.181796282255675,43.42687151538171,38.67043293630987,,78.99178161030493,,,,,,,
2016-12-28 12:12:00,47.56,48.04,47.25,47.7,22999,60.5125900630296,43.594445181445174,38.84923624450176,,78.99178161030493,,,,,,,
2016-12-29 12:12:00,47.0,48.0,46.73,46.98,31942,56.00322014073599,43.72721203707478,39.01024146738291,,78.99178161030493,,,,,,,
2016-12-30 12:12:00,47.03,47.98,46.88,47.78,26089,59.605173178844964,43.88614489836596,39.18390005218721,,78.99178161030493,,,,,,,
2017-01-02 12:01:00,48.2,48.48,46.89,47.81,31461,59.738287673354336,44.04002156901828,39.35471391253994,,78.2526531143919,,,,,,,
2017-01-03 12:01:00,47.88,48.0,47.5,47.52,22835,57.75692010677556,44.17649131140973,39.51640274595499,,78.2526531143919,,,,,,,
2017-01-04 12:01:00,47.87,47.9,47.45,47.49,26716,57.54429112259827,44.306432828609346,39.67429576088657,,78.2526531143919,,,,,,,
2017-01-05 12:01:00,48.13,48.63,47.35,48.5,39717,62.54379605792938,44.47088644317368,39.84906218146307,,78.2526531143919,,,,,,,
2017-01-06 12:01:00,48.75,49.63,48.25,48.38,29736,61.615418016631835,44.62418501402962,40.01799164321628,,78.2526531143919,,,,,,,
2017-01-09 12:01:00,47.75,47.95,47.49,47.59,26502,55.74856944546902,44.740491484067675,40.16793240275655,,78.95939320207242,,,,,,,
2017-01-10 12:01:00,48.27,48.47,47.0,47.06,35570,52.16026927258065,44.83145260233953,40.30440898884058,,78.95939320207242,,,,,,,
2017-01-11 12:01:00,47.5,48.3,46.84,46.9,32174,51.09114191081332,44.912572108130135,40.43501475143779,,78.95939320207242,,,,,,,
2017-01-12 12:01:00,47.01,47.06,46.64,46.72,25797,49.853145485031746,44.9834516333015,40.55946990487467,,78.95939320207242,,,,,,,
2017-01-13 12:01:00,47.5,47.63,46.63,46.77,29890,50.21402561895831,45.05351235356419,40.68245069883754,,78.95939320207242,,,,,,,
