datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2017-02-03 12:02:00,120.56,133.33,118.34,118.8,15771762,,,,,,,,,,,,
2017-02-06 12:02:00,120.11,120.87,113.68,114.36,2199600,,,,,,,,,,,,
2017-02-07 12:02:00,114.44,115.11,111.26,111.87,1294146,,,,,,,,,,,,
2017-02-08 12:02:00,112.56,114.98,110.97,113.62,1187116,,,,,,,,,,,,
2017-02-09 12:02:00,113.89,114.3,111.91,112.23,466684,,,,,,,,,,,,
2017-02-10 12:02:00,112.76,113.78,111.44,111.67,420869,,,,,,,,,,,,
2017-02-13 12:02:00,112.11,112.27,110.94,111.31,503861,,,,,,,,,,,,
2017-02-14 12:02:00,111.66,113.22,110.89,111.56,512893,,,,,,,,,,,,
2017-02-15 12:02:00,111.33,112.21,108.63,109.08,444465,,,,,,,,,,,,
2017-02-16 12:02:00,109.22,109.69,106.78,107.1,390176,,,,,,,,,,,,
2017-02-17 12:02:00,107.89,108.67,107.11,107.47,253565,,,,,,,,,,,,
2017-02-20 12:02:00,107.47,108.49,107.01,107.91,199609,,,,,,,,,,,,
2017-02-21 12:02:00,108.33,110.54,107.97,109.36,333947,,,,,,,,,,,,
2017-02-22 12:02:00,109.11,109.63,107.92,108.25,136074,26.28793099510642,,,,,,,,,,,
2017-02-23 12:02:00,108.31,108.53,107.22,107.32,120075,24.177590812618277,,,,,,,,,,,
2017-02-27 12:02:00,106.89,107.64,105.82,106.01,206918,21.55291801815268,,,,,,,,,,,
2017-02-28 12:02:00,106.12,107.21,104.67,105.22,211552,20.133464612352938,,,,,,,,,,,
2017-03-01 12:03:00,105.0,106.0,103.56,103.79,242861,17.842752346213146,,,,,,,,,,,
2017-03-02 12:03:00,104.29,104.72,101.67,101.91,299819,15.367292537482328,,,,,,,,,,,
2017-03-03 12:03:00,101.67,101.88,98.5,98.97,838830,12.456755464473034,,,,,,,,,,,
2017-03-06 12:03:00,98.89,106.08,98.89,105.24,1240425,38.99388905555673,,,,,,,,,,,
2017-03-07 12:03:00,106.0,107.2,104.01,104.3,470176,37.1745162689188,,,,,,,,,,,
2017-03-08 12:03:00,104.43,104.83,102.33,102.65,193077,34.16149125321854,,,,,,,,,,,
2017-03-09 12:03:00,102.65,106.78,101.93,104.99,738561,41.41369677317119,,,,,,,,,,,
2017-03-10 12:03:00,105.56,106.1,103.62,104.07,193951,39.56828211314161,,,,,,,,,,,
2017-03-14 12:03:00,106.11,106.67,104.44,104.99,227271,42.33549893507477,,,,,,,,,,,
2017-03-15 12:03:00,105.15,106.85,104.46,105.04,290746,42.48963038652265,,,,,,,,,,,
2017-03-16 12:03:00,105.55,105.81,104.78,105.03,127467,42.46518311423358,,,,,,,,,,,
2017-03-17 12:03:00,105.13,106.51,104.6,104.88,314643,42.07412750689707,,,,,,,,,,,
2017-03-20 12:03:00,105.56,105.56,103.89,104.26,116056,40.417370977381374,,,,,,,,,,,
2017-03-21 12:03:00,104.6,105.22,104.0,104.31,211103,40.6204399380063,,,,,,,,,,,
2017-03-22 12:03:00,104.44,104.44,103.44,103.82,126858,39.21007245095382,,,,,,,,,,,
2017-03-23 12:03:00,104.24,104.69,103.64,104.18,130766,40.835399290251466,,,,,,,,,,,
2017-03-24 12:03:00,104.4,105.92,104.0,105.01,303936,44.51853146189786,,,,,,,,,,,
2017-03-27 12:03:00,105.07,105.33,103.79,103.97,131550,41.06863863720076,,,,,,,,,,,
2017-03-28 12:03:00,104.32,104.88,104.02,104.36,92227,42.85695401562263,,,,,,,,,,,
2017-03-29 12:03:00,104.41,108.0,104.11,105.71,499299,48.664219151577235,,,,,,,,,,,
2017-03-30 12:03:00,106.45,107.89,106.12,107.41,291000,54.88228354064589,,,,,,,,,,,
2017-03-31 12:03:00,107.53,109.0,107.23,108.63,276768,58.744303864793494,,,,,,,,,,,
2017-04-03 12:04:00,109.33,109.74,108.34,108.61,129583,58.6556633553455,,,,,,,,,,,
2017-04-05 12:04:00,109.53,110.11,108.67,108.82,154857,59.34926304086094,,,,,,,,,,,
2017-04-06 12:04:00,108.89,108.99,107.57,107.87,71641,54.8651321330048,,,,,,,,,,,
2017-04-07 12:04:00,107.78,111.6,107.33,110.22,258530,62.42756067964788,,,,,,,,,,,
2017-04-10 12:04:00,110.56,114.99,110.56,114.46,532872,71.65543358776117,,,,,,,,,,,
2017-04-11 12:04:00,115.0,116.78,113.12,115.96,343038,74.08073122582843,,,,,,,,,,,
2017-04-12 12:04:00,116.22,117.2,113.9,116.41,280190,74.77796948631797,,,,,,,,,,,
2017-04-13 12:04:00,115.56,116.67,114.0,114.4,141067,66.21048264214741,,,,,,,,,,,
2017-04-17 12:04:00,113.89,114.33,112.0,112.38,146038,58.906151953159906,,,,,,,,,,,
2017-04-18 12:04:00,113.22,113.22,110.71,110.86,101457,54.07217665046628,,,,,,,,,,,
2017-04-19 12:04:00,111.56,112.67,109.78,111.14,129689,54.80788480437267,109.88396544304366,,,,,,,,,,
2017-04-20 12:04:00,111.74,113.07,111.12,112.32,88934,57.87071193475142,109.97949620998314,,,,,,,,,,
2017-04-21 12:04:00,112.36,113.07,111.45,112.27,90311,57.69228916836212,110.06931988802302,,,,,,,,,,
2017-04-24 12:04:00,112.33,112.78,111.74,112.19,191329,57.38742048611487,110.15248381398291,,,,,,,,,,
2017-04-25 12:04:00,112.44,112.7,111.12,111.69,91184,55.416369699311566,110.21277856637573,,,,,,,,,,
2017-04-26 12:04:00,112.22,113.0,111.5,112.17,127199,56.94519769346521,110.28953234808648,,,,,,,,,,
2017-04-27 12:04:00,112.22,112.44,111.72,111.98,58177,56.12478022663371,110.35582519718113,,,,,,,,,,
2017-04-28 12:04:00,112.33,112.78,110.76,111.61,60260,54.47875026606641,110.40500852278187,,,,,,,,,,
2017-05-02 12:05:00,111.76,113.56,111.33,111.58,106562,54.33959370636097,110.45108661992768,,,,,,,,,,
2017-05-03 12:05:00,111.79,112.17,110.89,111.42,85654,53.55390394519332,110.48908322306778,,,,,,,,,,
2017-05-04 12:05:00,111.56,112.22,110.89,111.24,69735,52.63192465853155,110.51853093981022,,,,,,,,,,
2017-05-05 12:05:00,111.78,112.25,110.0,110.57,308258,49.23423137137495,110.52054933432746,,,,,,,,,,
2017-05-08 12:05:00,111.33,112.66,111.33,111.81,190184,55.02147417509623,110.57111602709894,,,45.17746331288676,,,,,,,
2017-05-09 12:05:00,112.11,112.11,110.14,110.52,54268,48.790083152738866,110.56911147701662,,,45.17746331288676,,,,,,,
2017-05-10 12:05:00,111.78,112.1,110.56,110.79,53253,50.06481312934614,110.57777377203558,,,45.17746331288676,,,,,,,
2017-05-11 12:05:00,111.44,111.53,110.78,111.11,180061,51.602465848811185,110.59864538881851,,,45.17746331288676,,,,,,,
2017-05-12 12:05:00,111.17,111.64,108.67,109.09,119710,42.67018820113667,110.53948282455113,,,45.17746331288676,,,,,,,
2017-05-15 12:05:00,109.47,111.3,109.47,110.89,64540,50.836732421550586,110.55322859613736,,,42.25534876684897,,,,,,,
2017-05-16 12:05:00,111.36,121.04,111.34,117.66,1159346,68.82436366375124,110.83192551393589,,,42.25534876684897,,,,,,,
2017-05-17 12:05:00,117.76,120.5,117.5,119.04,316288,71.1421446157286,111.15381078789919,,,42.25534876684897,,,,,,,
2017-05-18 12:05:00,117.96,120.89,116.78,120.07,308362,72.76940487143042,111.50346526680511,,,42.25534876684897,,,,,,,
2017-05-19 12:05:00,120.56,122.21,117.89,119.26,183626,69.4526435301286,111.80764309947942,,,42.25534876684897,,,,,,,
2017-05-22 12:05:00,119.89,120.33,118.44,118.56,80736,66.6264008062468,112.07244140930376,,,60.94775819137972,,,,,,,
2017-05-23 12:05:00,118.33,119.33,114.57,117.23,184080,61.50521098565906,112.2746986089389,,,60.94775819137972,,,,,,,
2017-05-24 12:05:00,117.52,118.3,116.19,117.31,310901,61.69592933523616,112.47216140858836,,,60.94775819137972,,,,,,,
2017-05-25 12:05:00,117.31,117.89,115.22,115.85,128546,56.22148090186582,112.6046256670751,,,60.94775819137972,,,,,,,
2017-05-26 12:05:00,115.28,117.89,115.28,117.14,201438,59.62998852449545,112.78248348405255,,,60.94775819137972,,,,,,,
2017-05-29 12:05:00,116.78,120.22,116.67,118.63,120126,63.19447866835852,113.01179785722697,,,56.81875847051446,,,,,,,
2017-05-30 12:05:00,118.28,119.44,117.11,118.33,59791,62.007340362236654,113.22035480400238,,,56.81875847051446,,,,,,,
2017-05-31 12:05:00,118.33,122.22,118.33,121.49,313440,68.68120936965565,113.54465461561014,,,56.81875847051446,,,,,,,
2017-06-01 12:06:00,121.69,122.81,120.14,121.12,115399,67.1928749365506,113.84172698362543,,,56.81875847051446,,,,,,,
2017-06-02 12:06:00,121.11,123.78,120.56,123.02,210917,70.70371977995029,114.20165925877738,,,56.81875847051446,,,,,,,
2017-06-05 12:06:00,123.28,126.11,123.11,125.73,191065,74.83954622185425,114.65375105255083,,,64.08610368627882,,,,,,,
2017-06-06 12:06:00,125.56,126.09,122.41,122.71,68458,63.996989460973886,114.96968238382335,,,64.08610368627882,,,,,,,
2017-06-07 12:06:00,123.0,123.89,121.67,122.38,53691,62.92421106673433,115.26028307465381,,,64.08610368627882,,,,,,,
2017-06-08 12:06:00,122.76,123.22,120.71,121.33,57512,59.50620543750281,115.49831118937328,,,64.08610368627882,,,,,,,
2017-06-09 12:06:00,121.33,125.78,120.22,124.3,292017,65.25525391007653,115.84347545645669,,,64.08610368627882,,,,,,,
2017-06-12 12:06:00,124.22,126.03,122.33,123.38,103959,62.30443525529293,116.13902543855643,,,65.44928925099552,,,,,,,
2017-06-13 12:06:00,123.33,124.99,121.67,122.04,67751,58.17788960305033,116.37043620567187,,,65.44928925099552,,,,,,,
2017-06-14 12:06:00,123.16,123.89,121.17,121.59,59026,56.81695259055078,116.57512498192003,,,65.44928925099552,,,,,,,
2017-06-15 12:06:00,121.23,122.71,120.12,120.35,69348,53.12883936434913,116.72315929635454,,,65.44928925099552,,,,,,,
2017-06-16 12:06:00,120.89,121.28,119.0,119.49,73783,50.67211307197654,116.83166285336024,,,65.44928925099552,,,,,,,
2017-06-19 12:06:00,120.01,124.21,120.01,123.33,174910,59.64515311011091,117.08649960420885,,,56.73445500203556,,,,,,,
2017-06-20 12:06:00,123.86,124.36,122.11,122.37,68733,56.86043057190739,117.29369569816144,,,56.73445500203556,,,,,,,
2017-06-21 12:06:00,122.81,123.66,122.33,122.68,51825,57.54965887082911,117.50492331784139,,,56.73445500203556,,,,,,,
2017-06-22 12:06:00,123.97,124.22,121.02,121.23,106100,53.26313714934974,117.65100475635741,,,56.73445500203556,,,,,,,
2017-06-23 12:06:00,121.7,121.87,117.89,118.33,75861,45.89960916407562,117.67763202081399,,,56.73445500203556,,,,,,,
2017-06-27 12:06:00,117.78,118.33,116.11,116.48,52110,41.91833875338736,117.63066605921344,,,54.838038586876344,,,,,,,
2017-06-28 12:06:00,116.44,120.06,115.56,119.34,73849,49.24742390908978,117.69769876277371,,,54.838038586876344,,,,,,,
2017-06-29 12:06:00,120.45,122.69,120.06,122.08,102794,55.093794138898424,117.86955371325317,,,54.838038586876344,,,,,,,
2017-06-30 12:06:00,122.67,123.33,119.0,119.28,283014,48.89528359215619,117.92486533234128,116.04033591151033,,54.838038586876344,,,,,,,
2017-07-03 12:07:00,119.43,119.98,118.23,119.22,57394,48.768663269200474,117.97565492715142,116.10329955682695,,56.131316091323754,,,,,,,
2017-07-04 12:07:00,119.44,119.82,118.13,118.5,33946,47.18942710100638,117.99621747902783,116.15075897154324,,56.131316091323754,,,,,,,
2017-07-05 12:07:00,118.67,118.88,117.17,118.18,57104,46.46919325235221,118.00342463671302,116.19094196220574,,56.131316091323754,,,,,,,
2017-07-06 12:07:00,118.18,119.44,117.52,117.84,53534,45.67158700317447,117.99701582743016,116.22359657681552,,56.131316091323754,,,,,,,
2017-07-07 12:07:00,117.67,125.33,116.89,118.54,663361,47.66333004085592,118.0183093243937,116.26946595153204,,56.131316091323754,,,,,,,
2017-07-10 12:07:00,129.01,129.01,118.21,120.57,102668,53.040040875709664,118.11837562539787,116.35462504160071,,54.814553124511974,,,,,,,
2017-07-11 12:07:00,121.89,124.97,120.9,121.89,385112,56.19163455001294,118.26628246361757,116.46423642691555,,54.814553124511974,,,,,,,
2017-07-12 12:07:00,123.45,124.11,120.74,122.33,232424,57.222220404289,118.42564393563258,116.58039016103604,,54.814553124511974,,,,,,,
2017-07-13 12:07:00,122.79,125.78,121.68,123.54,698518,60.008425054606526,118.62620691854895,116.71820421725315,,54.814553124511974,,,,,,,
2017-07-14 12:07:00,124.44,130.93,123.12,124.52,1279795,62.15819509101248,118.85733605899802,116.87269522285209,,54.814553124511974,,,,,,,
2017-07-17 12:07:00,124.78,125.44,122.22,122.45,154570,55.38568053632075,118.99822484099809,116.9831369016075,,62.47533870889152,,,,,,,
2017-07-18 12:07:00,122.54,122.54,120.22,120.62,103041,50.18032444428171,119.06182386684131,117.05515399266477,,62.47533870889152,,,,,,,
2017-07-19 12:07:00,121.37,124.44,120.56,122.06,197882,53.85542858777093,119.17939940147498,117.15425985419616,,62.47533870889152,,,,,,,
2017-07-20 12:07:00,121.24,122.89,120.61,121.02,58168,50.93312959491908,119.25157981710342,117.23080916401405,,62.47533870889152,,,,,,,
2017-07-24 12:07:00,120.86,121.95,120.26,120.63,49187,49.84094171570102,119.30563551055035,117.29811987363753,,56.443619389481164,,,,,,,
2017-07-25 12:07:00,120.93,121.44,120.0,120.49,46354,49.43116624361461,119.35208117680327,117.36132542069421,,56.443619389481164,,,,,,,
2017-07-26 12:07:00,120.56,122.56,120.01,121.83,66908,53.38188299163634,119.44925446398746,117.44981402622503,,56.443619389481164,,,,,,,
2017-07-27 12:07:00,122.21,122.21,120.22,120.64,67085,49.670638668795284,119.4959503673605,117.51298602570571,,56.443619389481164,,,,,,,
2017-07-28 12:07:00,120.25,123.0,119.57,120.44,93237,49.05338685725329,119.53297192158166,117.57094669846401,,56.443619389481164,,,,,,,
2017-07-31 12:07:00,120.56,121.56,120.11,120.41,43625,48.95511331022407,119.56736517955885,117.62716557572216,,55.48758619919234,,,,,,,
2017-08-01 12:08:00,120.43,121.78,120.01,120.39,36881,48.884800427452035,119.59962536859575,117.6818751682821,,55.48758619919234,,,,,,,
