datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,40.4,40.4,39.35,40.07,2940,,,,,,,,,,,,
2008-07-18 12:07:00,39.63,41.67,39.63,40.21,2116,,,,,,,,,,,,
2008-07-21 12:07:00,42.39,43.2,39.73,40.73,4267,,,,,,,,,,,,
2008-07-22 12:07:00,40.73,41.47,40.4,41.3,28540,,,,,,,,,,,,
2008-07-23 12:07:00,42.6,42.6,40.41,40.72,7708,,,,,,,,,,,,
2008-07-24 12:07:00,40.67,41.32,40.35,40.55,3353,,,,,,,,,,,,
2008-07-28 12:07:00,40.0,40.4,39.35,39.57,3100,,,,,,,,,,,,
2008-07-29 12:07:00,38.13,41.07,36.8,40.43,9948,,,,,,,,,,,,
2008-07-30 12:07:00,40.64,41.19,40.42,40.71,25785,,,,,,,,,,,,
2008-07-31 12:07:00,41.07,41.99,40.67,41.41,19028,,,,,,,,,,,,
2008-08-01 12:08:00,40.85,41.72,40.27,41.44,6265,,,,,,,,,,,,
2008-08-04 12:08:00,41.45,44.0,41.45,43.13,25169,,,,,,,,,,,,
2008-08-05 12:08:00,42.93,44.4,42.93,44.16,26301,,,,,,,,,,,,
2008-08-06 12:08:00,44.4,44.91,43.49,44.03,12275,79.41101186617425,,,,,,,,,,,
2008-08-07 12:08:00,43.75,44.39,43.33,44.15,9085,79.89511211079937,,,,,,,,,,,
2008-08-08 12:08:00,44.0,45.19,42.93,44.83,17573,82.41791349850322,,,,,,,,,,,
2008-08-11 12:08:00,45.07,46.25,45.07,45.47,93724,84.40177897615348,,,,,,,,,,,
2008-08-12 12:08:00,44.13,45.6,42.51,44.75,4525,74.25137115852147,,,,,,,,,,,
2008-08-13 12:08:00,43.87,45.33,43.33,44.13,15451,66.8012959767861,,,,,,,,,,,
2008-08-14 12:08:00,43.33,43.6,42.85,43.31,2866,58.44842393258353,,,,,,,,,,,
2008-08-18 12:08:00,43.33,44.27,42.97,44.02,7333,62.787246822170374,,,,,,,,,,,
2008-08-19 12:08:00,44.0,44.0,42.27,42.63,16096,51.4584827373349,,,,,,,,,,,
2008-08-20 12:08:00,43.99,43.99,42.81,43.45,3894,56.450519832488105,,,,,,,,,,,
2008-08-21 12:08:00,43.73,43.87,42.4,42.57,8580,50.4538236659702,,,,,,,,,,,
2008-08-25 12:08:00,42.94,43.59,42.81,43.34,34829,54.96214189689714,,,,,,,,,,,
2008-08-26 12:08:00,42.71,43.19,42.45,42.47,936,49.48344177309238,,,,,,,,,,,
2008-08-27 12:08:00,42.18,42.63,41.47,41.94,1602,46.4460292926083,,,,,,,,,,,
2008-08-28 12:08:00,42.53,43.6,41.96,43.08,12716,53.112750529862446,,,,,,,,,,,
2008-08-29 12:08:00,43.71,44.27,42.67,43.11,37336,53.27758460368982,,,,,,,,,,,
2008-09-01 12:09:00,43.33,44.13,43.0,43.99,9844,57.947704631096755,,,,,,,,,,,
2008-09-02 12:09:00,44.39,45.2,43.77,44.98,40907,62.49010873269253,,,,,,,,,,,
2008-09-04 12:09:00,44.53,46.53,44.0,46.08,17853,66.78342677645793,,,,,,,,,,,
2008-09-05 12:09:00,45.43,46.0,44.0,44.43,3157,56.36235615956985,,,,,,,,,,,
2008-09-08 12:09:00,44.53,45.85,44.47,45.31,33755,59.9516702103074,,,,,,,,,,,
2008-09-09 12:09:00,44.53,45.33,44.34,44.81,1036,57.078919601497695,,,,,,,,,,,
2008-09-10 12:09:00,45.07,46.67,44.27,46.37,19433,63.03105702059022,,,,,,,,,,,
2008-09-11 12:09:00,46.0,46.0,44.53,44.67,2325,54.20877557707865,,,,,,,,,,,
2008-09-12 12:09:00,44.63,44.67,43.47,43.63,2544,49.63202336685657,,,,,,,,,,,
2008-09-15 12:09:00,42.0,42.68,41.47,42.27,3521,44.357913590405815,,,,,,,,,,,
2008-09-18 12:09:00,41.87,42.87,37.47,42.67,5926,46.169751472465,,,,,,,,,,,
2008-09-19 12:09:00,45.33,46.63,42.01,45.71,136658,57.497192772191866,,,,,,,,,,,
2008-09-22 12:09:00,46.0,46.0,43.73,44.03,56331,51.09794073808656,,,,,,,,,,,
2008-09-23 12:09:00,44.0,45.07,43.33,43.55,28443,49.40602350671283,,,,,,,,,,,
2008-09-24 12:09:00,44.93,44.93,43.52,44.35,455264,52.24417454981232,,,,,,,,,,,
2008-09-25 12:09:00,43.47,44.47,42.56,44.21,3851,51.69762441114133,,,,,,,,,,,
2008-09-26 12:09:00,44.4,44.4,42.93,43.81,105635,50.085420032519835,,,,,,,,,,,
2008-09-29 12:09:00,42.08,43.59,40.67,42.97,14015,46.785774338369656,,,,,,,,,,,
2008-09-30 12:09:00,38.87,42.4,38.8,41.39,4964,41.27731763157554,,,,,,,,,,,
2008-10-01 12:10:00,43.33,44.67,41.61,42.46,6229,45.920937365024166,,,,,,,,,,,
2008-10-06 12:10:00,41.6,43.46,40.16,42.38,6531,45.63040402980848,42.987157562591726,,,,,,,,,,
2008-10-07 12:10:00,40.8,43.87,40.8,43.53,12927,50.48053743749813,43.008445501313616,,,,,,,,,,
2008-10-08 12:10:00,41.48,42.67,40.45,40.81,115064,41.13393827708305,42.9222319522425,,,,,,,,,,
2008-10-10 12:10:00,36.8,39.87,32.81,38.18,6899,34.48526818783708,42.736262071762404,,,,,,,,,,
2008-10-13 12:10:00,39.01,39.27,37.47,37.88,5613,33.813870917048604,42.54582042188937,,,,,,,,,,
2008-10-14 12:10:00,39.73,39.73,37.47,37.71,3604,33.416840572654294,42.35618040534469,,,,,,,,,,
2008-10-15 12:10:00,38.67,38.67,35.47,36.01,2780,29.66566354388388,42.10731058552725,,,,,,,,,,
2008-10-16 12:10:00,36.0,36.0,33.48,34.19,3078,26.26622645956141,41.79682781746736,,,,,,,,,,
