datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2010-10-29 12:10:00,34.76,37.87,31.91,32.28,187361,,,,,,,,,,,,
2010-11-01 12:11:00,32.33,33.3,32.2,32.35,41730,,,,,,,,,,,,
2010-11-02 12:11:00,32.28,32.71,32.24,32.26,72249,,,,,,,,,,,,
2010-11-03 12:11:00,33.14,33.14,32.28,32.3,59006,,,,,,,,,,,,
2010-11-04 12:11:00,32.5,32.5,31.9,32.22,142509,,,,,,,,,,,,
2010-11-05 12:11:00,32.3,32.5,32.28,32.35,32260,,,,,,,,,,,,
2010-11-08 12:11:00,32.29,32.49,32.03,32.03,94509,,,,,,,,,,,,
2010-11-09 12:11:00,32.07,32.24,31.98,32.03,123639,,,,,,,,,,,,
2010-11-10 12:11:00,32.09,32.15,32.03,32.07,51705,,,,,,,,,,,,
2010-11-11 12:11:00,32.28,32.71,32.03,32.44,187779,,,,,,,,,,,,
2010-11-12 12:11:00,32.5,32.92,32.29,32.71,63748,,,,,,,,,,,,
2010-11-15 12:11:00,33.35,33.86,33.2,33.48,59576,,,,,,,,,,,,
2010-11-16 12:11:00,33.78,33.78,33.18,33.5,59437,,,,,,,,,,,,
2010-11-18 12:11:00,33.86,33.86,32.5,32.66,31292,54.31021488696306,,,,,,,,,,,
2010-11-19 12:11:00,33.35,33.35,32.71,32.82,50136,57.33266367680069,,,,,,,,,,,
2010-11-22 12:11:00,32.41,33.35,32.41,33.08,35231,61.759572918572665,,,,,,,,,,,
2010-11-23 12:11:00,33.05,33.14,30.41,32.01,43628,42.30591444724657,,,,,,,,,,,
2010-11-24 12:11:00,31.86,31.86,26.26,26.26,242337,14.986620670358562,,,,,,,,,,,
2010-11-25 12:11:00,21.7,21.7,21.7,21.7,7625,9.659403742582299,,,,,,,,,,,
2010-11-26 12:11:00,19.88,19.88,19.88,19.88,564,8.379170951785255,,,,,,,,,,,
2010-11-29 12:11:00,18.24,18.24,18.24,18.24,377,7.424287139059373,,,,,,,,,,,
2010-11-30 12:11:00,16.77,16.77,16.77,16.77,2963,6.688524131720314,,,,,,,,,,,
2010-12-01 12:12:00,16.1,16.1,16.1,16.1,1921,6.378262734065416,,,,,,,,,,,
2010-12-02 12:12:00,15.47,15.47,15.47,15.47,1440,6.092098852442646,,,,,,,,,,,
2010-12-03 12:12:00,14.88,14.88,14.88,14.88,1735,5.828371145701894,,,,,,,,,,,
2010-12-06 12:12:00,14.31,14.31,14.31,14.31,802,5.577176303653857,,,,,,,,,,,
2010-12-07 12:12:00,13.77,13.77,13.77,13.77,227,5.342270897345742,,,,,,,,,,,
2010-12-08 12:12:00,13.25,13.25,13.25,13.25,155,5.118691460366875,,,,,,,,,,,
2010-12-09 12:12:00,12.76,12.76,12.76,12.76,38,4.9101565773579665,,,,,,,,,,,
2010-12-10 12:12:00,12.3,12.3,12.3,12.3,111,4.715919309359421,,,,,,,,,,,
2010-12-13 12:12:00,11.86,11.86,11.86,11.86,151,4.531274493295186,,,,,,,,,,,
2010-12-14 12:12:00,11.44,11.44,11.44,11.44,313,4.355952970889504,,,,,,,,,,,
2010-12-15 12:12:00,11.05,11.05,11.05,11.05,1613,4.193692963054474,,,,,,,,,,,
2010-12-16 12:12:00,10.67,11.43,10.67,11.43,200550,7.797605025618708,,,,,,,,,,,
2010-12-20 12:12:00,11.5,11.78,11.03,11.03,18398,7.478695836048445,,,,,,,,,,,
2010-12-21 12:12:00,10.65,10.95,10.65,10.66,67691,7.185933365919155,,,,,,,,,,,
2010-12-22 12:12:00,10.31,11.02,10.31,10.31,209802,6.910357578773301,,,,,,,,,,,
2010-12-23 12:12:00,9.96,10.14,9.96,9.96,25956,6.636283789763283,,,,,,,,,,,
2010-12-24 12:12:00,9.64,9.97,9.64,9.64,56028,6.386869328089645,,,,,,,,,,,
2010-12-27 12:12:00,9.33,9.82,9.33,9.33,91234,6.14589102815161,,,,,,,,,,,
2010-12-28 12:12:00,9.2,9.46,9.04,9.04,52492,5.920833401842813,,,,,,,,,,,
2010-12-29 12:12:00,8.84,8.86,8.76,8.76,28617,5.703659715805614,,,,,,,,,,,
2010-12-30 12:12:00,8.5,9.03,8.5,9.0,250773,8.791793943152896,,,,,,,,,,,
2010-12-31 12:12:00,9.11,9.28,8.9,9.07,270617,9.720465456941028,,,,,,,,,,,
2011-01-03 12:01:00,9.0,9.2,8.79,8.83,110801,9.368268636376797,,,,,,,,,,,
2011-01-04 12:01:00,8.73,8.93,8.62,8.69,60619,9.159778825989306,,,,,,,,,,,
2011-01-05 12:01:00,8.8,8.95,8.43,8.57,232156,8.975397437557518,,,,,,,,,,,
2011-01-06 12:01:00,8.68,8.73,8.46,8.58,77704,9.139535945645534,,,,,,,,,,,
2011-01-07 12:01:00,8.6,8.6,8.32,8.32,53131,8.700255637640069,,,,,,,,,,,
2011-01-10 12:01:00,8.39,8.39,8.08,8.08,19519,8.30351896296662,16.779285471292066,,,,,,,,,,
2011-01-11 12:01:00,7.89,7.96,7.85,7.85,29876,7.930302028883844,16.42911741359434,,,,,,,,,,
2011-01-12 12:01:00,7.67,7.88,7.63,7.81,81464,7.864100948434796,16.09111280913966,,,,,,,,,,
2011-01-13 12:01:00,7.84,8.03,7.75,7.95,151636,10.67472299753895,15.771853483291046,,,,,,,,,,
2011-01-14 12:01:00,8.01,8.07,7.75,7.89,47850,10.52651686998702,15.462761189828653,,,,,,,,,,
2011-01-17 12:01:00,8.09,8.09,7.69,7.74,54203,10.147218269750454,15.159907809835373,,,,,,,,,,
2011-01-18 12:01:00,7.71,7.82,7.67,7.74,28724,10.147218269750454,14.868931032979082,,,,,,,,,,
2011-01-19 12:01:00,7.54,7.9,7.54,7.76,84038,10.6450963922874,14.590149423842648,,,,,,,,,,
2011-01-21 12:01:00,7.75,7.97,7.75,7.97,13894,15.913645393941252,14.330535720946859,,,,,,,,,,
2011-01-24 12:01:00,8.09,8.2,8.09,8.2,2595,21.381189867601236,14.090122555419532,,,,,,,,,,
2011-01-25 12:01:00,8.43,8.43,8.43,8.43,2018,26.52617509063134,13.868156965010922,,,,,,,,,,
2011-01-27 12:01:00,8.68,8.68,8.68,8.68,31940,31.754119517577536,13.664699829128141,,,,,,,,,,
2011-01-28 12:01:00,8.94,8.94,8.82,8.94,60860,36.791361044480205,13.479417482887822,,,,,,,,,,
2011-01-31 12:01:00,9.13,9.13,8.7,8.76,65197,34.87233360343794,13.294342287480458,,,8.335068978700093,,,,,,,
2011-02-01 12:02:00,8.82,8.94,8.52,8.79,34521,35.4764036886268,13.117701413461615,,,8.335068978700093,,,,,,,
2011-02-03 12:02:00,8.94,9.14,8.86,9.09,19497,41.336128440564664,12.959752338423904,,,8.335068978700093,,,,,,,
2011-02-04 12:02:00,9.22,9.22,8.81,8.81,12424,37.87853967509021,12.797016952603359,,,8.335068978700093,,,,,,,
2011-02-07 12:02:00,8.82,8.82,8.54,8.55,71559,34.954727555842524,12.630467268187543,,,8.260047619657811,,,,,,,
2011-02-08 12:02:00,8.3,8.39,8.3,8.3,5495,32.36759870181406,12.460645022376267,,,8.260047619657811,,,,,,,
2011-02-09 12:02:00,8.06,8.13,8.06,8.06,4950,30.06691495841889,12.288070707773278,,,8.260047619657811,,,,,,,
2011-02-10 12:02:00,8.01,8.01,7.83,7.83,3754,28.012008884403343,12.11324440550766,,,8.260047619657811,,,,,,,
