datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2014-06-23 12:06:00,34.2,36.2,34.2,35.8,438,,,,,,,,,,,,
2014-06-24 12:06:00,35.4,36.4,35.24,35.64,2293,,,,,,,,,,,,
2014-06-25 12:06:00,35.64,36.4,35.64,36.25,746,,,,,,,,,,,,
2014-06-26 12:06:00,36.6,37.0,34.8,35.95,3192,,,,,,,,,,,,
2014-06-27 12:06:00,35.46,39.54,35.41,39.54,4811,,,,,,,,,,,,
2014-06-30 12:06:00,43.49,43.49,43.49,43.49,860,,,,,,,,,,,,
2014-07-01 12:07:00,47.83,47.83,46.22,47.83,10736,,,,,,,,,,,,
2014-07-02 12:07:00,48.41,50.22,48.0,50.22,4224,,,,,,,,,,,,
2014-07-03 12:07:00,52.58,52.73,51.5,52.73,6324,,,,,,,,,,,,
2014-07-04 12:07:00,55.36,55.36,55.36,55.36,2178,,,,,,,,,,,,
2014-07-07 12:07:00,57.2,58.0,52.6,55.87,20868,,,,,,,,,,,,
2014-07-08 12:07:00,55.28,55.28,53.08,53.08,7699,,,,,,,,,,,,
2014-07-09 12:07:00,52.8,52.8,50.43,50.78,4935,,,,,,,,,,,,
2014-07-10 12:07:00,52.39,53.31,49.62,53.07,6735,75.70028834721558,,,,,,,,,,,
2014-07-11 12:07:00,53.2,55.6,53.0,53.05,4654,75.61697174460583,,,,,,,,,,,
2014-07-14 12:07:00,54.6,54.6,50.4,50.84,3961,66.86011759751779,,,,,,,,,,,
2014-07-15 12:07:00,50.84,53.38,50.84,53.38,643,71.01474504768521,,,,,,,,,,,
2014-07-16 12:07:00,56.04,56.04,56.04,56.04,2429,74.60526548837693,,,,,,,,,,,
2014-07-17 12:07:00,58.84,58.84,56.0,58.52,16537,77.41436607816208,,,,,,,,,,,
2014-07-18 12:07:00,60.0,61.44,56.45,61.44,6911,80.19258951107791,,,,,,,,,,,
2014-07-21 12:07:00,63.8,64.51,63.2,64.51,7547,82.61403107056705,,,,,,,,,,,
2014-07-22 12:07:00,67.19,67.73,66.21,67.73,3763,84.7234965898601,,,,,,,,,,,
2014-07-23 12:07:00,71.11,71.11,66.02,67.79,46259,84.76060065072801,,,,,,,,,,,
2014-07-24 12:07:00,67.79,67.79,64.41,64.41,8456,73.87515921667195,,,,,,,,,,,
2014-07-25 12:07:00,61.21,64.41,61.21,63.19,9600,70.36261495993308,,,,,,,,,,,
2014-07-28 12:07:00,63.0,66.34,62.8,66.1,6850,73.58840333952114,,,,,,,,,,,
2014-07-30 12:07:00,68.2,69.4,64.2,69.4,21871,76.68721879089081,,,,,,,,,,,
2014-07-31 12:07:00,72.2,72.87,70.85,72.87,11177,79.42134334922899,,,,,,,,,,,
2014-08-01 12:08:00,76.2,76.51,70.0,73.98,45937,80.22047486096514,,,,,,,,,,,
2014-08-04 12:08:00,75.2,75.54,70.29,72.67,10549,76.4473873090982,,,,,,,,,,,
2014-08-05 12:08:00,73.8,74.76,71.05,73.44,8645,77.12833469099583,,,,,,,,,,,
2014-08-06 12:08:00,73.0,75.7,70.41,70.9,5122,69.94450932008749,,,,,,,,,,,
2014-08-07 12:08:00,71.0,71.98,68.06,70.16,8943,67.95855775564132,,,,,,,,,,,
2014-08-08 12:08:00,69.0,69.95,67.1,67.69,5045,61.66490196906292,,,,,,,,,,,
2014-08-11 12:08:00,71.0,71.0,68.2,69.18,2286,63.840389391613165,,,,,,,,,,,
2014-08-12 12:08:00,69.2,69.82,68.2,68.63,1480,62.43198222233137,,,,,,,,,,,
2014-08-13 12:08:00,68.63,72.06,68.63,72.0,15776,67.20595158968322,,,,,,,,,,,
2014-08-14 12:08:00,74.8,75.6,68.4,74.93,14428,70.69297946198445,,,,,,,,,,,
2014-08-18 12:08:00,76.8,78.67,72.6,77.44,29270,73.31105721595422,,,,,,,,,,,
2014-08-19 12:08:00,77.4,80.98,74.0,79.91,27735,75.61921974865993,,,,,,,,,,,
2014-08-20 12:08:00,80.88,83.9,80.54,83.9,13423,78.80763621028228,,,,,,,,,,,
2014-08-21 12:08:00,86.8,88.09,85.31,88.09,16481,81.53806289859614,,,,,,,,,,,
2014-08-22 12:08:00,92.49,92.49,83.69,85.25,36992,74.52891949985582,,,,,,,,,,,
2014-08-25 12:08:00,88.88,88.88,83.02,84.04,13458,71.70090954420452,,,,,,,,,,,
2014-08-26 12:08:00,83.2,83.2,79.84,79.84,6767,62.7940750895457,,,,,,,,,,,
2014-08-27 12:08:00,75.87,83.83,75.85,83.83,42469,66.98935561735303,,,,,,,,,,,
2014-08-28 12:08:00,87.96,88.02,86.07,88.02,8462,70.72275856384033,,,,,,,,,,,
2014-09-01 12:09:00,91.8,92.42,86.61,88.79,21586,71.36371559563533,,,,,,,,,,,
2014-09-02 12:09:00,90.0,91.2,87.6,88.53,12983,70.80007819187773,,,,,,,,,,,
2014-09-03 12:09:00,90.9,90.9,85.99,86.22,14535,65.82567494519468,67.73744947248761,,,,,,,,,,
2014-09-04 12:09:00,86.8,89.0,86.62,88.14,7863,67.847729330647,68.53754949317437,,,,,,,,,,
2014-09-05 12:09:00,88.8,92.54,88.08,89.91,11471,69.63163163319098,69.37568480716753,,,,,,,,,,
2014-09-08 12:09:00,93.71,94.4,90.0,94.4,8920,73.62875704505385,70.3570305010041,,,,,,,,,,
2014-09-09 12:09:00,99.12,99.12,97.11,99.12,14788,77.04866631281976,71.48499008920002,,,,,,,,,,
2014-09-10 12:09:00,101.88,104.07,101.87,104.07,8787,79.98076948787119,72.76283361511375,,,,,,,,,,
2014-09-11 12:09:00,109.27,109.27,99.0,102.68,25131,77.00575695250924,73.93605582628577,,,,,,,,,,
2014-09-12 12:09:00,102.0,102.0,98.0,100.69,10957,72.82907891374438,74.9852301076079,,,,,,,,,,
2014-09-15 12:09:00,104.97,105.72,99.2,105.72,16883,76.32454947280655,76.1905152014272,,,,,,,,,,
2014-09-16 12:09:00,109.96,111.0,100.44,101.01,34931,67.56001898904879,77.163828330783,,,,,,,,,,
2014-09-17 12:09:00,103.0,105.67,96.24,97.36,38199,61.65167307451379,77.95583506290916,,,,,,,,,,
2014-09-18 12:09:00,97.0,101.93,97.0,100.29,8434,64.3471166697093,78.83168466828528,,,,,,,,,,
2014-09-19 12:09:00,101.99,104.79,97.6,98.47,8143,61.45745593619939,79.6018146812937,,,,,,,,,,
2014-09-22 12:09:00,98.0,98.4,93.55,95.3,12716,56.68280470073644,80.21742979183121,,,,,,,,,,
2014-09-23 12:09:00,95.7,98.15,92.4,93.07,8267,53.53207300872299,80.72145215293587,,,,,,,,,,
2014-09-24 12:09:00,93.0,94.6,88.42,88.65,8794,47.854240142300554,81.03237559791879,,,,,,,,,,
2014-09-25 12:09:00,89.75,89.76,84.22,84.22,9483,42.93857480043991,81.15738047643177,,,,,,,,,,
2014-09-26 12:09:00,80.2,85.0,80.01,80.45,15041,39.244054467902224,81.12964006559132,,,,,,,,,,
2014-09-29 12:09:00,84.4,84.4,78.65,79.05,11770,37.93859600108299,81.04808555321519,,,62.826665920863874,,,,,,,
2014-09-30 12:09:00,78.65,83.0,76.6,83.0,18484,43.635615449539266,81.12463121779498,,,62.826665920863874,,,,,,,
2014-10-01 12:10:00,85.6,87.15,83.0,86.95,33778,48.70638737072041,81.35307705239126,,,62.826665920863874,,,,,,,
2014-10-07 12:10:00,86.2,89.6,82.62,83.57,19672,44.977582125807686,81.44001520719945,,,66.35051924167377,,,,,,,
2014-10-08 12:10:00,85.66,85.66,75.6,77.0,16308,38.765187640890815,81.26589696377987,,,66.35051924167377,,,,,,,
2014-10-09 12:10:00,76.4,81.2,76.4,78.6,12529,40.90584302825029,81.1613519848081,,,66.35051924167377,,,,,,,
2014-10-10 12:10:00,77.82,79.8,75.64,76.19,9032,38.71070807377182,80.96639700501171,,,66.35051924167377,,,,,,,
2014-10-13 12:10:00,63.0,79.0,63.0,76.93,6336,39.77932211974486,80.8081069263838,,,56.75867430468776,,,,,,,
2014-10-14 12:10:00,76.16,77.81,74.0,74.69,8575,37.63995017551701,80.56818116456482,,,56.75867430468776,,,,,,,
2014-10-16 12:10:00,81.2,81.2,69.05,70.13,12614,33.67009414923905,80.15884072673875,,,56.75867430468776,,,,,,,
2014-10-17 12:10:00,72.98,72.98,68.01,69.56,7131,33.1987456933244,79.74319991392547,,,56.75867430468776,,,,,,,
2014-10-20 12:10:00,70.0,72.34,67.03,68.22,7596,32.06240520151948,79.2913097212225,,,51.790530862361045,,,,,,,
2014-10-21 12:10:00,68.0,80.78,67.0,77.87,44252,46.313781817457446,79.23557208509612,,,51.790530862361045,,,,,,,
2014-10-22 12:10:00,78.95,88.56,78.32,86.97,79849,55.74213552168755,79.5388829837198,,,51.790530862361045,,,,,,,
2014-10-23 12:10:00,89.74,90.0,82.42,85.38,11666,53.9590277779829,79.76794639612295,,,51.790530862361045,,,,,,,
2014-10-27 12:10:00,85.0,87.85,84.0,84.59,17463,53.0509936814266,79.95704653745146,,,60.642951456471806,,,,,,,
2014-10-28 12:10:00,83.74,85.15,79.31,80.47,7744,48.46994048397092,79.97716235951219,,,60.642951456471806,,,,,,,
2014-10-29 12:10:00,80.0,85.39,78.84,82.08,12423,50.276879645014795,80.0596265807078,,,60.642951456471806,,,,,,,
2014-10-30 12:10:00,81.26,84.98,80.8,82.01,8316,50.19446667270865,80.13611181283692,,,60.642951456471806,,,,,,,
