datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,50.1,62.0,50.1,61.0,23231,,,,,,,,,,,,
2008-07-18 12:07:00,59.23,61.5,59.23,61.13,7477,,,,,,,,,,,,
2008-07-21 12:07:00,58.05,61.9,58.05,61.38,9411,,,,,,,,,,,,
2008-07-22 12:07:00,60.0,62.0,60.0,60.03,32365,,,,,,,,,,,,
2008-07-23 12:07:00,60.0,64.0,60.0,61.4,4228,,,,,,,,,,,,
2008-07-24 12:07:00,60.8,61.98,60.25,61.28,15713,,,,,,,,,,,,
2008-07-28 12:07:00,60.0,64.0,60.0,61.15,1779,,,,,,,,,,,,
2008-07-29 12:07:00,50.1,62.5,50.1,60.53,3130,,,,,,,,,,,,
2008-07-30 12:07:00,60.0,62.25,60.0,61.48,1890,,,,,,,,,,,,
2008-07-31 12:07:00,61.0,62.33,61.0,62.23,27848,,,,,,,,,,,,
2008-08-01 12:08:00,61.15,62.6,61.13,62.5,908,,,,,,,,,,,,
2008-08-04 12:08:00,60.65,63.0,60.65,62.48,2020,,,,,,,,,,,,
2008-08-05 12:08:00,63.0,67.93,62.0,66.95,11330,,,,,,,,,,,,
2008-08-06 12:08:00,67.5,68.5,65.0,65.18,2803,68.44996958703032,,,,,,,,,,,
2008-08-07 12:08:00,65.0,67.5,65.0,66.63,3767,72.936532528453,,,,,,,,,,,
2008-08-08 12:08:00,66.0,66.5,65.0,65.43,1844,64.7323840462926,,,,,,,,,,,
2008-08-11 12:08:00,66.7,71.2,65.7,68.63,8077,73.34328274742356,,,,,,,,,,,
2008-08-12 12:08:00,56.55,67.6,56.55,66.98,2041,64.58670948511401,,,,,,,,,,,
2008-08-13 12:08:00,65.95,67.5,65.2,65.53,3397,58.029875045184184,,,,,,,,,,,
2008-08-14 12:08:00,65.08,66.5,63.78,66.4,5555,60.61352742171602,,,,,,,,,,,
2008-08-18 12:08:00,66.5,67.0,64.98,65.1,41139,55.150286258520175,,,,,,,,,,,
2008-08-19 12:08:00,59.9,66.2,59.9,66.03,9239,58.062402083819286,,,,,,,,,,,
2008-08-20 12:08:00,65.05,66.0,65.0,65.03,996,54.00207385703538,,,,,,,,,,,
2008-08-21 12:08:00,65.0,66.38,65.0,65.03,1366,54.00207385703538,,,,,,,,,,,
2008-08-25 12:08:00,51.85,65.5,51.85,64.23,4787,50.71178238253722,,,,,,,,,,,
2008-08-26 12:08:00,62.9,64.5,62.9,63.78,6262,48.90669007556662,,,,,,,,,,,
2008-08-27 12:08:00,52.6,66.2,52.6,64.28,787,50.99397709744354,,,,,,,,,,,
2008-08-28 12:08:00,60.55,64.68,60.55,64.03,3038,49.896382692664616,,,,,,,,,,,
2008-08-29 12:08:00,58.95,65.0,58.95,64.73,2957,52.950070873478445,,,,,,,,,,,
2008-09-01 12:09:00,62.25,64.35,62.25,63.95,3412,49.34139189903795,,,,,,,,,,,
2008-09-02 12:09:00,56.05,65.2,56.05,64.98,4529,53.81736734334955,,,,,,,,,,,
2008-09-04 12:09:00,60.6,65.5,60.6,65.33,1447,55.26383490238835,,,,,,,,,,,
2008-09-05 12:09:00,61.13,66.0,61.13,65.6,3059,56.39835778949543,,,,,,,,,,,
2008-09-08 12:09:00,62.5,65.38,62.5,65.0,9286,53.17131951358391,,,,,,,,,,,
2008-09-09 12:09:00,60.0,67.0,60.0,65.73,3564,56.43726610660626,,,,,,,,,,,
2008-09-10 12:09:00,62.05,65.93,62.05,65.0,4950,52.49454534346722,,,,,,,,,,,
2008-09-11 12:09:00,65.0,65.15,65.0,65.08,4292,52.883016998879164,,,,,,,,,,,
2008-09-12 12:09:00,60.0,65.75,60.0,65.25,14939,53.74855234048449,,,,,,,,,,,
2008-09-15 12:09:00,55.0,66.5,55.0,65.03,27479,52.40685706740241,,,,,,,,,,,
2008-09-18 12:09:00,55.05,61.48,55.05,60.88,6362,34.773213864706605,,,,,,,,,,,
2008-09-19 12:09:00,60.05,62.25,59.5,60.68,3420,34.17638929403698,,,,,,,,,,,
2008-09-22 12:09:00,58.75,61.08,57.78,60.13,7697,32.523236493917224,,,,,,,,,,,
2008-09-23 12:09:00,55.5,60.5,55.5,59.13,3444,29.709377295766785,,,,,,,,,,,
2008-09-24 12:09:00,55.7,64.5,55.7,62.2,9738,45.343499027724384,,,,,,,,,,,
2008-09-25 12:09:00,56.6,62.48,56.6,61.3,602,42.368364453036634,,,,,,,,,,,
2008-09-26 12:09:00,57.65,61.5,57.65,60.03,1697,38.52686198372041,,,,,,,,,,,
2008-09-29 12:09:00,56.4,59.95,56.4,58.28,46756,33.95788415166632,,,,,,,,,,,
2008-09-30 12:09:00,57.5,59.7,57.5,59.18,7227,38.02829285135343,,,,,,,,,,,
2008-10-01 12:10:00,58.5,59.5,58.5,59.18,1984,38.02829285135342,,,,,,,,,,,
2008-10-06 12:10:00,57.5,58.95,57.5,57.9,5871,34.51905530144671,62.409607999696355,,,,,,,,,,
2008-10-07 12:10:00,59.5,59.5,57.5,58.18,16205,35.91225594834907,62.243741019316104,,,,,,,,,,
2008-10-08 12:10:00,56.0,58.93,56.0,57.83,24074,34.91232010028415,62.07065313620567,,,,,,,,,,
2008-10-10 12:10:00,47.53,52.55,46.33,48.03,65620,18.978217985994164,61.520039287727016,,,,,,,,,,
2008-10-13 12:10:00,48.03,52.5,48.03,51.85,24419,32.00526904787283,61.14082206075733,,,,,,,,,,
2008-10-14 12:10:00,52.5,54.25,52.5,52.93,1011,35.17854733356067,60.81882903876685,,,,,,,,,,
2008-10-15 12:10:00,52.0,53.4,51.85,52.68,2604,34.773982372348286,60.4996592725407,,,,,,,,,,
2008-10-16 12:10:00,43.55,52.25,43.55,50.7,10844,31.66772722897666,60.115358908911645,,,,,,,,,,
2008-10-17 12:10:00,47.0,51.95,47.0,48.95,16776,29.186206600660228,59.677501696797464,,,,,,,,,,
2008-10-20 12:10:00,45.05,51.0,45.05,49.95,17681,32.443914247339634,59.2960310420211,,,19.71449981072368,,,,,,,
2008-10-21 12:10:00,45.03,50.85,45.03,50.33,3619,33.69223705049721,58.94442198154969,,,19.71449981072368,,,,,,,
2008-10-22 12:10:00,47.0,51.98,47.0,51.18,275235,36.51798325743976,58.63993484501833,,,19.71449981072368,,,,,,,
2008-10-23 12:10:00,47.65,51.43,47.65,49.6,3305,33.64756452034561,58.28542759619408,,,19.71449981072368,,,,,,,
