datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,75.3,75.3,72.05,73.25,17080,,,,,,,,,,,,
2008-07-18 12:07:00,73.3,76.0,73.0,75.15,36107,,,,,,,,,,,,
2008-07-21 12:07:00,74.5,75.65,73.1,74.5,38904,,,,,,,,,,,,
2008-07-22 12:07:00,71.1,77.2,71.1,74.3,82832,,,,,,,,,,,,
2008-07-23 12:07:00,76.0,79.9,75.05,77.75,120163,,,,,,,,,,,,
2008-07-24 12:07:00,77.0,79.7,76.3,76.9,56012,,,,,,,,,,,,
2008-07-28 12:07:00,74.8,75.0,71.1,72.45,94423,,,,,,,,,,,,
2008-07-29 12:07:00,72.5,73.85,70.05,70.6,68090,,,,,,,,,,,,
2008-07-30 12:07:00,73.0,74.5,70.0,70.9,84788,,,,,,,,,,,,
2008-07-31 12:07:00,71.0,72.75,70.5,70.75,35414,,,,,,,,,,,,
2008-08-01 12:08:00,70.75,74.25,69.5,73.85,106263,,,,,,,,,,,,
2008-08-04 12:08:00,70.1,76.0,70.1,75.1,46484,,,,,,,,,,,,
2008-08-05 12:08:00,74.0,80.4,74.0,77.85,162610,,,,,,,,,,,,
2008-08-06 12:08:00,78.15,80.75,77.2,78.2,81341,65.77205904705917,,,,,,,,,,,
2008-08-07 12:08:00,79.0,80.0,77.2,77.8,48067,63.81160069220938,,,,,,,,,,,
2008-08-08 12:08:00,77.5,82.4,77.5,79.95,181641,69.13663709110939,,,,,,,,,,,
2008-08-11 12:08:00,82.0,86.8,80.55,83.4,339597,75.3936347417789,,,,,,,,,,,
2008-08-12 12:08:00,82.0,86.25,82.0,83.3,155786,74.91952014999302,,,,,,,,,,,
2008-08-13 12:08:00,83.0,84.9,82.0,82.45,89513,70.84158318848259,,,,,,,,,,,
2008-08-14 12:08:00,81.0,83.0,79.0,79.45,53578,58.697791832011994,,,,,,,,,,,
2008-08-18 12:08:00,79.0,79.4,77.0,77.85,32630,53.43655444898039,,,,,,,,,,,
2008-08-19 12:08:00,76.0,77.5,75.4,76.2,32054,48.598835424478445,,,,,,,,,,,
2008-08-20 12:08:00,76.0,81.65,76.0,79.75,99864,57.51141726034992,,,,,,,,,,,
2008-08-21 12:08:00,79.05,79.6,75.35,75.8,53822,47.61783359398625,,,,,,,,,,,
2008-08-25 12:08:00,75.6,78.95,75.6,76.2,27121,48.58245844786185,,,,,,,,,,,
2008-08-26 12:08:00,75.1,76.5,75.05,75.6,29351,47.17899966612269,,,,,,,,,,,
2008-08-27 12:08:00,75.05,76.5,74.5,74.95,35226,45.640774303722495,,,,,,,,,,,
2008-08-28 12:08:00,74.5,75.75,74.05,75.05,53290,45.93283703873496,,,,,,,,,,,
2008-08-29 12:08:00,75.15,76.75,75.05,75.4,26294,47.006040302475654,,,,,,,,,,,
2008-09-01 12:09:00,75.0,76.0,73.8,74.05,42873,43.4255375361816,,,,,,,,,,,
2008-09-02 12:09:00,75.0,78.45,74.1,77.6,174505,53.46383771169716,,,,,,,,,,,
2008-09-04 12:09:00,77.0,77.85,74.8,75.55,194972,48.1506838478146,,,,,,,,,,,
2008-09-05 12:09:00,76.45,82.8,76.0,76.65,800091,50.966526788032375,,,,,,,,,,,
2008-09-08 12:09:00,77.2,79.0,75.0,75.1,186270,47.086080868623284,,,,,,,,,,,
2008-09-09 12:09:00,74.05,77.0,74.05,74.95,122442,46.71539937296005,,,,,,,,,,,
2008-09-10 12:09:00,74.0,75.65,72.0,72.9,99010,41.86470728985145,,,,,,,,,,,
2008-09-11 12:09:00,72.0,73.95,71.9,72.15,65441,40.21931158478852,,,,,,,,,,,
2008-09-12 12:09:00,72.35,74.5,71.5,71.85,49296,39.5497193917036,,,,,,,,,,,
2008-09-15 12:09:00,70.0,70.95,66.8,67.8,68232,31.842448041593784,,,,,,,,,,,
2008-09-18 12:09:00,65.0,67.75,61.3,64.2,69480,26.836218844957443,,,,,,,,,,,
2008-09-19 12:09:00,69.0,69.0,64.05,65.9,60447,32.25281709120358,,,,,,,,,,,
2008-09-22 12:09:00,66.25,67.75,65.5,66.05,34314,32.72608191486552,,,,,,,,,,,
2008-09-23 12:09:00,63.1,67.0,63.1,64.7,57896,30.650778111818937,,,,,,,,,,,
2008-09-24 12:09:00,63.2,65.75,63.2,64.3,20359,30.042867180560094,,,,,,,,,,,
2008-09-25 12:09:00,63.2,65.4,63.2,64.85,33459,32.03880423898313,,,,,,,,,,,
2008-09-26 12:09:00,64.0,65.0,62.5,63.3,39144,29.485638170929278,,,,,,,,,,,
2008-09-29 12:09:00,64.0,64.0,58.55,60.0,51038,24.930507769284247,,,,,,,,,,,
2008-09-30 12:09:00,58.0,60.9,56.1,58.95,55894,23.67713713706769,,,,,,,,,,,
2008-10-01 12:10:00,58.0,60.85,58.0,59.4,20247,25.40794500434373,,,,,,,,,,,
2008-10-06 12:10:00,54.0,59.0,54.0,55.75,69674,21.207068766732675,70.37783217063904,,,,,,,,,,
2008-10-07 12:10:00,55.9,58.1,51.5,52.3,50633,18.152091804527515,69.66889757571201,,,,,,,,,,
2008-10-08 12:10:00,51.5,52.0,47.55,50.85,47787,17.04098554679024,68.93090159235076,,,,,,,,,,
2008-10-10 12:10:00,49.0,49.45,43.55,47.4,24063,14.730596927922832,68.08655251029779,,,,,,,,,,
2008-10-13 12:10:00,46.0,52.5,46.0,51.95,38604,28.49888988058892,67.4537465295018,,,,,,,,,,
2008-10-14 12:10:00,53.0,62.3,52.1,53.0,189018,31.257405091405417,66.88693294010957,,,,,,,,,,
2008-10-15 12:10:00,50.6,53.0,49.0,49.5,23600,27.45508388270433,66.2050924326543,,,,,,,,,,
2008-10-16 12:10:00,49.0,49.0,44.25,46.9,61169,25.020208227216926,65.44802998431491,,,,,,,,,,
2008-10-17 12:10:00,45.9,51.15,45.15,46.35,38870,24.524721392213507,64.69908763198885,,,,,,,,,,
2008-10-20 12:10:00,44.05,47.9,44.05,44.75,361986,23.0920528672317,63.91677046995007,,,13.152516043331147,,,,,,,
2008-10-21 12:10:00,45.05,47.3,43.75,44.4,105904,22.778579235896515,63.1514069221089,,,13.152516043331147,,,,,,,
2008-10-22 12:10:00,42.05,44.95,42.05,43.4,22321,21.865285935478397,62.37684194477129,,,13.152516043331147,,,,,,,
2008-10-23 12:10:00,43.1,48.7,41.55,44.45,27138,25.254079520867535,61.67382853517242,,,13.152516043331147,,,,,,,
2008-10-24 12:10:00,42.05,42.95,37.0,37.9,73446,19.55610874944618,60.74152153379311,,,13.152516043331147,,,,,,,
2008-10-27 12:10:00,34.05,39.5,34.05,37.65,35420,19.376409866269128,59.835971669722795,,,10.353744390250682,,,,,,,
2008-10-28 12:10:00,38.55,40.9,38.55,39.75,11735,25.563847318938713,59.048286506204256,,,10.353744390250682,,,,,,,
2008-10-31 12:10:00,37.0,41.8,37.0,39.9,28560,26.000697942418697,58.29737330988252,,,10.353744390250682,,,,,,,
2008-11-03 12:11:00,40.55,43.0,40.05,42.3,37668,32.796569338506444,57.670025336945955,,,14.965958068016405,,,,,,,
2008-11-04 12:11:00,41.1,43.85,41.1,42.9,31201,34.41810382468796,57.09080865706572,,,14.965958068016405,,,,,,,
2008-11-05 12:11:00,43.5,46.5,41.55,42.15,41029,33.33533856674387,56.504894592082756,,,14.965958068016405,,,,,,,
2008-11-06 12:11:00,38.05,42.5,38.05,39.55,40815,29.83167946282589,55.839996764942256,,,14.965958068016405,,,,,,,
2008-11-07 12:11:00,38.5,40.75,38.5,39.75,38479,30.437347200128883,55.20901649965041,,,14.965958068016405,,,,,,,
2008-11-10 12:11:00,40.0,41.5,39.6,39.95,45603,31.07801927066845,54.610623695742554,,,14.904024405288652,,,,,,,
2008-11-11 12:11:00,40.0,40.0,39.15,39.35,28178,30.180001659965114,54.01216786453697,,,14.904024405288652,,,,,,,
2008-11-12 12:11:00,38.0,39.5,38.0,38.55,14800,28.977685627196976,53.40580834043749,,,14.904024405288652,,,,,,,
2008-11-14 12:11:00,39.25,40.0,38.0,38.25,46659,28.518860182491906,52.811462915322295,,,14.904024405288652,,,,,,,
2008-11-17 12:11:00,38.25,38.95,37.0,37.2,14802,26.912682757979724,52.19924868334888,,,14.268145450139173,,,,,,,
2008-11-18 12:11:00,37.0,37.2,35.5,35.9,1348427,25.03288553558629,51.56006246047245,,,14.268145450139173,,,,,,,
2008-11-19 12:11:00,36.0,36.0,34.6,34.95,27620,23.728547660869978,50.90868746202255,,,14.268145450139173,,,,,,,
2008-11-20 12:11:00,33.5,35.1,33.4,34.25,38465,22.7864103067611,50.255405600766764,,,14.268145450139173,,,,,,,
2008-11-21 12:11:00,30.0,36.0,30.0,35.2,27417,27.021367598203867,49.6649975379916,,,14.268145450139173,,,,,,,
2008-11-24 12:11:00,35.6,38.5,34.45,36.9,72178,33.997659255343535,49.164409399246836,,,13.0490362720072,,,,,,,
2008-11-25 12:11:00,36.55,39.55,36.55,38.3,47617,39.15600478087346,48.73835412868814,,,13.0490362720072,,,,,,,
2008-11-26 12:11:00,37.35,38.0,36.55,36.9,17612,36.116250804674685,48.274104947170954,,,13.0490362720072,,,,,,,
2008-11-28 12:11:00,33.5,37.95,33.5,36.4,8552,35.069141897989354,47.8084537727721,,,13.0490362720072,,,,,,,
2008-12-01 12:12:00,36.05,37.85,35.55,36.0,13334,34.21451942624495,47.34537715423202,,,16.086917822353627,,,,,,,
2008-12-02 12:12:00,34.5,35.95,34.15,35.15,9420,32.407202446863565,46.86712706975233,,,16.086917822353627,,,,,,,
2008-12-03 12:12:00,34.5,36.0,34.5,35.45,7145,33.73758985312493,46.41939659642871,,,16.086917822353627,,,,,,,
2008-12-04 12:12:00,37.0,37.5,35.2,36.65,12831,38.9165870166301,46.0362830044119,,,16.086917822353627,,,,,,,
2008-12-05 12:12:00,36.6,37.9,36.1,36.7,18776,39.13006579985995,45.670154259140844,,,16.086917822353627,,,,,,,
2008-12-08 12:12:00,38.0,41.5,33.5,34.85,70492,34.346997235355246,45.24583448427258,,,16.86887823898391,,,,,,,
2008-12-10 12:12:00,33.2,35.95,33.2,35.65,20611,37.882975712845756,44.86952724959522,,,16.86887823898391,,,,,,,
2008-12-11 12:12:00,35.5,36.0,35.15,35.9,11946,38.988832929476374,44.51778108294443,,,16.86887823898391,,,,,,,
2008-12-12 12:12:00,35.0,36.0,34.45,36.0,35935,39.45316060075904,44.18375045224073,,,16.86887823898391,,,,,,,
2008-12-15 12:12:00,35.5,37.3,35.5,36.5,159305,41.8366822060231,43.882426905094036,,,16.482910969452334,,,,,,,
2008-12-16 12:12:00,36.1,41.0,36.1,39.15,90126,52.5078108843223,43.69684153626682,,,16.482910969452334,,,,,,,
2008-12-17 12:12:00,39.0,43.4,39.0,39.3,147752,53.033081756036985,43.524416377981844,,,16.482910969452334,,,,,,,
2008-12-18 12:12:00,39.95,41.85,38.5,39.9,46371,55.16899814765528,43.38228240237471,,,16.482910969452334,,,,,,,
2008-12-19 12:12:00,40.2,41.1,38.5,40.0,31597,55.53197046354813,43.249643876791396,,,16.482910969452334,,,,,,,
2008-12-22 12:12:00,40.0,41.75,39.9,40.65,64424,57.91703133132393,43.1476970580937,,,26.790942213074615,,,,,,,
2008-12-23 12:12:00,39.1,40.7,39.1,39.65,25083,53.1903556705528,43.01053246758022,51.428399763733665,,26.790942213074615,,,,,,,
2008-12-24 12:12:00,39.05,40.3,39.0,39.55,19633,52.72694418318341,42.87482531198884,51.19318392682805,,26.790942213074615,,,,,,,
2008-12-26 12:12:00,37.5,40.2,37.5,38.45,93597,47.79422190010623,42.70130275073438,50.94084365104927,,26.790942213074615,,,,,,,
2008-12-29 12:12:00,38.0,39.0,37.1,37.35,20835,43.41974603356627,42.49144774090166,50.67171803419681,,25.478642445436705,,,,,,,
2008-12-30 12:12:00,38.0,38.75,37.15,37.8,15917,45.612812247428344,42.307469398121206,50.416832528569145,,25.478642445436705,,,,,,,
2009-01-01 12:01:00,38.45,40.0,38.15,39.75,15078,53.94356022058229,42.20717648054783,50.20560812206283,,25.478642445436705,,,,,,,
2009-01-02 12:01:00,38.6,40.5,38.6,39.4,52899,52.392340527039245,42.097091128369485,49.991635684002176,,25.478642445436705,,,,,,,
2009-01-05 12:01:00,40.8,40.8,39.55,40.35,30578,56.083804683758515,42.028577750786376,49.80071220511105,,27.812548468472244,,,,,,,
2009-01-06 12:01:00,40.0,44.5,40.0,41.85,118020,61.19957091182037,42.02157470173593,49.643272359465286,,27.812548468472244,,,,,,,
2009-01-07 12:01:00,42.05,43.0,37.0,37.95,70820,46.147606188438886,41.86190510558943,49.411722411753104,,27.812548468472244,,,,,,,
2009-01-09 12:01:00,34.2,38.0,34.2,36.8,41723,42.80448580358561,41.6633990230173,49.161985334292645,,27.812548468472244,,,,,,,
2009-01-13 12:01:00,36.0,37.2,36.0,36.65,20693,42.373291376328865,41.46679513976172,48.91422324846506,,25.462196524460424,,,,,,,
2009-01-14 12:01:00,37.0,37.4,36.4,37.05,18363,43.99351727521528,41.29358748722205,48.67928813463407,,25.462196524460424,,,,,,,
2009-01-15 12:01:00,36.0,36.7,36.0,36.55,13388,42.38915938242095,41.10756444850745,48.439104211175966,,25.462196524460424,,,,,,,
2009-01-16 12:01:00,38.25,38.25,36.0,36.2,44117,41.255005604271204,40.91511094072285,48.19674571194476,,25.462196524460424,,,,,,,
2009-01-19 12:01:00,37.0,37.3,36.0,36.85,7494,44.238867516221006,40.75569482540038,47.972057678044855,,24.93844645333914,,,,,,,
2009-01-20 12:01:00,37.0,37.3,36.15,36.9,9818,44.47251290009827,40.60449110675723,47.75280901115288,,24.93844645333914,,,,,,,
2009-01-21 12:01:00,36.7,39.0,36.3,36.65,16551,43.4912570304909,40.449413024139304,47.53295140697163,,24.93844645333914,,,,,,,
2009-01-22 12:01:00,37.05,37.05,35.7,36.0,43613,40.960700714694724,40.27492623887894,47.30457613158605,,24.93844645333914,,,,,,,
2009-01-23 12:01:00,36.0,36.6,35.0,35.3,15165,38.37135215191896,40.079831092256235,47.06686175274277,,24.93844645333914,,,,,,,
2009-01-27 12:01:00,36.65,36.65,34.65,35.45,14226,39.25747489510046,39.898269088638344,46.83682488635182,,24.136440852541952,,,,,,,
2009-01-28 12:01:00,37.0,37.0,35.2,35.55,11595,39.87811135237829,39.72774873222115,46.61332340345376,,24.136440852541952,,,,,,,
2009-01-29 12:01:00,36.85,36.85,35.15,35.25,9844,38.60378612630469,39.55215074272228,46.38830709843487,,24.136440852541952,,,,,,,
2009-01-30 12:01:00,35.3,37.9,33.5,36.3,61952,45.203854525128904,39.42461541947827,46.18853864104012,,24.136440852541952,,,,,,,
2009-02-02 12:02:00,37.0,37.65,35.55,35.75,5281,42.61938116889976,39.280512854008535,45.981834905573976,,26.94759523258739,,,,,,,
2009-02-03 12:02:00,35.0,36.85,35.0,35.75,3378,42.61938116889976,39.14206136953761,45.77922431338439,,26.94759523258739,,,,,,,
2009-02-04 12:02:00,33.5,36.5,33.5,35.5,5657,41.37241645470658,38.99923543347731,45.57567531707974,,26.94759523258739,,,,,,,
2009-02-05 12:02:00,34.1,36.95,34.1,34.75,8049,37.799378556166054,38.83259874981153,45.361305508820735,,26.94759523258739,,,,,,,
2009-02-09 12:02:00,36.0,36.0,35.0,35.35,5584,42.1069070402456,38.69602624981892,45.16306183537874,,25.377872065961668,,,,,,,
2009-02-10 12:02:00,36.0,36.45,35.2,35.5,4252,43.16655620220938,38.570691887080926,44.97171407626233,,25.377872065961668,,,,,,,
2009-02-11 12:02:00,34.55,36.25,34.55,35.85,8681,45.66558802494001,38.463998087587555,44.79108607475218,,25.377872065961668,,,,,,,
2009-02-12 12:02:00,36.45,39.8,35.05,38.15,87637,58.5606905277147,38.45168443709393,44.65957941980659,,25.377872065961668,,,,,,,
2009-02-13 12:02:00,38.5,39.7,37.05,37.4,30606,54.05555108921875,38.410441910149075,44.51582537188963,,25.377872065961668,,,,,,,
2009-02-16 12:02:00,38.9,38.9,36.3,36.75,9613,50.4342518946057,38.34532654112362,44.36204665165419,,32.60595963231009,,,,,,,
2009-02-17 12:02:00,37.0,37.0,35.15,35.5,10400,44.2894767185658,38.23374510813838,44.1865605793442,,32.60595963231009,,,,,,,
2009-02-18 12:02:00,34.05,36.0,34.05,35.5,7024,44.2894767185658,38.12653941762315,44.01454947876313,,32.60595963231009,,,,,,,
2009-02-20 12:02:00,33.05,35.5,33.05,34.25,4833,38.806081238969355,37.97451826399087,43.821192063342075,,32.60595963231009,,,,,,,
2009-02-24 12:02:00,32.15,34.3,32.15,33.85,19514,37.2181262536906,37.812772449716725,43.62374271555312,,29.008982806097762,,,,,,,
2009-02-25 12:02:00,35.45,35.45,33.5,34.15,7653,39.22674200643699,37.66913431443371,43.4361438498986,,29.008982806097762,,,,,,,
2009-02-26 12:02:00,33.1,34.9,33.1,33.8,7714,37.71087643247441,37.51740355700494,43.24532912019763,,29.008982806097762,,,,,,,
2009-02-27 12:02:00,34.0,34.45,33.0,33.6,7759,36.83491544821896,37.36377988810279,43.0543325039561,,29.008982806097762,,,,,,,
2009-03-02 12:03:00,32.5,36.5,32.5,34.7,29249,44.474318247269274,37.259317931706605,42.88890017714508,,28.31485025851002,,,,,,,
2009-03-03 12:03:00,33.1,34.45,32.65,33.0,13070,37.02211811887112,37.092285855953406,42.69308037165706,,28.31485025851002,,,,,,,
2009-03-04 12:03:00,33.0,34.8,32.55,32.7,6745,35.87955736254264,36.92003935179837,42.49519759202029,,28.31485025851002,,,,,,,
2009-03-05 12:03:00,32.05,33.95,32.05,32.15,9349,33.81890960790767,36.73297898506118,42.290342194158505,,28.31485025851002,,,,,,,
2009-03-06 12:03:00,31.0,32.0,31.0,31.8,12460,32.538229568383244,36.53952882878428,42.082612645759326,,28.31485025851002,,,,,,,
2009-03-09 12:03:00,31.45,32.0,31.25,31.8,4561,32.538229568383244,36.35366495314568,41.8789965537641,,26.428889487574153,,,,,,,
2009-03-12 12:03:00,31.1,33.25,31.1,32.4,21941,37.26175217268725,36.1986192687086,41.69129365170936,,26.428889487574153,,,,,,,
2009-03-13 12:03:00,32.75,34.15,31.75,33.0,27874,41.66075038709776,36.07318321895532,41.519188826923035,,26.428889487574153,,,,,,,
2009-03-16 12:03:00,33.1,34.3,32.7,33.9,30000,47.59627980500572,35.98796034762374,41.36831380064733,,29.78651561506946,,,,,,,
2009-03-17 12:03:00,32.1,35.1,32.1,34.7,34327,52.24710961707799,35.93745209869732,41.23626798281273,,29.78651561506946,,,,,,,
2009-03-18 12:03:00,33.4,36.0,33.4,34.95,25141,53.632018571978406,35.8987284869837,41.111787428697625,,29.78651561506946,,,,,,,
2009-03-19 12:03:00,35.2,36.7,34.05,35.95,37323,58.781446470860025,35.900739134552964,41.009573816248164,,29.78651561506946,,,,,,,
2009-03-20 12:03:00,35.2,36.0,34.5,35.0,8858,52.78418602920654,35.86541603123717,40.89057235454028,,29.78651561506946,,,,,,,
2009-03-23 12:03:00,34.5,36.75,34.5,36.3,27447,58.9554308038247,35.8824585398161,40.799669931678096,,35.10253086056193,,,,,,,
2009-03-24 12:03:00,37.45,37.45,34.1,34.9,49578,51.195056253861274,35.84393075394096,40.682844784516156,,35.10253086056193,,,,,,,
2009-03-25 12:03:00,34.4,36.0,34.4,34.9,30752,51.195056253861274,35.806913861629546,40.568333006604945,,35.10253086056193,,,,,,,
2009-03-26 12:03:00,34.2,35.85,33.25,34.1,374577,47.087393026386636,35.73997606313427,40.44024720449396,,35.10253086056193,,,,,,,
2009-03-27 12:03:00,33.05,35.0,32.85,33.4,163070,43.777524510308446,35.64821229595254,40.3008363687614,,35.10253086056193,,,,,,,
2009-03-30 12:03:00,33.1,35.0,33.1,34.3,45320,48.76417554147613,35.59534122552303,40.18200792581563,,32.953038861246625,,,,,,,
2009-03-31 12:03:00,34.75,35.45,33.7,34.9,43321,51.831472392997334,35.56807294216919,40.07741370946285,,32.953038861246625,,,,,,,
2009-04-01 12:04:00,35.2,37.8,35.05,37.1,132372,61.04114819509451,35.62814851306452,40.01845502214675,,32.953038861246625,,,,,,,
2009-04-02 12:04:00,38.9,41.9,38.15,40.0,114159,69.35798669948235,35.79959366941493,40.018089576163646,,32.953038861246625,,,,,,,
2009-04-06 12:04:00,41.6,44.95,40.7,42.35,81533,74.17003973696784,36.05647234904572,40.06426602020001,,47.29108869239365,,,,,,,
2009-04-08 12:04:00,41.5,46.9,39.0,45.8,188641,79.30762805833604,36.43857147261256,40.177844910889114,,47.29108869239365,,,,,,,
2009-04-09 12:04:00,46.9,47.0,45.15,45.5,69003,77.8574458969013,36.793921610941474,40.28323412057448,,47.29108869239365,,,,,,,
2009-04-13 12:04:00,46.4,49.4,45.65,47.95,79900,80.92505735493636,37.23141488110063,40.43505126670171,,55.77805149565629,,,,,,,
2009-04-15 12:04:00,46.0,50.9,45.25,48.8,128694,81.86382036785152,37.68508488576335,40.600693815875935,,55.77805149565629,,,,,,,
2009-04-16 12:04:00,49.9,49.9,42.4,43.55,124053,61.674439474036966,37.91508155690989,40.65909591853186,,55.77805149565629,,,,,,,
2009-04-17 12:04:00,43.4,45.0,42.55,43.75,101619,62.05832598961111,38.14390188801146,40.72030193994707,,55.77805149565629,,,,,,,
2009-04-20 12:04:00,43.9,45.6,42.2,44.5,68716,63.533438374880184,38.39316063750121,40.79514744608674,,52.86151190842685,,,,,,,
2009-04-21 12:04:00,43.4,46.0,43.1,45.4,43436,65.27797310456145,38.66793865171685,40.88633264517413,,52.86151190842685,,,,,,,
2009-04-22 12:04:00,43.3,47.0,43.3,44.35,37445,61.576848276894665,38.89076458694365,40.95492011754692,,52.86151190842685,,,,,,,
2009-04-23 12:04:00,44.7,47.25,43.05,46.8,59054,66.36839892730721,39.20093068157331,41.070664273635096,,52.86151190842685,,,,,,,
2009-04-24 12:04:00,46.9,48.5,46.25,47.05,68944,66.82304994163269,39.50873732151161,41.18906696128588,,52.86151190842685,,,,,,,
2009-04-27 12:04:00,47.8,49.4,47.0,48.5,57975,69.40634856573865,39.86133585792292,41.33383791254755,,57.3864517421514,,,,,,,
2009-04-28 12:04:00,48.85,49.0,47.35,48.0,32780,67.45585513794798,40.18049915761222,41.465841122200075,,57.3864517421514,,,,,,,
2009-05-04 12:05:00,56.0,58.3,54.4,57.5,527961,79.33732417830795,40.85969526907841,41.78334921879017,,58.61797673325834,,,,,,,
2009-05-05 12:05:00,59.5,59.5,56.05,57.3,128024,78.68601692908582,41.50441310166357,42.09060963029927,,58.61797673325834,,,,,,,
2009-05-06 12:05:00,57.0,59.15,55.05,55.5,112282,72.88661341100213,42.053259646696375,42.3561421128676,,58.61797673325834,,,,,,,
2009-05-07 12:05:00,56.0,58.4,55.55,57.15,66311,74.7255375581912,42.64528868015926,42.64908979380092,,58.61797673325834,,,,,,,
2009-05-08 12:05:00,58.85,58.85,56.05,56.45,71284,72.47961535644372,43.18664990838831,42.92237514441872,,58.61797673325834,,,,,,,
2009-05-11 12:05:00,56.45,58.95,54.15,54.25,26662,65.78729091389842,43.620506774726024,43.14668454749954,,67.59003168958583,,,,,,,
2009-05-12 12:05:00,52.5,55.95,52.5,54.7,32575,66.4692816592563,44.05499670512893,43.37546307131143,,67.59003168958583,,,,,,,
2009-05-13 12:05:00,57.0,64.8,54.1,55.95,162896,68.35623577325035,44.52146742257486,43.624463802572585,,67.59003168958583,,,,,,,
2009-05-14 12:05:00,54.05,58.0,54.05,57.1,51340,70.02738644088302,45.014743209924866,43.89130610351174,,67.59003168958583,,,,,,,
2009-05-15 12:05:00,57.0,58.6,57.0,57.75,37227,70.96087956701848,45.514165044829774,44.16573568562042,,67.59003168958583,,,,,,,
2009-05-18 12:05:00,62.0,62.0,62.0,62.0,50,76.18385746075619,46.16066837640508,44.51888943442001,,68.71386886137842,,,,,,,
2009-05-19 12:05:00,63.0,66.0,52.95,60.3,145678,70.70570796582143,46.71515196948724,44.83138667334239,,68.71386886137842,,,,,,,
2009-05-20 12:05:00,61.5,66.3,61.0,65.2,187722,76.05118826099552,47.440047970683814,45.23472555109798,,68.71386886137842,,,,,,,
2009-05-21 12:05:00,66.0,78.25,66.0,72.4,283923,81.41705006019686,48.41886961889229,45.77265177780891,,68.71386886137842,,,,,,,
2009-05-22 12:05:00,73.0,81.0,71.5,78.9,385136,84.74095383988403,49.614208065210235,46.42863887131764,,68.71386886137842,,,,,,,
2009-05-25 12:05:00,81.0,89.1,79.25,87.55,207773,87.85439335031676,51.10188618030003,47.24292325010343,,80.53791056753815,,,,,,,
2009-05-26 12:05:00,90.0,93.9,83.0,84.9,500884,82.31327559027648,52.42730240852356,47.98860793822019,,80.53791056753815,,,,,,,
2009-05-27 12:05:00,88.0,89.9,86.0,87.35,171555,83.35832273924811,53.796819961130474,48.76804144439404,,80.53791056753815,,,,,,,
2009-05-28 12:05:00,88.0,91.0,87.0,90.1,154609,84.46769112914495,55.22047408030183,49.58649606925752,,80.53791056753815,,,,,,,
2009-05-29 12:05:00,90.0,94.65,87.1,90.35,84984,84.56840320721375,56.59810254774098,50.39369416689598,,80.53791056753815,,,,,,,
2009-06-01 12:06:00,90.0,94.0,90.0,93.25,79630,85.72471018290851,58.035431859594276,51.24233388636339,,84.05191583955583,,,,,,,
2009-06-02 12:06:00,94.0,94.0,88.6,88.6,52762,75.9035257600018,59.234042374904305,51.98208965098986,,84.05191583955583,,,,,,,
2009-06-03 12:06:00,89.0,91.3,84.3,88.1,73911,74.90972849179501,60.366040713143356,52.697295796514815,,84.05191583955583,,,,,,,
2009-06-04 12:06:00,87.0,90.0,85.1,86.1,85248,70.91037052027411,61.37521558713773,53.358735483712536,53.26854163571653,84.05191583955583,,,,,,,
2009-06-05 12:06:00,86.0,89.0,85.1,85.85,55443,70.4043753154155,62.3350110543088,54.00212686027269,53.592735251281546,84.05191583955583,,,,,,,
2009-06-08 12:06:00,85.55,88.4,82.0,83.45,35492,65.56733097700774,63.163049836492775,54.58525306105937,53.88982246271158,78.08471462265243,,,,,,,
2009-06-09 12:06:00,83.0,85.5,82.1,84.4,17443,66.54707267676652,63.99587141153228,55.17564408955324,54.193406318804,78.08471462265243,,,,,,,
2009-06-10 12:06:00,87.9,88.65,87.0,88.65,68352,70.580107684038,64.96269998362905,55.83850262243337,54.53625799722386,78.08471462265243,,,,,,,
2009-06-11 12:06:00,93.1,93.1,91.0,93.1,67250,74.10088496875218,66.06612351368281,56.57635405565251,54.919976823122134,78.08471462265243,,,,,,,
2009-06-12 12:06:00,97.75,97.8,91.0,96.4,135025,76.36021468865403,67.25568729745996,57.364941104055426,55.3327133721458,78.08471462265243,,,,,,,
2009-06-15 12:06:00,97.0,97.0,91.65,92.35,23145,68.46622034626681,68.23977799167722,58.057714547539476,55.70104458237321,81.41583773503041,,,,,,,
2009-06-16 12:06:00,92.0,96.0,90.5,94.95,78010,70.56965051044247,69.2872376782781,58.78825485352879,56.091581452200344,81.41583773503041,,,,,,,
2009-06-17 12:06:00,95.0,99.45,90.2,92.4,47236,65.92499318127841,70.19362051442407,59.4538339653401,56.452859248695866,81.41583773503041,,,,,,,
