datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,74.56,74.56,73.41,73.88,126086,,,,,,,,,,,,
2008-07-18 12:07:00,74.25,75.0,73.88,74.38,235557,,,,,,,,,,,,
2008-07-21 12:07:00,74.81,75.0,73.63,74.84,186962,,,,,,,,,,,,
2008-07-22 12:07:00,74.56,75.78,73.97,74.47,485453,,,,,,,,,,,,
2008-07-23 12:07:00,76.13,77.63,75.81,77.13,848287,,,,,,,,,,,,
2008-07-24 12:07:00,77.69,78.75,76.19,76.56,409899,,,,,,,,,,,,
2008-07-28 12:07:00,76.44,77.31,76.25,76.66,204616,,,,,,,,,,,,
2008-07-29 12:07:00,76.31,76.63,74.56,75.06,297934,,,,,,,,,,,,
2008-07-30 12:07:00,75.28,76.28,75.19,75.88,280089,,,,,,,,,,,,
2008-07-31 12:07:00,75.53,76.13,74.63,75.13,493576,,,,,,,,,,,,
2008-08-01 12:08:00,74.88,75.81,74.0,75.56,282370,,,,,,,,,,,,
2008-08-04 12:08:00,75.5,77.69,75.03,77.31,454357,,,,,,,,,,,,
2008-08-05 12:08:00,77.63,79.13,77.22,78.84,501768,,,,,,,,,,,,
2008-08-06 12:08:00,78.84,80.44,78.0,78.19,418426,67.55769389252262,,,,,,,,,,,
2008-08-07 12:08:00,77.75,78.84,77.75,78.06,129598,66.45000304865653,,,,,,,,,,,
2008-08-08 12:08:00,77.69,78.88,77.38,78.47,189147,68.21980818601227,,,,,,,,,,,
2008-08-11 12:08:00,78.94,79.5,78.84,79.0,212707,70.39396055041537,,,,,,,,,,,
2008-08-12 12:08:00,79.25,79.75,78.19,78.47,153335,65.56358561541111,,,,,,,,,,,
2008-08-13 12:08:00,78.31,79.09,78.0,78.44,134739,65.29048329287917,,,,,,,,,,,
2008-08-14 12:08:00,78.03,78.56,76.88,77.19,127435,55.00871847248539,,,,,,,,,,,
2008-08-18 12:08:00,77.38,77.38,76.22,76.88,109191,52.788511006199954,,,,,,,,,,,
2008-08-19 12:08:00,77.31,77.31,75.69,76.41,157744,49.524842913813174,,,,,,,,,,,
2008-08-20 12:08:00,77.06,77.13,76.0,76.38,205364,49.315259948712395,,,,,,,,,,,
2008-08-21 12:08:00,76.75,76.75,75.5,75.59,103247,44.03102423923316,,,,,,,,,,,
2008-08-25 12:08:00,76.38,76.72,75.5,75.84,70661,46.002853318697305,,,,,,,,,,,
2008-08-26 12:08:00,75.5,76.0,75.0,75.84,94632,46.00285331869731,,,,,,,,,,,
2008-08-27 12:08:00,76.13,76.13,75.28,75.44,96525,43.179965936442336,,,,,,,,,,,
2008-08-28 12:08:00,75.5,75.5,73.44,73.94,392967,34.60450654477896,,,,,,,,,,,
2008-08-29 12:08:00,74.78,75.81,74.41,75.5,225637,46.503685260386696,,,,,,,,,,,
2008-09-01 12:09:00,75.5,76.06,74.75,75.75,120907,48.132474126890145,,,,,,,,,,,
2008-09-02 12:09:00,76.06,77.44,76.06,76.94,506828,55.13479794847632,,,,,,,,,,,
2008-09-04 12:09:00,76.44,76.69,75.5,76.25,483003,50.84823365134691,,,,,,,,,,,
