datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,58.5,58.5,58.5,58.5,1,,,,,,,,,,,,
2008-07-18 12:07:00,65.0,65.0,59.5,60.0,400,,,,,,,,,,,,
2008-07-21 12:07:00,59.0,59.0,59.0,59.0,100,,,,,,,,,,,,
2008-07-22 12:07:00,59.0,66.85,59.0,59.08,232,,,,,,,,,,,,
2008-07-23 12:07:00,69.95,69.95,57.5,63.98,294,,,,,,,,,,,,
2008-07-24 12:07:00,67.45,67.45,60.0,60.55,113,,,,,,,,,,,,
2008-07-28 12:07:00,68.18,68.18,60.5,65.5,398,,,,,,,,,,,,
2008-07-29 12:07:00,67.0,67.5,62.5,67.05,1041,,,,,,,,,,,,
2008-07-30 12:07:00,67.25,67.25,60.88,64.98,150,,,,,,,,,,,,
2008-07-31 12:07:00,66.98,66.98,61.15,61.5,65,,,,,,,,,,,,
2008-08-01 12:08:00,66.0,67.0,60.5,66.0,152,,,,,,,,,,,,
2008-08-04 12:08:00,67.5,67.5,61.28,62.6,117,,,,,,,,,,,,
2008-08-05 12:08:00,63.75,63.75,60.5,63.5,160,,,,,,,,,,,,
2008-08-06 12:08:00,66.5,66.5,60.1,60.1,541,47.65203176369267,,,,,,,,,,,
2008-08-07 12:08:00,60.63,60.63,60.5,60.5,2500,48.56625875903826,,,,,,,,,,,
2008-08-08 12:08:00,64.85,64.85,64.5,64.5,202,56.708461533886044,,,,,,,,,,,
2008-08-11 12:08:00,62.5,65.0,60.6,64.85,30028,57.34475718244255,,,,,,,,,,,
2008-08-12 12:08:00,64.88,64.95,61.25,62.0,35155,50.79749504891037,,,,,,,,,,,
2008-08-13 12:08:00,62.5,64.65,62.5,64.5,35723,55.587650345015014,,,,,,,,,,,
2008-08-14 12:08:00,64.45,67.48,62.05,64.15,40918,54.78352258923593,,,,,,,,,,,
2008-08-18 12:08:00,67.5,72.5,66.0,68.33,43040,61.87655294333471,,,,,,,,,,,
2008-08-19 12:08:00,71.5,71.5,65.78,68.13,3040,61.38041401585951,,,,,,,,,,,
2008-08-20 12:08:00,67.0,69.48,67.0,69.48,290,63.507426964673336,,,,,,,,,,,
2008-08-21 12:08:00,69.0,69.0,69.0,69.0,2,62.19578404476847,,,,,,,,,,,
2008-08-26 12:08:00,67.95,67.95,67.43,67.43,20,57.97788148657483,,,,,,,,,,,
2008-08-27 12:08:00,63.0,63.0,62.88,62.88,100,47.85008940897434,,,,,,,,,,,
2008-08-28 12:08:00,66.0,66.0,63.25,65.45,271,52.85914967263385,,,,,,,,,,,
2008-08-29 12:08:00,65.0,65.0,62.75,62.75,240,47.67789342878466,,,,,,,,,,,
2008-09-01 12:09:00,61.63,69.33,61.63,68.78,405,57.659661149672154,,,,,,,,,,,
2008-09-04 12:09:00,63.5,64.0,62.0,62.13,136,47.00868609252355,,,,,,,,,,,
2008-09-05 12:09:00,62.5,66.5,62.5,64.5,2,50.51689622349282,,,,,,,,,,,
2008-09-08 12:09:00,64.5,64.5,64.5,64.5,5,50.51689622349282,,,,,,,,,,,
2008-09-09 12:09:00,64.5,65.5,60.95,65.5,4331,52.06968441505825,,,,,,,,,,,
2008-09-10 12:09:00,61.0,66.18,61.0,64.15,340,49.79781168980253,,,,,,,,,,,
2008-09-11 12:09:00,59.25,59.25,59.25,59.25,1,42.542314746687055,,,,,,,,,,,
2008-09-12 12:09:00,62.5,65.18,60.18,65.18,815,51.71173367372079,,,,,,,,,,,
2008-09-15 12:09:00,60.0,63.5,60.0,63.5,200,49.31082716794334,,,,,,,,,,,
2008-09-18 12:09:00,55.5,57.4,50.0,57.1,3421,41.42108216419979,,,,,,,,,,,
2008-09-19 12:09:00,57.5,59.0,52.5,54.8,460,39.005723850973844,,,,,,,,,,,
2008-09-22 12:09:00,57.5,58.0,55.0,55.0,236,39.33698534580773,,,,,,,,,,,
2008-09-23 12:09:00,57.18,57.35,57.18,57.35,10,43.23787000690328,,,,,,,,,,,
2008-09-24 12:09:00,53.0,57.25,53.0,55.25,16100,40.71808995180878,,,,,,,,,,,
2008-09-25 12:09:00,51.0,56.0,51.0,56.0,301,42.017721578960426,,,,,,,,,,,
2008-09-26 12:09:00,56.0,56.0,56.0,56.0,50,42.017721578960426,,,,,,,,,,,
2008-09-29 12:09:00,52.75,60.0,50.0,52.9,578,38.02193656593453,,,,,,,,,,,
2008-10-01 12:10:00,50.0,57.0,50.0,51.05,852,35.83198171932699,,,,,,,,,,,
2008-10-06 12:10:00,57.5,57.5,47.6,47.73,877,32.24287980511126,,,,,,,,,,,
2008-10-07 12:10:00,46.0,46.0,45.5,45.5,120,30.064561695209278,,,,,,,,,,,
2008-10-08 12:10:00,43.5,43.5,37.5,43.48,3053,28.20566598103686,,,,,,,,,,,
2008-10-10 12:10:00,35.0,45.0,35.0,37.78,462,23.744301397547247,57.98658178369659,,,,,,,,,,
2008-10-13 12:10:00,42.35,42.38,42.35,42.35,65,32.90720780830034,57.37338249806144,,,,,,,,,,
2008-10-14 12:10:00,40.0,45.75,36.0,44.85,31,37.34269328583206,56.882269458921776,,,,,,,,,,
2008-10-15 12:10:00,46.73,46.73,46.43,46.43,53,40.040584582114064,56.47237653896406,,,,,,,,,,
2008-10-16 12:10:00,46.3,46.3,46.3,46.3,5,39.88840012815498,56.07345981194587,,,,,,,,,,
2008-10-17 12:10:00,37.25,46.43,37.05,37.18,602,30.989750138808446,55.332539819320544,,,,,,,,,,
2008-10-20 12:10:00,38.5,44.35,38.5,44.35,318,41.953572790240614,54.90185198326876,,,21.048817024927658,,,,,,,
2008-10-21 12:10:00,45.0,45.0,40.5,42.65,351,40.318029117460824,54.42138719961117,,,21.048817024927658,,,,,,,
2008-10-22 12:10:00,36.53,41.6,36.53,39.63,1122,37.519721199710034,53.84133279962642,,,21.048817024927658,,,,,,,
2008-10-24 12:10:00,38.05,38.05,38.05,38.05,10,36.10773240657889,53.222064846699894,,,21.048817024927658,,,,,,,
2008-10-27 12:10:00,33.05,39.18,30.75,35.65,182,34.013786461691296,52.53296426447637,,,22.978662989524324,,,,,,,
2008-10-31 12:10:00,33.63,35.5,33.63,34.38,5,32.92566598835664,51.82108331292828,,,22.978662989524324,,,,,,,
2008-11-03 12:11:00,35.0,37.5,32.25,37.5,121,38.15961782814626,51.25947220261737,,,20.682043972910137,,,,,,,
2008-11-04 12:11:00,42.25,42.25,42.0,42.2,3,45.10837858877087,50.90419878290688,,,20.682043972910137,,,,,,,
2008-11-05 12:11:00,35.5,35.5,35.5,35.5,50,38.47186402261598,50.30011255612622,,,20.682043972910137,,,,,,,
2008-11-06 12:11:00,37.0,38.0,33.05,38.0,2663,41.90634731843124,49.817755200984024,,,20.682043972910137,,,,,,,
2008-11-07 12:11:00,37.25,37.25,34.0,34.7,4420,38.82554504501049,49.224902055847394,,,20.682043972910137,,,,,,,
2008-11-12 12:11:00,36.23,37.45,34.1,36.08,86,40.78600602640358,48.70941570071612,,,21.419519273608927,,,,,,,
2008-11-17 12:11:00,33.0,37.5,33.0,37.5,26,42.816730571582376,48.269830771276276,,,24.672225877733126,,,,,,,
2008-11-19 12:11:00,30.0,32.5,30.0,30.0,261,35.82788509871348,47.55336681946152,,,24.672225877733126,,,,,,,
2008-11-26 12:11:00,30.0,30.0,30.0,30.0,100,35.82788509871348,46.86499949320813,,,20.622070741300874,,,,,,,
2008-11-28 12:11:00,35.68,35.68,27.0,27.0,11,33.30590026096637,46.08597990523919,,,20.622070741300874,,,,,,,
2008-12-01 12:12:00,27.0,32.4,27.0,32.4,54,41.31373265546418,45.54927481091609,,,18.967533507395956,,,,,,,
2008-12-02 12:12:00,36.75,36.75,28.53,32.43,420,41.35586002671298,45.03479344578213,,,18.967533507395956,,,,,,,
2008-12-08 12:12:00,27.28,35.7,27.28,33.5,876,42.929434333191374,44.582448604771066,,,29.926319798291473,,,,,,,
2008-12-10 12:12:00,27.05,34.93,27.05,32.25,235,41.52755724338093,44.09882316928985,,,29.926319798291473,,,,,,,
