datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,31.28,32.49,30.91,31.92,101025,,,,,,,,,,,,
2008-07-18 12:07:00,32.2,34.4,31.9,34.01,95675,,,,,,,,,,,,
2008-07-21 12:07:00,34.1,35.49,33.0,35.0,54719,,,,,,,,,,,,
2008-07-22 12:07:00,34.5,35.7,34.2,35.3,50356,,,,,,,,,,,,
2008-07-23 12:07:00,36.5,39.75,36.13,37.04,56253,,,,,,,,,,,,
2008-07-24 12:07:00,37.0,38.0,35.23,36.53,91500,,,,,,,,,,,,
2008-07-28 12:07:00,36.0,36.45,35.02,35.3,35437,,,,,,,,,,,,
2008-07-29 12:07:00,34.8,35.0,33.9,34.43,74662,,,,,,,,,,,,
2008-07-30 12:07:00,35.3,35.3,34.33,34.81,183883,,,,,,,,,,,,
2008-07-31 12:07:00,35.16,35.8,34.52,34.95,65936,,,,,,,,,,,,
2008-08-01 12:08:00,34.3,35.05,34.0,34.98,31455,,,,,,,,,,,,
2008-08-04 12:08:00,35.5,35.9,34.72,34.98,86224,,,,,,,,,,,,
2008-08-05 12:08:00,35.0,35.9,35.0,35.49,193783,,,,,,,,,,,,
2008-08-06 12:08:00,36.25,37.85,36.25,37.07,155157,75.24305490324721,,,,,,,,,,,
2008-08-07 12:08:00,37.0,37.99,36.51,36.73,33742,71.14022596761762,,,,,,,,,,,
2008-08-08 12:08:00,37.0,37.0,36.01,36.42,12037,67.52489257838224,,,,,,,,,,,
2008-08-11 12:08:00,36.98,37.05,36.21,36.63,256742,68.6858493077539,,,,,,,,,,,
2008-08-12 12:08:00,37.0,37.0,35.99,36.09,10398,62.49863553673819,,,,,,,,,,,
2008-08-13 12:08:00,35.8,36.48,35.4,35.63,9617,57.72813315380261,,,,,,,,,,,
2008-08-14 12:08:00,35.51,35.99,34.71,35.43,539443,55.73614232308674,,,,,,,,,,,
2008-08-18 12:08:00,35.29,35.99,34.98,35.48,152446,56.143576750540184,,,,,,,,,,,
2008-08-19 12:08:00,36.0,36.0,34.5,34.85,107615,49.90982200288068,,,,,,,,,,,
2008-08-20 12:08:00,35.4,35.4,34.3,34.84,123545,49.81527314545091,,,,,,,,,,,
2008-08-21 12:08:00,35.1,35.4,34.2,34.67,68680,48.14549220429753,,,,,,,,,,,
2008-08-25 12:08:00,34.91,36.1,34.81,35.07,96738,52.20501570856732,,,,,,,,,,,
2008-08-26 12:08:00,34.51,35.05,34.1,34.21,122829,44.194196513866096,,,,,,,,,,,
2008-08-27 12:08:00,34.5,34.5,32.52,32.73,96605,34.40873430093937,,,,,,,,,,,
2008-08-28 12:08:00,33.0,33.0,31.26,31.67,254873,29.389503324331514,,,,,,,,,,,
2008-08-29 12:08:00,32.5,34.1,32.12,33.39,90019,43.73232816854071,,,,,,,,,,,
2008-09-01 12:09:00,33.0,34.2,32.9,33.96,38434,47.53563155312533,,,,,,,,,,,
2008-09-02 12:09:00,33.9,34.79,33.71,34.42,36166,50.44663572813387,,,,,,,,,,,
2008-09-04 12:09:00,34.0,34.6,33.22,33.64,50118,45.805566058985214,,,,,,,,,,,
2008-09-05 12:09:00,33.51,33.6,32.51,32.73,60398,41.05952713430168,,,,,,,,,,,
2008-09-08 12:09:00,34.1,34.8,33.92,34.0,213888,49.00132684960888,,,,,,,,,,,
2008-09-09 12:09:00,33.66,34.2,32.81,32.99,147337,43.931598841119374,,,,,,,,,,,
2008-09-10 12:09:00,32.8,33.29,32.36,32.5,69970,41.67865726903144,,,,,,,,,,,
2008-09-11 12:09:00,32.38,32.7,31.27,31.5,66946,37.456899172668784,,,,,,,,,,,
2008-09-12 12:09:00,31.71,32.4,30.6,30.79,108922,34.76438954133734,,,,,,,,,,,
2008-09-15 12:09:00,30.5,30.5,27.39,28.43,307169,27.649722790086074,,,,,,,,,,,
2008-09-18 12:09:00,28.08,28.38,26.0,27.73,70798,25.953119730863136,,,,,,,,,,,
2008-09-19 12:09:00,28.5,29.55,27.51,29.27,2377325,35.35154285140118,,,,,,,,,,,
2008-09-22 12:09:00,29.27,29.5,28.01,28.45,88084,32.953136323691794,,,,,,,,,,,
2008-09-23 12:09:00,28.45,28.45,27.21,27.64,95133,30.734927312456378,,,,,,,,,,,
2008-09-24 12:09:00,27.84,28.66,27.41,28.0,408264,32.89690123619182,,,,,,,,,,,
2008-09-25 12:09:00,28.01,30.0,27.82,29.18,248149,39.556526069934556,,,,,,,,,,,
2008-09-26 12:09:00,29.2,29.39,27.75,28.02,163519,35.79557881460558,,,,,,,,,,,
2008-09-29 12:09:00,27.53,28.48,27.4,28.17,67608,36.63455482403404,,,,,,,,,,,
2008-09-30 12:09:00,27.4,28.2,27.01,27.52,154241,34.52895962711192,,,,,,,,,,,
2008-10-01 12:10:00,27.61,29.05,27.19,28.77,86130,41.49316983950018,,,,,,,,,,,
2008-10-06 12:10:00,28.6,28.6,25.58,26.67,50257,34.79658703165684,31.519208782978172,,,,,,,,,,
2008-10-07 12:10:00,26.5,27.5,24.23,25.02,487927,30.61568540293564,31.264337850312362,,,,,,,,,,
2008-10-08 12:10:00,23.9,23.9,20.65,21.95,291158,24.675076930020154,30.89906969931972,,,,,,,,,,
2008-10-10 12:10:00,20.89,20.89,18.22,19.0,2049934,20.548931650264578,30.432439515032677,,,,,,,,,,
2008-10-13 12:10:00,19.7,21.98,19.51,21.43,81974,30.81217484830765,30.079402671305907,,,,,,,,,,
2008-10-14 12:10:00,22.9,23.9,21.7,23.46,152324,38.01563982545004,29.819818252823325,,,,,,,,,,
2008-10-15 12:10:00,23.2,23.2,20.15,22.39,206656,35.89430260195803,29.52845283114398,,,,,,,,,,
2008-10-16 12:10:00,21.5,21.85,19.7,20.25,137956,32.04309805117899,29.164591935805,,,,,,,,,,
2008-10-17 12:10:00,21.2,21.2,18.73,18.99,111278,30.00200501571601,28.765588330479314,,,,,,,,,,
2008-10-20 12:10:00,18.33,19.9,16.91,17.91,372566,28.335896973711144,28.339878984186008,,,13.366559517132941,,,,,,,
2008-10-21 12:10:00,18.92,19.1,18.11,18.99,318861,32.37991670669483,27.973217063237538,,,13.366559517132941,,,,,,,
2008-10-22 12:10:00,18.32,19.58,18.32,19.1,48048,32.79588580692092,27.62524776663999,,,13.366559517132941,,,,,,,
2008-10-23 12:10:00,17.83,19.49,17.83,18.83,58206,32.27113231675534,27.280336089516855,,,13.366559517132941,,,,,,,
2008-10-24 12:10:00,18.9,19.1,17.4,18.01,99647,30.66629135978303,26.916793497771096,,,13.366559517132941,,,,,,,
2008-10-27 12:10:00,17.1,17.7,16.5,17.49,39906,29.659014882824067,26.547115321387917,,,12.615214860232584,,,,,,,
2008-10-28 12:10:00,19.8,19.8,17.64,17.91,10492,31.61287037590951,26.208404916627607,,,12.615214860232584,,,,,,,
2008-10-31 12:10:00,18.0,20.93,17.92,20.38,88802,41.84374519538884,25.97984001793633,,,12.615214860232584,,,,,,,
2008-11-03 12:11:00,21.0,21.5,19.82,20.65,71821,42.850223518091006,25.77082668389961,,,23.77428542435578,,,,,,,
2008-11-04 12:11:00,20.5,23.27,20.2,22.7,68685,49.93486913091405,25.650402108060412,,,23.77428542435578,,,,,,,
2008-11-05 12:11:00,23.49,23.8,22.0,22.42,95018,49.04064047707742,25.5237196724502,,,23.77428542435578,,,,,,,
2008-11-06 12:11:00,21.5,23.4,21.22,22.06,99268,47.85407223765155,25.387887528432543,,,23.77428542435578,,,,,,,
2008-11-07 12:11:00,22.0,22.1,21.8,21.99,80194,47.61283693259481,25.254637037121466,,,23.77428542435578,,,,,,,
2008-11-10 12:11:00,22.01,23.48,21.55,22.56,200484,49.83063533862485,25.148964996450033,,,30.287084230821947,,,,,,,
2008-11-11 12:11:00,22.8,22.95,21.21,21.98,81314,47.621423407736444,25.024691859334347,,,30.287084230821947,,,,,,,
2008-11-12 12:11:00,21.44,22.0,20.61,21.69,52363,46.51109311228294,24.89391962955653,,,30.287084230821947,,,,,,,
2008-11-14 12:11:00,22.01,22.95,21.7,22.68,90621,50.73406711926848,24.807099251926864,,,30.287084230821947,,,,,,,
2008-11-17 12:11:00,22.5,22.69,20.8,22.06,99679,48.16919760349183,24.69936986949836,,,32.931868558344945,,,,,,,
2008-11-18 12:11:00,21.22,21.53,20.5,20.79,50684,43.336234453857664,24.546061247165092,,,32.931868558344945,,,,,,,
2008-11-19 12:11:00,20.92,21.3,20.5,20.81,74607,43.43248918790886,24.399549041393914,,,32.931868558344945,,,,,,,
2008-11-20 12:11:00,20.34,20.76,19.63,20.12,62093,40.85405743872025,24.23172358879023,,,32.931868558344945,,,,,,,
2008-11-21 12:11:00,19.92,20.49,19.53,19.96,64042,40.257241371135486,24.06420501668081,,,32.931868558344945,,,,,,,
2008-11-24 12:11:00,20.12,20.75,19.69,19.98,40331,40.37449655903744,23.90404011406588,,,28.363679393024967,,,,,,,
2008-11-25 12:11:00,20.52,21.1,18.72,19.34,85270,37.8167050427848,23.725058148808394,,,28.363679393024967,,,,,,,
2008-11-26 12:11:00,19.9,20.4,19.27,20.01,48215,41.961951311944205,23.579369593953164,,,28.363679393024967,,,,,,,
2008-11-28 12:11:00,19.43,20.19,19.43,19.8,57867,41.03853481547718,23.431159021641278,,,28.363679393024967,,,,,,,
2008-12-01 12:12:00,20.0,21.78,19.99,21.17,77206,48.933717011910424,23.34248611883182,,,28.116605783532307,,,,,,,
2008-12-02 12:12:00,20.0,21.7,20.0,21.64,113339,51.34095719929761,23.275721957309003,,,28.116605783532307,,,,,,,
2008-12-03 12:12:00,21.71,22.78,21.71,22.59,170754,55.86927284532002,23.248830900159632,,,28.116605783532307,,,,,,,
2008-12-04 12:12:00,22.8,23.69,22.75,23.51,176950,59.77349348860771,23.259072825643567,,,28.116605783532307,,,,,,,
2008-12-05 12:12:00,23.23,24.0,23.02,23.39,93932,59.039797355489895,23.26420722463794,,,28.116605783532307,,,,,,,
2008-12-08 12:12:00,24.41,25.7,22.62,22.95,81418,56.310486609101254,23.25188537269135,,,40.61608140049841,,,,,,,
2008-12-10 12:12:00,23.2,24.25,23.02,24.03,207816,61.06790809186043,23.282399671801493,,,40.61608140049841,,,,,,,
2008-12-11 12:12:00,24.39,24.79,24.0,24.3,70955,62.17677065158565,23.322305567024966,,,40.61608140049841,,,,,,,
2008-12-12 12:12:00,24.2,24.7,23.5,23.88,31371,59.34521004974306,23.344175936945557,,,40.61608140049841,,,,,,,
2008-12-15 12:12:00,24.1,24.7,23.5,24.14,56887,60.54313340859615,23.375384723732004,,,42.09606735389992,,,,,,,
2008-12-16 12:12:00,23.89,25.89,23.89,25.26,212844,65.28802211646516,23.44929120515428,,,42.09606735389992,,,,,,,
2008-12-17 12:12:00,25.6,26.2,24.66,25.09,104461,64.02939121070962,23.513632726520783,,,42.09606735389992,,,,,,,
2008-12-18 12:12:00,25.0,26.8,24.84,25.77,146685,66.7874984142798,23.602117717637615,,,42.09606735389992,,,,,,,
2008-12-19 12:12:00,25.7,27.45,25.5,27.02,136923,71.16449930424776,23.736152316945944,,,42.09606735389992,,,,,,,
2008-12-22 12:12:00,26.31,27.6,26.31,26.65,66567,68.2954170289633,23.8504208535363,,,50.5935559438851,,,,,,,
2008-12-23 12:12:00,26.7,27.0,25.12,25.41,55917,59.62024657687947,23.911580820064287,25.872862141292554,,50.5935559438851,,,,,,,
2008-12-24 12:12:00,25.2,25.4,24.03,24.26,77238,52.907989895083915,23.925244317316672,25.84092427710854,,50.5935559438851,,,,,,,
2008-12-26 12:12:00,24.42,24.42,23.45,23.54,26443,49.175146342907865,23.910136697029742,25.795361420136093,,50.5935559438851,,,,,,,
2008-12-29 12:12:00,23.4,23.88,22.93,23.18,85352,47.375340894046204,23.88150388538152,25.743572085083894,,43.05275086715697,,,,,,,
2008-12-30 12:12:00,25.1,25.1,22.41,22.98,147608,46.36017470809951,23.846150791837147,25.68884788537926,,43.05275086715697,,,,,,,
2009-01-01 12:01:00,24.2,25.5,23.8,25.32,112957,57.76374293098053,23.903948800000396,25.681543966856896,,43.05275086715697,,,,,,,
2009-01-02 12:01:00,25.55,26.3,25.3,25.92,77360,60.10572753753621,23.98300963137293,25.686265868503295,,43.05275086715697,,,,,,,
2009-01-05 12:01:00,26.88,27.38,26.36,26.67,155116,62.87674555788089,24.08838180269164,25.70574575229531,,48.68578749299027,,,,,,,
