datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,58.3,61.4,55.4,57.15,18734985,,,,,,,,,,,,
2008-07-18 12:07:00,57.55,60.9,55.0,60.0,18962738,,,,,,,,,,,,
2008-07-21 12:07:00,60.5,61.55,57.85,59.2,7458835,,,,,,,,,,,,
2008-07-22 12:07:00,59.2,61.6,58.2,60.95,11965666,,,,,,,,,,,,
2008-07-23 12:07:00,62.5,69.15,62.5,68.15,16138682,,,,,,,,,,,,
2008-07-24 12:07:00,69.0,74.8,66.6,69.75,38149746,,,,,,,,,,,,
2008-07-28 12:07:00,71.5,74.2,71.0,73.45,13767045,,,,,,,,,,,,
2008-07-29 12:07:00,73.0,73.0,68.4,70.9,12022686,,,,,,,,,,,,
2008-07-30 12:07:00,72.1,74.45,70.8,74.05,16428847,,,,,,,,,,,,
2008-07-31 12:07:00,74.9,77.55,73.8,75.85,19547994,,,,,,,,,,,,
2008-08-01 12:08:00,74.0,82.45,73.55,81.8,23536581,,,,,,,,,,,,
2008-08-04 12:08:00,81.0,84.7,80.75,82.5,15328998,,,,,,,,,,,,
2008-08-05 12:08:00,83.0,84.1,79.25,82.45,15637566,,,,,,,,,,,,
2008-08-06 12:08:00,83.5,84.6,77.75,78.55,15658019,74.85432921615475,,,,,,,,,,,
2008-08-07 12:08:00,77.9,81.35,76.0,79.25,16853726,75.63258721368314,,,,,,,,,,,
2008-08-08 12:08:00,79.45,84.15,79.0,81.55,31035821,78.03778594660838,,,,,,,,,,,
2008-08-11 12:08:00,82.75,84.0,82.05,82.6,12257907,79.05423121293164,,,,,,,,,,,
2008-08-12 12:08:00,83.45,87.45,82.5,86.0,36257368,81.96494584853113,,,,,,,,,,,
2008-08-13 12:08:00,84.9,86.9,82.35,82.9,21496783,72.1237258900113,,,,,,,,,,,
2008-08-14 12:08:00,83.1,83.55,78.45,78.9,13415660,61.81108020838249,,,,,,,,,,,
2008-08-18 12:08:00,78.5,80.1,76.35,77.35,9862908,58.3305575880123,,,,,,,,,,,
2008-08-19 12:08:00,77.0,80.45,75.55,79.35,13449998,61.354412969379105,,,,,,,,,,,
2008-08-20 12:08:00,80.8,83.65,79.1,82.55,21066340,65.64957989342636,,,,,,,,,,,
2008-08-21 12:08:00,82.75,84.45,78.55,79.2,24773451,58.339496571744434,,,,,,,,,,,
2008-08-25 12:08:00,79.5,80.9,77.4,77.8,9424697,55.55539834432477,,,,,,,,,,,
2008-08-26 12:08:00,77.7,78.9,75.8,78.4,9350611,56.51322512324061,,,,,,,,,,,
2008-08-27 12:08:00,78.95,79.2,71.7,72.65,14625663,46.230701462188485,,,,,,,,,,,
2008-08-28 12:08:00,72.0,73.25,68.8,69.7,14631971,42.00773400250772,,,,,,,,,,,
2008-08-29 12:08:00,71.0,74.4,71.0,73.1,14548243,47.91322857909313,,,,,,,,,,,
2008-09-01 12:09:00,72.0,72.9,69.7,72.4,11987626,46.85531816148222,,,,,,,,,,,
2008-09-02 12:09:00,72.9,77.1,71.9,75.7,19847572,52.21218903413356,,,,,,,,,,,
2008-09-04 12:09:00,74.7,75.25,73.3,74.25,7771876,49.83520449530689,,,,,,,,,,,
2008-09-05 12:09:00,72.4,75.3,71.35,73.05,10880801,47.892013546041156,,,,,,,,,,,
2008-09-08 12:09:00,75.3,76.5,73.25,73.6,5895404,48.87595791538528,,,,,,,,,,,
2008-09-09 12:09:00,73.4,74.35,71.35,73.1,9337099,47.98880559610519,,,,,,,,,,,
2008-09-10 12:09:00,72.9,74.75,71.6,72.6,7753514,47.06873714362393,,,,,,,,,,,
2008-09-11 12:09:00,72.0,73.3,70.1,71.55,8734848,45.11267453062859,,,,,,,,,,,
2008-09-12 12:09:00,73.4,73.4,64.25,66.15,12581304,36.6720506875052,,,,,,,,,,,
2008-09-15 12:09:00,65.0,65.0,55.55,58.7,16383942,28.69518619527257,,,,,,,,,,,
2008-09-18 12:09:00,58.0,62.9,55.1,62.3,14295882,35.945811511563946,,,,,,,,,,,
2008-09-19 12:09:00,64.1,65.5,62.5,63.45,10894654,38.11078031610334,,,,,,,,,,,
2008-09-22 12:09:00,64.0,64.6,61.15,61.6,8576229,36.002651395476285,,,,,,,,,,,
2008-09-23 12:09:00,60.0,62.2,58.85,59.3,8103641,33.52011504319846,,,,,,,,,,,
2008-09-24 12:09:00,59.8,63.1,59.8,62.7,11426637,40.09597969432624,,,,,,,,,,,
2008-09-25 12:09:00,62.9,62.95,60.5,61.9,8411619,39.11556906159447,,,,,,,,,,,
2008-09-26 12:09:00,61.85,62.9,56.85,57.5,13441237,34.167181457962684,,,,,,,,,,,
2008-09-29 12:09:00,58.0,58.1,49.3,51.3,18396650,28.664417601159755,,,,,,,,,,,
2008-09-30 12:09:00,49.0,56.75,47.2,54.65,20487929,34.77681426903062,,,,,,,,,,,
2008-10-01 12:10:00,55.7,56.95,52.85,55.05,13717300,35.487615678051355,,,,,,,,,,,
2008-10-06 12:10:00,50.0,50.0,41.4,42.6,16051674,25.99269042184841,65.5574479464532,,,,,,,,,,
2008-10-07 12:10:00,43.2,46.7,38.15,41.5,25691421,25.3473986296613,64.61401861521973,,,,,,,,,,
2008-10-08 12:10:00,39.95,40.0,35.3,38.4,19148874,23.57139486494161,63.58601788521112,,,,,,,,,,
2008-10-10 12:10:00,35.9,35.9,31.7,32.25,11610848,20.50229468952645,62.35715443873226,,,,,,,,,,
2008-10-13 12:10:00,35.0,40.65,33.0,39.9,19105794,32.308976620042216,61.47648171564472,,,,,,,,,,
2008-10-14 12:10:00,42.0,44.4,41.25,42.15,15735568,35.35018596900878,60.71858047189395,,,,,,,,,,
2008-10-15 12:10:00,40.15,41.4,39.0,39.5,10366355,33.44434785493215,59.88647927691772,,,,,,,,,,
2008-10-16 12:10:00,38.0,48.8,35.0,47.15,22250609,42.99828674011686,59.387009501352324,,,,,,,,,,
2008-10-17 12:10:00,48.0,48.2,39.5,40.2,15626042,37.70308559003361,58.63457775620125,,,,,,,,,,
2008-10-20 12:10:00,41.3,45.25,38.4,40.6,19680271,38.17499144545075,57.927339412820814,,,30.401283369821982,,,,,,,
2008-10-21 12:10:00,42.15,46.5,41.0,44.75,18720594,42.99936893416392,57.410581004474906,,,30.401283369821982,,,,,,,
2008-10-22 12:10:00,44.0,47.15,42.7,44.7,20049401,42.955877244465135,56.912126847436674,,,30.401283369821982,,,,,,,
2008-10-23 12:10:00,44.0,47.0,41.25,43.7,14202092,42.04003236893738,56.394004225968565,,,30.401283369821982,,,,,,,
2008-10-24 12:10:00,43.85,45.3,39.7,40.45,15742297,39.12075976210836,55.768749158283526,,,30.401283369821982,,,,,,,
2008-10-27 12:10:00,42.5,44.5,38.0,43.25,14360694,42.80564630725037,55.277817818742996,,,30.726114646944907,,,,,,,
2008-10-28 12:10:00,46.0,47.7,45.15,46.15,1633233,46.4227422474154,54.919864178792295,,,30.726114646944907,,,,,,,
2008-10-31 12:10:00,45.55,46.5,43.1,45.05,6880341,45.25367342000107,54.532810681584756,,,30.726114646944907,,,,,,,
2008-11-03 12:11:00,47.0,51.7,45.6,50.95,16323746,52.205951279112796,54.39230830191477,,,36.590388053017406,,,,,,,
2008-11-04 12:11:00,50.9,53.3,48.7,52.2,11810995,53.551762247572185,54.30633542732988,,,36.590388053017406,,,,,,,
2008-11-05 12:11:00,54.3,54.3,47.5,47.95,10117470,48.546448496834444,54.05706737135616,,,36.590388053017406,,,,,,,
2008-11-06 12:11:00,46.0,46.8,43.05,43.75,11681488,44.15431313830069,53.652868650910825,,,36.590388053017406,,,,,,,
2008-11-07 12:11:00,42.95,46.85,42.95,45.7,12629110,46.57123916376251,53.34099144891432,,,36.590388053017406,,,,,,,
2008-11-10 12:11:00,47.0,51.2,46.2,50.65,10162383,52.22374589569333,53.23546237248631,,,37.39684482618821,,,,,,,
2008-11-11 12:11:00,48.6,50.4,44.55,45.15,9002229,46.355486488572666,52.918385416702534,,,37.39684482618821,,,,,,,
2008-11-12 12:11:00,44.95,46.75,43.1,43.85,8198530,45.066465096966894,52.56276245918479,,,37.39684482618821,,,,,,,
2008-11-14 12:11:00,44.8,46.0,41.5,42.2,8423548,43.4162646055648,52.156379617648135,,,37.39684482618821,,,,,,,
2008-11-17 12:11:00,42.0,43.5,36.15,37.5,17416045,39.031946793838515,51.58161963264232,,,34.82824218280476,,,,,,,
2008-11-18 12:11:00,36.35,37.7,35.0,36.0,13031647,37.722674046978405,50.97057572547988,,,34.82824218280476,,,,,,,
2008-11-19 12:11:00,36.0,38.2,33.85,34.45,10936671,36.365231691146484,50.32271001075518,,,34.82824218280476,,,,,,,
2008-11-20 12:11:00,31.55,33.75,30.9,31.65,14725457,33.986034514052704,49.59044687307851,,,34.82824218280476,,,,,,,
2008-11-21 12:11:00,31.7,33.45,29.35,31.9,16515579,34.39872364116131,48.896703858447985,,,34.82824218280476,,,,,,,
