datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,125.71,133.14,122.97,130.03,579857,,,,,,,,,,,,
2008-07-18 12:07:00,130.29,132.57,126.86,130.69,211889,,,,,,,,,,,,
2008-07-21 12:07:00,132.0,133.49,126.91,128.11,298327,,,,,,,,,,,,
2008-07-22 12:07:00,131.43,134.83,128.57,133.37,215901,,,,,,,,,,,,
2008-07-23 12:07:00,139.43,148.57,139.43,146.77,1031337,,,,,,,,,,,,
2008-07-24 12:07:00,148.57,153.14,146.91,148.31,913501,,,,,,,,,,,,
2008-07-28 12:07:00,142.0,144.0,134.63,135.2,347736,,,,,,,,,,,,
2008-07-29 12:07:00,133.14,133.14,128.63,130.66,623207,,,,,,,,,,,,
2008-07-30 12:07:00,133.14,137.6,130.86,136.8,712978,,,,,,,,,,,,
2008-07-31 12:07:00,137.71,138.34,132.57,135.0,1045872,,,,,,,,,,,,
2008-08-01 12:08:00,132.43,145.14,132.43,143.23,678773,,,,,,,,,,,,
2008-08-04 12:08:00,144.57,145.09,137.14,137.71,375186,,,,,,,,,,,,
2008-08-05 12:08:00,137.43,148.54,137.43,147.26,784583,,,,,,,,,,,,
2008-08-06 12:08:00,148.57,157.14,148.0,153.43,1234040,66.95222260204841,,,,,,,,,,,
2008-08-07 12:08:00,153.71,155.14,146.29,147.71,839987,60.13380223126258,,,,,,,,,,,
2008-08-08 12:08:00,147.71,154.11,140.97,146.63,1683922,58.913834139241615,,,,,,,,,,,
2008-08-11 12:08:00,151.43,153.71,146.4,149.86,728084,61.43382967914413,,,,,,,,,,,
2008-08-12 12:08:00,149.71,155.54,148.77,154.2,977678,64.57762141535909,,,,,,,,,,,
2008-08-13 12:08:00,153.14,158.49,151.43,156.57,1115376,66.1980585892912,,,,,,,,,,,
2008-08-14 12:08:00,156.57,158.29,144.86,148.97,993823,57.166799784011374,,,,,,,,,,,
2008-08-18 12:08:00,150.29,150.83,143.49,144.49,148433,52.61038145032342,,,,,,,,,,,
2008-08-19 12:08:00,142.91,146.86,140.69,145.2,215487,53.24638555554328,,,,,,,,,,,
2008-08-20 12:08:00,145.71,147.46,143.43,145.51,478730,53.53957471961919,,,,,,,,,,,
2008-08-21 12:08:00,145.71,149.54,142.2,143.66,668635,51.46541167035903,,,,,,,,,,,
2008-08-25 12:08:00,145.71,150.6,143.63,150.03,430409,57.56185763325266,,,,,,,,,,,
2008-08-26 12:08:00,148.57,153.89,148.06,152.74,352291,59.87123906920722,,,,,,,,,,,
2008-08-27 12:08:00,153.29,156.0,151.43,154.4,558384,61.26183770767363,,,,,,,,,,,
2008-08-28 12:08:00,155.43,156.51,148.8,151.14,534160,57.07859090017234,,,,,,,,,,,
2008-08-29 12:08:00,152.0,155.91,151.54,155.0,167816,60.51649351800606,,,,,,,,,,,
2008-09-01 12:09:00,153.29,155.43,152.4,153.71,212791,58.82083698173009,,,,,,,,,,,
2008-09-02 12:09:00,154.86,158.29,151.77,156.54,392741,61.37756865069646,,,,,,,,,,,
2008-09-04 12:09:00,157.29,158.86,152.57,153.63,295668,57.429081382142684,,,,,,,,,,,
2008-09-05 12:09:00,152.09,153.0,145.74,146.26,268730,48.85665149433348,,,,,,,,,,,
2008-09-08 12:09:00,150.86,157.14,149.06,152.06,823869,54.60009326132738,,,,,,,,,,,
2008-09-09 12:09:00,149.71,155.94,148.11,154.66,700348,56.93483688105392,,,,,,,,,,,
2008-09-10 12:09:00,154.29,154.29,147.43,148.66,667843,50.48288673063174,,,,,,,,,,,
2008-09-11 12:09:00,149.43,149.43,141.43,144.11,626285,46.20664553214592,,,,,,,,,,,
2008-09-12 12:09:00,145.71,148.66,142.86,143.83,377413,45.94870321936414,,,,,,,,,,,
2008-09-15 12:09:00,142.86,142.86,129.26,141.69,451703,43.930234180751434,,,,,,,,,,,
2008-09-18 12:09:00,134.29,136.97,123.49,134.09,490266,37.611202232455774,,,,,,,,,,,
2008-09-19 12:09:00,140.0,145.09,137.71,142.89,710678,47.09972725378059,,,,,,,,,,,
2008-09-22 12:09:00,144.57,149.69,144.03,148.17,445839,51.8331596860746,,,,,,,,,,,
2008-09-23 12:09:00,143.46,147.09,140.06,140.63,258690,45.563328846960296,,,,,,,,,,,
2008-09-24 12:09:00,144.0,145.03,141.2,143.06,266762,47.75663323668833,,,,,,,,,,,
2008-09-25 12:09:00,144.14,144.57,140.0,143.09,385974,47.78460408176397,,,,,,,,,,,
2008-09-26 12:09:00,140.57,143.83,136.0,142.26,446350,47.03431134594499,,,,,,,,,,,
2008-09-29 12:09:00,145.14,145.14,128.57,131.11,913928,38.32789917173012,,,,,,,,,,,
