datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,91.65,91.65,89.52,90.0,42862,,,,,,,,,,,,
2008-07-18 12:07:00,90.83,92.57,89.78,90.43,84217,,,,,,,,,,,,
2008-07-21 12:07:00,90.91,91.26,88.39,89.09,27122,,,,,,,,,,,,
2008-07-22 12:07:00,89.13,90.48,88.65,89.39,54226,,,,,,,,,,,,
2008-07-23 12:07:00,91.22,96.39,91.22,94.09,178510,,,,,,,,,,,,
2008-07-24 12:07:00,96.26,99.74,94.96,97.48,278978,,,,,,,,,,,,
2008-07-28 12:07:00,98.57,101.48,95.26,100.52,173356,,,,,,,,,,,,
2008-07-29 12:07:00,99.52,105.61,98.22,101.35,727601,,,,,,,,,,,,
2008-07-30 12:07:00,103.0,106.39,102.57,104.48,256411,,,,,,,,,,,,
2008-07-31 12:07:00,105.17,109.0,104.3,107.83,295283,,,,,,,,,,,,
2008-08-01 12:08:00,108.57,112.91,105.3,111.96,371950,,,,,,,,,,,,
2008-08-04 12:08:00,110.7,112.91,109.09,109.96,162927,,,,,,,,,,,,
2008-08-05 12:08:00,109.96,112.74,107.04,107.61,186350,,,,,,,,,,,,
2008-08-06 12:08:00,109.87,110.39,106.09,106.57,103391,72.90495526367306,,,,,,,,,,,
2008-08-07 12:08:00,106.91,108.87,105.65,107.04,87538,73.5595291009268,,,,,,,,,,,
2008-08-08 12:08:00,106.09,113.74,106.04,112.17,460372,79.40725704535404,,,,,,,,,,,
2008-08-11 12:08:00,113.87,117.26,113.87,114.74,324997,81.60247577334385,,,,,,,,,,,
2008-08-12 12:08:00,115.91,118.04,111.78,116.48,425981,82.92930665126907,,,,,,,,,,,
2008-08-13 12:08:00,114.83,117.35,113.87,114.78,198988,77.08027716892977,,,,,,,,,,,
