datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2022-05-24 12:05:00,495.2,568.9,467.5,536.35,14210358,,,,,,,,,,,,
2022-05-25 12:05:00,543.8,544.0,500.3,510.7,3810345,,,,,,,,,,,,
2022-05-26 12:05:00,508.0,518.8,495.0,499.8,913963,,,,,,,,,,,,
2022-05-27 12:05:00,505.5,547.3,505.1,541.55,1894346,,,,,,,,,,,,
2022-05-30 12:05:00,535.5,541.55,511.75,521.25,898144,,,,,,,,,,,,
2022-05-31 12:05:00,527.0,539.0,516.7,530.25,1268888,,,,,,,,,,,,
2022-06-01 12:06:00,527.0,540.0,523.25,535.65,371604,,,,,,,,,,,,
2022-06-02 12:06:00,537.65,617.35,536.05,570.45,5643844,,,,,,,,,,,,
2022-06-03 12:06:00,576.2,586.85,531.0,535.65,1888694,,,,,,,,,,,,
2022-06-06 12:06:00,538.95,541.0,506.05,510.2,2364548,,,,,,,,,,,,
2022-06-07 12:06:00,514.7,520.0,500.2,511.3,1122664,,,,,,,,,,,,
2022-06-08 12:06:00,516.7,526.95,511.05,517.4,933745,,,,,,,,,,,,
2022-06-09 12:06:00,509.0,533.95,509.0,522.0,692111,,,,,,,,,,,,
2022-06-10 12:06:00,511.0,523.4,510.7,519.4,262592,46.018486598287176,,,,,,,,,,,
2022-06-13 12:06:00,500.0,510.4,490.0,502.4,372491,40.41847584967064,,,,,,,,,,,
2022-06-14 12:06:00,501.0,504.95,492.8,500.2,494431,39.74442724475977,,,,,,,,,,,
2022-06-15 12:06:00,504.2,504.85,490.55,498.55,1053969,39.216197672024755,,,,,,,,,,,
2022-06-16 12:06:00,505.0,506.65,488.75,492.55,255921,37.27607736006837,,,,,,,,,,,
2022-06-17 12:06:00,480.0,491.15,457.8,466.55,842273,30.284301182280444,,,,,,,,,,,
2022-06-20 12:06:00,465.0,479.65,456.35,469.25,1917909,31.71664495409884,,,,,,,,,,,
2022-06-21 12:06:00,464.0,530.0,457.0,513.65,569427,49.93332770625068,,,,,,,,,,,
2022-06-22 12:06:00,515.1,517.0,498.1,504.0,279721,46.99859631658465,,,,,,,,,,,
2022-06-23 12:06:00,505.0,514.0,487.2,500.7,628786,46.0028832427173,,,,,,,,,,,
2022-06-24 12:06:00,509.9,514.0,488.65,492.1,818374,43.421102464948596,,,,,,,,,,,
2022-06-27 12:06:00,500.0,506.2,488.85,491.4,315410,43.20853922201402,,,,,,,,,,,
2022-06-28 12:06:00,491.0,505.0,488.95,501.95,279123,47.388811204303884,,,,,,,,,,,
2022-06-29 12:06:00,490.1,507.95,490.1,504.75,212296,48.47285746041197,,,,,,,,,,,
