datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,38.25,39.25,37.67,37.83,2034,,,,,,,,,,,,
2008-07-18 12:07:00,38.17,38.74,37.85,38.1,1437,,,,,,,,,,,,
2008-07-21 12:07:00,38.31,38.33,36.92,38.0,1960,,,,,,,,,,,,
2008-07-22 12:07:00,37.75,40.0,37.59,39.84,2377,,,,,,,,,,,,
2008-07-23 12:07:00,42.0,44.25,41.26,43.83,8232,,,,,,,,,,,,
2008-07-24 12:07:00,44.08,51.92,43.75,50.29,33183,,,,,,,,,,,,
2008-07-28 12:07:00,47.67,49.92,47.67,48.09,6028,,,,,,,,,,,,
2008-07-29 12:07:00,46.67,47.42,45.09,45.78,5674,,,,,,,,,,,,
2008-07-30 12:07:00,47.75,48.33,46.35,47.86,5338,,,,,,,,,,,,
2008-07-31 12:07:00,47.75,50.75,47.18,49.88,5512,,,,,,,,,,,,
2008-08-01 12:08:00,49.83,51.83,48.35,51.25,12667,,,,,,,,,,,,
2008-08-04 12:08:00,51.25,52.08,50.08,50.41,2623,,,,,,,,,,,,
2008-08-05 12:08:00,50.25,50.25,48.84,49.49,2981,,,,,,,,,,,,
2008-08-06 12:08:00,49.17,51.17,48.85,49.53,2672,70.76249278834912,,,,,,,,,,,
2008-08-07 12:08:00,49.25,50.0,48.93,49.83,2345,71.37517178383284,,,,,,,,,,,
2008-08-08 12:08:00,50.83,51.25,49.38,50.52,4715,72.78761740762405,,,,,,,,,,,
2008-08-11 12:08:00,50.92,54.58,50.58,53.14,13168,77.35649379114088,,,,,,,,,,,
2008-08-12 12:08:00,53.17,53.75,51.68,52.48,2770,73.98654787283556,,,,,,,,,,,
2008-08-13 12:08:00,50.25,52.08,50.25,50.88,2060,66.4311294455174,,,,,,,,,,,
2008-08-14 12:08:00,52.49,52.49,50.0,50.73,2982,65.75320909657962,,,,,,,,,,,
2008-08-18 12:08:00,50.0,51.31,48.8,49.2,2047,59.125455025929085,,,,,,,,,,,
2008-08-19 12:08:00,49.54,50.0,47.92,48.53,1790,56.44243904477196,,,,,,,,,,,
2008-08-20 12:08:00,49.17,52.33,49.17,51.87,5673,64.97506090890005,,,,,,,,,,,
2008-08-21 12:08:00,51.66,51.66,49.17,49.43,1665,56.298565893775255,,,,,,,,,,,
2008-08-25 12:08:00,50.08,53.25,49.33,49.75,1322,57.10751951605255,,,,,,,,,,,
2008-08-26 12:08:00,50.0,50.0,49.01,49.37,1155,55.786897758339414,,,,,,,,,,,
2008-08-27 12:08:00,49.17,50.31,49.17,49.96,1427,57.432833922430405,,,,,,,,,,,
2008-08-28 12:08:00,50.17,50.17,48.5,48.79,890,53.20306010096655,,,,,,,,,,,
2008-08-29 12:08:00,52.42,52.42,49.17,49.91,1152,56.50531033383552,,,,,,,,,,,
2008-09-01 12:09:00,49.17,50.83,49.08,50.0,12093,56.76930425069599,,,,,,,,,,,
2008-09-02 12:09:00,49.63,50.33,49.5,50.1,1367,57.08101323330834,,,,,,,,,,,
2008-09-04 12:09:00,49.92,50.75,49.5,49.57,890,54.82472735042573,,,,,,,,,,,
2008-09-05 12:09:00,49.68,50.18,48.86,49.98,1489,56.26493431302961,,,,,,,,,,,
2008-09-08 12:09:00,54.0,54.15,50.67,50.86,3973,59.266574018717655,,,,,,,,,,,
2008-09-09 12:09:00,50.92,51.25,49.58,50.78,4688,58.87100503935366,,,,,,,,,,,
2008-09-10 12:09:00,50.0,50.37,49.42,49.93,1540,54.693993629657825,,,,,,,,,,,
2008-09-11 12:09:00,49.42,50.75,49.42,49.98,3195,54.89671900297198,,,,,,,,,,,
2008-09-12 12:09:00,50.73,50.73,48.33,49.03,2160,50.292132243885966,,,,,,,,,,,
2008-09-15 12:09:00,46.75,48.25,45.92,47.53,2757,44.01454413765093,,,,,,,,,,,
2008-09-18 12:09:00,44.25,45.83,42.58,44.56,4404,34.762231672907774,,,,,,,,,,,
2008-09-19 12:09:00,44.63,52.5,44.28,50.61,8805,55.35161846574769,,,,,,,,,,,
2008-09-22 12:09:00,52.04,52.04,48.58,49.52,9058,52.15773652302106,,,,,,,,,,,
2008-09-23 12:09:00,47.92,49.74,47.68,49.02,2990,50.71219965296865,,,,,,,,,,,
2008-09-24 12:09:00,48.35,49.74,48.35,49.17,1966,51.149605366600554,,,,,,,,,,,
2008-09-25 12:09:00,49.83,49.83,48.17,48.43,1001,48.846551642496905,,,,,,,,,,,
2008-09-26 12:09:00,48.42,48.42,46.42,47.23,3370,45.285675700210994,,,,,,,,,,,
2008-09-29 12:09:00,46.67,46.67,42.51,45.26,7533,40.11550522367747,,,,,,,,,,,
2008-09-30 12:09:00,43.42,46.91,42.93,46.67,11368,44.9590928814664,,,,,,,,,,,
2008-10-01 12:10:00,46.17,47.41,46.17,46.86,802,45.59763525683528,,,,,,,,,,,
2008-10-06 12:10:00,46.0,47.25,42.97,44.43,82310,39.31552472942513,47.00384133127945,,,,,,,,,,
2008-10-07 12:10:00,48.3,48.3,40.83,41.56,2346,33.45329929527706,46.790357357503794,,,,,,,,,,
2008-10-08 12:10:00,41.56,41.56,38.0,38.53,4324,28.60407987058487,46.466421774856585,,,,,,,,,,
2008-10-10 12:10:00,38.33,39.5,35.5,36.7,69433,26.13960162323835,46.08342484250927,,,,,,,,,,
2008-10-13 12:10:00,36.7,38.98,36.7,37.99,1514,30.673968452785232,45.766035632999106,,,,,,,,,,
2008-10-14 12:10:00,38.5,41.38,36.67,37.39,3599,29.758870318041488,45.4375636473913,,,,,,,,,,
2008-10-15 12:10:00,37.5,40.0,35.75,35.93,2758,27.601076183992532,45.06471801416027,,,,,,,,,,
2008-10-16 12:10:00,35.08,35.74,33.33,34.58,94770,25.742382183491273,44.65355260184026,,,,,,,,,,
2008-10-17 12:10:00,35.33,37.0,34.1,34.27,2715,25.320714377386423,44.246354460591625,,,,,,,,,,
2008-10-20 12:10:00,34.99,35.0,32.5,32.91,4666,23.50190698146335,43.80179154056842,,,29.786876159246916,,,,,,,
2008-10-21 12:10:00,35.82,35.83,32.83,33.21,2638,24.78536055897912,43.38642716642849,,,29.786876159246916,,,,,,,
2008-10-22 12:10:00,34.58,34.91,31.55,31.68,5729,22.694147472241397,42.92735159127443,,,29.786876159246916,,,,,,,
2008-10-23 12:10:00,31.67,32.57,31.5,31.9,1810,23.691144628451838,42.494906430832295,,,29.786876159246916,,,,,,,
2008-10-24 12:10:00,31.25,31.25,29.17,29.8,4055,20.917940904876588,41.997066962956524,,,29.786876159246916,,,,,,,
2008-10-27 12:10:00,28.33,29.79,25.0,27.33,4788,18.216892495047944,41.42188786636999,,,24.750903891944304,,,,,,,
2008-10-28 12:10:00,27.33,29.58,26.08,29.09,1151,25.589916162398012,40.93828442062999,,,24.750903891944304,,,,,,,
2008-10-31 12:10:00,30.17,32.88,30.17,32.41,1903,37.108163398011754,40.60384189433078,,,24.750903891944304,,,,,,,
2008-11-03 12:11:00,32.91,35.83,32.58,34.67,2746,43.51763879797718,40.37114221220016,,,31.981936211854347,,,,,,,
2008-11-04 12:11:00,33.08,34.92,30.84,33.21,2426,40.636441630587726,40.09031310583938,,,31.981936211854347,,,,,,,
2008-11-05 12:11:00,35.42,35.73,32.5,32.93,3604,40.08827214937542,39.80951651345352,,,31.981936211854347,,,,,,,
2008-11-06 12:11:00,32.5,32.5,31.5,32.17,666,38.56751090344426,39.50992763057299,,,31.981936211854347,,,,,,,
2008-11-07 12:11:00,31.5,33.26,31.09,33.18,1802,41.73105103436902,39.261695174472095,,,31.981936211854347,,,,,,,
2008-11-10 12:11:00,33.42,34.5,33.42,34.05,1043,44.387667784026554,39.05731497155162,,,33.99703959222937,,,,,,,
2008-11-11 12:11:00,33.33,34.16,33.17,33.41,1333,42.84031348160449,38.83585163933391,,,33.99703959222937,,,,,,,
2008-11-12 12:11:00,33.0,33.75,32.08,32.83,2743,41.430755341286684,38.60032804563454,,,33.99703959222937,,,,,,,
2008-11-14 12:11:00,32.79,33.16,32.08,32.35,642,40.250437725643955,38.35521714188417,,,33.99703959222937,,,,,,,
2008-11-17 12:11:00,31.92,31.92,28.42,30.23,1460,35.447168845686434,38.03658117553577,,,32.86671942994778,,,,,,,
2008-11-18 12:11:00,30.33,30.95,29.17,29.63,1077,34.20313477318223,37.70691132551477,,,32.86671942994778,,,,,,,
2008-11-19 12:11:00,29.67,31.41,28.75,30.0,1192,35.70173276990502,37.40467950882792,,,32.86671942994778,,,,,,,
2008-11-20 12:11:00,29.17,30.21,28.75,29.27,803,34.053757090905805,37.08567246926604,,,32.86671942994778,,,,,,,
2008-11-21 12:11:00,29.0,30.16,28.19,28.48,2154,32.31532038337902,36.74819511753012,,,32.86671942994778,,,,,,,
2008-11-24 12:11:00,28.25,28.86,25.42,28.08,1669,31.440143274581516,36.40826589723483,,,28.16471262060348,,,,,,,
2008-11-25 12:11:00,29.17,30.4,27.75,28.05,1282,31.37152038565887,36.08049076400994,,,28.16471262060348,,,,,,,
2008-11-26 12:11:00,28.05,28.65,28.05,28.5,409,33.70882928171892,35.7832166164017,,,28.16471262060348,,,,,,,
2008-11-28 12:11:00,28.24,30.0,27.69,29.28,1056,37.67130437132106,35.528188513797716,,,28.16471262060348,,,,,,,
2008-12-01 12:12:00,29.58,30.0,29.17,29.8,1210,40.2360459000206,35.30355367011938,,,30.381951309328656,,,,,,,
2008-12-02 12:12:00,28.75,30.82,28.18,29.87,2274,40.59044389228289,35.090473134036266,,,30.381951309328656,,,,,,,
2008-12-03 12:12:00,30.0,31.25,28.84,29.96,4415,41.07426641325012,34.889278109172096,,,30.381951309328656,,,,,,,
2008-12-04 12:12:00,30.0,35.95,29.96,35.06,14781,60.63702323730193,34.895973085282996,,,30.381951309328656,,,,,,,
2008-12-05 12:12:00,35.09,37.33,34.29,35.46,9330,61.71070824835275,34.91809178782092,,,30.381951309328656,,,,,,,
2008-12-08 12:12:00,36.17,36.25,35.0,35.04,5394,59.864287148942346,34.92287250202402,,,44.60592917804321,,,,,,,
2008-12-10 12:12:00,35.0,36.58,34.67,35.4,1776,60.943002770629114,34.941583384297594,,,44.60592917804321,,,,,,,
2008-12-11 12:12:00,34.42,36.24,34.42,35.64,8000,61.68238311710867,34.96897227118789,,,44.60592917804321,,,,,,,
2008-12-12 12:12:00,35.41,37.17,34.68,36.44,8978,64.12062795594065,35.02665963310209,,,44.60592917804321,,,,,,,
2008-12-15 12:12:00,36.25,42.58,36.25,41.52,14876,74.99953590761403,35.28130043180397,,,46.47355514938826,,,,,,,
2008-12-16 12:12:00,40.25,42.08,39.26,40.46,4748,70.21543949230232,35.48438668938029,,,46.47355514938826,,,,,,,
2008-12-17 12:12:00,40.0,41.02,37.95,38.63,2562,62.771026075202904,35.60774407411047,,,46.47355514938826,,,,,,,
2008-12-18 12:12:00,38.83,40.42,38.42,39.85,1400,65.40439788762006,35.77410705159634,,,46.47355514938826,,,,,,,
2008-12-19 12:12:00,40.75,41.67,39.58,41.4,5190,68.45713113849533,35.99473030447491,,,46.47355514938826,,,,,,,
2008-12-22 12:12:00,40.13,42.92,40.13,42.32,2521,70.14127811406615,36.242780096456286,,,54.782945725541076,,,,,,,
2008-12-23 12:12:00,41.14,41.66,39.33,39.8,984,60.597299328698206,36.3822789162031,37.99239544766457,,54.782945725541076,,,,,,,
2008-12-24 12:12:00,39.83,40.83,38.92,39.4,976,59.21987605130432,36.50062091948926,38.02026880513656,,54.782945725541076,,,,,,,
2008-12-26 12:12:00,39.46,39.92,38.33,38.81,662,57.156141867094966,36.591184804999486,38.03590704661901,,54.782945725541076,,,,,,,
2008-12-29 12:12:00,37.1,38.86,37.09,37.67,1001,53.291728350762256,36.633491283234804,38.028661362527544,,50.384488257190995,,,,,,,
2008-12-30 12:12:00,38.31,42.08,38.0,40.25,6085,59.89969576231681,36.775315154480495,38.072648266239874,,50.384488257190995,,,,,,,
2009-01-01 12:01:00,39.67,41.67,39.67,41.04,814,61.68705441330676,36.94255769744205,38.13140770651235,,50.384488257190995,,,,,,,
2009-01-02 12:01:00,40.67,42.07,40.33,41.92,3151,63.63164407289727,37.13775151322863,38.20642933608636,,50.384488257190995,,,,,,,
2009-01-05 12:01:00,41.67,42.08,40.17,40.61,2461,58.843632304771226,37.273918120553,38.25402479477772,,55.05127252686121,,,,,,,
2009-01-06 12:01:00,40.17,41.66,39.63,40.13,3382,57.1468391480996,37.3859213315117,38.29117281864351,,55.05127252686121,,,,,,,
2009-01-07 12:01:00,39.67,40.48,37.51,38.25,8153,50.94994032023233,37.419806769491636,38.29035751530403,,55.05127252686121,,,,,,,
2009-01-09 12:01:00,38.75,38.75,33.79,34.77,11499,41.89388775758995,37.315892778531186,38.22064746549603,,55.05127252686121,,,,,,,
2009-01-13 12:01:00,35.45,36.42,35.45,35.83,1419,45.09512225595776,37.25762247349075,38.17330791172383,,44.65261094530688,,,,,,,
2009-01-14 12:01:00,35.96,37.15,35.93,37.03,1926,48.55080838168129,37.24869610198131,38.15066815109564,,44.65261094530688,,,,,,,
2009-01-15 12:01:00,35.02,36.83,35.0,36.67,2386,47.583236416984086,37.22600213719773,38.121347989687806,,44.65261094530688,,,,,,,
2009-01-16 12:01:00,36.83,37.08,35.08,35.38,3954,44.185145508673465,37.153609896523314,38.06706387108013,,44.65261094530688,,,,,,,
2009-01-19 12:01:00,37.46,37.92,36.09,37.55,1987,50.57879798317756,37.16915460646357,38.05682498254389,,45.5967659004892,,,,,,,
2009-01-20 12:01:00,35.92,38.25,35.92,37.58,1143,50.66294111846737,37.185266190523826,38.04738290368163,,45.5967659004892,,,,,,,
2009-01-21 12:01:00,39.08,42.08,36.93,38.55,6443,53.424162466635956,37.23878516344446,38.05733571747012,,45.5967659004892,,,,,,,
2009-01-22 12:01:00,39.99,39.99,35.93,37.5,4614,50.15211590785973,37.24902888252507,38.04629936662913,,45.5967659004892,,,,,,,
2009-01-23 12:01:00,37.09,37.09,35.83,36.05,964,45.96537623207753,37.20200814203389,38.006768686101815,,45.5967659004892,,,,,,,
2009-01-27 12:01:00,36.5,40.83,36.5,39.64,25333,55.80300758308497,37.297615665875696,38.039109900238415,,46.67279644521016,,,,,,,
2009-01-28 12:01:00,39.58,41.24,39.58,40.89,5338,58.62743919046273,37.43849348290018,38.095563169540625,,46.67279644521016,,,,,,,
2009-01-29 12:01:00,40.83,40.83,38.43,39.59,7428,54.71150798204492,37.52286628749233,38.12515597806457,,46.67279644521016,,,,,,,
2009-01-30 12:01:00,39.5,42.08,38.67,41.67,4173,59.38580827658124,37.68549898210047,38.195350909192,,46.67279644521016,,,,,,,
2009-02-02 12:02:00,41.13,41.92,39.6,39.7,1218,53.72954652006835,37.7644990220181,38.22514594069315,,54.75637198333473,,,,,,,
2009-02-03 12:02:00,39.77,40.7,39.58,39.65,295,53.59003203337543,37.838440236840924,38.25336087256061,,54.75637198333473,,,,,,,
2009-02-04 12:02:00,39.83,41.29,39.83,40.86,2606,56.53160600865738,37.95693277657265,38.30497748894555,,54.75637198333473,,,,,,,
2009-02-05 12:02:00,40.96,41.33,38.76,39.62,2739,52.83573140383673,38.02215109906,38.3310175386694,,54.75637198333473,,,,,,,
2009-02-09 12:02:00,40.52,42.24,40.52,41.13,707,56.56011588111492,38.14402752654784,38.38644293394327,,51.679060018190214,,,,,,,
2009-02-10 12:02:00,40.58,42.42,40.58,42.02,4683,58.63353707938809,38.29602644707538,38.4583945590137,,51.679060018190214,,,,,,,
2009-02-11 12:02:00,40.17,41.67,40.17,40.95,1284,55.22096877929837,38.40010384130772,38.50773328061739,,51.679060018190214,,,,,,,
2009-02-12 12:02:00,40.92,44.04,40.92,43.68,10506,61.39467579068809,38.607158592628984,38.61015440377348,,51.679060018190214,,,,,,,
2009-02-13 12:02:00,44.13,49.78,43.75,47.62,23686,68.20733304846075,38.96060335370236,38.78856718785717,,51.679060018190214,,,,,,,
2009-02-16 12:02:00,48.32,48.32,46.17,47.21,5928,66.88461318850196,39.28410910453756,38.95532823364217,,60.91133115423194,,,,,,,
2009-02-17 12:02:00,45.58,46.5,45.33,45.55,2097,61.67002690175727,39.52983031612433,39.085915793372024,,60.91133115423194,,,,,,,
2009-02-18 12:02:00,43.18,47.5,42.52,43.08,2026,54.82120652110785,39.66905265666848,39.165006569740896,,60.91133115423194,,,,,,,
2009-02-20 12:02:00,46.67,48.74,42.25,42.68,1974,53.779592382700095,39.78712902307363,39.23461040004306,,60.91133115423194,,,,,,,
2009-02-24 12:02:00,42.08,42.71,41.46,42.43,1491,53.10051122590845,39.890771022168785,39.29788544162636,,54.04464090219629,,,,,,,
2009-02-25 12:02:00,42.92,46.82,42.17,42.75,10422,53.90287745895695,40.002897648750405,39.366244145752574,,54.04464090219629,,,,,,,
2009-02-26 12:02:00,43.33,43.74,41.76,42.2,859,52.24834804263263,40.08905852527,39.422358123064406,,54.04464090219629,,,,,,,
2009-02-27 12:02:00,41.76,42.5,40.67,41.15,2302,49.14686335010714,40.13066407329863,39.45656885330075,,54.04464090219629,,,,,,,
2009-03-02 12:03:00,40.5,41.29,39.0,39.65,1476,45.03417385591063,40.11181450179673,39.46039917303737,,52.086153343070286,,,,,,,
2009-03-03 12:03:00,39.58,39.77,37.94,38.43,1242,41.95874383792153,40.045860991922346,39.43999522901683,,52.086153343070286,,,,,,,
2009-03-04 12:03:00,37.92,38.66,37.5,37.56,1963,39.867856463298025,39.948376247141084,39.40276760071947,,52.086153343070286,,,,,,,
2009-03-05 12:03:00,38.42,39.17,37.08,37.26,1614,39.14349645685929,39.842949727645355,39.360336559121066,,52.086153343070286,,,,,,,
2009-03-06 12:03:00,34.67,37.92,34.67,37.03,1087,38.56497969109645,39.73263797362005,39.314191280722625,,52.086153343070286,,,,,,,
2009-03-09 12:03:00,38.67,38.67,34.38,35.8,1860,35.53991493158469,39.57841687661534,39.2446033345697,,47.13297977023744,,,,,,,
2009-03-12 12:03:00,36.67,37.33,34.75,34.93,2605,33.536120282639274,39.396126018708856,39.15916564477624,,47.13297977023744,,,,,,,
2009-03-13 12:03:00,36.49,36.5,34.25,34.74,6658,33.097238434668455,39.21353284150459,39.07165741418661,,47.13297977023744,,,,,,,
2009-03-16 12:03:00,35.75,36.58,34.76,36.4,6904,40.4320148723691,39.103198220269114,39.01875330697499,,44.594545326879015,,,,,,,
2009-03-17 12:03:00,35.28,39.0,35.28,37.3,2396,44.015687198520574,39.032484564572286,38.984718588025,,44.594545326879015,,,,,,,
2009-03-18 12:03:00,37.08,39.83,36.76,39.35,3936,51.21509654313477,39.04493615027534,38.991951883311636,,44.594545326879015,,,,,,,
2009-03-19 12:03:00,38.47,39.33,38.13,39.17,1825,50.59980256395444,39.04984061497043,38.99547758859259,,44.594545326879015,,,,,,,
2009-03-20 12:03:00,38.77,39.4,36.92,37.9,7991,46.367164732911654,39.00474882614806,38.97378496307591,,44.594545326879015,,,,,,,
2009-03-23 12:03:00,37.92,41.42,36.35,40.43,15192,54.527573285490966,39.06064102904421,39.002620904401134,,48.70029271883763,,,,,,,
2009-03-24 12:03:00,39.93,40.83,39.93,40.42,3590,54.492280958418895,39.11394922398366,39.03068781718527,,48.70029271883763,,,,,,,
2009-03-25 12:03:00,39.19,39.91,37.33,37.78,5445,46.02331095732254,39.061637489709796,39.00592172179546,,48.70029271883763,,,,,,,
2009-03-26 12:03:00,37.25,39.0,37.25,37.94,1683,46.565336095234095,39.01765170579961,38.98481436096783,,48.70029271883763,,,,,,,
2009-03-27 12:03:00,37.5,39.96,37.5,39.66,3140,52.13035382696219,39.04284183498394,38.99818437362193,,48.70029271883763,,,,,,,
2009-03-30 12:03:00,39.83,44.99,38.44,41.87,10018,58.15990083866594,39.15371078263163,39.05505200978783,,50.883415348083076,,,,,,,
2009-03-31 12:03:00,42.25,43.99,40.26,43.34,5768,61.62256343097396,39.317878987234316,39.139902465039555,,50.883415348083076,,,,,,,
2009-04-01 12:04:00,42.59,43.75,42.59,43.38,1454,61.71541062929583,39.47717785048003,39.22386479246452,,50.883415348083076,,,,,,,
2009-04-02 12:04:00,42.5,47.42,42.5,46.77,9618,68.63999033926501,39.76317087595141,39.37329321241571,,50.883415348083076,,,,,,,
2009-04-06 12:04:00,48.33,51.64,44.75,46.28,1591,66.76037383130407,40.01873280238469,39.51005968345698,,58.556370252229286,,,,,,,
2009-04-08 12:04:00,46.42,48.08,43.94,47.63,7183,69.25810154402045,40.31721386895784,39.67085058081427,,58.556370252229286,,,,,,,
2009-04-09 12:04:00,48.33,48.33,44.18,45.66,5468,61.943331736355944,40.52673489370459,39.789447599015965,,58.556370252229286,,,,,,,
2009-04-13 12:04:00,47.0,54.03,46.13,50.47,15817,70.21497182974599,40.91666685865735,40.00094368616416,,57.05776482340835,,,,,,,
2009-04-15 12:04:00,46.8,57.08,46.8,53.03,21324,73.51447819810043,41.391699530866866,40.25894480128962,,57.05776482340835,,,,,,,
2009-04-16 12:04:00,52.92,54.17,46.75,49.09,9509,62.11048796074836,41.6935936669113,40.4338171814621,,57.05776482340835,,,,,,,
2009-04-17 12:04:00,49.58,51.67,47.78,48.22,3617,59.90083265491178,41.94953117016968,40.58799901945295,,57.05776482340835,,,,,,,
2009-04-20 12:04:00,44.58,51.67,44.26,49.43,5722,61.92944737387216,42.24288288898656,40.76308814778062,,59.62423147344627,,,,,,,
2009-04-21 12:04:00,47.92,50.42,47.92,48.69,1943,59.93253993929109,42.49571101098708,40.92005669930971,,59.62423147344627,,,,,,,
2009-04-22 12:04:00,49.92,49.92,45.85,47.41,2996,56.53664905849086,42.68842822624249,41.04857042803625,,59.62423147344627,,,,,,,
2009-04-23 12:04:00,47.5,49.49,46.83,48.82,811,59.274154428411535,42.928882021291805,41.20246012253058,,59.62423147344627,,,,,,,
