datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,61.35,65.75,61.0,64.55,569875,,,,,,,,,,,,
2008-07-18 12:07:00,65.0,66.25,64.0,65.15,322488,,,,,,,,,,,,
2008-07-21 12:07:00,65.15,65.95,62.55,63.7,92609,,,,,,,,,,,,
2008-07-22 12:07:00,64.2,66.05,64.0,65.5,138305,,,,,,,,,,,,
2008-07-23 12:07:00,66.95,73.85,66.6,69.55,1106540,,,,,,,,,,,,
2008-07-24 12:07:00,70.4,71.75,67.6,68.65,238637,,,,,,,,,,,,
2008-07-28 12:07:00,68.45,70.25,68.45,70.1,375887,,,,,,,,,,,,
2008-07-29 12:07:00,69.0,69.85,66.65,67.5,233468,,,,,,,,,,,,
2008-07-30 12:07:00,68.5,69.0,66.95,68.25,145532,,,,,,,,,,,,
2008-07-31 12:07:00,69.5,69.75,68.0,68.45,221176,,,,,,,,,,,,
2008-08-01 12:08:00,68.0,69.5,67.0,69.2,130426,,,,,,,,,,,,
2008-08-04 12:08:00,69.05,70.2,69.0,69.45,64030,,,,,,,,,,,,
2008-08-05 12:08:00,69.95,72.55,69.45,72.0,184666,,,,,,,,,,,,
2008-08-06 12:08:00,72.95,74.0,72.25,72.55,205158,75.06429623920258,,,,,,,,,,,
2008-08-07 12:08:00,72.95,73.95,71.3,71.85,107056,70.35123376170401,,,,,,,,,,,
2008-08-08 12:08:00,71.5,72.45,70.8,72.15,243048,71.1862173763991,,,,,,,,,,,
2008-08-11 12:08:00,72.9,73.5,71.95,72.15,64303,71.1862173763991,,,,,,,,,,,
2008-08-12 12:08:00,72.05,73.5,71.0,72.1,75250,70.80080325011795,,,,,,,,,,,
2008-08-13 12:08:00,71.8,72.75,71.05,72.1,43001,70.80080325011795,,,,,,,,,,,
2008-08-14 12:08:00,72.0,77.0,71.15,72.0,536819,69.92269265231657,,,,,,,,,,,
2008-08-18 12:08:00,72.0,72.15,70.3,71.45,298283,65.13760196850424,,,,,,,,,,,
2008-08-19 12:08:00,72.45,72.45,70.0,70.9,58083,60.666585552759074,,,,,,,,,,,
2008-08-20 12:08:00,70.2,71.5,68.7,70.9,136936,60.666585552759074,,,,,,,,,,,
2008-08-21 12:08:00,70.9,71.3,66.85,67.7,134713,41.46271135505486,,,,,,,,,,,
2008-08-25 12:08:00,69.95,71.9,68.5,69.15,690772,49.29506420151125,,,,,,,,,,,
2008-08-26 12:08:00,69.3,70.4,68.3,70.0,568901,53.24444042550613,,,,,,,,,,,
2008-08-27 12:08:00,69.3,71.9,69.0,69.15,65388,49.12388588132525,,,,,,,,,,,
2008-08-28 12:08:00,70.1,72.0,69.0,69.45,285624,50.57764303785692,,,,,,,,,,,
