datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,24.7,25.0,24.15,24.3,10497,,,,,,,,,,,,
2008-07-18 12:07:00,25.15,25.15,24.2,24.75,8443,,,,,,,,,,,,
2008-07-21 12:07:00,24.0,24.45,23.9,24.15,8457,,,,,,,,,,,,
2008-07-22 12:07:00,24.5,25.4,23.7,24.7,18781,,,,,,,,,,,,
2008-07-23 12:07:00,25.0,25.95,25.0,25.95,17915,,,,,,,,,,,,
2008-07-24 12:07:00,26.0,27.25,25.3,27.1,68667,,,,,,,,,,,,
2008-07-28 12:07:00,26.4,28.85,26.4,27.5,23079,,,,,,,,,,,,
2008-07-29 12:07:00,27.1,27.8,26.5,26.65,8825,,,,,,,,,,,,
2008-07-30 12:07:00,27.85,27.85,27.0,27.05,8079,,,,,,,,,,,,
2008-07-31 12:07:00,26.4,28.0,26.4,26.7,10157,,,,,,,,,,,,
2008-08-01 12:08:00,26.2,28.05,26.2,28.05,25883,,,,,,,,,,,,
2008-08-04 12:08:00,29.25,29.45,28.05,29.4,88409,,,,,,,,,,,,
2008-08-05 12:08:00,30.45,30.45,28.5,28.75,30555,,,,,,,,,,,,
2008-08-06 12:08:00,28.65,29.45,27.6,28.25,14721,67.342715737887,,,,,,,,,,,
2008-08-07 12:08:00,28.0,28.8,27.5,27.75,8357,62.30368694755346,,,,,,,,,,,
2008-08-08 12:08:00,28.9,29.15,27.6,29.15,76727,69.2433444515024,,,,,,,,,,,
2008-08-11 12:08:00,29.9,29.9,28.8,29.0,23641,67.80309867471837,,,,,,,,,,,
2008-08-12 12:08:00,28.9,30.0,28.55,29.2,49671,68.7368155483774,,,,,,,,,,,
2008-08-13 12:08:00,28.0,30.15,28.0,29.65,25658,70.78943433429653,,,,,,,,,,,
2008-08-14 12:08:00,29.9,29.9,28.3,28.6,12017,60.76440197543653,,,,,,,,,,,
2008-08-18 12:08:00,29.4,29.4,27.7,27.8,5525,54.43867741079486,,,,,,,,,,,
2008-08-19 12:08:00,27.1,28.25,26.55,26.95,25771,48.64430177625061,,,,,,,,,,,
2008-08-20 12:08:00,27.05,28.3,27.05,28.3,25223,56.55382266284929,,,,,,,,,,,
2008-08-21 12:08:00,29.1,29.15,27.05,27.3,24793,50.3658470151582,,,,,,,,,,,
2008-08-25 12:08:00,27.35,27.5,26.75,26.8,6726,47.56354137582566,,,,,,,,,,,
2008-08-26 12:08:00,26.9,27.3,26.5,26.75,3906,47.28024322212805,,,,,,,,,,,
2008-08-27 12:08:00,27.25,27.25,26.3,26.8,18026,47.61625214619155,,,,,,,,,,,
2008-08-28 12:08:00,26.4,27.0,26.4,26.45,15015,45.43334697879642,,,,,,,,,,,
2008-08-29 12:08:00,27.25,27.3,26.5,26.7,14074,47.29206003648648,,,,,,,,,,,
2008-09-01 12:09:00,26.5,26.5,25.85,26.2,14992,44.0595507760652,,,,,,,,,,,
2008-09-02 12:09:00,26.1,26.9,26.1,26.7,7613,47.89499499380534,,,,,,,,,,,
2008-09-04 12:09:00,27.0,27.0,26.15,26.6,1214,47.19800262946729,,,,,,,,,,,
2008-09-05 12:09:00,26.7,26.7,25.7,26.25,12085,44.74373001367993,,,,,,,,,,,
2008-09-08 12:09:00,27.25,28.3,27.25,27.75,25100,55.438409289819674,,,,,,,,,,,
2008-09-09 12:09:00,27.4,30.0,27.0,29.4,60636,63.74980431237138,,,,,,,,,,,
2008-09-10 12:09:00,31.0,35.3,29.25,34.3,281358,77.29395060361867,,,,,,,,,,,
2008-09-11 12:09:00,34.45,36.0,28.1,31.3,171684,62.01628822986486,,,,,,,,,,,
2008-09-12 12:09:00,32.4,33.5,29.15,29.55,54096,55.16634332867678,,,,,,,,,,,
2008-09-15 12:09:00,27.6,29.0,26.2,26.55,53794,45.822456571622794,,,,,,,,,,,
2008-09-18 12:09:00,25.15,25.7,22.55,25.15,27321,42.227907671590444,,,,,,,,,,,
2008-09-19 12:09:00,26.1,29.4,25.55,27.4,87980,49.134005605453076,,,,,,,,,,,
2008-09-22 12:09:00,27.5,27.85,26.55,26.9,22774,47.767475832585674,,,,,,,,,,,
2008-09-23 12:09:00,26.4,28.95,26.4,27.1,44850,48.38584865327308,,,,,,,,,,,
2008-09-24 12:09:00,27.8,28.25,26.75,27.55,19802,49.825185218307595,,,,,,,,,,,
2008-09-25 12:09:00,28.1,28.55,26.5,26.7,14173,47.150509979541354,,,,,,,,,,,
2008-09-26 12:09:00,26.0,27.5,25.1,25.75,24537,44.288925063103875,,,,,,,,,,,
2008-09-29 12:09:00,25.9,25.9,23.1,24.05,21421,39.65137610790414,,,,,,,,,,,
2008-09-30 12:09:00,22.0,25.9,22.0,24.95,34690,43.05119848307617,,,,,,,,,,,
