datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,42.26,45.37,42.26,44.88,819472,,,,,,,,,,,,
2008-07-18 12:07:00,45.38,47.48,44.38,47.1,1109939,,,,,,,,,,,,
2008-07-21 12:07:00,47.49,48.36,44.01,46.8,1173250,,,,,,,,,,,,
2008-07-22 12:07:00,46.24,46.63,44.75,45.59,1310269,,,,,,,,,,,,
2008-07-23 12:07:00,46.25,47.75,45.83,47.04,2756957,,,,,,,,,,,,
2008-07-24 12:07:00,47.49,49.36,46.56,47.19,2557472,,,,,,,,,,,,
2008-07-28 12:07:00,45.75,46.86,45.56,46.19,1141012,,,,,,,,,,,,
2008-07-29 12:07:00,46.25,47.15,44.51,45.41,2191848,,,,,,,,,,,,
2008-07-30 12:07:00,46.0,48.13,45.88,46.83,2065970,,,,,,,,,,,,
2008-07-31 12:07:00,47.24,48.99,46.25,46.95,3414855,,,,,,,,,,,,
2008-08-01 12:08:00,46.23,49.46,46.0,48.83,1678641,,,,,,,,,,,,
2008-08-04 12:08:00,48.13,49.09,47.75,48.16,770161,,,,,,,,,,,,
2008-08-05 12:08:00,48.53,50.38,48.01,50.12,2405193,,,,,,,,,,,,
2008-08-06 12:08:00,50.69,51.88,49.58,49.93,1020192,70.45430941797088,,,,,,,,,,,
2008-08-07 12:08:00,50.0,51.84,49.75,50.86,1574110,73.50237452841579,,,,,,,,,,,
2008-08-08 12:08:00,51.0,51.69,50.25,50.96,1461833,73.81518503999618,,,,,,,,,,,
2008-08-11 12:08:00,51.5,53.06,51.29,52.44,1683794,77.9618256333196,,,,,,,,,,,
2008-08-12 12:08:00,52.11,53.37,52.01,52.41,1377534,77.69324519986048,,,,,,,,,,,
2008-08-13 12:08:00,51.88,52.71,51.4,52.29,1197389,76.5571291789304,,,,,,,,,,,
2008-08-14 12:08:00,52.25,52.73,51.13,52.14,1639478,75.07919956194615,,,,,,,,,,,
2008-08-18 12:08:00,51.88,53.09,48.66,49.24,1360232,53.55384929460168,,,,,,,,,,,
2008-08-19 12:08:00,48.73,49.75,47.66,49.31,940232,53.89743917816302,,,,,,,,,,,
2008-08-20 12:08:00,50.0,50.36,48.75,49.9,1451393,56.798320282330856,,,,,,,,,,,
2008-08-21 12:08:00,49.19,49.61,48.26,48.66,1156233,49.717714824593145,,,,,,,,,,,
2008-08-25 12:08:00,48.76,49.75,48.13,48.51,589465,48.923196379165645,,,,,,,,,,,
2008-08-26 12:08:00,48.0,49.24,47.75,48.92,850315,51.2179201728693,,,,,,,,,,,
2008-08-27 12:08:00,49.59,50.99,48.77,49.4,1210448,53.83297421547408,,,,,,,,,,,
