datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2017-10-25 12:10:00,425.0,449.5,390.0,437.15,27556221,,,,,,,,,,,,
2017-10-26 12:10:00,439.75,439.75,422.5,426.08,2045983,,,,,,,,,,,,
2017-10-27 12:10:00,425.0,429.0,415.0,417.43,561271,,,,,,,,,,,,
2017-10-30 12:10:00,417.43,430.03,413.13,427.73,894609,,,,,,,,,,,,
2017-10-31 12:10:00,425.0,437.5,422.03,430.98,1380572,,,,,,,,,,,,
2017-11-01 12:11:00,432.5,434.0,422.28,424.0,268587,,,,,,,,,,,,
2017-11-02 12:11:00,422.5,426.25,417.5,418.9,165896,,,,,,,,,,,,
2017-11-03 12:11:00,416.0,421.0,413.75,415.03,172227,,,,,,,,,,,,
2017-11-06 12:11:00,414.0,415.98,407.5,408.9,199889,,,,,,,,,,,,
2017-11-07 12:11:00,408.9,415.0,401.28,403.38,239129,,,,,,,,,,,,
2017-11-08 12:11:00,403.0,405.53,399.53,400.03,157748,,,,,,,,,,,,
2017-11-09 12:11:00,400.5,405.0,395.0,395.7,268063,,,,,,,,,,,,
2017-11-10 12:11:00,395.05,415.0,395.05,411.03,460788,,,,,,,,,,,,
2017-11-13 12:11:00,412.53,424.5,403.75,405.93,626837,35.62749753494013,,,,,,,,,,,
2017-11-14 12:11:00,411.75,416.93,408.03,412.43,238195,42.51586275363397,,,,,,,,,,,
2017-11-15 12:11:00,412.5,412.5,398.05,399.98,101299,34.82829922361755,,,,,,,,,,,
2017-11-16 12:11:00,400.3,406.5,400.0,401.33,89209,36.17593120497409,,,,,,,,,,,
2017-11-17 12:11:00,401.88,405.05,396.0,396.88,204024,33.70204651150857,,,,,,,,,,,
2017-11-20 12:11:00,397.5,401.15,396.03,399.93,281824,36.8876980367929,,,,,,,,,,,
2017-11-21 12:11:00,398.08,410.4,396.5,398.25,351467,35.86542192034079,,,,,,,,,,,
2017-11-22 12:11:00,400.0,404.4,398.5,399.25,113027,36.984877453244415,,,,,,,,,,,
2017-11-23 12:11:00,398.58,402.35,395.83,397.1,116569,35.54821244083844,,,,,,,,,,,
2017-11-24 12:11:00,399.9,399.9,396.33,397.9,81887,36.53607039550782,,,,,,,,,,,
2017-11-27 12:11:00,398.0,398.7,392.5,393.6,197791,33.55873180395615,,,,,,,,,,,
2017-11-28 12:11:00,393.0,400.0,393.0,399.05,156129,40.2092174292386,,,,,,,,,,,
2017-11-29 12:11:00,398.75,402.95,397.25,400.73,127947,42.13209086314246,,,,,,,,,,,
2017-11-30 12:11:00,401.5,406.0,397.55,401.63,145010,43.186206274513665,,,,,,,,,,,
2017-12-01 12:12:00,403.2,403.2,397.5,398.48,96736,40.41155348083944,,,,,,,,,,,
2017-12-04 12:12:00,398.5,399.98,393.05,397.93,74054,39.92917190372869,,,,,,,,,,,
2017-12-05 12:12:00,397.9,399.0,395.03,396.65,61386,38.769312804297506,,,,,,,,,,,
2017-12-06 12:12:00,397.5,400.88,393.0,400.4,109219,43.90983923896985,,,,,,,,,,,
2017-12-07 12:12:00,397.78,403.0,397.78,401.33,92495,45.139913456698984,,,,,,,,,,,
2017-12-08 12:12:00,399.5,402.3,397.75,400.7,64572,44.429101948996184,,,,,,,,,,,
2017-12-11 12:12:00,400.95,401.53,395.0,395.88,127370,39.32672352663292,,,,,,,,,,,
2017-12-12 12:12:00,395.0,399.0,395.0,395.18,57287,38.63282293283728,,,,,,,,,,,
2017-12-13 12:12:00,394.13,397.3,392.5,393.48,44143,36.92866940296437,,,,,,,,,,,
2017-12-14 12:12:00,392.68,394.18,388.5,389.45,61968,33.190903037992086,,,,,,,,,,,
2017-12-15 12:12:00,391.15,393.0,387.5,390.2,75233,34.51922455128249,,,,,,,,,,,
2017-12-18 12:12:00,390.0,392.43,383.5,391.0,75037,35.981359503717556,,,,,,,,,,,
2017-12-19 12:12:00,391.28,394.75,388.78,391.2,126378,36.363921430962364,,,,,,,,,,,
2017-12-20 12:12:00,389.53,395.0,389.53,392.55,62459,39.01315308829925,,,,,,,,,,,
2017-12-21 12:12:00,393.5,395.0,390.0,390.3,77568,36.300684171802246,,,,,,,,,,,
2017-12-22 12:12:00,389.0,391.1,386.55,386.9,100409,32.6109257850504,,,,,,,,,,,
2017-12-26 12:12:00,387.5,390.9,385.5,389.78,132431,38.32915152086684,,,,,,,,,,,
2017-12-27 12:12:00,390.0,390.0,381.75,382.68,243888,31.281956928249045,,,,,,,,,,,
2017-12-28 12:12:00,382.68,386.6,380.3,380.7,81062,29.64502577018932,,,,,,,,,,,
2017-12-29 12:12:00,381.0,381.3,376.25,376.85,110137,26.717428217349166,,,,,,,,,,,
2018-01-01 12:01:00,376.5,383.53,376.15,382.38,99009,36.42857609624968,,,,,,,,,,,
2018-01-02 12:01:00,382.38,385.0,380.0,381.38,63302,35.51213161745274,,,,,,,,,,,
2018-01-03 12:01:00,381.45,384.88,381.4,382.93,58158,38.11105469897777,399.8650537948636,,,,,,,,,,
2018-01-04 12:01:00,382.5,388.93,381.0,383.9,91645,39.747550265074615,399.2389732538886,,,,,,,,,,
2018-01-05 12:01:00,384.0,387.0,382.0,382.18,63778,37.836994244970356,398.5699939105989,,,,,,,,,,
