datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,35.4,36.2,34.57,35.34,7815036,,,,,,,,,,,,
2008-07-18 12:07:00,35.58,36.32,35.09,36.04,7279575,,,,,,,,,,,,
2008-07-21 12:07:00,36.28,36.96,34.51,35.46,6550294,,,,,,,,,,,,
2008-07-22 12:07:00,35.6,36.9,35.13,36.34,5302816,,,,,,,,,,,,
2008-07-23 12:07:00,38.38,39.12,37.76,38.51,16139785,,,,,,,,,,,,
2008-07-24 12:07:00,39.21,41.14,38.59,39.45,12845216,,,,,,,,,,,,
2008-07-28 12:07:00,39.16,39.37,38.61,38.88,3690049,,,,,,,,,,,,
2008-07-29 12:07:00,37.97,38.71,35.99,36.28,5757864,,,,,,,,,,,,
2008-07-30 12:07:00,37.89,38.09,36.84,37.89,5133650,,,,,,,,,,,,
2008-07-31 12:07:00,38.34,40.15,36.49,39.56,14969122,,,,,,,,,,,,
2008-08-01 12:08:00,37.76,42.46,37.76,42.03,15160723,,,,,,,,,,,,
2008-08-04 12:08:00,41.84,44.54,41.51,43.49,16031237,,,,,,,,,,,,
2008-08-05 12:08:00,42.91,45.03,42.91,44.76,9800633,,,,,,,,,,,,
2008-08-06 12:08:00,45.75,46.62,42.87,43.08,11283826,69.79225311282343,,,,,,,,,,,
2008-08-07 12:08:00,42.91,43.65,41.99,42.75,8579790,67.94229372913017,,,,,,,,,,,
2008-08-08 12:08:00,42.5,43.82,42.09,43.26,7330642,69.29679556632637,,,,,,,,,,,
2008-08-11 12:08:00,43.96,45.73,43.74,45.18,9750363,73.78711918561504,,,,,,,,,,,
2008-08-12 12:08:00,45.38,47.5,44.17,46.89,15133703,77.0117461866528,,,,,,,,,,,
2008-08-13 12:08:00,45.81,46.86,44.93,45.36,11636561,68.8505780053959,,,,,,,,,,,
2008-08-14 12:08:00,44.97,45.22,43.18,43.36,5869831,59.91264494489607,,,,,,,,,,,
2008-08-18 12:08:00,43.1,43.88,42.09,42.99,3910407,58.40216533044148,,,,,,,,,,,
2008-08-19 12:08:00,42.54,44.27,42.5,43.65,6526651,60.32372621233025,,,,,,,,,,,
2008-08-20 12:08:00,43.98,45.03,43.94,44.35,4322626,62.312213606319986,,,,,,,,,,,
2008-08-21 12:08:00,43.94,44.41,42.5,42.93,4734632,56.163029735993184,,,,,,,,,,,
2008-08-25 12:08:00,43.98,44.31,42.71,42.81,2868204,55.66312246949975,,,,,,,,,,,
2008-08-26 12:08:00,38.38,43.28,38.38,42.95,4484149,56.1534718215185,,,,,,,,,,,
2008-08-27 12:08:00,50.74,50.74,42.15,42.42,3118750,53.73079072485732,,,,,,,,,,,
2008-08-28 12:08:00,40.54,43.71,40.54,42.79,6312246,55.18443794885522,,,,,,,,,,,
2008-08-29 12:08:00,44.15,44.31,43.34,43.78,3468917,58.904729241182814,,,,,,,,,,,
2008-09-01 12:09:00,43.22,43.45,42.46,42.89,3051766,54.52279641283567,,,,,,,,,,,
2008-09-02 12:09:00,42.56,44.76,42.56,44.54,5693565,60.40375564062305,,,,,,,,,,,
2008-09-04 12:09:00,44.11,45.32,43.57,44.89,4889598,61.539900235168815,,,,,,,,,,,
