datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,155.88,159.37,143.93,146.48,345291,,,,,,,,,,,,
2008-07-18 12:07:00,149.83,151.78,142.89,145.03,338985,,,,,,,,,,,,
2008-07-21 12:07:00,148.88,148.88,137.44,140.04,165846,,,,,,,,,,,,
2008-07-22 12:07:00,141.89,152.88,139.89,143.24,392428,,,,,,,,,,,,
2008-07-23 12:07:00,150.98,171.91,147.93,171.91,937947,,,,,,,,,,,,
2008-07-24 12:07:00,179.86,190.85,164.87,178.26,1275458,,,,,,,,,,,,
2008-07-28 12:07:00,178.86,186.3,176.06,178.46,479810,,,,,,,,,,,,
2008-07-29 12:07:00,177.76,183.65,167.97,173.66,460583,,,,,,,,,,,,
2008-07-30 12:07:00,184.35,192.5,175.96,178.66,471171,,,,,,,,,,,,
2008-07-31 12:07:00,181.7,181.7,171.86,174.16,138524,,,,,,,,,,,,
2008-08-01 12:08:00,170.11,181.25,168.12,179.26,368983,,,,,,,,,,,,
2008-08-04 12:08:00,177.86,184.55,177.06,181.6,208530,,,,,,,,,,,,
2008-08-05 12:08:00,181.75,186.65,181.06,182.1,156930,,,,,,,,,,,,
2008-08-06 12:08:00,186.35,199.39,185.05,187.45,772169,79.24832023639757,,,,,,,,,,,
2008-08-07 12:08:00,187.2,189.3,183.35,184.4,127581,73.79675850258502,,,,,,,,,,,
2008-08-08 12:08:00,182.85,187.75,175.86,182.9,154546,71.20256359612968,,,,,,,,,,,
2008-08-11 12:08:00,188.35,188.85,181.95,183.45,111311,71.59682863147202,,,,,,,,,,,
2008-08-12 12:08:00,184.85,184.9,178.36,180.16,90534,65.79401383265017,,,,,,,,,,,
2008-08-13 12:08:00,178.86,190.45,177.96,186.55,326709,70.75224824982749,,,,,,,,,,,
2008-08-14 12:08:00,186.95,187.85,180.91,182.25,98512,64.02655079923719,,,,,,,,,,,
2008-08-18 12:08:00,181.85,185.85,175.36,176.31,101301,56.09394713860979,,,,,,,,,,,
2008-08-19 12:08:00,175.66,176.16,168.86,171.46,121115,50.58329791096857,,,,,,,,,,,
2008-08-20 12:08:00,172.86,177.66,172.86,175.16,86750,54.273887214416526,,,,,,,,,,,
2008-08-21 12:08:00,175.36,175.36,170.86,172.21,112250,51.003303699198966,,,,,,,,,,,
2008-08-25 12:08:00,178.66,178.66,172.86,173.86,60907,52.71948484741026,,,,,,,,,,,
2008-08-26 12:08:00,171.11,173.76,164.87,167.77,123073,46.27665944716946,,,,,,,,,,,
2008-08-27 12:08:00,165.37,172.36,163.87,165.37,51234,43.99481851029313,,,,,,,,,,,
2008-08-28 12:08:00,165.87,167.67,161.92,163.27,150227,42.041408710056146,,,,,,,,,,,
2008-08-29 12:08:00,166.37,171.86,165.37,168.86,134921,48.58557079031903,,,,,,,,,,,
2008-09-01 12:09:00,168.22,168.22,162.87,164.02,56593,43.95762095514093,,,,,,,,,,,
2008-09-02 12:09:00,165.87,170.76,165.37,168.67,162293,48.985314749285656,,,,,,,,,,,
2008-09-04 12:09:00,168.57,175.26,163.92,168.27,128526,48.581562037025726,,,,,,,,,,,
2008-09-05 12:09:00,167.67,167.67,163.77,165.82,53768,46.07649276130973,,,,,,,,,,,
2008-09-08 12:09:00,174.16,174.76,168.12,168.81,88056,49.498953177602644,,,,,,,,,,,
2008-09-09 12:09:00,167.87,167.87,164.87,165.12,69506,45.64837875727741,,,,,,,,,,,
