datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,45.9,46.15,42.05,43.45,15062,,,,,,,,,,,,
2008-07-18 12:07:00,44.5,44.5,41.6,42.9,14343,,,,,,,,,,,,
2008-07-21 12:07:00,42.0,45.05,42.0,45.05,29759,,,,,,,,,,,,
2008-07-22 12:07:00,45.0,47.0,42.85,44.6,40045,,,,,,,,,,,,
2008-07-23 12:07:00,45.0,46.7,44.6,45.85,18454,,,,,,,,,,,,
2008-07-24 12:07:00,45.8,48.0,43.6,44.0,10059,,,,,,,,,,,,
2008-07-28 12:07:00,43.0,44.25,42.7,43.25,13345,,,,,,,,,,,,
2008-07-29 12:07:00,43.95,43.95,41.1,42.55,23664,,,,,,,,,,,,
2008-07-30 12:07:00,41.05,42.0,40.45,41.1,18987,,,,,,,,,,,,
2008-07-31 12:07:00,39.75,43.0,39.75,42.25,6138,,,,,,,,,,,,
2008-08-01 12:08:00,41.05,42.5,40.15,41.45,10057,,,,,,,,,,,,
2008-08-04 12:08:00,43.45,43.55,43.0,43.55,18062,,,,,,,,,,,,
2008-08-05 12:08:00,45.75,45.75,45.75,45.75,3824,,,,,,,,,,,,
2008-08-06 12:08:00,48.05,48.05,43.6,44.8,36923,56.007407693173576,,,,,,,,,,,
2008-08-07 12:08:00,46.4,46.5,42.8,44.1,17860,52.49053726993287,,,,,,,,,,,
2008-08-08 12:08:00,42.05,43.1,41.9,42.35,5751,44.899859292000194,,,,,,,,,,,
2008-08-11 12:08:00,43.5,43.5,40.3,41.5,19331,41.7423677908473,,,,,,,,,,,
2008-08-12 12:08:00,40.5,43.0,40.5,40.75,7370,39.12774495309266,,,,,,,,,,,
2008-08-13 12:08:00,41.5,42.8,40.0,41.05,8347,40.72705673915764,,,,,,,,,,,
2008-08-14 12:08:00,40.0,42.95,39.2,39.85,14025,36.586324020134505,,,,,,,,,,,
2008-08-18 12:08:00,41.0,41.0,38.25,38.75,6547,33.24920594805906,,,,,,,,,,,
2008-08-19 12:08:00,37.15,38.95,36.85,38.6,14425,32.80972640654724,,,,,,,,,,,
2008-08-20 12:08:00,40.0,40.55,37.6,40.2,8043,41.666735192878875,,,,,,,,,,,
2008-08-21 12:08:00,38.85,41.9,38.3,39.75,14481,40.0670120165926,,,,,,,,,,,
2008-08-25 12:08:00,39.65,39.9,37.8,38.05,11803,34.65409879778825,,,,,,,,,,,
