datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,349.05,350.4,342.66,345.52,22183,,,,,,,,,,,,
2008-07-18 12:07:00,350.38,350.38,340.07,343.8,106545,,,,,,,,,,,,
2008-07-21 12:07:00,346.75,350.02,344.65,346.15,63523,,,,,,,,,,,,
2008-07-22 12:07:00,343.61,356.21,341.31,353.23,91634,,,,,,,,,,,,
2008-07-23 12:07:00,360.08,375.17,350.63,365.8,225106,,,,,,,,,,,,
2008-07-24 12:07:00,365.88,374.59,361.82,365.23,89555,,,,,,,,,,,,
2008-07-28 12:07:00,367.25,379.39,361.15,363.2,53994,,,,,,,,,,,,
2008-07-29 12:07:00,359.66,362.96,350.4,357.9,41565,,,,,,,,,,,,
2008-07-30 12:07:00,363.95,374.09,358.14,369.71,110053,,,,,,,,,,,,
2008-07-31 12:07:00,369.75,375.56,356.21,361.47,166511,,,,,,,,,,,,
2008-08-01 12:08:00,361.0,369.75,354.47,366.46,150454,,,,,,,,,,,,
2008-08-04 12:08:00,365.88,380.16,365.88,378.05,64769,,,,,,,,,,,,
2008-08-05 12:08:00,377.49,407.88,377.49,400.44,102223,,,,,,,,,,,,
2008-08-06 12:08:00,411.94,417.94,403.62,407.13,104429,83.7298249782817,,,,,,,,,,,
2008-08-07 12:08:00,401.3,423.74,398.99,415.96,59934,85.62234382256923,,,,,,,,,,,
2008-08-08 12:08:00,414.26,414.26,402.84,406.11,158877,75.12471875989912,,,,,,,,,,,
2008-08-11 12:08:00,410.39,417.86,408.48,412.54,77752,77.09861834370253,,,,,,,,,,,
2008-08-12 12:08:00,415.04,418.52,408.66,413.04,29008,77.24979546669817,,,,,,,,,,,
2008-08-13 12:08:00,411.26,417.94,405.55,413.73,54894,77.47081650449229,,,,,,,,,,,
2008-08-14 12:08:00,410.39,415.19,408.46,409.78,36875,73.09300732707047,,,,,,,,,,,
2008-08-18 12:08:00,408.46,408.46,386.44,391.15,66696,56.79223746964147,,,,,,,,,,,
2008-08-19 12:08:00,389.1,396.85,382.14,390.78,47880,56.52263229926012,,,,,,,,,,,
2008-08-20 12:08:00,389.3,407.39,388.14,404.39,37012,63.40452251385652,,,,,,,,,,,
2008-08-21 12:08:00,399.75,400.72,390.65,392.03,75218,54.904883162682495,,,,,,,,,,,
2008-08-25 12:08:00,390.07,395.66,390.02,391.5,73125,54.56708823467247,,,,,,,,,,,
2008-08-26 12:08:00,388.93,394.52,387.56,390.81,90147,54.10042803945089,,,,,,,,,,,
2008-08-27 12:08:00,391.04,391.04,381.94,388.84,39563,52.714309664581464,,,,,,,,,,,
2008-08-28 12:08:00,389.1,389.1,381.11,386.41,148675,50.97923694687184,,,,,,,,,,,
2008-08-29 12:08:00,389.1,392.59,384.3,386.8,52395,51.256536112497955,,,,,,,,,,,
2008-09-01 12:09:00,381.75,389.1,370.72,387.32,27944,51.649266927366156,,,,,,,,,,,
2008-09-02 12:09:00,387.16,403.81,385.25,398.95,75611,59.50733831121598,,,,,,,,,,,
2008-09-04 12:09:00,398.97,408.46,398.01,402.63,119157,61.63220892539219,,,,,,,,,,,
2008-09-05 12:09:00,396.85,396.85,385.23,390.06,146426,51.66016665563055,,,,,,,,,,,
2008-09-08 12:09:00,398.78,413.1,395.88,401.25,59493,58.15152398876328,,,,,,,,,,,
2008-09-09 12:09:00,394.91,409.23,394.91,404.22,80879,59.69842811967437,,,,,,,,,,,
2008-09-10 12:09:00,404.01,408.46,391.04,407.58,102479,61.43519834742364,,,,,,,,,,,
2008-09-11 12:09:00,404.59,405.75,393.94,402.7,52592,57.55571357854918,,,,,,,,,,,
2008-09-12 12:09:00,404.59,405.77,391.04,394.79,168789,51.841272199099784,,,,,,,,,,,
2008-09-15 12:09:00,391.04,394.91,373.08,385.26,111328,45.92515135951976,,,,,,,,,,,
2008-09-18 12:09:00,371.69,379.43,346.53,376.3,155933,41.168255516961636,,,,,,,,,,,
2008-09-19 12:09:00,390.85,391.04,377.88,383.02,124359,45.710155730918686,,,,,,,,,,,
2008-09-22 12:09:00,385.23,388.56,379.42,386.61,32249,48.018927263578554,,,,,,,,,,,
2008-09-23 12:09:00,383.3,391.02,375.58,377.89,40183,43.21194123806339,,,,,,,,,,,
2008-09-24 12:09:00,379.43,388.23,379.43,386.21,107343,48.50843010265317,,,,,,,,,,,
2008-09-25 12:09:00,381.36,387.17,368.79,373.0,257320,41.83651229450703,,,,,,,,,,,
2008-09-26 12:09:00,375.56,379.04,347.73,352.35,77324,33.9707543064557,,,,,,,,,,,
2008-09-29 12:09:00,359.11,359.69,341.69,346.92,71860,32.25353078599919,,,,,,,,,,,
2008-09-30 12:09:00,314.02,346.9,314.02,338.37,117967,29.70709466196918,,,,,,,,,,,
2008-10-01 12:10:00,340.75,358.59,338.79,353.87,74870,39.094813371299686,,,,,,,,,,,
2008-10-06 12:10:00,346.53,347.07,318.47,320.17,125420,29.78192780129497,374.54841157451233,,,,,,,,,,
2008-10-07 12:10:00,321.38,334.92,316.54,324.81,107710,32.17751286880143,372.5978856304138,,,,,,,,,,
2008-10-08 12:10:00,317.5,320.12,299.32,316.12,143992,30.105934859123806,370.3830665860839,,,,,,,,,,
2008-10-10 12:10:00,304.93,323.31,287.95,297.16,427732,26.150200792956397,367.51157377878644,,,,,,,,,,
2008-10-13 12:10:00,300.86,311.68,297.19,301.17,88583,28.296095928071523,364.9099434345203,,,,,,,,,,
2008-10-14 12:10:00,310.73,313.63,297.19,302.51,35614,29.03813928292844,362.462886829245,,,,,,,,,,
2008-10-15 12:10:00,293.32,305.89,289.83,300.82,83448,28.63564470639612,360.04551871829426,,,,,,,,,,
2008-10-16 12:10:00,287.51,288.48,265.64,278.17,122232,23.861870090347466,356.8347140626749,,,,,,,,,,
