datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2010-11-16 12:11:00,40.22,50.64,40.22,41.94,39539057,,,,,,,,,,,,
2010-11-18 12:11:00,42.4,45.7,41.7,44.16,10171439,,,,,,,,,,,,
2010-11-19 12:11:00,44.78,47.9,42.86,44.95,7769574,,,,,,,,,,,,
2010-11-22 12:11:00,45.6,53.0,45.21,50.79,10194049,,,,,,,,,,,,
2010-11-23 12:11:00,51.4,54.34,49.8,52.22,10051637,,,,,,,,,,,,
2010-11-24 12:11:00,52.5,53.4,51.41,52.66,3484536,,,,,,,,,,,,
2010-11-25 12:11:00,53.2,54.36,50.6,51.49,1971825,,,,,,,,,,,,
2010-11-26 12:11:00,52.0,52.35,45.62,47.04,1692738,,,,,,,,,,,,
2010-11-29 12:11:00,46.8,56.0,45.0,54.39,2993498,,,,,,,,,,,,
2010-11-30 12:11:00,55.0,60.28,52.22,57.92,7564448,,,,,,,,,,,,
2010-12-01 12:12:00,58.0,59.56,53.66,55.73,4409977,,,,,,,,,,,,
2010-12-02 12:12:00,55.6,56.7,53.2,53.72,1966748,,,,,,,,,,,,
2010-12-03 12:12:00,53.4,54.16,51.0,51.89,1543359,,,,,,,,,,,,
2010-12-06 12:12:00,50.02,52.58,49.65,51.22,1697695,57.49358015646769,,,,,,,,,,,
2010-12-07 12:12:00,51.6,54.2,49.27,52.46,2186629,59.912979859883514,,,,,,,,,,,
2010-12-08 12:12:00,52.0,53.74,51.02,51.72,1485088,57.7986839795986,,,,,,,,,,,
2010-12-09 12:12:00,51.6,52.29,41.38,41.38,1594974,37.75152466661789,,,,,,,,,,,
2010-12-10 12:12:00,33.11,41.78,33.11,38.77,3037238,34.49882580738128,,,,,,,,,,,
2010-12-13 12:12:00,39.0,43.56,39.0,41.95,2710408,41.151772501705864,,,,,,,,,,,
2010-12-14 12:12:00,42.12,45.06,40.32,44.02,2168731,45.06337607353038,,,,,,,,,,,
2010-12-15 12:12:00,43.88,47.76,41.64,47.08,2828076,50.320349085421036,,,,,,,,,,,
2010-12-16 12:12:00,48.8,48.8,45.71,46.1,1102814,48.71264962492208,,,,,,,,,,,
2010-12-20 12:12:00,45.8,52.96,45.07,51.82,3353832,57.289872993025135,,,,,,,,,,,
2010-12-21 12:12:00,52.18,53.58,47.11,47.68,3950903,50.68311024979661,,,,,,,,,,,
2010-12-22 12:12:00,47.6,48.77,45.78,46.8,1393431,49.37956788220831,,,,,,,,,,,
2010-12-23 12:12:00,47.2,49.3,46.0,46.26,1204883,48.55431790414857,,,,,,,,,,,
2010-12-24 12:12:00,46.77,46.95,44.86,45.22,788773,46.92767748303761,,,,,,,,,,,
2010-12-27 12:12:00,44.02,47.48,43.99,46.91,929173,49.86686065417518,,,,,,,,,,,
2010-12-28 12:12:00,47.26,48.7,47.0,47.18,616153,50.3400409581397,,,,,,,,,,,
2010-12-29 12:12:00,47.56,47.8,46.48,46.98,324684,49.96384981460149,,,,,,,,,,,
2010-12-30 12:12:00,47.02,49.46,47.0,49.1,656482,53.89678477997581,,,,,,,,,,,
2010-12-31 12:12:00,49.48,51.19,48.81,50.65,580800,56.58377133972422,,,,,,,,,,,
2011-01-03 12:01:00,51.16,54.52,51.02,52.73,1562947,59.95650878954264,,,,,,,,,,,
2011-01-04 12:01:00,53.08,54.51,52.62,53.19,906747,60.68391973582293,,,,,,,,,,,
2011-01-05 12:01:00,53.25,53.88,52.22,52.94,451213,60.04551611722907,,,,,,,,,,,
2011-01-06 12:01:00,53.2,53.76,51.0,51.32,594419,55.93880117169343,,,,,,,,,,,
2011-01-07 12:01:00,51.64,51.64,47.6,48.88,642915,50.352845443175084,,,,,,,,,,,
2011-01-10 12:01:00,48.2,48.4,45.23,45.57,412368,43.9423645747969,,,,,,,,,,,
2011-01-11 12:01:00,45.96,47.73,43.62,46.11,578135,45.16880028840281,,,,,,,,,,,
2011-01-12 12:01:00,46.42,47.74,45.13,45.91,231761,44.77805285177197,,,,,,,,,,,
2011-01-13 12:01:00,46.07,47.28,44.22,45.09,285165,43.13060501489214,,,,,,,,,,,
2011-01-14 12:01:00,45.4,46.16,43.88,44.81,441700,42.55486744259323,,,,,,,,,,,
2011-01-17 12:01:00,44.44,47.78,44.44,46.93,675758,48.19364042779349,,,,,,,,,,,
2011-01-18 12:01:00,47.22,47.76,46.1,46.49,194897,47.15898131141209,,,,,,,,,,,
2011-01-19 12:01:00,46.62,47.4,44.74,45.52,220920,44.871879201169875,,,,,,,,,,,
2011-01-21 12:01:00,43.01,47.16,43.01,46.05,356782,46.40142745179475,,,,,,,,,,,
2011-01-24 12:01:00,46.4,49.49,46.4,48.7,357764,53.36813340804218,,,,,,,,,,,
2011-01-25 12:01:00,49.0,50.28,48.06,48.65,259388,53.227554687717145,,,,,,,,,,,
2011-01-27 12:01:00,49.02,49.02,45.0,46.55,124218,47.56095990548845,,,,,,,,,,,
2011-01-28 12:01:00,46.6,47.2,44.6,45.47,145239,44.91279590029779,46.98583022207898,,,,,,,,,,
2011-01-31 12:01:00,44.4,46.8,44.0,45.42,83169,44.7884614886601,46.924425115330784,,,,,,,,,,
2011-02-01 12:02:00,45.98,47.58,45.94,46.58,143670,48.36019088819017,46.91091824806291,,,,,,,,,,
2011-02-03 12:02:00,46.94,47.49,46.0,46.33,74705,47.64482027592634,46.88813714029575,,,,,,,,,,
2011-02-04 12:02:00,46.08,47.0,44.6,45.12,54742,44.23421500951481,46.8187984289116,,,,,,,,,,
2011-02-07 12:02:00,45.0,45.85,43.26,44.09,44871,41.51021393425866,46.71178672581703,,,,,,,,,,
2011-02-08 12:02:00,44.28,44.55,42.21,42.94,202183,38.6484958652228,46.56387352088303,,,,,,,,,,
2011-02-09 12:02:00,42.8,43.4,41.04,41.95,138246,36.32672097632641,46.38293730437782,,,,,,,,,,
2011-02-10 12:02:00,42.07,42.07,39.4,39.88,145461,31.998258209816953,46.12792015518653,,,,,,,,,,
2011-02-11 12:02:00,40.02,42.16,39.4,41.82,203462,39.2982859479095,45.9589821098851,,,,,,,,,,
2011-02-14 12:02:00,42.56,46.4,42.16,45.15,227631,49.34943966018882,45.92725732126216,,,,,,,,,,
2011-02-15 12:02:00,45.5,46.08,44.88,45.51,108410,50.30740454837721,45.9108942890558,,,,,,,,,,
2011-02-16 12:02:00,45.7,46.4,45.1,46.05,66764,51.780608927873786,45.91634941497518,,,,,,,,,,
2011-02-17 12:02:00,46.22,49.58,46.0,48.95,335646,58.83817377024842,46.035316104584,,,,,,,,,,
2011-02-18 12:02:00,49.0,49.6,45.2,46.06,141980,50.85061775491573,46.03628410048267,,,,,,,,,,
2011-02-21 12:02:00,45.6,48.0,45.04,47.72,229837,54.65819292169703,46.10231217497355,,,51.090719884595124,,,,,,,
2011-02-22 12:02:00,47.13,50.8,46.02,50.22,403411,59.71928456812728,46.263790128896154,,,51.090719884595124,,,,,,,
2011-02-23 12:02:00,50.5,52.28,49.12,49.44,346363,57.56050044495291,46.38834737874336,,,51.090719884595124,,,,,,,
