datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2020-09-17 12:09:00,350.0,394.95,350.0,370.95,52002289,,,,,,,,,,,,
2020-09-18 12:09:00,376.0,380.95,357.0,358.7,10745573,,,,,,,,,,,,
2020-09-21 12:09:00,354.0,374.5,330.3,349.4,12520549,,,,,,,,,,,,
2020-09-22 12:09:00,350.0,358.6,335.0,353.95,4965436,,,,,,,,,,,,
2020-09-23 12:09:00,358.2,362.25,343.1,352.3,3317622,,,,,,,,,,,,
2020-09-24 12:09:00,344.0,349.0,335.0,337.3,2954084,,,,,,,,,,,,
2020-09-25 12:09:00,342.9,386.0,340.2,363.4,15144259,,,,,,,,,,,,
2020-09-28 12:09:00,368.7,376.4,365.05,367.1,2649652,,,,,,,,,,,,
2020-09-29 12:09:00,368.45,370.45,348.05,351.45,2498180,,,,,,,,,,,,
2020-09-30 12:09:00,350.0,365.0,344.1,348.85,3896338,,,,,,,,,,,,
2020-10-01 12:10:00,352.9,354.6,340.0,342.8,2173939,,,,,,,,,,,,
2020-10-05 12:10:00,345.0,350.7,339.0,345.5,1631914,,,,,,,,,,,,
2020-10-06 12:10:00,347.0,352.85,343.35,350.05,1636249,,,,,,,,,,,,
2020-10-07 12:10:00,350.0,351.7,343.1,345.2,734115,39.54010382975586,,,,,,,,,,,
2020-10-08 12:10:00,350.15,360.8,348.0,357.3,2661344,49.34158931363388,,,,,,,,,,,
2020-10-09 12:10:00,355.0,359.3,350.0,350.75,930927,45.08109873391589,,,,,,,,,,,
2020-10-12 12:10:00,352.0,352.0,342.0,344.25,697025,41.27250985352185,,,,,,,,,,,
2020-10-13 12:10:00,342.95,355.0,342.5,348.3,1134594,44.42308874868846,,,,,,,,,,,
2020-10-14 12:10:00,349.15,365.8,347.3,354.15,2421665,48.70383370478244,,,,,,,,,,,
2020-10-15 12:10:00,350.0,355.8,339.1,340.6,3074252,40.8544974806019,,,,,,,,,,,
2020-10-16 12:10:00,343.6,344.5,323.1,325.45,2800010,34.214882983657674,,,,,,,,,,,
2020-10-19 12:10:00,329.0,330.7,321.65,324.3,2021570,33.76628617536157,,,,,,,,,,,
2020-10-20 12:10:00,326.4,329.7,323.0,324.4,893854,33.84750826722407,,,,,,,,,,,
2020-10-21 12:10:00,325.55,327.5,317.45,319.3,933368,31.711666900256134,,,,,,,,,,,
2020-10-22 12:10:00,320.25,324.4,318.0,320.2,1048553,32.520890703091084,,,,,,,,,,,
2020-10-23 12:10:00,322.45,323.65,319.0,319.85,553293,32.3602909869153,,,,,,,,,,,
2020-10-26 12:10:00,321.4,323.05,315.1,317.2,649362,31.107690367609706,,,,,,,,,,,
2020-10-27 12:10:00,314.2,315.7,307.0,308.8,707501,27.477011813766524,,,,,,,,,,,
2020-10-28 12:10:00,309.95,329.05,309.0,320.2,2039361,38.04529775113689,,,,,,,,,,,
2020-10-29 12:10:00,318.0,335.6,312.65,332.15,2498734,46.79734940173707,,,,,,,,,,,
2020-10-30 12:10:00,337.5,344.0,322.65,338.95,2554683,51.036094852038204,,,,,,,,,,,
2020-11-02 12:11:00,339.8,344.9,335.25,340.55,1406309,52.00503182523656,,,,,,,,,,,
2020-11-03 12:11:00,343.7,346.0,335.15,339.3,1142400,51.15336756274408,,,,,,,,,,,
2020-11-04 12:11:00,338.9,353.0,337.8,349.85,2053118,57.48216669804031,,,,,,,,,,,
2020-11-05 12:11:00,337.25,340.9,326.0,330.3,2816514,45.67287133470512,,,,,,,,,,,
2020-11-06 12:11:00,330.95,334.8,325.0,326.05,941659,43.57695203254362,,,,,,,,,,,
2020-11-09 12:11:00,330.0,330.0,321.0,322.1,830254,41.66330090301986,,,,,,,,,,,
2020-11-10 12:11:00,321.0,322.5,311.1,312.05,1748488,37.18855049582401,,,,,,,,,,,
2020-11-11 12:11:00,310.0,321.9,310.0,315.55,846524,39.62069791766342,,,,,,,,,,,
2020-11-12 12:11:00,317.0,322.0,316.0,318.5,563757,41.67080122283102,,,,,,,,,,,
2020-11-13 12:11:00,318.0,323.85,317.5,321.1,442123,43.49190355334089,,,,,,,,,,,
2020-11-14 12:11:00,324.8,325.5,323.1,324.55,254318,45.90532562712035,,,,,,,,,,,
2020-11-17 12:11:00,327.8,328.7,323.55,324.8,447695,46.0850213076226,,,,,,,,,,,
2020-11-18 12:11:00,324.6,325.5,321.95,323.45,347574,45.2116243385532,,,,,,,,,,,
2020-11-19 12:11:00,321.8,325.8,317.0,317.85,680483,41.682667596812614,,,,,,,,,,,
2020-11-20 12:11:00,318.0,322.65,317.25,320.55,510592,43.95410339550972,,,,,,,,,,,
2020-11-23 12:11:00,320.55,321.95,314.05,318.5,444611,42.59747333441888,,,,,,,,,,,
2020-11-24 12:11:00,319.9,327.8,319.0,321.15,695279,44.96229827627794,,,,,,,,,,,
2020-11-25 12:11:00,323.5,323.8,317.0,317.95,481450,42.675962056964934,,,,,,,,,,,
2020-11-26 12:11:00,318.25,320.85,310.5,311.85,1693248,38.64213522899019,333.91430062502485,,,,,,,,,,
2020-11-27 12:11:00,313.8,318.1,312.0,313.95,749418,40.71953312834834,333.1313868750239,,,,,,,,,,
2020-12-01 12:12:00,315.7,317.95,314.0,315.9,522272,42.660868470365706,332.45564621325826,,,,,,,,,,
2020-12-02 12:12:00,316.9,333.7,316.05,331.35,2856086,55.183721681075205,332.41228753822855,,,,,,,,,,
2020-12-03 12:12:00,335.0,337.4,326.0,327.3,1148321,51.978993024768265,332.21180567398426,,,,,,,,,,
2020-12-04 12:12:00,328.0,329.6,324.2,325.8,637736,50.802243350313304,331.96036231422016,,,,,,,,,,
2020-12-07 12:12:00,327.9,333.3,324.3,326.45,945258,51.31657603204165,331.74426967444685,,,,,,,,,,
2020-12-08 12:12:00,326.3,331.6,320.0,323.7,878294,48.983378143715946,331.4288081185862,,,,,,,,,,
2020-12-09 12:12:00,325.4,326.8,322.0,322.65,528042,48.08441979139036,331.08454113354355,,,,,,,,,,
