datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,42.8,43.9,40.02,41.19,15738,,,,,,,,,,,,
2008-07-18 12:07:00,41.25,44.2,41.0,43.71,24168,,,,,,,,,,,,
2008-07-21 12:07:00,44.6,45.77,42.11,42.66,27777,,,,,,,,,,,,
2008-07-22 12:07:00,43.62,45.69,43.62,45.4,28161,,,,,,,,,,,,
2008-07-23 12:07:00,47.57,51.4,46.22,51.01,59510,,,,,,,,,,,,
2008-07-24 12:07:00,51.69,51.69,47.6,48.19,21166,,,,,,,,,,,,
2008-07-28 12:07:00,49.58,50.9,48.6,49.37,12795,,,,,,,,,,,,
2008-07-29 12:07:00,48.02,49.2,47.5,48.05,8889,,,,,,,,,,,,
2008-07-30 12:07:00,48.8,49.79,47.0,47.62,15750,,,,,,,,,,,,
2008-07-31 12:07:00,48.4,55.12,48.4,53.76,313750,,,,,,,,,,,,
2008-08-01 12:08:00,52.0,52.0,47.42,48.16,120583,,,,,,,,,,,,
2008-08-04 12:08:00,47.98,49.94,47.43,47.99,50861,,,,,,,,,,,,
2008-08-05 12:08:00,48.78,49.48,47.42,47.66,50671,,,,,,,,,,,,
2008-08-06 12:08:00,50.01,50.01,47.3,47.6,33079,56.232822193794256,,,,,,,,,,,
2008-08-07 12:08:00,47.61,48.3,47.2,47.71,13604,56.50905004268198,,,,,,,,,,,
2008-08-08 12:08:00,48.0,48.78,47.33,47.77,37785,56.66969014103069,,,,,,,,,,,
2008-08-11 12:08:00,48.6,55.8,46.6,53.12,446906,68.01446538820619,,,,,,,,,,,
2008-08-12 12:08:00,53.97,58.6,52.62,54.92,623157,70.78587309111785,,,,,,,,,,,
2008-08-13 12:08:00,53.0,56.6,53.0,53.65,119037,66.41348242767941,,,,,,,,,,,
2008-08-14 12:08:00,53.79,55.0,52.82,53.16,65225,64.75160143240922,,,,,,,,,,,
2008-08-18 12:08:00,53.6,55.8,53.01,53.56,70885,65.51032122279337,,,,,,,,,,,
2008-08-19 12:08:00,53.88,55.4,52.02,52.69,125955,62.36595209794414,,,,,,,,,,,
2008-08-20 12:08:00,54.0,57.77,53.2,54.23,498252,65.52072479589611,,,,,,,,,,,
2008-08-21 12:08:00,54.32,54.32,46.22,47.91,559151,47.80849453773995,,,,,,,,,,,
2008-08-25 12:08:00,48.5,49.2,47.11,47.45,73815,46.816478403625275,,,,,,,,,,,
2008-08-26 12:08:00,47.01,49.4,46.2,48.2,163961,48.68602976299681,,,,,,,,,,,
2008-08-27 12:08:00,48.55,48.93,47.42,47.72,57950,47.53434795312071,,,,,,,,,,,
2008-08-28 12:08:00,47.6,48.2,46.8,47.13,26755,46.09110087758511,,,,,,,,,,,
2008-08-29 12:08:00,47.94,48.7,47.6,47.83,50855,48.10433792642095,,,,,,,,,,,
2008-09-01 12:09:00,47.53,47.78,46.68,47.55,28241,47.34272832946464,,,,,,,,,,,
2008-09-02 12:09:00,47.6,49.73,47.6,48.22,51724,49.40687761648385,,,,,,,,,,,
2008-09-04 12:09:00,47.7,48.4,47.51,47.95,82802,48.58042547457978,,,,,,,,,,,
2008-09-05 12:09:00,47.52,48.7,47.3,48.02,27874,48.819456433816804,,,,,,,,,,,
2008-09-08 12:09:00,45.03,48.98,39.03,47.76,23367,47.92825216422832,,,,,,,,,,,
2008-09-09 12:09:00,47.9,47.98,47.41,47.55,13334,47.17910923305126,,,,,,,,,,,
2008-09-10 12:09:00,47.6,47.79,46.61,46.74,21258,44.30268120125564,,,,,,,,,,,
2008-09-11 12:09:00,46.78,46.78,45.4,45.66,26902,40.73644335824386,,,,,,,,,,,
2008-09-12 12:09:00,45.6,45.9,44.4,44.59,30911,37.51445722829584,,,,,,,,,,,
2008-09-15 12:09:00,44.04,44.04,40.5,41.0,50190,29.17635901300116,,,,,,,,,,,
2008-09-18 12:09:00,37.99,39.79,36.2,39.29,15798,26.190319928860447,,,,,,,,,,,
