datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,14.2,14.3,13.85,13.9,1349309,,,,,,,,,,,,
2008-07-18 12:07:00,14.4,14.5,13.9,14.1,1690683,,,,,,,,,,,,
2008-07-21 12:07:00,14.15,14.25,13.8,13.9,981637,,,,,,,,,,,,
2008-07-22 12:07:00,14.0,14.4,13.95,14.2,2616169,,,,,,,,,,,,
2008-07-23 12:07:00,15.9,16.1,14.55,15.75,4443719,,,,,,,,,,,,
2008-07-24 12:07:00,16.5,16.5,15.35,15.45,2615232,,,,,,,,,,,,
2008-07-28 12:07:00,15.1,18.4,15.1,18.2,11842314,,,,,,,,,,,,
2008-07-29 12:07:00,17.9,19.45,17.45,18.3,17843230,,,,,,,,,,,,
2008-07-30 12:07:00,18.7,19.15,17.75,17.9,7364611,,,,,,,,,,,,
2008-07-31 12:07:00,18.0,18.1,17.25,17.4,3908379,,,,,,,,,,,,
2008-08-01 12:08:00,17.4,18.0,16.9,17.45,3824247,,,,,,,,,,,,
2008-08-04 12:08:00,17.6,18.6,17.4,18.05,5201061,,,,,,,,,,,,
2008-08-05 12:08:00,18.0,18.7,17.95,18.1,3665514,,,,,,,,,,,,
2008-08-06 12:08:00,18.4,18.65,17.4,17.6,3360987,70.34122950227086,,,,,,,,,,,
2008-08-07 12:08:00,17.6,18.25,17.2,17.5,3289385,68.7746492457612,,,,,,,,,,,
2008-08-08 12:08:00,17.5,17.6,17.05,17.2,2406731,64.15827201466792,,,,,,,,,,,
2008-08-11 12:08:00,17.85,18.1,17.4,17.5,2554707,66.57448750544502,,,,,,,,,,,
2008-08-12 12:08:00,17.6,17.7,17.0,17.1,2023945,60.69890410822641,,,,,,,,,,,
2008-08-13 12:08:00,17.2,18.2,16.8,17.3,5173199,62.481854321332115,,,,,,,,,,,
2008-08-14 12:08:00,17.0,17.45,16.65,16.75,2808237,55.081422224021246,,,,,,,,,,,
2008-08-18 12:08:00,16.8,16.95,16.05,16.15,2137404,48.35318223731106,,,,,,,,,,,
2008-08-19 12:08:00,16.4,16.4,16.0,16.1,2099914,47.82887012907509,,,,,,,,,,,
2008-08-20 12:08:00,16.2,16.65,16.2,16.4,1850734,51.24489376351907,,,,,,,,,,,
2008-08-21 12:08:00,16.4,16.4,15.7,15.8,1569166,44.9111629144163,,,,,,,,,,,
2008-08-25 12:08:00,15.9,16.2,15.5,15.55,1536616,42.55125620707588,,,,,,,,,,,
2008-08-26 12:08:00,15.35,15.55,15.2,15.35,1289944,40.70836838475539,,,,,,,,,,,
2008-08-27 12:08:00,15.5,15.5,15.1,15.15,1487942,38.89428602066891,,,,,,,,,,,
2008-08-28 12:08:00,15.15,15.3,14.9,14.95,1896944,37.113194146797035,,,,,,,,,,,
2008-08-29 12:08:00,15.25,15.45,15.15,15.35,1341744,42.75895823362395,,,,,,,,,,,
2008-09-01 12:09:00,15.4,15.4,15.05,15.1,1105763,40.32241339067669,,,,,,,,,,,
2008-09-02 12:09:00,15.3,15.4,15.15,15.35,1508570,43.77287989919537,,,,,,,,,,,
2008-09-04 12:09:00,15.35,15.5,15.1,15.15,1301585,41.695889549983995,,,,,,,,,,,
2008-09-05 12:09:00,15.0,15.2,14.85,14.95,1169384,39.668843652568135,,,,,,,,,,,
2008-09-08 12:09:00,15.25,16.2,15.2,15.4,2724045,46.02677597983523,,,,,,,,,,,
2008-09-09 12:09:00,15.4,16.15,15.15,15.6,3244118,48.618468423342264,,,,,,,,,,,
2008-09-10 12:09:00,15.5,15.65,15.1,15.15,1900177,43.55121548199491,,,,,,,,,,,
2008-09-11 12:09:00,15.15,15.25,14.9,14.95,1592112,41.48187545496734,,,,,,,,,,,
2008-09-12 12:09:00,15.45,15.45,14.6,14.75,1591877,39.46257173326098,,,,,,,,,,,
2008-09-15 12:09:00,14.5,14.7,13.75,13.9,2199817,32.27227981949271,,,,,,,,,,,
2008-09-18 12:09:00,12.9,12.95,12.05,12.8,3566576,25.73684019675933,,,,,,,,,,,
2008-09-19 12:09:00,13.05,13.7,13.05,13.25,2073336,31.819709941711835,,,,,,,,,,,
2008-09-22 12:09:00,13.4,13.55,12.95,13.0,2634926,30.333207564538498,,,,,,,,,,,
2008-09-23 12:09:00,13.0,13.15,12.75,12.85,1578979,29.444399419621064,,,,,,,,,,,
2008-09-24 12:09:00,12.7,13.0,12.6,12.7,1839204,28.54369043497543,,,,,,,,,,,
2008-09-25 12:09:00,12.8,12.85,12.55,12.65,1159201,28.23365429875369,,,,,,,,,,,
2008-09-26 12:09:00,12.65,12.65,11.75,11.85,2521361,23.782571523369853,,,,,,,,,,,
2008-09-29 12:09:00,11.85,11.85,10.1,10.55,4544760,18.63997963704911,,,,,,,,,,,
2008-09-30 12:09:00,10.0,11.05,9.05,10.7,3419522,20.76886232768733,,,,,,,,,,,
2008-10-01 12:10:00,12.7,12.7,10.75,10.95,2999027,24.323029516081064,,,,,,,,,,,
2008-10-06 12:10:00,11.0,11.0,9.7,9.8,2828934,19.90068559016524,14.097376088005568,,,,,,,,,,
2008-10-07 12:10:00,9.8,10.2,9.6,9.8,2934020,19.90068559016524,13.928851535534761,,,,,,,,,,
2008-10-08 12:10:00,9.5,9.7,8.35,9.0,3892957,17.354917110525903,13.735563240023595,,,,,,,,,,
2008-10-10 12:10:00,7.9,8.8,7.3,8.5,3235674,15.979079069873023,13.530247034532474,,,,,,,,,,
2008-10-13 12:10:00,8.5,9.25,8.5,9.1,2367063,23.78707092899694,13.356511856707671,,,,,,,,,,
2008-10-14 12:10:00,9.9,10.45,9.4,9.5,5794903,28.553841212153273,13.205276097621097,,,,,,,,,,
2008-10-15 12:10:00,9.05,9.3,8.5,8.55,3041417,24.615975370335207,13.022716250655565,,,,,,,,,,
2008-10-16 12:10:00,8.05,8.85,7.25,8.5,2658783,24.42505031482324,12.845354829061229,,,,,,,,,,
2008-10-17 12:10:00,8.6,8.9,8.1,8.15,2346430,23.07582102020558,12.66122326713726,,,,,,,,,,
2008-10-20 12:10:00,8.15,8.4,8.0,8.1,2238514,22.881366121372025,12.48235176646521,,,16.7144965886782,,,,,,,
2008-10-21 12:10:00,8.25,8.5,8.1,8.2,1079306,24.256116892201476,12.31441640307442,,,16.7144965886782,,,,,,,
2008-10-22 12:10:00,8.15,8.15,8.0,8.0,1147540,23.35922966356128,12.145223602953855,,,16.7144965886782,,,,,,,
2008-10-23 12:10:00,7.9,8.15,7.7,7.9,1683503,22.903226435025516,11.978744245975275,,,16.7144965886782,,,,,,,
2008-10-24 12:10:00,7.7,7.85,7.0,7.0,2875109,19.259247145238874,11.783499373584089,,,16.7144965886782,,,,,,,
2008-10-27 12:10:00,6.75,7.05,5.95,6.45,3875736,17.433773771465354,11.57434253540432,,,14.613601962470753,,,,,,,
2008-10-28 12:10:00,7.0,7.25,6.8,7.1,1001709,26.32189545212033,11.39887812225121,,,14.613601962470753,,,,,,,
2008-10-31 12:10:00,7.25,7.6,7.05,7.35,2331141,29.466834737346886,11.240098588045282,,,14.613601962470753,,,,,,,
2008-11-03 12:11:00,8.0,8.1,7.6,7.95,2670634,36.47514657477513,11.111075114004292,,,17.99208413493912,,,,,,,
2008-11-04 12:11:00,7.85,8.45,7.65,8.35,2184311,40.705056577291614,11.002797658553144,,,17.99208413493912,,,,,,,
2008-11-05 12:11:00,9.0,9.0,8.25,8.4,3207788,41.23183055764131,10.900727162139296,,,17.99208413493912,,,,,,,
2008-11-06 12:11:00,8.0,8.15,7.75,7.9,1873755,37.63149627215265,10.783051587153443,,,17.99208413493912,,,,,,,
2008-11-07 12:11:00,8.15,8.15,7.7,8.0,1607559,38.782821960127094,10.673912309225857,,,17.99208413493912,,,,,,,
2008-11-10 12:11:00,8.0,8.5,8.0,8.3,1410090,42.228333457344924,10.58081770886406,,,24.005806113118553,,,,,,,
2008-11-11 12:11:00,8.05,8.25,7.85,7.9,1088231,39.070745106298595,10.475687602634098,,,24.005806113118553,,,,,,,
2008-11-12 12:11:00,7.85,8.0,7.65,7.75,1171841,37.92549900064528,10.36879789272688,,,24.005806113118553,,,,,,,
2008-11-14 12:11:00,7.95,8.0,7.5,7.6,799725,36.764944012956896,10.26021758320818,,,24.005806113118553,,,,,,,
2008-11-17 12:11:00,7.5,7.6,7.2,7.3,699559,34.491613364899465,10.144130619160801,,,22.893239211798814,,,,,,,
2008-11-18 12:11:00,7.2,7.25,7.0,7.05,738221,32.678225913229,10.022792163507438,,,22.893239211798814,,,,,,,
2008-11-19 12:11:00,7.1,7.2,6.95,7.05,891362,32.678225913229,9.90621207866401,,,22.893239211798814,,,,,,,
2008-11-20 12:11:00,7.0,7.0,6.65,6.8,788996,30.800206440335913,9.784399840285031,,,22.893239211798814,,,,,,,
2008-11-21 12:11:00,6.85,7.0,6.45,6.95,809770,33.277898178097004,9.673246905371894,,,22.893239211798814,,,,,,,
2008-11-24 12:11:00,7.0,7.1,6.8,6.9,643818,32.8556037468082,9.564492124769075,,,21.175776800143964,,,,,,,
2008-11-25 12:11:00,7.1,7.15,6.65,6.75,879114,31.56163182269661,9.454119884582052,,,21.175776800143964,,,,,,,
2008-11-26 12:11:00,6.7,6.85,6.4,6.75,900564,31.56163182269661,9.34807596753962,,,21.175776800143964,,,,,,,
2008-11-28 12:11:00,6.55,6.8,6.55,6.7,447962,31.088305599715937,9.244229851165517,,,21.175776800143964,,,,,,,
2008-12-01 12:12:00,6.6,7.0,6.6,6.8,487435,33.24457182924772,9.14837770013942,,,20.53759998714834,,,,,,,
2008-12-02 12:12:00,6.5,6.8,6.5,6.75,507982,32.69372787911129,9.054323672682973,,,20.53759998714834,,,,,,,
2008-12-03 12:12:00,6.85,7.15,6.7,6.8,903460,33.87368665378442,8.965918822773837,,,20.53759998714834,,,,,,,
2008-12-04 12:12:00,6.5,7.55,6.5,7.3,1564331,44.375455364939356,8.900588672861138,,,20.53759998714834,,,,,,,
2008-12-05 12:12:00,7.3,7.55,7.0,7.1,1273672,41.534026127050744,8.829977352356781,,,20.53759998714834,,,,,,,
2008-12-08 12:12:00,7.25,7.45,7.1,7.2,922144,43.48266076309709,8.766056671872203,,,24.46026990463207,,,,,,,
2008-12-10 12:12:00,7.3,7.3,7.05,7.2,994151,43.48266076309708,8.70464268473996,,,24.46026990463207,,,,,,,
2008-12-11 12:12:00,7.2,7.35,7.1,7.2,1049841,43.48266076309709,8.645637089259964,,,24.46026990463207,,,,,,,
2008-12-12 12:12:00,7.0,8.4,6.85,7.95,2893092,56.92955294302965,8.618357203406633,,,24.46026990463207,,,,,,,
2008-12-15 12:12:00,8.0,9.15,8.0,8.9,3726467,67.48306192676047,8.629402018959315,,,32.1278022525465,,,,,,,
2008-12-16 12:12:00,8.7,9.35,8.7,9.05,2916260,68.78368506322468,8.6458960574315,,,32.1278022525465,,,,,,,
2008-12-17 12:12:00,8.55,9.7,8.55,8.8,3504296,64.17634524334935,8.651939349296931,,,32.1278022525465,,,,,,,
2008-12-18 12:12:00,8.7,9.1,8.55,9.0,2570072,66.13087996382274,8.665588786579406,,,32.1278022525465,,,,,,,
2008-12-19 12:12:00,9.0,9.25,8.9,9.05,2383997,66.621188061107,8.680663736125313,,,32.1278022525465,,,,,,,
2008-12-22 12:12:00,9.0,9.25,9.0,9.0,1544853,65.5984987052587,8.693186726865497,,,40.5392205159204,,,,,,,
2008-12-23 12:12:00,8.9,9.1,8.6,8.95,1933833,64.5316838768566,8.70325783561587,10.235714085055962,,40.5392205159204,,,,,,,
2008-12-24 12:12:00,8.7,9.1,8.6,8.85,1075797,62.34779312985598,8.709012430297602,10.208274202183567,,40.5392205159204,,,,,,,
2008-12-26 12:12:00,8.85,9.05,8.5,8.65,1356381,58.11196663269479,8.706698217344755,10.177417287288842,,40.5392205159204,,,,,,,
2008-12-29 12:12:00,8.6,8.6,8.15,8.35,848007,52.36505423461932,8.692710051958686,10.14123080635243,,38.662831165412044,,,,,,,
2008-12-30 12:12:00,8.35,8.6,8.3,8.45,591519,53.998135755633186,8.683192010705405,10.107741087414759,,38.662831165412044,,,,,,,
2009-01-01 12:01:00,10.85,12.2,10.7,12.2,3875321,80.70809577157968,8.821106049501271,10.149171956970902,,38.662831165412044,,,,,,,
2009-01-02 12:01:00,13.25,13.45,12.35,12.6,11007132,81.91436688883384,8.969297969128672,10.197703205347715,,38.662831165412044,,,,,,,
2009-01-05 12:01:00,12.8,12.9,11.35,11.35,4878571,67.67385898611352,9.062658833084411,10.22052096365766,,58.89567326842109,,,,,,,
2009-01-06 12:01:00,11.05,12.2,10.65,11.6,6709467,68.84058627779896,9.162162408257572,10.247837380218895,,58.89567326842109,,,,,,,
2009-01-07 12:01:00,11.5,11.9,10.45,10.45,2836990,58.39906245307747,9.212665843227864,10.25184060041258,,58.89567326842109,,,,,,,
2009-01-09 12:01:00,9.6,9.95,9.4,9.4,787414,50.81977765838829,9.22001228074834,10.234972469711341,,58.89567326842109,,,,,,,
2009-01-13 12:01:00,8.75,9.2,8.7,8.85,2148369,47.35298561184369,9.205501995228799,10.207547272291315,,45.734027907196364,,,,,,,
2009-01-14 12:01:00,9.0,9.1,8.8,8.9,1078727,47.70226256463106,9.19352152482767,10.181655247097426,,45.734027907196364,,,,,,,
2009-01-15 12:01:00,8.95,8.95,8.45,8.6,830163,45.74142418716808,9.17024617091286,10.150335341214308,,45.734027907196364,,,,,,,
2009-01-16 12:01:00,8.5,8.85,8.45,8.6,969389,45.74142418716808,9.1478835759751,10.119635631487293,,45.734027907196364,,,,,,,
2009-01-19 12:01:00,8.5,9.05,8.5,9.05,727467,49.36248509272804,9.144045004368234,10.098454727893484,,43.138551732920725,,,,,,,
2009-01-20 12:01:00,9.2,9.5,8.8,9.1,2750976,49.76365435817978,9.142317749294971,10.078683347143118,,43.138551732920725,,,,,,,
2009-01-21 12:01:00,8.8,9.1,8.65,8.7,1006967,46.5840904407011,9.124971955204973,10.051382686803649,,43.138551732920725,,,,,,,
2009-01-22 12:01:00,8.8,9.0,8.3,8.45,1335400,44.66333893427523,9.098502466765563,10.01967213855011,,43.138551732920725,,,,,,,
2009-01-23 12:01:00,8.25,8.55,8.15,8.25,772169,43.1311944638951,9.065227860225738,9.984629125905553,,43.138551732920725,,,,,,,
2009-01-27 12:01:00,8.25,8.65,8.25,8.3,626639,43.6516153215483,9.035218924530612,9.951270133313363,,42.01512187413617,,,,,,,
2009-01-28 12:01:00,8.55,8.55,8.3,8.35,748533,44.20152028202374,9.008347594156865,9.919561813841812,,42.01512187413617,,,,,,,
2009-01-29 12:01:00,8.4,8.5,8.0,8.15,908696,42.418303524947895,8.97468690418993,9.884520985844944,,42.01512187413617,,,,,,,
2009-01-30 12:01:00,8.0,8.2,7.8,8.15,1371523,42.418303524947895,8.942346241280521,9.850174035630193,,42.01512187413617,,,,,,,
