datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,64.5,66.75,63.7,64.8,970254,,,,,,,,,,,,
2008-07-18 12:07:00,65.1,67.85,64.3,67.15,1600565,,,,,,,,,,,,
2008-07-21 12:07:00,68.8,69.25,66.0,68.5,1736839,,,,,,,,,,,,
2008-07-22 12:07:00,69.0,71.25,68.5,70.2,3271961,,,,,,,,,,,,
2008-07-23 12:07:00,73.0,79.0,73.0,78.6,6247204,,,,,,,,,,,,
2008-07-24 12:07:00,79.8,80.9,76.3,77.85,2486379,,,,,,,,,,,,
2008-07-28 12:07:00,76.3,78.3,76.3,77.45,1307353,,,,,,,,,,,,
2008-07-29 12:07:00,75.15,77.3,73.45,74.05,2864572,,,,,,,,,,,,
2008-07-30 12:07:00,75.0,76.65,74.7,76.25,1400568,,,,,,,,,,,,
2008-07-31 12:07:00,76.5,76.95,74.2,74.85,2311685,,,,,,,,,,,,
2008-08-01 12:08:00,74.5,80.0,73.25,79.0,3147683,,,,,,,,,,,,
2008-08-04 12:08:00,78.9,82.5,78.2,81.6,2760523,,,,,,,,,,,,
2008-08-05 12:08:00,81.6,90.0,81.6,88.8,10790308,,,,,,,,,,,,
2008-08-06 12:08:00,90.4,93.4,90.4,92.35,10775637,86.10649208352025,,,,,,,,,,,
2008-08-07 12:08:00,93.0,93.0,91.05,91.95,2256400,84.79617625903468,,,,,,,,,,,
2008-08-08 12:08:00,91.8,93.0,90.1,92.7,2306168,85.24942336817891,,,,,,,,,,,
2008-08-11 12:08:00,93.0,94.0,91.5,93.3,2499394,85.61878556868614,,,,,,,,,,,
2008-08-12 12:08:00,94.9,96.0,86.15,87.9,3548153,68.8973623388171,,,,,,,,,,,
2008-08-13 12:08:00,87.0,88.8,84.25,85.15,2511160,62.23175339858317,,,,,,,,,,,
2008-08-14 12:08:00,85.0,85.95,81.0,81.25,2359577,54.22022868727595,,,,,,,,,,,
2008-08-18 12:08:00,82.0,85.0,79.75,80.85,1514548,53.46005538806798,,,,,,,,,,,
