datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,32.41,32.99,31.2,32.12,11484048,,,,,,,,,,,,
2008-07-18 12:07:00,32.38,33.46,31.83,33.22,9585275,,,,,,,,,,,,
2008-07-21 12:07:00,33.63,34.37,32.73,34.18,5164303,,,,,,,,,,,,
2008-07-22 12:07:00,34.08,35.35,34.08,35.21,6450464,,,,,,,,,,,,
2008-07-23 12:07:00,35.45,36.67,35.45,36.5,6468817,,,,,,,,,,,,
2008-07-24 12:07:00,36.82,37.23,34.33,35.38,8107339,,,,,,,,,,,,
2008-07-28 12:07:00,35.76,36.21,35.3,35.91,2649801,,,,,,,,,,,,
2008-07-29 12:07:00,35.45,35.98,34.78,35.59,3806654,,,,,,,,,,,,
2008-07-30 12:07:00,35.91,36.39,35.6,36.18,3652412,,,,,,,,,,,,
2008-07-31 12:07:00,36.38,36.42,35.18,35.47,6106777,,,,,,,,,,,,
2008-08-01 12:08:00,35.76,36.15,34.54,35.73,5074837,,,,,,,,,,,,
2008-08-04 12:08:00,35.15,36.12,35.15,35.68,4273525,,,,,,,,,,,,
2008-08-05 12:08:00,35.48,36.33,35.48,35.98,4698897,,,,,,,,,,,,
2008-08-06 12:08:00,37.11,37.11,35.79,35.98,5046075,69.89655556966164,,,,,,,,,,,
2008-08-07 12:08:00,36.06,36.32,35.3,35.8,4070572,67.09045184059798,,,,,,,,,,,
2008-08-08 12:08:00,35.54,36.33,35.54,36.06,4551001,69.02485427758631,,,,,,,,,,,
2008-08-11 12:08:00,36.14,36.64,35.19,35.82,5366710,65.21428198570293,,,,,,,,,,,
2008-08-12 12:08:00,36.03,36.04,34.84,35.1,4006776,55.343389939355646,,,,,,,,,,,
2008-08-13 12:08:00,34.84,35.68,34.72,35.22,14380434,56.524503534087096,,,,,,,,,,,
2008-08-14 12:08:00,36.21,36.21,34.77,34.87,3426650,52.18884488519993,,,,,,,,,,,
2008-08-18 12:08:00,35.13,35.3,34.57,34.9,2467825,52.524985757921954,,,,,,,,,,,
2008-08-19 12:08:00,34.39,34.84,33.11,33.58,4721072,39.39939181365914,,,,,,,,,,,
2008-08-20 12:08:00,34.11,34.75,33.87,34.3,6172903,47.15631304143205,,,,,,,,,,,
2008-08-21 12:08:00,34.69,34.8,33.48,33.7,5282100,42.297496524555385,,,,,,,,,,,
2008-08-25 12:08:00,34.49,34.49,33.83,33.99,1825319,45.2346584418241,,,,,,,,,,,
2008-08-26 12:08:00,33.99,33.99,33.51,33.61,3951716,42.20321772694488,,,,,,,,,,,
2008-08-27 12:08:00,33.9,34.28,33.55,33.78,3329719,44.01093693216044,,,,,,,,,,,
2008-08-28 12:08:00,34.18,34.18,32.87,33.26,6527715,39.90001288416963,,,,,,,,,,,
2008-08-29 12:08:00,33.51,34.08,33.32,33.75,5823268,45.10357038529221,,,,,,,,,,,
2008-09-01 12:09:00,33.76,33.76,33.25,33.51,963811,43.13367880379577,,,,,,,,,,,
2008-09-02 12:09:00,33.63,34.24,33.48,34.07,3680243,48.75740287665264,,,,,,,,,,,
2008-09-04 12:09:00,33.92,34.16,33.51,33.63,5656584,44.99246359174326,,,,,,,,,,,
2008-09-05 12:09:00,33.26,33.51,32.93,33.37,2882748,42.885147536390036,,,,,,,,,,,
2008-09-08 12:09:00,34.08,34.24,33.72,33.95,1784036,48.66172382213149,,,,,,,,,,,
2008-09-09 12:09:00,33.78,34.78,33.49,34.66,3287050,54.7014934793335,,,,,,,,,,,
2008-09-10 12:09:00,34.68,35.36,34.28,34.75,5226072,55.41749250178474,,,,,,,,,,,
2008-09-11 12:09:00,34.52,34.71,33.93,34.25,1846764,50.62959164840851,,,,,,,,,,,
2008-09-12 12:09:00,34.63,34.63,33.48,33.98,5612514,48.20749597315698,,,,,,,,,,,
2008-09-15 12:09:00,33.37,33.45,31.44,32.46,5477858,37.3691193153358,,,,,,,,,,,
2008-09-18 12:09:00,31.2,31.8,30.28,31.53,3460547,32.54751520648368,,,,,,,,,,,
2008-09-19 12:09:00,32.72,33.98,31.99,33.52,6356759,48.00654336144744,,,,,,,,,,,
