datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,10.7,11.0,10.61,10.73,25361,,,,,,,,,,,,
2008-07-18 12:07:00,10.61,10.96,10.61,10.83,30224,,,,,,,,,,,,
2008-07-21 12:07:00,10.95,11.4,10.66,10.87,86161,,,,,,,,,,,,
2008-07-22 12:07:00,10.8,11.0,10.6,10.72,325810,,,,,,,,,,,,
2008-07-23 12:07:00,10.88,11.3,10.88,11.18,193412,,,,,,,,,,,,
2008-07-24 12:07:00,11.25,11.59,10.9,10.95,387387,,,,,,,,,,,,
2008-07-28 12:07:00,10.98,11.15,10.91,10.99,37543,,,,,,,,,,,,
2008-07-29 12:07:00,10.95,10.97,10.7,10.79,80311,,,,,,,,,,,,
2008-07-30 12:07:00,10.81,10.96,10.73,10.8,550910,,,,,,,,,,,,
2008-07-31 12:07:00,10.72,10.96,10.72,10.92,79302,,,,,,,,,,,,
2008-08-01 12:08:00,10.8,11.15,10.8,10.99,48985,,,,,,,,,,,,
2008-08-04 12:08:00,11.0,11.5,10.81,11.32,85015,,,,,,,,,,,,
2008-08-05 12:08:00,11.58,11.58,11.21,11.44,270391,,,,,,,,,,,,
2008-08-06 12:08:00,11.88,11.88,11.28,11.33,45647,66.49230857992427,,,,,,,,,,,
2008-08-07 12:08:00,11.03,11.43,11.03,11.24,14171,61.89095215021438,,,,,,,,,,,
2008-08-08 12:08:00,11.24,11.6,11.21,11.51,57842,68.85430534229289,,,,,,,,,,,
2008-08-11 12:08:00,11.65,11.65,11.5,11.55,50280,69.73655125267524,,,,,,,,,,,
2008-08-12 12:08:00,11.54,11.59,11.31,11.35,27119,60.507528180098056,,,,,,,,,,,
2008-08-13 12:08:00,11.3,11.49,11.23,11.32,17862,59.24106072448418,,,,,,,,,,,
2008-08-14 12:08:00,11.3,11.4,11.06,11.31,67871,58.79926657525325,,,,,,,,,,,
2008-08-18 12:08:00,11.11,11.44,11.11,11.33,26940,59.45058949055896,,,,,,,,,,,
2008-08-19 12:08:00,11.11,11.49,11.1,11.24,20320,55.22014364289125,,,,,,,,,,,
2008-08-20 12:08:00,11.23,11.4,11.15,11.3,11315,57.39668437406667,,,,,,,,,,,
2008-08-21 12:08:00,11.31,11.36,11.2,11.2,33592,52.79116335893626,,,,,,,,,,,
2008-08-25 12:08:00,11.22,11.39,11.2,11.27,18322,55.483887814393306,,,,,,,,,,,
2008-08-26 12:08:00,11.2,11.28,11.18,11.23,12492,53.60240805111497,,,,,,,,,,,
2008-08-27 12:08:00,11.2,11.59,11.2,11.5,50721,62.777775183961886,,,,,,,,,,,
2008-08-28 12:08:00,11.75,11.75,11.22,11.27,19522,53.137716978765496,,,,,,,,,,,
2008-08-29 12:08:00,11.39,11.64,11.33,11.51,33697,60.034236079757044,,,,,,,,,,,
2008-09-01 12:09:00,11.55,11.72,11.5,11.61,36741,62.50992595549021,,,,,,,,,,,
2008-09-02 12:09:00,11.61,11.7,11.51,11.68,44417,64.18250280349957,,,,,,,,,,,
2008-09-04 12:09:00,11.7,11.9,11.7,11.81,50598,67.11661238874132,,,,,,,,,,,
2008-09-05 12:09:00,11.8,11.8,11.63,11.76,23616,64.91403569260706,,,,,,,,,,,
2008-09-08 12:09:00,11.76,12.05,11.75,12.01,45551,70.18294214256333,,,,,,,,,,,
2008-09-09 12:09:00,12.05,12.12,11.87,11.91,38981,65.91871363768979,,,,,,,,,,,
2008-09-10 12:09:00,11.9,12.3,11.9,12.17,264346,70.87379540812915,,,,,,,,,,,
2008-09-11 12:09:00,12.02,12.28,11.91,11.96,33370,62.917076560534944,,,,,,,,,,,
2008-09-12 12:09:00,11.93,12.08,11.61,11.98,116698,63.33920593445516,,,,,,,,,,,
2008-09-15 12:09:00,11.41,11.64,11.22,11.6,50250,51.37326038241759,,,,,,,,,,,
2008-09-18 12:09:00,11.2,11.74,11.05,11.61,60253,51.63221976517986,,,,,,,,,,,
2008-09-19 12:09:00,11.6,11.88,11.57,11.62,44241,51.908032129684926,,,,,,,,,,,
2008-09-22 12:09:00,11.7,11.9,11.62,11.66,18367,53.06104891592307,,,,,,,,,,,
2008-09-23 12:09:00,11.5,11.75,11.32,11.68,33452,53.659295736429286,,,,,,,,,,,
2008-09-24 12:09:00,11.79,11.83,11.54,11.73,27897,55.196678208251754,,,,,,,,,,,
2008-09-25 12:09:00,11.7,12.13,11.61,11.89,80796,59.793429320505666,,,,,,,,,,,
2008-09-26 12:09:00,11.68,12.05,11.41,11.52,99261,47.624828942716356,,,,,,,,,,,
2008-09-29 12:09:00,11.52,13.3,10.6,12.11,138036,61.188623047421984,,,,,,,,,,,
2008-09-30 12:09:00,11.01,12.0,11.0,11.68,86113,50.852272548052674,,,,,,,,,,,
2008-10-01 12:10:00,11.7,13.27,11.41,11.7,49518,51.26464241984666,,,,,,,,,,,
2008-10-06 12:10:00,11.4,11.7,10.51,10.89,316509,37.53036116308718,11.439061419348558,,,,,,,,,,
2008-10-07 12:10:00,10.9,11.21,10.4,10.63,216396,34.34925382087722,11.407333520550575,,,,,,,,,,
2008-10-08 12:10:00,10.5,11.09,10.03,10.88,188332,39.64649135018982,11.38665377464663,,,,,,,,,,
2008-10-10 12:10:00,10.5,10.58,9.6,10.26,263349,32.61744930790414,11.342471273680095,,,,,,,,,,
2008-10-13 12:10:00,10.4,10.87,10.22,10.49,60626,37.074416748963095,11.309041027653425,,,,,,,,,,
2008-10-14 12:10:00,10.8,11.08,10.6,10.97,42224,45.21820312279085,11.295745301078782,,,,,,,,,,
2008-10-15 12:10:00,10.8,11.33,10.51,11.11,61262,47.35814410862083,11.288461171624713,,,,,,,,,,
2008-10-16 12:10:00,10.9,11.55,10.5,11.03,83067,46.246436864619284,11.278325439404135,,,,,,,,,,
2008-10-17 12:10:00,10.9,11.59,10.9,11.24,147003,49.59156650406627,11.276822480996131,,,,,,,,,,
2008-10-20 12:10:00,11.08,11.47,10.31,10.56,163509,40.748688512307204,11.248711795466871,,,51.296616254677595,,,,,,,
2008-10-21 12:10:00,10.51,10.79,10.51,10.55,25631,40.6339390915786,11.221311332899543,,,51.296616254677595,,,,,,,
2008-10-22 12:10:00,10.5,10.73,10.4,10.44,24618,39.32218660957817,11.190671672785836,,,51.296616254677595,,,,,,,
