datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,197.5,200.98,195.64,197.79,1628085,,,,,,,,,,,,
2008-07-18 12:07:00,198.13,199.88,187.88,193.43,2167356,,,,,,,,,,,,
2008-07-21 12:07:00,191.75,197.96,190.64,195.16,1288006,,,,,,,,,,,,
2008-07-22 12:07:00,194.86,199.78,193.28,197.29,1162831,,,,,,,,,,,,
2008-07-23 12:07:00,200.0,206.26,194.42,200.28,2002057,,,,,,,,,,,,
2008-07-24 12:07:00,202.63,202.63,185.63,195.91,2863760,,,,,,,,,,,,
2008-07-28 12:07:00,194.16,199.5,190.75,192.43,1308560,,,,,,,,,,,,
2008-07-29 12:07:00,191.23,193.24,188.49,192.59,1051765,,,,,,,,,,,,
2008-07-30 12:07:00,195.01,201.22,194.25,200.26,1873291,,,,,,,,,,,,
2008-07-31 12:07:00,201.0,201.5,195.04,197.93,2494591,,,,,,,,,,,,
2008-08-01 12:08:00,195.0,205.81,193.13,204.93,1268708,,,,,,,,,,,,
2008-08-04 12:08:00,204.75,210.49,203.0,207.36,1215788,,,,,,,,,,,,
2008-08-05 12:08:00,207.36,211.94,202.26,209.82,1764530,,,,,,,,,,,,
2008-08-06 12:08:00,212.88,215.63,205.96,212.42,3340041,72.66638528754108,,,,,,,,,,,
2008-08-07 12:08:00,212.88,216.75,210.25,215.77,967179,75.6622423232894,,,,,,,,,,,
2008-08-08 12:08:00,208.17,214.97,208.17,209.95,1190426,62.78697051797142,,,,,,,,,,,
2008-08-11 12:08:00,211.88,214.63,207.08,208.8,1682016,60.59286151281278,,,,,,,,,,,
2008-08-12 12:08:00,206.88,212.1,198.2,200.49,3314599,47.63806371343161,,,,,,,,,,,
2008-08-13 12:08:00,199.93,204.25,198.4,203.24,1701767,51.345300486501365,,,,,,,,,,,
2008-08-14 12:08:00,205.0,213.05,202.38,211.69,2047007,60.580640483808715,,,,,,,,,,,
2008-08-18 12:08:00,212.63,217.13,211.89,213.04,1208855,61.827285710483615,,,,,,,,,,,
2008-08-19 12:08:00,213.88,214.34,210.42,211.59,838666,59.64541362208338,,,,,,,,,,,
2008-08-20 12:08:00,210.03,213.71,210.03,212.41,564858,60.4944719200144,,,,,,,,,,,
2008-08-21 12:08:00,212.5,212.88,206.59,207.68,585681,53.501774038807355,,,,,,,,,,,
2008-08-25 12:08:00,217.5,218.13,212.63,213.31,307641,59.50232469740271,,,,,,,,,,,
2008-08-26 12:08:00,215.01,217.48,211.25,212.25,2322344,57.985088480529384,,,,,,,,,,,
2008-08-27 12:08:00,212.75,214.88,212.06,213.53,1372306,59.33356730922463,,,,,,,,,,,
2008-08-28 12:08:00,214.13,214.63,212.0,212.43,1435100,57.62199072568582,,,,,,,,,,,
2008-08-29 12:08:00,213.63,218.75,213.63,218.64,1148336,63.94526205605792,,,,,,,,,,,
2008-09-01 12:09:00,218.75,220.84,212.74,215.41,1394238,59.01301654292624,,,,,,,,,,,
2008-09-02 12:09:00,218.63,222.75,215.17,221.91,1050466,64.88314316865498,,,,,,,,,,,
