datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2024-12-20 12:12:00,510.0,525.0,459.0,471.15,64151155,,,,,,,,,,,,
2024-12-23 12:12:00,492.15,505.45,478.45,482.2,14769046,,,,,,,,,,,,
2024-12-24 12:12:00,487.0,530.4,484.1,527.5,15928766,,,,,,,,,,,,
2024-12-26 12:12:00,544.0,580.25,537.1,580.25,19265662,,,,,,,,,,,,
2024-12-27 12:12:00,605.0,611.0,542.3,586.6,17364385,,,,,,,,,,,,
2024-12-30 12:12:00,582.0,583.9,547.25,554.55,4709588,,,,,,,,,,,,
2024-12-31 12:12:00,545.0,564.9,542.65,553.9,2846998,,,,,,,,,,,,
2025-01-01 12:01:00,561.0,603.35,557.05,594.9,5350965,,,,,,,,,,,,
2025-01-02 12:01:00,601.4,624.0,582.75,597.25,8248826,,,,,,,,,,,,
2025-01-03 12:01:00,599.4,629.0,591.35,615.2,6118584,,,,,,,,,,,,
2025-01-06 12:01:00,619.7,639.4,576.05,587.0,6920415,,,,,,,,,,,,
2025-01-07 12:01:00,593.0,624.0,584.0,612.5,4204735,,,,,,,,,,,,
2025-01-08 12:01:00,616.0,625.95,599.9,620.4,3646381,,,,,,,,,,,,
2025-01-09 12:01:00,623.45,642.3,600.1,602.9,3252335,67.98730855724742,,,,,,,,,,,
2025-01-10 12:01:00,600.0,613.4,570.1,585.85,3433709,61.74880913374607,,,,,,,,,,,
2025-01-13 12:01:00,578.8,589.85,541.0,548.7,3469047,50.8089521003681,,,,,,,,,,,
2025-01-14 12:01:00,555.95,568.0,545.0,548.85,2485322,50.846818308657696,,,,,,,,,,,
2025-01-15 12:01:00,550.85,561.7,530.75,540.05,2198983,48.48861304960539,,,,,,,,,,,
2025-01-16 12:01:00,550.0,568.4,542.0,546.1,1797526,50.1986912197324,,,,,,,,,,,
2025-01-17 12:01:00,535.0,542.9,515.05,518.1,3774660,43.07189924954454,,,,,,,,,,,
2025-01-20 12:01:00,528.0,537.4,509.5,522.0,2846036,44.25894680204578,,,,,,,,,,,
2025-01-21 12:01:00,524.0,535.5,505.65,509.5,2831202,41.287358694649626,,,,,,,,,,,
2025-01-22 12:01:00,512.95,526.0,503.3,520.4,3205134,44.769660572430176,,,,,,,,,,,
2025-01-23 12:01:00,523.9,563.0,523.7,548.35,3610776,52.542499332449296,,,,,,,,,,,
2025-01-24 12:01:00,549.95,553.8,520.0,522.35,1355635,46.05005389568044,,,,,,,,,,,
2025-01-27 12:01:00,516.9,516.9,477.1,484.95,2599224,38.65149957574695,,,,,,,,,,,
