datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,53.21,53.21,52.4,52.65,709,,,,,,,,,,,,
2008-07-18 12:07:00,53.0,54.79,52.5,53.54,2867,,,,,,,,,,,,
2008-07-21 12:07:00,53.5,54.4,53.0,53.61,1303,,,,,,,,,,,,
2008-07-22 12:07:00,54.3,57.8,53.36,54.19,1417,,,,,,,,,,,,
2008-07-23 12:07:00,51.49,56.0,51.49,54.18,8127,,,,,,,,,,,,
2008-07-24 12:07:00,54.1,54.4,53.51,53.73,1607,,,,,,,,,,,,
2008-07-28 12:07:00,53.7,54.5,52.6,53.65,4832,,,,,,,,,,,,
2008-07-29 12:07:00,53.59,54.1,52.7,53.63,1751,,,,,,,,,,,,
2008-07-30 12:07:00,54.1,56.0,53.0,53.92,1521,,,,,,,,,,,,
2008-07-31 12:07:00,54.6,55.2,54.19,55.1,7190,,,,,,,,,,,,
2008-08-01 12:08:00,53.99,54.79,53.5,54.04,413,,,,,,,,,,,,
2008-08-04 12:08:00,54.0,58.2,52.65,56.21,82363,,,,,,,,,,,,
2008-08-05 12:08:00,55.6,57.99,55.53,56.02,1349,,,,,,,,,,,,
2008-08-06 12:08:00,56.52,56.52,55.5,55.52,1041,66.3178349353028,,,,,,,,,,,
2008-08-07 12:08:00,55.5,55.5,54.06,54.72,475,57.28126775642648,,,,,,,,,,,
2008-08-08 12:08:00,54.7,57.2,54.23,56.74,2689,68.83042100696507,,,,,,,,,,,
2008-08-11 12:08:00,60.5,60.5,57.0,57.9,4067,73.29530970624064,,,,,,,,,,,
2008-08-12 12:08:00,58.0,58.0,55.56,57.17,1271,66.8094554262795,,,,,,,,,,,
2008-08-13 12:08:00,56.6,58.5,56.51,58.02,1558,70.12448324807058,,,,,,,,,,,
2008-08-14 12:08:00,58.0,58.5,57.41,57.6,1568,66.5855850664764,,,,,,,,,,,
2008-08-18 12:08:00,58.0,58.6,56.5,58.25,14969,69.17801896817102,,,,,,,,,,,
2008-08-19 12:08:00,58.2,59.0,57.23,58.49,2444,70.10042351708206,,,,,,,,,,,
2008-08-20 12:08:00,57.7,58.5,57.0,57.24,488,60.02473777824538,,,,,,,,,,,
2008-08-21 12:08:00,57.2,57.7,56.5,56.8,233,56.923243686627686,,,,,,,,,,,
2008-08-25 12:08:00,57.2,57.8,56.5,56.75,280,56.565563555398256,,,,,,,,,,,
2008-08-26 12:08:00,57.0,57.0,56.0,56.16,224,52.382824431718156,,,,,,,,,,,
2008-08-27 12:08:00,56.6,58.0,55.56,57.57,1879,59.995970811538086,,,,,,,,,,,
2008-08-28 12:08:00,56.9,59.38,56.65,58.67,4385,64.73320445179726,,,,,,,,,,,
2008-08-29 12:08:00,58.6,60.0,57.26,58.84,3856,65.41483930205996,,,,,,,,,,,
2008-09-01 12:09:00,62.0,62.0,57.13,57.41,568,55.66801148231779,,,,,,,,,,,
2008-09-02 12:09:00,57.5,58.0,56.5,56.86,662,52.43210722813593,,,,,,,,,,,
2008-09-04 12:09:00,57.3,57.3,56.0,56.15,1011,48.511820184325906,,,,,,,,,,,
2008-09-05 12:09:00,56.4,56.93,55.8,56.21,606,48.85980517975607,,,,,,,,,,,
2008-09-08 12:09:00,56.7,56.9,55.01,55.96,1457,47.421658575508836,,,,,,,,,,,
2008-09-09 12:09:00,55.9,56.97,55.9,56.09,135,48.2742602216837,,,,,,,,,,,
2008-09-10 12:09:00,56.0,57.2,55.0,56.82,1650,52.89363373933946,,,,,,,,,,,
2008-09-11 12:09:00,56.82,60.0,55.53,58.25,2518,60.361426353641306,,,,,,,,,,,
2008-09-12 12:09:00,57.9,57.9,56.0,56.42,3748,49.538284656092394,,,,,,,,,,,
2008-09-15 12:09:00,56.5,57.0,53.01,56.36,2452,49.2266263057715,,,,,,,,,,,
2008-09-18 12:09:00,55.89,59.0,54.32,57.56,3099,55.28561010914585,,,,,,,,,,,
2008-09-19 12:09:00,57.02,58.0,56.11,57.68,2335,55.852958797596344,,,,,,,,,,,
2008-09-22 12:09:00,57.05,58.29,56.0,57.6,2346,55.34875739968103,,,,,,,,,,,
2008-09-23 12:09:00,57.0,57.0,56.52,56.75,320,50.16686441333765,,,,,,,,,,,
2008-09-24 12:09:00,56.7,56.7,55.0,55.5,1320,43.68904434809822,,,,,,,,,,,
2008-09-25 12:09:00,55.99,57.51,54.75,57.18,1851,52.556045349557444,,,,,,,,,,,
2008-09-26 12:09:00,56.0,57.5,55.22,56.75,2557,50.36980460900173,,,,,,,,,,,
2008-09-29 12:09:00,56.2,58.0,53.5,56.49,3954,49.04140784414608,,,,,,,,,,,
2008-09-30 12:09:00,54.2,56.75,54.2,56.5,5684,49.09701262702075,,,,,,,,,,,
2008-10-01 12:10:00,56.0,56.0,55.0,55.47,648,43.796084441680435,,,,,,,,,,,
2008-10-06 12:10:00,54.0,54.2,51.06,52.77,2613,33.56548641683257,55.90160096082939,,,,,,,,,,
2008-10-07 12:10:00,53.0,54.2,49.5,51.79,3581,30.757092579978178,55.740361707463535,,,,,,,,,,
2008-10-08 12:10:00,46.1,53.6,46.0,52.0,4445,32.0687267532478,55.59368085619046,,,,,,,,,,
2008-10-10 12:10:00,46.81,53.09,45.71,51.23,6665,29.83696329672493,55.42255611673201,,,,,,,,,,
2008-10-13 12:10:00,51.0,54.5,48.21,51.06,6396,29.351298479399958,55.251475484703306,,,,,,,,,,
2008-10-14 12:10:00,53.0,54.4,51.5,51.94,613,35.228671588676335,55.12161370098946,,,,,,,,,,
2008-10-15 12:10:00,50.9,51.8,49.7,51.27,996,32.979124863335514,54.970570026440846,,,,,,,,,,
2008-10-16 12:10:00,49.0,51.8,48.22,50.12,3388,29.49743039608724,54.78035159403141,,,,,,,,,,
2008-10-17 12:10:00,49.0,50.98,49.0,50.09,4609,29.41020205035234,54.59641623740272,,,,,,,,,,
2008-10-20 12:10:00,48.5,51.36,48.0,48.52,548,25.20884592173337,54.3581254045634,,,31.89288195731723,,,,,,,
2008-10-21 12:10:00,50.9,50.9,47.9,48.26,758,24.58255391731575,54.11898323183543,,,31.89288195731723,,,,,,,
2008-10-22 12:10:00,49.8,49.8,47.0,47.15,913,22.062483816011152,53.84568977176345,,,31.89288195731723,,,,,,,
2008-10-23 12:10:00,46.01,48.0,43.4,46.62,1906,20.957725345360117,53.562329388557046,,,31.89288195731723,,,,,,,
2008-10-24 12:10:00,45.01,46.37,37.55,41.78,2314,14.04244444643463,53.10027725567246,,,31.89288195731723,,,,,,,
2008-10-27 12:10:00,42.0,42.0,34.0,36.17,3973,9.945938205027261,52.436344814273546,,,19.060768334464598,,,,,,,
2008-10-28 12:10:00,38.75,39.9,35.22,36.99,434,13.899706485471427,51.8306058019491,,,19.060768334464598,,,,,,,
2008-10-31 12:10:00,41.99,42.08,37.44,38.58,9073,21.130484596005672,51.31097420187267,,,19.060768334464598,,,,,,,
2008-11-03 12:11:00,41.9,41.9,39.23,39.63,6092,25.575499189660746,50.85289678219139,,,16.335170687032914,,,,,,,
2008-11-04 12:11:00,40.7,41.5,39.0,40.77,1541,30.176634770900648,50.45748906524271,,,16.335170687032914,,,,,,,
2008-11-05 12:11:00,41.1,41.9,39.51,40.36,1188,29.470956062622847,50.061509101899865,,,16.335170687032914,,,,,,,
2008-11-06 12:11:00,39.01,41.0,38.61,40.29,572,29.3447831933602,49.67831266653124,,,16.335170687032914,,,,,,,
2008-11-07 12:11:00,39.1,40.0,38.72,39.78,455,28.39108584166067,49.29014354235355,,,16.335170687032914,,,,,,,
2008-11-10 12:11:00,39.7,40.7,39.7,40.05,641,29.693807170998895,48.927784972065176,,,20.902875095613723,,,,,,,
2008-11-11 12:11:00,41.3,46.34,40.21,43.04,88145,42.22794246398447,48.696891443748896,,,20.902875095613723,,,,,,,
2008-11-12 12:11:00,42.8,45.4,42.15,43.43,26817,43.63935780076589,48.490346681248944,,,20.902875095613723,,,,,,,
2008-11-14 12:11:00,46.49,46.49,40.5,41.22,6374,37.97730982574999,48.20523504669016,,,20.902875095613723,,,,,,,
2008-11-17 12:11:00,40.5,42.2,37.2,38.87,7993,33.06462337771008,47.83914739780035,,,26.115700191858494,,,,,,,
2008-11-18 12:11:00,36.8,38.6,36.8,37.89,103239,31.249205036049943,47.44898475474936,,,26.115700191858494,,,,,,,
2008-11-19 12:11:00,38.0,38.43,36.0,36.12,3060,28.23399640380073,47.0047108427984,,,26.115700191858494,,,,,,,
2008-11-20 12:11:00,35.4,35.4,33.0,33.68,5705,24.69636434300118,46.48217316268866,,,26.115700191858494,,,,,,,
2008-11-21 12:11:00,33.0,33.47,31.61,33.06,79236,23.877675451659115,45.955813430818516,,,26.115700191858494,,,,,,,
2008-11-24 12:11:00,32.7,34.5,32.51,34.0,2109,27.786320179429268,45.48695800215897,,,18.625016334474623,,,,,,,
2008-11-25 12:11:00,35.0,35.0,32.9,33.3,1668,26.687377782047022,45.009038080505675,,,18.625016334474623,,,,,,,
2008-11-26 12:11:00,32.61,33.24,32.25,32.79,2887,25.88415735639839,44.52986011656428,,,18.625016334474623,,,,,,,
2008-11-28 12:11:00,32.0,33.38,31.3,33.05,1343,27.088943835670207,44.079669523757836,,,18.625016334474623,,,,,,,
2008-12-01 12:12:00,32.54,33.59,32.25,32.88,4001,26.782388697352957,43.64046679733596,,,18.61796864739236,,,,,,,
2008-12-02 12:12:00,31.71,32.73,31.71,32.53,1194,26.12683667143898,43.20476221704828,,,18.61796864739236,,,,,,,
2008-12-03 12:12:00,28.44,33.95,28.44,33.0,2663,28.652363257021506,42.804575463438546,,,18.61796864739236,,,,,,,
2008-12-04 12:12:00,38.0,38.0,33.51,35.22,8501,39.22182152208065,42.507141131539,,,18.61796864739236,,,,,,,
2008-12-05 12:12:00,35.1,35.77,34.3,35.03,5814,38.69350221037543,42.21391991069434,,,18.61796864739236,,,,,,,
2008-12-08 12:12:00,36.4,36.4,34.63,34.99,1788,38.57569454363898,41.930628933804364,,,24.694121671091395,,,,,,,
2008-12-10 12:12:00,35.5,35.99,34.22,35.55,6096,41.27155100487985,41.68040819130223,,,24.694121671091395,,,,,,,
2008-12-11 12:12:00,35.6,35.6,35.0,35.3,786,40.41869547875572,41.43019610536881,,,24.694121671091395,,,,,,,
2008-12-12 12:12:00,34.23,35.38,34.23,35.23,2911,40.16840061814837,41.18705116006023,,,24.694121671091395,,,,,,,
2008-12-15 12:12:00,35.5,37.0,34.61,35.72,7393,42.83690604329313,40.97265699692061,,,25.30080988608789,,,,,,,
2008-12-16 12:12:00,36.0,37.23,34.56,37.0,3334,49.209529877120794,40.81686652645314,,,25.30080988608789,,,,,,,
2008-12-17 12:12:00,36.6,37.0,35.2,35.76,2269,44.08250715585016,40.61855803521968,,,25.30080988608789,,,,,,,
2008-12-18 12:12:00,35.0,37.49,34.83,36.28,3128,46.59532851972103,40.44841850442675,,,25.30080988608789,,,,,,,
2008-12-19 12:12:00,35.58,36.9,35.5,35.59,556,43.78370684453615,40.25789228856688,,,25.30080988608789,,,,,,,
2008-12-22 12:12:00,35.1,36.3,35.1,35.61,415,43.88939469053559,40.07562200274073,,,26.449439100551785,,,,,,,
2008-12-23 12:12:00,35.6,35.9,35.6,35.78,2443,44.83868932744358,39.90716623792737,44.569757251015155,,26.449439100551785,,,,,,,
2008-12-24 12:12:00,36.1,36.11,34.85,35.54,1976,43.7142750342796,39.735904816832175,44.39095017673763,,26.449439100551785,,,,,,,
2008-12-26 12:12:00,35.0,36.5,35.0,36.26,3169,47.93264712403257,39.59959482401523,44.229941262346784,,26.449439100551785,,,,,,,
2008-12-29 12:12:00,35.27,36.2,35.27,35.64,233,44.81777119779738,39.444316595622475,44.05984341556764,,28.648435165969588,,,,,,,
2008-12-30 12:12:00,35.63,37.0,35.21,36.23,4673,48.26327904748835,39.318264964421594,43.904797011298974,,28.648435165969588,,,,,,,
2009-01-01 12:01:00,37.4,37.42,36.25,36.79,614,51.36715516775685,39.21911731875801,43.763909941768304,,28.648435165969588,,,,,,,
2009-01-02 12:01:00,36.5,38.7,36.12,38.5,10706,59.380792630014085,39.19091663959103,43.659674101337245,,28.648435165969588,,,,,,,
2009-01-05 12:01:00,37.7,39.7,37.2,38.71,7062,60.247109157797645,39.172057163528635,43.561660752795916,,35.58267774013646,,,,,,,
2009-01-06 12:01:00,38.3,40.79,38.0,39.38,7989,62.961304083679245,39.18021178456673,43.47885558937422,,35.58267774013646,,,,,,,
2009-01-07 12:01:00,39.4,39.4,36.5,37.36,1764,51.53650586152792,39.10883093027,43.357690132158886,,35.58267774013646,,,,,,,
2009-01-09 12:01:00,33.76,37.1,33.76,37.02,2236,49.89535987817654,39.02691599182804,43.23219131766069,,35.58267774013646,,,,,,,
2009-01-13 12:01:00,36.3,36.88,36.3,36.35,2085,46.73691804417212,38.92193889410929,43.095910301469395,,33.28126886306957,,,,,,,
2009-01-14 12:01:00,36.1,36.5,36.01,36.2,1525,46.03433807059557,38.81519619237952,42.959357622232375,,33.28126886306957,,,,,,,
2009-01-15 12:01:00,37.43,37.43,35.51,36.13,861,45.689162258449684,38.70989438091365,42.824122817831736,,33.28126886306957,,,,,,,
2009-01-16 12:01:00,36.97,36.97,33.0,34.73,10580,39.3363352644577,38.55382009146606,42.66384315807269,,33.28126886306957,,,,,,,
2009-01-19 12:01:00,37.89,37.89,34.9,35.11,1252,41.7056383949779,38.41876832317327,42.51426210543758,,30.04337690543842,,,,,,,
2009-01-20 12:01:00,34.0,35.9,33.5,35.07,985,41.52180294327324,38.28744407520569,42.36685097463684,,30.04337690543842,,,,,,,
2009-01-21 12:01:00,33.73,36.0,33.7,35.36,1429,43.46741404119012,38.17264234676625,42.2281014503866,,30.04337690543842,,,,,,,
2009-01-22 12:01:00,37.2,37.2,33.04,33.57,49551,35.59525461632292,37.99214656846169,42.0566538969136,,30.04337690543842,,,,,,,
2009-01-23 12:01:00,33.7,34.0,32.51,32.74,83261,32.64314913781644,37.78618003636515,41.87216570093511,,30.04337690543842,,,,,,,
2009-01-27 12:01:00,33.8,33.8,32.22,32.6,8457,32.1586728660576,37.58280042709593,41.68855845933244,,27.536285803420014,,,,,,,
2009-01-28 12:01:00,30.7,34.0,30.7,33.87,6817,40.74946320686404,37.437200410347074,41.533735519543676,,27.536285803420014,,,,,,,
2009-01-29 12:01:00,32.63,38.0,32.55,33.59,95563,39.56004507020067,37.286329806019744,41.376433826087364,,27.536285803420014,,,,,,,
2009-01-30 12:01:00,33.6,35.6,33.41,35.05,9178,48.07140143111103,37.19863059794054,41.251157908739096,,27.536285803420014,,,,,,,
2009-02-02 12:02:00,34.98,34.98,33.5,33.92,820,43.021629443765946,37.070056849001695,41.105986465001685,,34.38156012057816,,,,,,,
2009-02-03 12:02:00,34.5,34.5,33.2,34.02,102495,43.58640385377398,36.95044677649183,40.96566990133829,,34.38156012057816,,,,,,,
2009-02-04 12:02:00,34.3,34.3,34.0,34.1,114208,44.06407660471275,36.838664549962736,40.82971604190585,,34.38156012057816,,,,,,,
2009-02-05 12:02:00,34.0,34.0,33.5,33.56,1774,41.50914695179304,36.71008946957204,40.6857612687988,,34.38156012057816,,,,,,,
2009-02-09 12:02:00,33.63,35.0,33.6,34.2,20527,45.539532007153625,36.61165458841236,40.55733035258496,,32.26440399612349,,,,,,,
2009-02-10 12:02:00,33.6,34.5,33.6,34.02,6904,44.60852350347864,36.51002107514129,40.42787826639516,,32.26440399612349,,,,,,,
2009-02-11 12:02:00,34.0,34.1,33.25,33.59,5658,42.3795638798091,36.39551044474359,40.29247473636754,,32.26440399612349,,,,,,,
2009-02-12 12:02:00,33.52,34.7,33.5,34.23,5771,46.65221057754578,36.310588466518354,40.17242573168699,,32.26440399612349,,,,,,,
2009-02-13 12:02:00,34.95,34.95,33.4,33.7,1888,43.75844778127528,36.20821244822351,40.04425888551497,,32.26440399612349,,,,,,,
2009-02-16 12:02:00,33.53,33.99,33.03,33.31,399,41.70829350499722,36.0945570580971,39.910907224415666,,32.683847086452076,,,,,,,
2009-02-17 12:02:00,33.0,33.4,32.7,33.08,2279,40.50308914131022,35.97633913425016,39.77564173482328,,32.683847086452076,,,,,,,
2009-02-18 12:02:00,32.8,33.5,32.8,33.0,3746,40.06938083439383,35.85961995251486,39.641470611361434,,32.683847086452076,,,,,,,
2009-02-20 12:02:00,32.85,33.0,32.55,32.86,2363,39.276755535012775,35.741987797514284,39.5071840646018,,32.683847086452076,,,,,,,
2009-02-24 12:02:00,33.23,33.5,32.65,32.99,5099,40.45464140938417,35.63406670741569,39.378130914807706,,31.426408528020104,,,,,,,
2009-02-25 12:02:00,32.65,33.03,32.03,32.45,4885,37.22456382369849,35.50920134634057,39.240940203623396,,31.426408528020104,,,,,,,
2009-02-26 12:02:00,32.5,33.5,31.64,33.0,34581,42.27963505386681,35.4108012935429,39.11735722929422,,31.426408528020104,,,,,,,
2009-02-27 12:02:00,33.45,33.45,32.05,33.0,1588,42.279635053866805,35.316260066345144,38.996221442575525,,31.426408528020104,,,,,,,
2009-03-02 12:03:00,33.0,33.0,31.5,32.04,1994,36.353615732133186,35.18777927942965,38.8584744833166,,31.896687190949777,,,,,,,
2009-03-03 12:03:00,31.9,31.9,30.0,30.87,5160,30.705019600789598,35.018454601804955,38.70028686978558,,31.896687190949777,,,,,,,
2009-03-04 12:03:00,31.5,31.5,29.21,30.21,4482,28.056689620922725,34.829887754675354,38.53216237731458,,31.896687190949777,,,,,,,
2009-03-05 12:03:00,31.32,31.32,29.1,29.71,28425,26.212197114063258,34.6291078427273,38.357466092615276,,31.896687190949777,,,,,,,
2009-03-06 12:03:00,29.4,33.5,29.4,32.83,7221,48.82186547275187,34.5585545939929,38.24801131850408,,31.896687190949777,,,,,,,
2009-03-09 12:03:00,31.8,32.9,31.8,32.1,66990,45.32259635796295,34.462140688346125,38.12626852011786,,31.613174789520997,,,,,,,
2009-03-12 12:03:00,33.5,35.95,30.63,31.04,16077,40.754774513644165,34.32793909272471,37.98594637120463,,31.613174789520997,,,,,,,
2009-03-13 12:03:00,31.4,31.65,30.31,30.63,4766,39.11276536100916,34.18292187340218,37.840284066824346,,31.613174789520997,,,,,,,
2009-03-16 12:03:00,31.0,31.48,30.21,30.77,9498,40.001690029881566,34.04908179993542,37.70027844173871,,28.12871957064857,,,,,,,
2009-03-17 12:03:00,31.19,31.8,30.5,30.61,8322,39.29560130280393,33.91421584699678,37.559876888436946,,28.12871957064857,,,,,,,
2009-03-18 12:03:00,31.09,31.1,30.71,31.01,30862,42.04958993450944,33.8003250294675,37.43017635599265,,28.12871957064857,,,,,,,
2009-03-19 12:03:00,31.0,31.38,30.02,30.43,6173,39.26775868984793,33.66815542046878,37.29155900240864,,28.12871957064857,,,,,,,
2009-03-20 12:03:00,30.98,31.2,30.98,31.01,1375,43.30685534758986,33.56391403143079,37.16717169543025,,28.12871957064857,,,,,,,
2009-03-23 12:03:00,30.7,33.5,30.7,32.5,3773,52.117106377841445,33.52219191255115,37.07475245393658,,29.57267428059164,,,,,,,
2009-03-24 12:03:00,33.28,33.28,31.2,31.73,2127,47.96849311252511,33.45190987676483,36.96891577168041,,29.57267428059164,,,,,,,
2009-03-25 12:03:00,32.0,32.0,30.8,31.16,1228,45.10611567545329,33.36203105806817,36.85388773659763,,29.57267428059164,,,,,,,
2009-03-26 12:03:00,31.6,31.85,30.96,31.11,35863,44.8532762312143,33.273716114614516,36.740147385377874,,29.57267428059164,,,,,,,
2009-03-27 12:03:00,31.17,31.5,30.61,31.01,100376,44.318211527889,33.18494293364924,36.62667912032089,,29.57267428059164,,,,,,,
2009-03-30 12:03:00,31.0,31.8,30.86,31.11,2054,45.02447412587117,33.10357262252574,36.51743794962146,,29.57267428059164,,,,,,,
2009-03-31 12:03:00,30.8,33.5,30.8,33.05,3088,56.54095149287714,33.101471735367866,36.448775812005195,,29.57267428059164,,,,,,,
2009-04-01 12:04:00,32.5,33.09,32.0,32.05,825,50.650884271520596,33.060237549667164,36.361671340480335,,29.57267428059164,,,,,,,
2009-04-02 12:04:00,33.37,33.6,32.22,33.16,1391,56.11568269790774,33.064149802621394,36.29827190799558,,29.57267428059164,,,,,,,
2009-04-06 12:04:00,33.5,36.5,33.11,35.68,5041,65.46561970158717,33.16673216330291,36.28602889991646,,37.77583961447862,,,,,,,
2009-04-08 12:04:00,34.47,36.5,33.22,36.0,3327,66.44333465171093,33.277840705918486,36.28036496130425,,37.77583961447862,,,,,,,
