datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,55.33,56.63,54.2,55.75,5071763,,,,,,,,,,,,
2008-07-18 12:07:00,56.03,59.63,55.02,58.75,5000611,,,,,,,,,,,,
2008-07-21 12:07:00,58.75,61.82,57.67,59.73,6249065,,,,,,,,,,,,
2008-07-22 12:07:00,59.72,63.42,59.12,63.28,8239552,,,,,,,,,,,,
2008-07-23 12:07:00,64.78,66.57,62.65,63.87,10629539,,,,,,,,,,,,
2008-07-24 12:07:00,63.87,65.6,62.53,63.5,3674488,,,,,,,,,,,,
2008-07-28 12:07:00,63.02,64.5,62.67,63.55,3678450,,,,,,,,,,,,
2008-07-29 12:07:00,63.0,63.63,61.42,63.2,3413270,,,,,,,,,,,,
2008-07-30 12:07:00,62.67,63.93,61.67,62.77,3940433,,,,,,,,,,,,
2008-07-31 12:07:00,63.67,63.97,59.0,62.27,19596987,,,,,,,,,,,,
2008-08-01 12:08:00,62.35,62.68,60.85,62.37,6040220,,,,,,,,,,,,
2008-08-04 12:08:00,62.37,63.3,62.0,62.6,2324244,,,,,,,,,,,,
2008-08-05 12:08:00,63.0,63.77,62.32,63.38,4861677,,,,,,,,,,,,
2008-08-06 12:08:00,64.0,65.28,62.8,63.3,8598342,79.94494729296665,,,,,,,,,,,
2008-08-07 12:08:00,63.33,64.9,62.67,63.98,8724041,82.16899059518919,,,,,,,,,,,
2008-08-08 12:08:00,63.67,64.3,63.1,63.37,4753873,74.21778429943538,,,,,,,,,,,
2008-08-11 12:08:00,64.0,65.0,63.57,64.6,1560714,78.69464689989675,,,,,,,,,,,
2008-08-12 12:08:00,64.75,66.08,64.42,65.23,4052092,80.55690177445601,,,,,,,,,,,
2008-08-13 12:08:00,64.67,65.95,64.67,64.98,2232999,77.65615119148275,,,,,,,,,,,
2008-08-14 12:08:00,64.5,65.07,63.25,63.72,1324922,64.96007864939813,,,,,,,,,,,
2008-08-18 12:08:00,63.72,64.7,60.53,62.48,4471670,55.366579329201315,,,,,,,,,,,
2008-08-19 12:08:00,61.67,62.33,60.68,61.17,2887299,47.40202159552498,,,,,,,,,,,
2008-08-20 12:08:00,61.63,62.22,60.73,61.0,4943083,46.46784535687052,,,,,,,,,,,
2008-08-21 12:08:00,61.07,61.47,60.13,60.75,2159858,45.06143284761096,,,,,,,,,,,
2008-08-25 12:08:00,62.0,62.33,60.67,61.32,693255,48.861796718952085,,,,,,,,,,,
2008-08-26 12:08:00,61.0,61.77,60.77,61.63,2554548,50.85300347085321,,,,,,,,,,,
2008-08-27 12:08:00,61.67,61.97,61.02,61.32,1779207,48.80640613744053,,,,,,,,,,,
2008-08-28 12:08:00,61.17,61.63,60.42,61.17,5019457,47.80388568038955,,,,,,,,,,,
2008-08-29 12:08:00,61.67,63.32,61.37,62.9,3025376,58.413669637605004,,,,,,,,,,,
2008-09-01 12:09:00,62.67,64.32,61.58,63.98,2399600,63.41346250895372,,,,,,,,,,,
2008-09-02 12:09:00,64.33,65.67,63.8,64.8,3821851,66.68818491309867,,,,,,,,,,,
