datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,1.3,1.3,1.3,1.3,50,,,,,,,,,,,,
2008-07-21 12:07:00,1.33,1.33,1.32,1.32,100,,,,,,,,,,,,
2008-07-22 12:07:00,1.35,1.35,1.35,1.35,262,,,,,,,,,,,,
2008-07-23 12:07:00,1.35,1.48,1.35,1.47,542,,,,,,,,,,,,
2008-07-24 12:07:00,1.69,1.69,1.46,1.58,361,,,,,,,,,,,,
2008-07-28 12:07:00,1.4,1.49,1.4,1.41,121,,,,,,,,,,,,
2008-07-29 12:07:00,1.43,1.43,1.39,1.39,102,,,,,,,,,,,,
2008-07-30 12:07:00,1.34,1.48,1.34,1.44,84,,,,,,,,,,,,
2008-08-01 12:08:00,1.38,1.49,1.29,1.47,1115,,,,,,,,,,,,
2008-08-04 12:08:00,1.42,1.58,1.4,1.43,627,,,,,,,,,,,,
2008-08-05 12:08:00,1.38,1.46,1.38,1.4,612,,,,,,,,,,,,
2008-08-06 12:08:00,1.39,1.48,1.39,1.44,1485,,,,,,,,,,,,
2008-08-07 12:08:00,1.41,1.49,1.41,1.46,190,,,,,,,,,,,,
2008-08-08 12:08:00,1.33,1.49,1.33,1.39,751,51.204950324828935,,,,,,,,,,,
2008-08-11 12:08:00,1.49,1.52,1.43,1.52,501,62.392802416850884,,,,,,,,,,,
2008-08-12 12:08:00,1.54,1.54,1.36,1.46,871,56.009766405973046,,,,,,,,,,,
2008-08-13 12:08:00,1.46,1.49,1.46,1.48,1414,57.56805942361996,,,,,,,,,,,
2008-08-14 12:08:00,1.56,1.69,1.54,1.58,7479,64.36514240330166,,,,,,,,,,,
2008-08-18 12:08:00,1.63,1.63,1.54,1.61,1308,66.11860650752098,,,,,,,,,,,
2008-08-19 12:08:00,1.58,1.6,1.51,1.6,1889,64.97096928251457,,,,,,,,,,,
2008-08-20 12:08:00,1.54,1.66,1.54,1.65,585,67.9650258435707,,,,,,,,,,,
2008-08-21 12:08:00,1.53,1.63,1.53,1.59,1240,61.20449037378426,,,,,,,,,,,
2008-08-25 12:08:00,1.58,1.58,1.51,1.52,304,54.40514565892113,,,,,,,,,,,
2008-08-26 12:08:00,1.46,1.6,1.45,1.53,750,55.17131785702575,,,,,,,,,,,
2008-08-27 12:08:00,1.5,1.5,1.5,1.5,140,52.33032633766765,,,,,,,,,,,
2008-08-29 12:08:00,1.5,1.55,1.5,1.53,1164,54.834956987931754,,,,,,,,,,,
2008-09-01 12:09:00,1.46,1.56,1.46,1.56,86,57.25367362978213,,,,,,,,,,,
2008-09-02 12:09:00,1.6,1.6,1.47,1.5,171,51.332721700961415,,,,,,,,,,,
2008-09-04 12:09:00,1.42,1.58,1.42,1.5,289,51.332721700961415,,,,,,,,,,,
2008-09-08 12:09:00,1.42,1.5,1.42,1.5,267,51.332721700961415,,,,,,,,,,,
2008-09-09 12:09:00,1.5,1.54,1.5,1.51,496,52.358321739985946,,,,,,,,,,,
2008-09-10 12:09:00,1.58,1.6,1.55,1.58,1156,58.88930423672697,,,,,,,,,,,
2008-09-11 12:09:00,1.57,1.57,1.55,1.55,67,55.38507799388634,,,,,,,,,,,
2008-09-12 12:09:00,1.55,1.55,1.34,1.36,2836,39.395961979975766,,,,,,,,,,,
2008-09-15 12:09:00,1.49,1.49,1.29,1.31,1025,36.41654360328174,,,,,,,,,,,
2008-09-18 12:09:00,1.1,1.33,1.1,1.19,333,30.462164674894694,,,,,,,,,,,
2008-09-19 12:09:00,1.43,1.43,1.19,1.25,46,36.089045739649436,,,,,,,,,,,
2008-09-22 12:09:00,1.21,1.25,1.19,1.25,1090,36.089045739649436,,,,,,,,,,,
2008-09-23 12:09:00,1.18,1.27,1.18,1.18,1141,32.527685638683806,,,,,,,,,,,
2008-09-24 12:09:00,1.29,1.29,1.17,1.17,850,32.04123764490191,,,,,,,,,,,
2008-09-25 12:09:00,1.17,1.17,1.12,1.17,350,32.04123764490191,,,,,,,,,,,
2008-09-26 12:09:00,1.12,1.12,1.04,1.08,4100,27.715003105512523,,,,,,,,,,,
2008-09-29 12:09:00,1.17,1.25,0.92,0.94,6621,22.60255875525141,,,,,,,,,,,
2008-09-30 12:09:00,0.88,1.04,0.85,1.04,1565,32.22023916966029,,,,,,,,,,,
2008-10-01 12:10:00,1.04,1.04,1.02,1.02,62,31.380360887013808,,,,,,,,,,,
2008-10-06 12:10:00,1.11,1.11,1.11,1.11,5,39.07644846930384,,,,,,,,,,,
2008-10-07 12:10:00,1.08,1.08,0.89,0.92,1049,31.136944951776442,,,,,,,,,,,
2008-10-08 12:10:00,1.09,1.09,0.76,0.83,1491,28.212805215127077,,,,,,,,,,,
2008-10-10 12:10:00,0.69,0.93,0.69,0.81,399,27.592667728935993,,,,,,,,,,,
2008-10-13 12:10:00,0.8,0.8,0.79,0.79,201,26.954610751844868,1.2545062721219216,,,,,,,,,,
2008-10-14 12:10:00,0.84,0.86,0.84,0.86,88,32.810835544694896,1.239035437921062,,,,,,,,,,
2008-10-15 12:10:00,0.83,0.83,0.82,0.82,609,31.26816238132345,1.222602675649648,,,,,,,,,,
2008-10-16 12:10:00,0.85,0.85,0.85,0.85,100,33.78278876299652,1.2079908060163287,,,,,,,,,,
2008-10-17 12:10:00,0.86,0.86,0.73,0.85,575,33.78278876299652,1.1939519508784335,,,,,,,,,,
2008-10-20 12:10:00,0.82,0.82,0.81,0.81,150,31.973870958433267,1.1788950116282988,,,26.854563990129705,,,,,,,
2008-10-21 12:10:00,0.83,0.87,0.83,0.87,250,37.38947178569938,1.1667814817605224,,,26.854563990129705,,,,,,,
2008-10-22 12:10:00,0.83,0.84,0.83,0.83,1875,35.367968609240336,1.153574364828737,,,26.854563990129705,,,,,,,
2008-10-23 12:10:00,0.87,0.87,0.79,0.79,260,33.42197295895093,1.1393165466001591,,,26.854563990129705,,,,,,,
2008-10-24 12:10:00,0.83,0.83,0.83,0.83,150,37.14629571039762,1.1271864859491725,,,26.854563990129705,,,,,,,
2008-10-27 12:10:00,0.87,0.87,0.72,0.75,440,33.1519951759427,1.1123948590492048,,,26.2659660536781,,,,,,,
2008-10-28 12:10:00,0.75,0.85,0.73,0.79,328,36.8106688297071,1.0997519234002164,,,26.2659660536781,,,,,,,
2008-10-31 12:10:00,0.72,1.0,0.72,0.92,1176,46.969210383944464,1.0927028283649138,,,26.2659660536781,,,,,,,
2008-11-03 12:11:00,0.96,1.09,0.96,1.05,2758,54.79546990772847,1.0910282076447213,,,33.34583353137303,,,,,,,
2008-11-04 12:11:00,1.04,1.08,1.04,1.06,1557,55.34144415413634,1.0898114151880656,,,33.34583353137303,,,,,,,
2008-11-05 12:11:00,1.0,1.0,0.91,0.98,2045,50.12560166996421,1.0855050851806904,,,33.34583353137303,,,,,,,
2008-11-06 12:11:00,1.08,1.08,0.98,0.98,1333,50.12560166996421,1.081367630859879,,,33.34583353137303,,,,,,,
2008-11-07 12:11:00,0.96,1.05,0.96,1.01,555,52.08944055912403,1.0785689002379228,,,33.34583353137303,,,,,,,
2008-11-10 12:11:00,0.92,0.96,0.92,0.96,28,48.651060119633314,1.0739191394442789,,,39.59229615236017,,,,,,,
2008-11-11 12:11:00,0.96,0.96,0.94,0.96,1210,48.651060119633314,1.06945172221117,,,39.59229615236017,,,,,,,
2008-11-12 12:11:00,0.92,1.08,0.92,1.05,2092,54.869938096777,1.068688909575438,,,39.59229615236017,,,,,,,
2008-11-14 12:11:00,0.97,1.13,0.97,1.1,53,57.91908210533837,1.0699167954744404,,,39.59229615236017,,,,,,,
2008-11-17 12:11:00,1.2,1.2,0.94,0.96,1302,48.11634507113372,1.0656063329068153,,,45.129962485324135,,,,,,,
2008-11-18 12:11:00,0.92,0.92,0.92,0.92,14,45.73464206178045,1.0598962806359598,,,45.129962485324135,,,,,,,
2008-11-19 12:11:00,0.92,0.92,0.92,0.92,200,45.73464206178045,1.0544101519835694,,,45.129962485324135,,,,,,,
2008-11-20 12:11:00,0.83,0.91,0.83,0.91,230,45.08755746959782,1.0487470087685273,,,45.129962485324135,,,,,,,
2008-11-21 12:11:00,0.91,1.0,0.85,0.99,1108,51.05390434922279,1.046443204503095,,,45.129962485324135,,,,,,,
2008-11-24 12:11:00,0.93,0.93,0.92,0.92,570,46.31228503271743,1.041484647463758,,,40.27081846354755,,,,,,,
2008-11-25 12:11:00,0.84,0.91,0.84,0.91,231,45.65987729017676,1.0363283867789048,,,40.27081846354755,,,,,,,
2008-11-26 12:11:00,1.03,1.03,1.0,1.01,4,52.817782296544706,1.0352959010228693,,,40.27081846354755,,,,,,,
2008-11-28 12:11:00,0.88,0.88,0.88,0.88,150,44.59402916256767,1.0292058656886391,,,40.27081846354755,,,,,,,
2008-12-01 12:12:00,1.04,1.04,0.88,0.98,240,50.923982989495215,1.0272762238969277,,,36.08650419774828,,,,,,,
2008-12-02 12:12:00,0.88,0.88,0.8,0.85,736,43.9020482147843,1.020324215116656,,,36.08650419774828,,,,,,,
