datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,17.0,17.95,17.0,17.69,48960,,,,,,,,,,,,
2008-07-18 12:07:00,17.8,18.2,17.64,17.98,39982,,,,,,,,,,,,
2008-07-21 12:07:00,17.9,18.18,17.5,17.95,15213,,,,,,,,,,,,
2008-07-22 12:07:00,17.8,18.26,17.61,18.1,10465,,,,,,,,,,,,
2008-07-23 12:07:00,19.77,19.77,17.0,19.17,48422,,,,,,,,,,,,
2008-07-24 12:07:00,19.89,19.9,19.05,19.21,11519,,,,,,,,,,,,
2008-07-28 12:07:00,17.4,19.19,17.4,18.83,20796,,,,,,,,,,,,
2008-07-29 12:07:00,18.62,18.76,18.05,18.64,6490,,,,,,,,,,,,
2008-07-30 12:07:00,18.6,19.0,18.22,18.41,4569,,,,,,,,,,,,
2008-07-31 12:07:00,18.2,19.1,18.03,18.78,19121,,,,,,,,,,,,
2008-08-01 12:08:00,18.4,19.4,18.4,19.19,23853,,,,,,,,,,,,
2008-08-04 12:08:00,19.6,19.6,19.01,19.36,9368,,,,,,,,,,,,
2008-08-05 12:08:00,19.4,19.9,18.7,19.63,12839,,,,,,,,,,,,
2008-08-06 12:08:00,19.8,20.16,19.2,19.44,17309,71.28371609399676,,,,,,,,,,,
2008-08-07 12:08:00,19.2,19.96,19.1,19.29,9930,66.9123574619806,,,,,,,,,,,
2008-08-08 12:08:00,19.98,20.1,18.82,19.24,61305,65.47110778102038,,,,,,,,,,,
2008-08-11 12:08:00,19.2,19.78,18.8,19.4,15807,67.85701606895651,,,,,,,,,,,
2008-08-12 12:08:00,19.15,19.4,19.1,19.29,11380,64.55442715990745,,,,,,,,,,,
2008-08-13 12:08:00,19.4,19.4,18.71,18.77,17179,51.73568752204656,,,,,,,,,,,
2008-08-14 12:08:00,19.03,19.29,18.82,18.99,14629,55.74005719781525,,,,,,,,,,,
2008-08-18 12:08:00,19.0,19.0,18.43,18.61,12649,48.28775208697779,,,,,,,,,,,
2008-08-19 12:08:00,18.6,18.7,18.22,18.46,6356,45.69091096316548,,,,,,,,,,,
2008-08-20 12:08:00,18.27,19.0,18.27,18.95,27677,54.3310197435682,,,,,,,,,,,
2008-08-21 12:08:00,18.7,18.8,18.04,18.21,10973,43.162949651937154,,,,,,,,,,,
2008-08-25 12:08:00,18.4,18.69,17.82,17.83,22236,38.75720534463312,,,,,,,,,,,
2008-08-26 12:08:00,17.99,18.0,17.8,17.82,12616,38.645414245349954,,,,,,,,,,,
2008-08-27 12:08:00,18.0,18.0,17.44,17.68,7065,37.034849899242715,,,,,,,,,,,
2008-08-28 12:08:00,17.79,17.8,17.6,17.69,20685,37.23605869833925,,,,,,,,,,,
2008-08-29 12:08:00,17.64,17.95,17.46,17.57,26180,35.75932571049894,,,,,,,,,,,
2008-09-01 12:09:00,17.57,17.69,17.11,17.2,91645,31.59824284949056,,,,,,,,,,,
2008-09-02 12:09:00,17.4,17.57,17.3,17.34,25879,34.69477755042692,,,,,,,,,,,
2008-09-04 12:09:00,17.6,17.9,17.3,17.52,34395,38.54674607114332,,,,,,,,,,,
2008-09-05 12:09:00,17.6,17.88,17.25,17.35,50080,36.36511703376082,,,,,,,,,,,
2008-09-08 12:09:00,17.72,17.72,17.45,17.53,7893,40.2228874874982,,,,,,,,,,,
2008-09-09 12:09:00,17.59,17.59,17.4,17.49,6406,39.64767144709796,,,,,,,,,,,
2008-09-10 12:09:00,17.4,17.52,17.0,17.14,12664,34.93935767818452,,,,,,,,,,,
2008-09-11 12:09:00,17.06,17.45,16.93,17.2,18089,36.33513275297702,,,,,,,,,,,
2008-09-12 12:09:00,17.68,17.99,16.93,17.18,18200,36.05744579685609,,,,,,,,,,,
2008-09-15 12:09:00,16.66,17.16,16.21,16.81,24404,31.292810052950173,,,,,,,,,,,
2008-09-18 12:09:00,16.2,16.56,14.33,16.3,12603,26.161280070781245,,,,,,,,,,,
2008-09-19 12:09:00,17.0,17.0,16.22,16.56,7799,32.2599570295488,,,,,,,,,,,
2008-09-22 12:09:00,16.99,17.2,16.67,16.8,3929,37.3997990989836,,,,,,,,,,,
2008-09-23 12:09:00,16.42,16.9,16.42,16.61,1331,35.127435643098465,,,,,,,,,,,
2008-09-24 12:09:00,16.71,16.9,16.65,16.7,14111,37.07767048750839,,,,,,,,,,,
2008-09-25 12:09:00,16.74,17.16,16.4,16.53,1572,34.94093175126014,,,,,,,,,,,
2008-09-26 12:09:00,16.4,16.94,16.2,16.3,6234,32.234347995745864,,,,,,,,,,,
2008-09-29 12:09:00,16.6,16.6,15.6,15.8,10147,27.286062870433994,,,,,,,,,,,
2008-09-30 12:09:00,14.8,16.2,14.8,15.76,8021,26.92990275651735,,,,,,,,,,,
2008-10-01 12:10:00,16.37,18.0,16.0,16.14,6947,35.53816272670056,,,,,,,,,,,
2008-10-06 12:10:00,15.96,16.0,14.83,14.91,13731,25.192587165712936,17.31281302495935,,,,,,,,,,
2008-10-07 12:10:00,15.1,15.94,14.61,14.77,14161,24.324600585278304,17.213094867117807,,,,,,,,,,
2008-10-08 12:10:00,14.4,14.51,14.0,14.24,8212,21.328641048502163,17.09650291154456,,,,,,,,,,
2008-10-10 12:10:00,14.2,14.2,12.8,13.46,9448,17.845155730241373,16.95389495422909,,,,,,,,,,
2008-10-13 12:10:00,13.6,14.0,12.81,13.07,33392,16.40264402271066,16.80158534818089,,,,,,,,,,
2008-10-14 12:10:00,14.29,15.0,13.6,14.79,13266,39.59405647857217,16.722699648252227,,,,,,,,,,
2008-10-15 12:10:00,14.49,15.0,13.2,13.34,6760,31.628186876025154,16.590044760085473,,,,,,,,,,
2008-10-16 12:10:00,13.4,13.77,12.6,13.65,15125,34.655055443677114,16.474748887140944,,,,,,,,,,
2008-10-17 12:10:00,13.43,14.3,12.83,12.99,8162,31.461577732023983,16.338092068037376,,,,,,,,,,
2008-10-20 12:10:00,13.8,13.8,12.4,12.65,7387,29.931392928781904,16.193461006545714,,,9.618939016026246,,,,,,,
2008-10-21 12:10:00,12.82,13.37,12.8,13.34,3239,36.66379831382744,16.08156057491647,,,9.618939016026246,,,,,,,
2008-10-22 12:10:00,12.94,13.58,12.92,13.08,1849,35.287914663948484,15.96385231707661,,,9.618939016026246,,,,,,,
2008-10-23 12:10:00,13.0,13.0,12.31,12.43,7821,32.0497861378789,15.825269873269685,,,9.618939016026246,,,,,,,
2008-10-24 12:10:00,12.8,12.8,9.95,9.99,42463,23.37759164533432,15.596435760592444,,,9.618939016026246,,,,,,,
2008-10-27 12:10:00,10.0,10.41,8.06,8.87,19159,20.61957735395582,15.332653966059407,,,6.060570387598105,,,,,,,
2008-10-28 12:10:00,9.0,10.54,8.81,9.32,1457,24.474954884262644,15.096863614449235,,,6.060570387598105,,,,,,,
2008-10-31 12:10:00,9.8,10.12,9.21,9.54,6236,26.358055827622152,14.878947394274757,,,6.060570387598105,,,,,,,
2008-11-03 12:11:00,9.6,10.39,9.6,10.21,7135,31.924883839176857,14.695851418028688,,,5.718822138971575,,,,,,,
2008-11-04 12:11:00,10.0,10.4,9.97,10.34,2870,32.983449643047905,14.525033715360898,,,5.718822138971575,,,,,,,
2008-11-05 12:11:00,10.4,10.4,8.53,9.54,13867,29.901961729568313,14.329542197111452,,,5.718822138971575,,,,,,,
2008-11-06 12:11:00,9.4,10.1,8.65,9.8,6281,32.12151007850363,14.151913091342378,,,5.718822138971575,,,,,,,
2008-11-07 12:11:00,9.4,9.9,9.01,9.65,6226,31.501788593713158,13.975367479917187,,,5.718822138971575,,,,,,,
2008-11-10 12:11:00,9.61,10.29,9.54,9.96,6441,34.32196246482802,13.817902088547886,,,7.097882469411715,,,,,,,
2008-11-11 12:11:00,9.71,10.2,9.71,9.82,4911,33.64819589027974,13.661121614487184,,,7.097882469411715,,,,,,,
2008-11-12 12:11:00,9.75,9.95,9.4,9.51,6256,32.1434996011631,13.498332531566119,,,7.097882469411715,,,,,,,
2008-11-14 12:11:00,10.2,10.36,9.4,9.43,3070,31.748925052521926,13.33879007934784,,,7.097882469411715,,,,,,,
2008-11-17 12:11:00,9.2,9.81,8.51,8.84,11647,28.928535684661966,13.162366938981258,,,6.8810967792540225,,,,,,,
2008-11-18 12:11:00,8.98,9.1,8.52,8.61,43688,27.88845967500535,12.98384274529572,,,6.8810967792540225,,,,,,,
2008-11-19 12:11:00,8.42,9.4,8.42,8.9,111299,31.245043408733864,12.823692049401771,,,6.8810967792540225,,,,,,,
2008-11-20 12:11:00,8.51,8.75,8.2,8.31,8107,28.35344942631346,12.646684518052682,,,6.8810967792540225,,,,,,,
2008-11-21 12:11:00,8.5,8.57,8.23,8.41,2066,29.543619916303086,12.480540027148656,,,6.8810967792540225,,,,,,,
2008-11-24 12:11:00,8.74,9.2,8.6,8.85,3345,34.6848295879862,12.338165908436945,,,5.970593551920004,,,,,,,
2008-11-25 12:11:00,9.58,9.8,9.04,9.24,7864,38.937998576608024,12.216669206145301,,,5.970593551920004,,,,,,,
2008-11-26 12:11:00,9.11,9.5,8.81,8.92,2574,36.819415407275294,12.08738806080627,,,5.970593551920004,,,,,,,
2008-11-28 12:11:00,9.87,9.87,8.65,8.89,3408,36.6182628351461,11.962000293715828,,,5.970593551920004,,,,,,,
2008-12-01 12:12:00,9.0,9.46,8.9,9.17,5731,39.91753327572391,11.85251008611913,,,11.879747510325757,,,,,,,
2008-12-02 12:12:00,9.2,9.2,8.8,9.11,938,39.44371749623038,11.744960670977203,,,11.879747510325757,,,,,,,
2008-12-03 12:12:00,8.8,9.3,8.8,8.99,3160,38.460442976812814,11.636922997605549,,,11.879747510325757,,,,,,,
2008-12-04 12:12:00,9.0,9.05,8.8,9.0,16120,38.597810554463535,11.53351425260141,,,11.879747510325757,,,,,,,
2008-12-05 12:12:00,9.0,9.0,8.66,8.99,2822,38.50524818050993,11.43376859563665,,,11.879747510325757,,,,,,,
2008-12-08 12:12:00,9.4,9.4,8.82,8.88,4710,37.44158670991234,11.333620807572467,,,13.104928366566455,,,,,,,
2008-12-10 12:12:00,8.87,9.1,8.61,8.98,11570,39.08888426532027,11.241321952373546,,,13.104928366566455,,,,,,,
2008-12-11 12:12:00,9.0,9.1,8.84,8.99,7407,39.26112574620208,11.153034816986349,,,13.104928366566455,,,,,,,
2008-12-12 12:12:00,8.81,9.49,8.81,9.05,46554,40.35100962070899,11.070562863379042,,,13.104928366566455,,,,,,,
