datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,75.0,75.95,69.4,74.16,1052993,,,,,,,,,,,,
2008-07-18 12:07:00,75.9,75.9,72.13,72.95,920538,,,,,,,,,,,,
2008-07-21 12:07:00,74.5,75.94,70.37,72.14,806282,,,,,,,,,,,,
2008-07-22 12:07:00,72.1,74.48,72.1,72.89,531063,,,,,,,,,,,,
2008-07-23 12:07:00,75.1,78.75,74.39,77.29,783641,,,,,,,,,,,,
2008-07-24 12:07:00,78.0,80.1,78.0,79.76,747305,,,,,,,,,,,,
2008-07-28 12:07:00,78.01,79.2,77.11,77.66,146888,,,,,,,,,,,,
2008-07-29 12:07:00,76.5,77.5,74.81,75.25,191103,,,,,,,,,,,,
2008-07-30 12:07:00,77.5,77.5,74.51,74.95,585265,,,,,,,,,,,,
2008-07-31 12:07:00,75.5,76.97,72.7,73.67,2081255,,,,,,,,,,,,
2008-08-01 12:08:00,73.5,80.48,71.2,79.79,1387552,,,,,,,,,,,,
2008-08-04 12:08:00,79.82,88.18,78.9,87.21,1107441,,,,,,,,,,,,
2008-08-05 12:08:00,87.21,87.5,82.5,83.56,678979,,,,,,,,,,,,
2008-08-06 12:08:00,84.5,85.99,78.02,78.56,1104314,53.65236620703068,,,,,,,,,,,
2008-08-07 12:08:00,78.56,81.9,77.6,78.67,568320,53.84436466968307,,,,,,,,,,,
2008-08-08 12:08:00,78.71,80.77,78.1,79.46,326223,55.27727026209583,,,,,,,,,,,
2008-08-11 12:08:00,81.4,81.4,80.0,80.62,340239,57.37004874597272,,,,,,,,,,,
2008-08-12 12:08:00,80.98,82.0,77.0,77.5,463543,50.522139726392744,,,,,,,,,,,
2008-08-13 12:08:00,77.0,78.5,76.13,76.63,722697,48.77386656477928,,,,,,,,,,,
2008-08-14 12:08:00,76.5,77.95,76.01,77.11,421729,49.80588399687355,,,,,,,,,,,
2008-08-18 12:08:00,77.6,78.9,76.0,77.17,531500,49.94164240892332,,,,,,,,,,,
2008-08-19 12:08:00,77.5,78.45,75.65,77.02,455566,49.58060644458579,,,,,,,,,,,
2008-08-20 12:08:00,77.02,78.3,76.23,76.78,264316,48.97060927661229,,,,,,,,,,,
2008-08-21 12:08:00,76.85,77.17,75.36,75.68,299305,46.1670226575573,,,,,,,,,,,
2008-08-25 12:08:00,77.5,78.77,75.52,75.95,195524,46.96954946843273,,,,,,,,,,,
2008-08-26 12:08:00,75.6,76.68,75.0,75.03,994911,44.533390321834204,,,,,,,,,,,
2008-08-27 12:08:00,75.97,75.97,73.97,74.12,342205,42.20176824856926,,,,,,,,,,,
2008-08-28 12:08:00,77.87,77.87,73.82,74.91,981982,44.89890526012749,,,,,,,,,,,
2008-08-29 12:08:00,75.7,77.9,74.55,76.4,487159,49.66941006908184,,,,,,,,,,,
2008-09-01 12:09:00,75.9,76.8,74.4,75.13,213426,46.01275119109945,,,,,,,,,,,
2008-09-02 12:09:00,75.2,77.5,74.55,75.97,289925,48.702736406881044,,,,,,,,,,,
2008-09-04 12:09:00,75.54,75.6,73.0,73.14,592634,41.24623882027613,,,,,,,,,,,
2008-09-05 12:09:00,73.1,73.1,70.01,71.06,867106,36.78812863922911,,,,,,,,,,,
2008-09-08 12:09:00,73.47,74.0,70.6,71.65,410437,38.808498655121504,,,,,,,,,,,
2008-09-09 12:09:00,71.5,71.7,70.52,71.51,162320,38.4940953577358,,,,,,,,,,,
2008-09-10 12:09:00,71.0,71.4,65.53,66.13,841142,28.828623179402925,,,,,,,,,,,
2008-09-11 12:09:00,65.94,67.87,63.55,66.67,773974,30.709240562388516,,,,,,,,,,,
2008-09-12 12:09:00,67.5,67.88,65.13,65.85,328545,29.437212934911912,,,,,,,,,,,
2008-09-15 12:09:00,64.8,65.5,62.0,65.05,319400,28.209535643343713,,,,,,,,,,,
