datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,22.0,22.0,21.3,21.3,327,,,,,,,,,,,,
2008-07-18 12:07:00,21.5,22.0,21.2,21.27,363,,,,,,,,,,,,
2008-07-21 12:07:00,21.12,21.5,21.11,21.3,326,,,,,,,,,,,,
2008-07-22 12:07:00,21.07,22.15,21.07,21.4,1175,,,,,,,,,,,,
2008-07-23 12:07:00,21.2,22.8,21.2,22.51,992,,,,,,,,,,,,
2008-07-24 12:07:00,22.46,23.15,22.0,22.55,775,,,,,,,,,,,,
2008-07-28 12:07:00,22.95,23.15,22.26,22.65,428,,,,,,,,,,,,
2008-07-29 12:07:00,22.5,23.25,21.65,22.46,374,,,,,,,,,,,,
2008-07-30 12:07:00,22.4,22.5,22.21,22.42,182,,,,,,,,,,,,
2008-07-31 12:07:00,22.5,23.07,21.4,22.02,145,,,,,,,,,,,,
2008-08-01 12:08:00,21.26,22.5,21.26,22.17,740,,,,,,,,,,,,
2008-08-04 12:08:00,22.73,22.73,21.7,22.51,476,,,,,,,,,,,,
2008-08-05 12:08:00,21.75,22.74,21.5,22.29,280,,,,,,,,,,,,
2008-08-06 12:08:00,23.6,23.63,22.4,22.61,705,68.54316303067944,,,,,,,,,,,
2008-08-07 12:08:00,22.62,23.2,22.25,23.04,900,74.20672544165252,,,,,,,,,,,
2008-08-08 12:08:00,23.2,23.39,23.0,23.16,247,75.53074054408908,,,,,,,,,,,
2008-08-11 12:08:00,23.5,23.5,23.01,23.12,584,74.16413300997019,,,,,,,,,,,
2008-08-12 12:08:00,23.05,23.4,21.41,23.01,414,70.3922163821862,,,,,,,,,,,
2008-08-13 12:08:00,22.5,23.48,22.5,23.01,368,70.3922163821862,,,,,,,,,,,
2008-08-14 12:08:00,23.0,23.15,23.0,23.0,331,70.01677086801979,,,,,,,,,,,
2008-08-18 12:08:00,22.56,23.0,22.56,23.0,198,70.01677086801979,,,,,,,,,,,
2008-08-19 12:08:00,23.4,24.59,22.95,23.56,6783,77.73083977296514,,,,,,,,,,,
2008-08-20 12:08:00,23.75,24.0,23.6,23.89,496,80.8564708133237,,,,,,,,,,,
2008-08-21 12:08:00,24.59,24.6,23.25,23.75,534,75.98394141930721,,,,,,,,,,,
2008-08-25 12:08:00,24.2,24.2,23.45,24.0,36372,78.47806340231352,,,,,,,,,,,
2008-08-26 12:08:00,23.33,24.0,23.3,23.75,719,70.58389708000752,,,,,,,,,,,
2008-08-27 12:08:00,24.35,25.0,21.95,22.37,18884,44.17088778720525,,,,,,,,,,,
2008-08-28 12:08:00,22.46,22.7,22.05,22.3,2254,43.286049632741836,,,,,,,,,,,
2008-08-29 12:08:00,22.51,22.9,22.1,22.25,1547,42.629161894671846,,,,,,,,,,,
2008-09-01 12:09:00,22.25,22.49,21.75,22.2,653,41.9436824408432,,,,,,,,,,,
2008-09-02 12:09:00,22.06,22.89,22.06,22.3,1745,43.88709532310278,,,,,,,,,,,
2008-09-04 12:09:00,20.45,23.0,20.45,22.15,12046,41.63567223685295,,,,,,,,,,,
2008-09-05 12:09:00,21.7,22.45,21.7,22.28,598,44.30248703887822,,,,,,,,,,,
2008-09-08 12:09:00,23.05,23.8,22.01,22.17,3990,42.53159903334023,,,,,,,,,,,
2008-09-09 12:09:00,22.0,22.7,22.0,22.23,490,43.850025169371015,,,,,,,,,,,
2008-09-10 12:09:00,22.05,22.35,21.8,21.98,10578,39.75726212526791,,,,,,,,,,,
2008-09-11 12:09:00,22.05,22.1,21.63,21.81,421,37.21369532317212,,,,,,,,,,,
2008-09-12 12:09:00,21.7,21.85,21.61,21.63,502,34.68347928972594,,,,,,,,,,,
2008-09-15 12:09:00,20.56,21.5,20.56,21.25,4182,30.03993521181222,,,,,,,,,,,
2008-09-18 12:09:00,19.25,19.79,18.05,19.09,383,16.509433097362844,,,,,,,,,,,
2008-09-19 12:09:00,19.6,19.99,19.55,19.69,652,26.42318585096632,,,,,,,,,,,
2008-09-22 12:09:00,20.0,20.25,19.95,20.02,424,31.257900416508548,,,,,,,,,,,
2008-09-23 12:09:00,19.76,19.95,19.7,19.73,230,29.42787348269006,,,,,,,,,,,
2008-09-24 12:09:00,19.76,19.76,18.86,19.24,390,26.594686020518864,,,,,,,,,,,
2008-09-25 12:09:00,19.01,20.0,18.36,19.57,1432,31.385763656436225,,,,,,,,,,,
2008-09-26 12:09:00,19.5,20.0,18.8,19.02,366,28.09451510124765,,,,,,,,,,,
2008-09-29 12:09:00,18.5,18.53,16.61,16.87,3215,19.490359098681097,,,,,,,,,,,
2008-09-30 12:09:00,16.19,19.49,14.5,15.61,16182,16.333332097762963,,,,,,,,,,,
2008-10-01 12:10:00,16.35,16.45,15.25,15.81,3406,18.587537471058695,,,,,,,,,,,
2008-10-06 12:10:00,15.25,15.9,14.95,15.21,750,17.09913277936107,20.69884024900949,,,,,,,,,,
2008-10-07 12:10:00,14.53,15.25,14.53,15.04,395,16.691309568504963,20.476924945126765,,,,,,,,,,
2008-10-08 12:10:00,14.53,15.2,13.75,14.0,1980,14.424713404939553,20.22292788845513,,,,,,,,,,
2008-10-10 12:10:00,14.0,14.54,13.0,13.32,1693,13.165812197635873,19.95222483400591,,,,,,,,,,
2008-10-13 12:10:00,13.45,14.0,13.28,13.71,596,17.607155373343645,19.707431703260582,,,,,,,,,,
2008-10-14 12:10:00,14.05,15.0,13.3,13.88,527,19.539025258082333,19.47890496979938,,,,,,,,,,
2008-10-15 12:10:00,13.78,14.0,13.0,13.49,27685,18.469144158402457,19.244045951375874,,,,,,,,,,
2008-10-16 12:10:00,12.95,14.0,12.95,13.92,1945,23.446365636725915,19.035259835635646,,,,,,,,,,
2008-10-17 12:10:00,13.5,14.25,12.88,13.66,445,22.549968460204653,18.824465332277384,,,,,,,,,,
2008-10-20 12:10:00,13.95,14.5,12.64,12.77,51188,19.764421998297294,18.587035319246898,,,16.998523629919617,,,,,,,
2008-10-21 12:10:00,12.91,13.95,12.91,13.76,336,30.106983742582244,18.397739816531335,,,16.998523629919617,,,,,,,
2008-10-22 12:10:00,13.95,13.95,13.35,13.5,48744,29.04797431723736,18.205671588432068,,,16.998523629919617,,,,,,,
2008-10-23 12:10:00,12.3,13.75,12.3,13.18,10956,27.754017597208176,18.0085864281014,,,16.998523629919617,,,,,,,
2008-10-24 12:10:00,12.67,12.67,11.0,11.93,70771,23.373950728480054,17.770210489744482,,,16.998523629919617,,,,,,,
2008-10-27 12:10:00,12.0,12.49,10.56,10.99,999,20.72511863012639,17.50431988230352,,,14.420690429449323,,,,,,,
2008-10-28 12:10:00,10.5,11.7,10.5,11.13,288,22.140324947633076,17.254346553585737,,,14.420690429449323,,,,,,,
2008-10-31 12:10:00,11.75,11.75,11.05,11.5,869,25.905032468487263,17.02868590442551,,,14.420690429449323,,,,,,,
2008-11-03 12:11:00,11.8,12.82,11.8,12.49,831,34.96604946436565,16.85069822189902,,,13.858147307943952,,,,,,,
2008-11-04 12:11:00,11.9,12.55,11.9,12.24,645,33.840625616398256,16.66988652692259,,,13.858147307943952,,,,,,,
2008-11-05 12:11:00,12.1,13.0,11.51,11.73,712,31.605763744269822,16.476165486651116,,,13.858147307943952,,,,,,,
2008-11-06 12:11:00,11.48,11.85,11.35,11.49,201,30.582218513463474,16.280629585213816,,,13.858147307943952,,,,,,,
2008-11-07 12:11:00,10.95,12.0,10.63,11.57,357,31.37994722998215,16.095899013244647,,,13.858147307943952,,,,,,,
2008-11-10 12:11:00,12.5,12.5,11.06,11.63,138781,32.011004922100526,15.920765718607603,,,14.44325831662357,,,,,,,
2008-11-11 12:11:00,11.28,12.23,11.28,11.8,369,33.86675798036562,15.759167062975934,,,14.44325831662357,,,,,,,
2008-11-12 12:11:00,11.28,12.3,11.28,11.72,504,33.40468067764476,15.600768354623936,,,14.44325831662357,,,,,,,
2008-11-14 12:11:00,12.4,12.75,11.5,12.41,2606,40.89513299621869,15.47564018385437,,,14.44325831662357,,,,,,,
2008-11-17 12:11:00,11.85,12.45,11.85,12.3,481,40.12038981957229,15.351105274683611,,,21.34730323815826,,,,,,,
2008-11-18 12:11:00,11.81,12.6,11.81,12.5,3088,42.26213999961898,15.239297224696019,,,21.34730323815826,,,,,,,
2008-11-19 12:11:00,12.4,14.43,12.2,13.41,1941,50.87231919958897,15.167560078629508,,,21.34730323815826,,,,,,,
2008-11-20 12:11:00,13.01,13.01,12.5,12.77,758,45.70956060035662,15.073538114761684,,,21.34730323815826,,,,,,,
2008-11-21 12:11:00,12.7,13.3,12.7,13.21,720,49.50373203057698,15.000458188692598,,,21.34730323815826,,,,,,,
2008-11-24 12:11:00,13.3,13.49,13.0,13.31,301,50.3529497550381,14.934165710704653,,,27.359377205294138,,,,,,,
2008-11-25 12:11:00,13.11,13.7,13.11,13.56,284,52.5034832970648,14.88027685930447,,,27.359377205294138,,,,,,,
2008-11-26 12:11:00,13.18,14.05,13.18,13.76,638,54.21222713191005,14.836344433449392,,,27.359377205294138,,,,,,,
2008-11-28 12:11:00,14.0,14.01,12.02,13.76,808,54.21222713191005,14.794134847823926,,,27.359377205294138,,,,,,,
2008-12-01 12:12:00,13.25,14.35,13.25,14.2,829,58.061836448518555,14.77083544202691,,,31.250183641116536,,,,,,,
2008-12-02 12:12:00,13.62,14.5,13.62,14.08,851,56.66264471365814,14.74374385606507,,,31.250183641116536,,,,,,,
2008-12-03 12:12:00,13.6,14.25,13.6,14.05,1102,56.29738700285572,14.716538214650754,,,31.250183641116536,,,,,,,
2008-12-04 12:12:00,13.76,14.39,13.76,13.99,2008,55.52645306747101,14.688046519958569,,,31.250183641116536,,,,,,,
