datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2021-03-26 12:03:00,73.95,81.0,72.9,75.2,51421860,,,,,,,,,,,,
2021-03-30 12:03:00,75.95,77.9,69.65,70.85,11092972,,,,,,,,,,,,
2021-03-31 12:03:00,71.75,71.75,67.65,68.1,4659613,,,,,,,,,,,,
2021-04-01 12:04:00,68.6,72.75,68.2,71.4,7403570,,,,,,,,,,,,
2021-04-05 12:04:00,71.5,71.5,68.55,69.9,2399032,,,,,,,,,,,,
2021-04-06 12:04:00,70.3,71.25,69.1,70.35,2379469,,,,,,,,,,,,
2021-04-07 12:04:00,70.55,70.9,69.8,69.9,1625067,,,,,,,,,,,,
2021-04-08 12:04:00,71.9,75.0,71.4,72.85,4824848,,,,,,,,,,,,
2021-04-09 12:04:00,73.0,73.1,70.45,71.0,2357516,,,,,,,,,,,,
2021-04-12 12:04:00,70.9,70.9,68.0,68.35,2042113,,,,,,,,,,,,
2021-04-13 12:04:00,69.0,69.85,68.05,69.3,1439847,,,,,,,,,,,,
2021-04-15 12:04:00,69.0,69.85,68.55,69.0,896321,,,,,,,,,,,,
2021-04-16 12:04:00,69.0,69.7,68.8,68.9,909629,,,,,,,,,,,,
2021-04-19 12:04:00,67.8,67.8,65.7,66.85,1228866,31.580546923108187,,,,,,,,,,,
2021-04-20 12:04:00,67.2,68.35,66.8,67.15,797720,33.106317793397594,,,,,,,,,,,
2021-04-22 12:04:00,67.0,67.15,66.4,66.7,851612,31.95518097488346,,,,,,,,,,,
2021-04-23 12:04:00,66.6,66.7,65.5,65.6,1823091,29.27548785624768,,,,,,,,,,,
2021-04-26 12:04:00,65.9,67.0,63.75,63.85,2193105,25.597788136452394,,,,,,,,,,,
2021-04-27 12:04:00,64.0,64.8,61.2,61.4,3532919,21.5215591283729,,,,,,,,,,,
2021-04-28 12:04:00,61.55,62.9,60.6,61.65,4057145,22.871239997195275,,,,,,,,,,,
2021-04-29 12:04:00,62.0,62.85,61.1,61.25,1938409,22.212987722980344,,,,,,,,,,,
2021-04-30 12:04:00,61.0,61.2,59.75,59.9,2347572,20.10940174101897,,,,,,,,,,,
2021-05-03 12:05:00,59.7,59.7,58.55,58.65,1696511,18.37429971999687,,,,,,,,,,,
2021-05-04 12:05:00,58.65,60.7,58.1,58.25,2298017,17.843725599361903,,,,,,,,,,,
2021-05-05 12:05:00,58.5,59.5,58.0,58.1,1580604,17.638041098092557,,,,,,,,,,,
2021-05-06 12:05:00,58.45,58.8,56.6,56.7,2238052,15.806664246826557,,,,,,,,,,,
2021-05-07 12:05:00,57.0,59.65,56.3,58.8,4763134,27.89982036139564,,,,,,,,,,,
2021-05-10 12:05:00,59.4,62.0,59.2,61.5,3883522,39.8603862987213,,,,,,,,,,,
2021-05-11 12:05:00,61.5,64.9,61.0,63.6,4982475,47.19727502427248,,,,,,,,,,,
2021-05-12 12:05:00,64.45,64.9,61.8,62.35,2592651,43.77399165150269,,,,,,,,,,,
2021-05-14 12:05:00,63.0,63.95,60.2,60.8,2581690,39.90855713245486,,,,,,,,,,,
2021-05-17 12:05:00,61.2,61.7,60.3,60.75,1084150,39.78650623879173,,,,,,,,,,,
2021-05-18 12:05:00,60.75,61.45,60.75,61.25,1192298,41.706414122698966,,,,,,,,,,,
2021-05-19 12:05:00,61.25,61.6,60.85,61.2,1122948,41.563693942094886,,,,,,,,,,,
2021-05-20 12:05:00,61.7,61.9,59.8,60.1,2434240,38.44661362514701,,,,,,,,,,,
2021-05-21 12:05:00,61.1,64.0,59.85,61.9,6130052,45.63187708531597,,,,,,,,,,,
2021-05-24 12:05:00,62.05,63.65,61.7,63.0,3276413,49.51065858385019,,,,,,,,,,,
2021-05-25 12:05:00,64.0,68.4,63.5,67.85,12120772,62.286325085549,,,,,,,,,,,
2021-05-26 12:05:00,69.0,72.4,69.0,71.2,8567087,68.26042775322064,,,,,,,,,,,
2021-05-27 12:05:00,71.8,72.7,68.15,68.5,7219130,60.00958863661727,,,,,,,,,,,
