datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,62.31,77.2,62.31,70.76,10126,,,,,,,,,,,,
2008-07-18 12:07:00,65.0,73.6,65.0,72.91,25056,,,,,,,,,,,,
2008-07-21 12:07:00,66.9,76.1,66.9,75.28,3757,,,,,,,,,,,,
2008-07-22 12:07:00,70.4,84.0,70.4,82.24,6601,,,,,,,,,,,,
2008-07-23 12:07:00,78.2,87.4,78.2,85.04,4967,,,,,,,,,,,,
2008-07-24 12:07:00,79.0,87.4,79.0,82.1,4595,,,,,,,,,,,,
2008-07-28 12:07:00,76.4,79.0,76.4,78.27,2065,,,,,,,,,,,,
2008-07-29 12:07:00,75.6,77.99,75.6,76.54,2577,,,,,,,,,,,,
2008-07-30 12:07:00,73.0,77.4,73.0,76.68,6322,,,,,,,,,,,,
2008-07-31 12:07:00,74.54,77.9,72.87,73.75,18620,,,,,,,,,,,,
2008-08-01 12:08:00,74.0,74.4,72.0,73.36,8935,,,,,,,,,,,,
2008-08-04 12:08:00,66.8,74.9,66.8,72.07,110808,,,,,,,,,,,,
2008-08-05 12:08:00,70.0,76.2,70.0,75.54,25130,,,,,,,,,,,,
2008-08-06 12:08:00,72.03,81.5,72.03,79.22,77021,61.363431285470256,,,,,,,,,,,
2008-08-07 12:08:00,74.8,83.8,74.8,80.97,54964,64.3739491401561,,,,,,,,,,,
2008-08-08 12:08:00,78.0,85.0,78.0,82.93,36552,67.4345226290121,,,,,,,,,,,
2008-08-11 12:08:00,80.02,85.0,80.02,82.85,29366,67.18083509580367,,,,,,,,,,,
2008-08-12 12:08:00,84.23,87.0,82.26,84.06,43172,69.07577618336587,,,,,,,,,,,
2008-08-13 12:08:00,83.4,85.76,82.06,83.88,10895,68.4426838765936,,,,,,,,,,,
2008-08-14 12:08:00,82.4,85.2,82.0,83.0,11582,65.29206052617046,,,,,,,,,,,
