datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,45.98,47.18,43.45,46.81,1743632,,,,,,,,,,,,
2008-07-18 12:07:00,47.0,48.0,45.84,47.38,1867385,,,,,,,,,,,,
2008-07-21 12:07:00,48.0,52.36,46.6,51.65,2073879,,,,,,,,,,,,
2008-07-22 12:07:00,51.6,54.48,50.0,52.43,1630113,,,,,,,,,,,,
2008-07-23 12:07:00,53.0,60.9,53.0,59.32,1554818,,,,,,,,,,,,
2008-07-24 12:07:00,61.78,62.0,58.21,60.33,1352527,,,,,,,,,,,,
2008-07-28 12:07:00,60.8,63.18,60.8,62.22,597988,,,,,,,,,,,,
2008-07-29 12:07:00,61.2,61.58,58.62,59.64,595171,,,,,,,,,,,,
2008-07-30 12:07:00,60.4,63.0,58.84,62.44,1100881,,,,,,,,,,,,
2008-07-31 12:07:00,63.0,65.51,61.82,64.67,1879264,,,,,,,,,,,,
2008-08-01 12:08:00,65.14,67.8,63.0,66.97,758996,,,,,,,,,,,,
2008-08-04 12:08:00,67.0,67.64,64.31,64.86,709143,,,,,,,,,,,,
2008-08-05 12:08:00,62.01,67.98,62.01,67.38,657745,,,,,,,,,,,,
2008-08-06 12:08:00,68.0,69.54,67.2,67.9,669680,82.1711802496317,,,,,,,,,,,
2008-08-07 12:08:00,67.3,68.6,66.44,66.82,300054,77.54171401432417,,,,,,,,,,,
2008-08-08 12:08:00,66.2,68.3,66.2,67.85,417499,78.7701605461177,,,,,,,,,,,
2008-08-11 12:08:00,68.19,69.2,68.01,68.41,360039,79.42898668526385,,,,,,,,,,,
2008-08-12 12:08:00,68.62,68.8,67.06,67.63,290216,75.89606018233715,,,,,,,,,,,
2008-08-13 12:08:00,66.8,67.2,65.72,66.55,246879,71.17543471390368,,,,,,,,,,,
2008-08-14 12:08:00,66.3,66.4,64.83,65.15,239248,65.48902917516085,,,,,,,,,,,
2008-08-18 12:08:00,64.78,67.54,64.23,66.69,471339,68.47283143236984,,,,,,,,,,,
2008-08-19 12:08:00,66.54,66.68,65.0,66.1,158842,66.11439138807239,,,,,,,,,,,
2008-08-20 12:08:00,66.26,67.16,66.26,66.65,134546,67.2469322950674,,,,,,,,,,,
2008-08-21 12:08:00,67.02,67.02,64.87,65.12,131941,61.12650687429577,,,,,,,,,,,
2008-08-25 12:08:00,65.97,67.56,64.8,64.98,163540,60.583153588655875,,,,,,,,,,,
2008-08-26 12:08:00,64.04,65.46,64.04,65.11,76526,60.930442733655106,,,,,,,,,,,
2008-08-27 12:08:00,65.22,66.58,64.91,65.24,144472,61.29766682476291,,,,,,,,,,,
2008-08-28 12:08:00,65.22,65.8,64.41,65.07,508568,60.49688184625734,,,,,,,,,,,
2008-08-29 12:08:00,66.8,66.8,65.2,65.55,224507,62.006136190492676,,,,,,,,,,,
2008-09-01 12:09:00,65.4,67.57,63.82,65.21,105399,60.25018749536462,,,,,,,,,,,
2008-09-02 12:09:00,66.0,69.6,65.4,68.25,599963,68.76689394815607,,,,,,,,,,,
2008-09-04 12:09:00,68.0,68.58,67.0,67.54,149564,65.25055867620617,,,,,,,,,,,
2008-09-05 12:09:00,66.98,66.98,65.6,65.78,143573,57.413328588959295,,,,,,,,,,,
2008-09-08 12:09:00,66.6,68.0,65.85,67.27,859692,61.61653592519905,,,,,,,,,,,
2008-09-09 12:09:00,67.6,67.88,66.02,66.48,201345,58.32938230766218,,,,,,,,,,,
2008-09-10 12:09:00,66.9,66.9,64.9,65.05,185490,52.83478011056066,,,,,,,,,,,
2008-09-11 12:09:00,64.62,64.96,63.72,64.07,92825,49.400357819052914,,,,,,,,,,,
2008-09-12 12:09:00,64.6,65.16,61.7,62.62,151518,44.76388061607677,,,,,,,,,,,
2008-09-15 12:09:00,61.8,61.8,58.81,60.15,125536,38.18871477621735,,,,,,,,,,,
2008-09-18 12:09:00,60.0,64.0,59.0,63.53,324490,49.187692664037804,,,,,,,,,,,
2008-09-19 12:09:00,64.14,65.9,64.01,64.98,228186,53.04761197443718,,,,,,,,,,,
2008-09-22 12:09:00,65.02,65.4,63.25,64.14,219029,50.647332275738606,,,,,,,,,,,
2008-09-23 12:09:00,63.2,63.55,60.26,60.69,383280,42.20140372655444,,,,,,,,,,,
2008-09-24 12:09:00,61.38,62.69,59.0,59.25,416156,39.258647784292556,,,,,,,,,,,
2008-09-25 12:09:00,60.0,60.97,57.65,58.44,521107,37.66753220963604,,,,,,,,,,,
2008-09-26 12:09:00,58.62,58.62,57.2,58.05,350652,36.89223953357258,,,,,,,,,,,
2008-09-29 12:09:00,58.0,58.0,55.2,55.77,401101,32.660005373458446,,,,,,,,,,,
2008-09-30 12:09:00,54.2,58.69,53.4,57.08,454268,37.12320389533798,,,,,,,,,,,
2008-10-01 12:10:00,57.0,58.95,56.42,58.25,170416,40.89131479262815,,,,,,,,,,,
2008-10-06 12:10:00,55.0,55.0,53.56,53.87,375932,32.934233955417696,60.19233231703165,,,,,,,,,,
2008-10-07 12:10:00,55.94,55.94,48.22,50.52,635904,28.384740872083583,59.813025167344136,,,,,,,,,,
2008-10-08 12:10:00,49.6,49.8,45.02,48.43,386844,25.974051249429394,59.36663202352672,,,,,,,,,,
2008-10-10 12:10:00,48.0,48.38,42.9,43.93,211938,21.700597834637918,58.76127390495705,,,,,,,,,,
2008-10-13 12:10:00,43.01,50.38,43.01,48.97,149253,34.665881495265026,58.377302379272464,,,,,,,,,,
2008-10-14 12:10:00,50.4,54.8,50.4,54.08,623861,44.669618944139636,58.20878071734021,,,,,,,,,,
2008-10-15 12:10:00,53.4,53.4,47.24,48.03,307745,37.37331343855147,57.80961284607197,,,,,,,,,,
2008-10-16 12:10:00,46.0,49.35,44.02,48.36,587018,37.968490738622464,57.43903979328484,,,,,,,,,,
2008-10-17 12:10:00,50.99,50.99,46.2,46.36,435150,35.75093248490421,57.00456764452858,,,,,,,,,,
2008-10-20 12:10:00,47.0,47.98,44.22,44.98,394720,34.26389404334958,56.53301597219413,,,37.46930302616978,,,,,,,
2008-10-21 12:10:00,45.6,49.8,45.43,48.66,857832,41.27824171775181,56.22427024779436,,,37.46930302616978,,,,,,,
2008-10-22 12:10:00,48.98,50.4,46.05,46.51,711361,38.68131402312698,55.84331847337105,,,37.46930302616978,,,,,,,
2008-10-23 12:10:00,46.0,46.0,44.2,44.75,362583,36.648694608736946,55.40828637637611,,,37.46930302616978,,,,,,,
2008-10-24 12:10:00,43.68,44.45,37.8,38.4,632855,30.43471491867001,54.74129475377313,,,37.46930302616978,,,,,,,
2008-10-27 12:10:00,38.4,38.64,32.9,35.55,377034,28.129413023598545,53.98869495950752,,,30.241954191062888,,,,,,,
2008-10-28 12:10:00,37.0,39.0,37.0,38.0,56918,32.83898793169749,53.36168731403664,,,30.241954191062888,,,,,,,
2008-10-31 12:10:00,36.56,39.64,36.56,39.03,394445,34.77410129707668,52.799660360545005,,,30.241954191062888,,,,,,,
2008-11-03 12:11:00,40.0,45.0,40.0,44.78,656162,44.40449729319756,52.485163875817754,,,31.37026280323208,,,,,,,
2008-11-04 12:11:00,45.2,49.0,43.44,48.65,403934,49.778988235805315,52.33476529245235,,,31.37026280323208,,,,,,,
2008-11-05 12:11:00,50.0,52.0,45.4,47.22,426772,47.934991760339024,52.13418626137579,,,31.37026280323208,,,,,,,
2008-11-06 12:11:00,45.0,47.39,43.03,45.26,188538,45.44984986136293,51.86461032955713,,,31.37026280323208,,,,,,,
2008-11-07 12:11:00,45.02,46.66,44.4,46.0,216840,46.57599739267943,51.63462561075097,,,31.37026280323208,,,,,,,
2008-11-10 12:11:00,48.0,51.76,47.0,50.78,393754,53.284710819975245,51.6011108809176,,,42.45912466833636,,,,,,,
2008-11-11 12:11:00,51.98,51.98,47.04,47.62,195389,48.91189508557941,51.4449888855875,,,42.45912466833636,,,,,,,
2008-11-12 12:11:00,47.0,47.6,45.08,45.66,226322,46.370045996604816,51.21812657634877,,,42.45912466833636,,,,,,,
2008-11-14 12:11:00,47.0,47.58,41.8,42.41,550306,42.432332191595876,50.872709847864506,,,42.45912466833636,,,,,,,
2008-11-17 12:11:00,42.2,43.4,39.1,40.6,331054,40.37592549656697,50.469858481281584,,,38.96679171746966,,,,,,,
2008-11-18 12:11:00,40.21,40.21,37.32,37.72,348931,37.280025631307666,49.96986403103524,,,38.96679171746966,,,,,,,
2008-11-19 12:11:00,38.21,39.17,35.02,35.77,876299,35.306056169230075,49.41300661805347,,,38.96679171746966,,,,,,,
2008-11-20 12:11:00,35.2,35.2,31.83,33.29,661463,32.91874387200987,48.78073184871804,,,38.96679171746966,,,,,,,
2008-11-21 12:11:00,34.15,37.0,33.01,36.18,449753,38.16584353458715,48.286585501709496,,,38.96679171746966,,,,,,,
2008-11-24 12:11:00,37.0,37.48,34.04,34.91,358863,36.80346619508446,47.7620135212503,,,33.77498981493379,,,,,,,
2008-11-25 12:11:00,36.2,36.8,34.21,34.45,277297,36.29805518731412,47.23997377531892,,,33.77498981493379,,,,,,,
2008-11-26 12:11:00,34.71,35.2,32.7,34.1,466077,35.89415449519201,46.72468068609073,,,33.77498981493379,,,,,,,
2008-11-28 12:11:00,33.56,34.0,32.42,32.73,456574,34.28593810567986,46.17586967879305,,,33.77498981493379,,,,,,,
2008-12-01 12:12:00,33.05,33.94,31.28,31.6,346284,32.973646666857505,45.60426694629137,,,31.28883277858398,,,,,,,
2008-12-02 12:12:00,30.8,33.45,30.02,33.08,462413,36.4067976951271,45.11311922290739,,,31.28883277858398,,,,,,,
2008-12-03 12:12:00,33.6,41.58,32.75,40.03,3003877,49.490440306754564,44.91378121416593,,,31.28883277858398,,,,,,,
2008-12-04 12:12:00,40.62,45.17,39.6,44.21,7771501,55.42978906382039,44.88618195086531,,,31.28883277858398,,,,,,,
2008-12-05 12:12:00,44.38,44.8,39.86,42.24,3944407,52.30796992938564,44.782410109654904,,,31.28883277858398,,,,,,,
2008-12-08 12:12:00,44.25,45.19,42.6,44.15,1697486,54.956750893910375,44.75760971319785,,,43.61069102184084,,,,,,,
2008-12-10 12:12:00,45.0,46.56,43.66,45.88,1842967,57.27155753193849,44.80162501856264,,,43.61069102184084,,,,,,,
2008-12-11 12:12:00,46.4,46.4,43.62,44.35,1242018,54.599160472776695,44.783914233520974,,,43.61069102184084,,,,,,,
2008-12-12 12:12:00,43.2,43.6,42.25,42.92,763669,52.14984727883695,44.710819557696624,,,43.61069102184084,,,,,,,
2008-12-15 12:12:00,43.8,45.48,42.8,43.22,809930,52.629947738187795,44.65235604563009,,,44.37876419234682,,,,,,,
2008-12-16 12:12:00,43.2,45.1,42.44,44.12,1022472,54.11726636199853,44.631479337958325,,,44.37876419234682,,,,,,,
2008-12-17 12:12:00,44.6,45.0,41.0,41.59,669376,49.4197984988697,44.51220563843055,,,44.37876419234682,,,,,,,
2008-12-18 12:12:00,41.4,42.59,40.32,42.39,659402,50.871949071859866,44.428981887903866,,,44.37876419234682,,,,,,,
2008-12-19 12:12:00,42.5,45.17,41.85,44.9,1174534,55.216250628635265,44.44745318641744,,,44.37876419234682,,,,,,,
