datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2020-10-12 12:10:00,107.45,108.48,85.98,85.98,39929204,,,,,,,,,,,,
2020-10-13 12:10:00,86.0,92.35,82.0,90.73,18862563,,,,,,,,,,,,
2020-10-14 12:10:00,90.23,93.7,89.05,91.13,6178509,,,,,,,,,,,,
2020-10-15 12:10:00,90.98,91.38,85.5,85.93,3193483,,,,,,,,,,,,
2020-10-16 12:10:00,86.88,87.73,82.5,84.03,3072942,,,,,,,,,,,,
2020-10-19 12:10:00,85.38,86.43,83.75,84.15,1922584,,,,,,,,,,,,
2020-10-20 12:10:00,83.85,84.9,82.7,83.03,1262381,,,,,,,,,,,,
2020-10-21 12:10:00,83.45,88.85,83.23,85.83,4477916,,,,,,,,,,,,
2020-10-22 12:10:00,86.15,87.45,83.85,85.33,2003364,,,,,,,,,,,,
2020-10-23 12:10:00,87.08,89.5,86.2,87.7,3573971,,,,,,,,,,,,
2020-10-26 12:10:00,87.98,87.98,85.0,85.4,927445,,,,,,,,,,,,
2020-10-27 12:10:00,85.45,85.78,83.73,84.43,774974,,,,,,,,,,,,
2020-10-28 12:10:00,84.98,85.6,83.5,83.63,931754,,,,,,,,,,,,
2020-10-29 12:10:00,83.58,84.5,83.1,83.5,905814,41.77890384497116,,,,,,,,,,,
2020-10-30 12:10:00,83.75,84.85,82.5,83.38,953836,41.3904123503333,,,,,,,,,,,
2020-11-02 12:11:00,83.38,86.25,82.65,84.18,1208681,45.05833140716149,,,,,,,,,,,
2020-11-03 12:11:00,84.6,84.98,83.03,83.3,610024,41.94844642577388,,,,,,,,,,,
2020-11-04 12:11:00,83.25,83.95,82.55,82.9,719104,40.57751213056261,,,,,,,,,,,
2020-11-05 12:11:00,83.38,86.1,83.23,84.63,1502066,48.42782557811331,,,,,,,,,,,
2020-11-06 12:11:00,84.78,87.0,84.5,85.03,1994558,50.07028198592332,,,,,,,,,,,
2020-11-09 12:11:00,86.0,90.98,85.7,89.73,6497799,64.41207912671746,,,,,,,,,,,
2020-11-10 12:11:00,89.63,89.63,85.38,86.2,2379955,52.26851536796037,,,,,,,,,,,
2020-11-11 12:11:00,86.5,88.18,86.0,87.23,1638130,54.9380526943396,,,,,,,,,,,
2020-11-12 12:11:00,87.3,89.0,86.25,88.03,1423822,56.95188205994449,,,,,,,,,,,
2020-11-13 12:11:00,89.7,92.25,88.75,91.58,6506244,64.52763650925746,,,,,,,,,,,
2020-11-14 12:11:00,92.45,95.4,92.0,94.13,2954791,68.77802479459957,,,,,,,,,,,
2020-11-17 12:11:00,95.7,96.4,90.63,91.95,3800604,61.94453608553559,,,,,,,,,,,
2020-11-18 12:11:00,92.0,93.25,91.5,91.7,1690667,61.19366147464627,,,,,,,,,,,
2020-11-19 12:11:00,91.6,93.5,90.8,92.28,2163334,62.33438945673757,,,,,,,,,,,
2020-11-20 12:11:00,92.88,94.4,91.9,92.23,2696783,62.164740868934,,,,,,,,,,,
2020-11-23 12:11:00,92.5,92.98,90.38,91.1,1493301,58.30280455640973,,,,,,,,,,,
2020-11-24 12:11:00,91.38,92.75,90.45,90.7,1478112,56.953992665209036,,,,,,,,,,,
2020-11-25 12:11:00,91.4,91.68,89.6,89.9,1477833,54.25076581787467,,,,,,,,,,,
2020-11-26 12:11:00,90.23,90.73,89.18,89.63,1109635,53.330751718850806,,,,,,,,,,,
2020-11-27 12:11:00,89.88,91.33,89.05,89.5,1913953,52.86588507086997,,,,,,,,,,,
2020-12-01 12:12:00,90.23,91.75,90.18,91.0,1309783,57.47222453218823,,,,,,,,,,,
2020-12-02 12:12:00,91.4,91.5,90.0,90.45,797822,55.3367691754938,,,,,,,,,,,
2020-12-03 12:12:00,90.9,93.88,90.85,92.38,2529433,60.835965412070856,,,,,,,,,,,
2020-12-04 12:12:00,92.5,92.93,90.95,91.2,1040179,56.27386142312441,,,,,,,,,,,
2020-12-07 12:12:00,91.4,97.1,91.35,95.68,4321530,66.53465178174558,,,,,,,,,,,
2020-12-08 12:12:00,96.25,97.65,93.55,94.35,2381609,61.891339625062336,,,,,,,,,,,
2020-12-09 12:12:00,95.78,99.45,94.9,97.95,5333254,68.33330363034983,,,,,,,,,,,
2020-12-10 12:12:00,97.73,98.38,95.0,95.9,1429930,61.91491598704679,,,,,,,,,,,
2020-12-11 12:12:00,96.25,97.3,94.0,94.38,1610208,57.59520894936241,,,,,,,,,,,
2020-12-14 12:12:00,94.68,97.65,94.53,97.08,1642855,62.588318492315395,,,,,,,,,,,
2020-12-15 12:12:00,97.0,97.0,95.0,95.53,1035176,58.341293308948536,,,,,,,,,,,
2020-12-16 12:12:00,95.88,113.95,95.75,110.15,20419578,75.33928411234395,,,,,,,,,,,
2020-12-17 12:12:00,109.03,111.95,102.5,103.68,9138262,63.073854363912645,,,,,,,,,,,
2020-12-18 12:12:00,104.4,112.85,101.25,110.98,15138674,69.17214186097593,,,,,,,,,,,
2020-12-21 12:12:00,110.5,112.38,98.0,102.33,4318465,57.13200753515437,92.54114826909905,,,,,,,,,,
2020-12-22 12:12:00,102.53,105.85,98.03,104.5,3005087,59.057334662386765,93.01012284678144,,,,,,,,,,
2020-12-23 12:12:00,104.88,109.0,104.5,107.3,1662354,61.462463336368515,93.57051018612334,,,,,,,,,,
2020-12-24 12:12:00,107.88,109.1,105.08,106.2,1053802,59.97197060939306,94.06578429647146,,,,,,,,,,
2020-12-28 12:12:00,107.18,108.95,106.53,107.9,1408447,61.524861733847516,94.60830255935494,,,,,,,,,,
2020-12-29 12:12:00,108.9,108.9,105.6,106.28,1004118,59.16914603780007,95.06601618447829,,,,,,,,,,
2020-12-30 12:12:00,107.0,112.85,105.4,110.58,4562158,63.197166018985385,95.67440770665561,,,,,,,,,,
2020-12-31 12:12:00,110.45,111.98,108.7,109.23,1680277,61.15730086463243,96.20599956129657,,,,,,,,,,
2021-01-01 12:01:00,109.48,117.43,109.1,113.83,8197913,65.2707658827147,96.89713683340258,,,,,,,,,,
2021-01-04 12:01:00,114.5,115.85,112.0,113.65,2149446,64.9807761254753,97.55411185954365,,,,,,,,,,
2021-01-05 12:01:00,113.5,115.48,111.8,112.68,1495373,63.34743500144908,98.14728394348312,,,,,,,,,,
2021-01-06 12:01:00,113.25,113.53,108.0,109.65,1720088,58.408601472159845,98.59837084766025,,,,,,,,,,
2021-01-07 12:01:00,110.58,112.28,109.33,110.15,1518541,58.976976615945134,99.05137591245789,,,,,,,,,,
2021-01-08 12:01:00,111.3,113.5,110.05,110.85,1198545,59.805137697335944,99.51406705314581,,,,,,,,,,
2021-01-11 12:01:00,111.5,111.85,108.83,109.35,741376,57.143014191503646,99.89978991380676,,,,,,,,,,
2021-01-12 12:01:00,108.98,111.95,108.5,109.5,1176092,57.34747924563555,100.2762687407163,,,,,,,,,,
2021-01-13 12:01:00,109.85,111.15,107.5,108.63,959361,55.68800021883456,100.60386604500195,,,,,,,,,,
2021-01-14 12:01:00,109.18,112.43,107.55,109.98,1780545,57.73194383008112,100.97155757264893,,,,,,,,,,
2021-01-15 12:01:00,110.03,110.93,108.0,108.63,675723,54.999861158511365,101.27188864823134,,,,,,,,,,
2021-01-18 12:01:00,108.53,108.65,105.5,106.03,667237,50.083986417638165,101.45848125026149,,,68.52080554978394,,,,,,,
2021-01-19 12:01:00,106.75,108.45,106.5,107.33,487691,52.37601301848266,101.68873688750612,,,68.52080554978394,,,,,,,
2021-01-20 12:01:00,107.33,109.68,106.43,108.35,826080,54.15476527056606,101.94996289191765,,,68.52080554978394,,,,,,,
2021-01-21 12:01:00,108.88,109.4,103.6,104.98,722422,47.80216290226002,102.06878787654833,,,68.52080554978394,,,,,,,
2021-01-22 12:01:00,105.9,107.23,104.25,104.83,552496,47.534878617205514,102.17707070491899,,,68.52080554978394,,,,,,,
2021-01-25 12:01:00,105.8,106.35,102.38,104.28,531963,46.50802187370433,102.25953852041236,,,62.51178306271675,,,,,,,
2021-01-27 12:01:00,104.88,106.0,100.45,102.1,623976,42.5815919436009,102.25328210784717,,,62.51178306271675,,,,,,,
2021-01-28 12:01:00,100.48,104.48,100.48,103.3,848958,45.318257731406376,102.29432986832376,,,62.51178306271675,,,,,,,
2021-01-29 12:01:00,104.75,108.38,104.18,105.43,1315002,49.88417983965453,102.41729732446794,,,62.51178306271675,,,,,,,
2021-02-01 12:02:00,106.95,109.5,104.7,108.4,1116145,55.467868184170925,102.65191311566528,,,63.062590930932245,,,,,,,
2021-02-02 12:02:00,109.33,109.73,107.55,107.85,528593,54.262181400538616,102.855759660149,,,63.062590930932245,,,,,,,
2021-02-03 12:02:00,108.23,109.25,107.6,108.05,418571,54.6482275984568,103.059455359751,,,63.062590930932245,,,,,,,
2021-02-04 12:02:00,108.15,111.5,107.78,109.68,1146057,57.77620353488527,103.31908456132939,,,63.062590930932245,,,,,,,
2021-02-05 12:02:00,110.58,111.45,108.5,109.55,572071,57.43595721739424,103.5634341863753,,,63.062590930932245,,,,,,,
2021-02-08 12:02:00,110.38,112.2,110.05,110.53,750845,59.37806123377958,103.83663284573313,,,66.6825807856591,,,,,,,
2021-02-09 12:02:00,110.78,113.0,109.35,110.03,1068127,57.92584722492868,104.07950998903772,,,66.6825807856591,,,,,,,
2021-02-10 12:02:00,110.53,114.0,109.55,112.48,1761757,62.735175795518515,104.40894096985977,,,66.6825807856591,,,,,,,
2021-02-11 12:02:00,113.0,121.3,112.38,115.9,5459925,68.19962094561353,104.85957073574762,,,66.6825807856591,,,,,,,
2021-02-12 12:02:00,116.48,117.4,111.5,112.2,1348285,58.24810787062644,105.14743070689478,,,66.6825807856591,,,,,,,
2021-02-15 12:02:00,111.0,111.95,107.9,108.43,1175830,50.20891731308361,105.27615891446753,,,68.8005571266783,,,,,,,
2021-02-16 12:02:00,110.5,111.75,108.8,109.95,957030,53.02401406551568,105.45944680017469,,,68.8005571266783,,,,,,,
2021-02-17 12:02:00,110.63,110.9,107.1,107.35,1308896,48.02250552840314,105.5335861413443,,,68.8005571266783,,,,,,,
2021-02-18 12:02:00,108.1,110.2,106.55,109.28,1942116,51.667027417205745,105.68050433187982,,,68.8005571266783,,,,,,,
2021-02-19 12:02:00,109.28,111.0,107.25,109.15,1457352,51.40556690858703,105.81656298553159,,,68.8005571266783,,,,,,,
2021-02-22 12:02:00,107.5,108.9,102.8,104.05,1080439,42.350997935709735,105.74728600570683,,,63.77548639201352,,,,,,,
2021-02-23 12:02:00,104.53,108.85,103.75,107.78,1180959,49.374451408773425,105.82700027999283,,,63.77548639201352,,,,,,,
2021-02-24 12:02:00,108.73,110.95,108.25,108.95,906939,51.375580293336924,105.94947085724802,,,63.77548639201352,,,,,,,
2021-02-25 12:02:00,109.5,111.2,109.0,109.7,1125289,52.66717955211736,106.09655043147359,,,63.77548639201352,,,,,,,
2021-02-26 12:02:00,107.6,108.73,105.85,106.6,887720,47.098347284500285,106.11629355180796,,,63.77548639201352,,,,,,,
2021-03-01 12:03:00,107.48,109.8,107.15,109.08,1350131,51.51512018474481,106.23251733409,,,59.84026851515178,,,,,,,
2021-03-02 12:03:00,109.98,114.33,109.83,112.38,2510274,56.69607743939843,106.47359508569433,,,59.84026851515178,,,,,,,
2021-03-03 12:03:00,113.25,120.68,112.55,115.83,4094678,61.34640377068954,106.84051292547103,101.87347894813638,,59.84026851515178,,,,,,,
2021-03-04 12:03:00,114.98,119.53,114.33,116.53,1710837,62.23261397853983,107.22049281074668,102.16370708777724,,59.84026851515178,,,,,,,
2021-03-05 12:03:00,116.3,117.45,110.25,110.9,1261469,51.921826365714395,107.36478721032523,102.33670298702918,,59.84026851515178,,,,,,,
2021-03-08 12:03:00,111.75,115.0,111.7,113.5,879033,55.58185008542973,107.60538379031249,102.55775837342463,,63.88689225571764,,,,,,,
2021-03-09 12:03:00,114.3,115.0,110.25,111.23,756539,51.86921067811403,107.7475256024571,102.72948593038652,,63.88689225571764,,,,,,,
2021-03-10 12:03:00,112.45,114.4,110.58,113.23,692482,54.73783649470414,107.96252459843917,102.93741690206204,,63.88689225571764,,,,,,,
2021-03-12 12:03:00,114.23,115.0,110.1,110.43,935337,50.22467596644199,108.05928833967685,103.08578488419943,,63.88689225571764,,,,,,,
2021-03-15 12:03:00,110.9,111.33,108.05,109.68,564018,49.05789331511638,108.12284565968953,103.216363401344,,63.138021145689784,,,,,,,
2021-03-16 12:03:00,110.35,110.63,107.5,108.1,431450,46.601740071528575,108.12194975146642,103.3130690765649,,63.138021145689784,,,,,,,
2021-03-17 12:03:00,107.95,109.1,105.0,105.4,507648,42.67020084726652,108.01520662395794,103.3543944413854,,63.138021145689784,,,,,,,
2021-03-18 12:03:00,106.1,107.13,101.65,102.38,773488,38.733971701068334,107.79421812890077,103.33509950195203,,63.138021145689784,,,,,,,
2021-03-19 12:03:00,102.65,106.0,100.13,105.48,741640,44.40344840432195,107.70346447678702,103.37757277914109,,63.138021145689784,,,,,,,
2021-03-22 12:03:00,105.48,108.88,104.48,107.9,758267,48.41647999053325,107.71117175220714,103.46712579341552,,55.72888323495587,,,,,,,
2021-03-23 12:03:00,108.0,109.75,107.5,108.48,514420,49.3599245363499,107.74132187957156,103.56639062918947,,55.72888323495587,,,,,,,
2021-03-24 12:03:00,107.9,108.9,106.28,108.23,643269,48.944391995230156,107.7604857274315,103.65873932960154,,55.72888323495587,,,,,,,
2021-03-25 12:03:00,108.2,108.2,103.1,104.08,582481,42.54201324202637,107.61615295380673,103.66708112505498,,55.72888323495587,,,,,,,
2021-03-26 12:03:00,105.0,108.03,104.18,106.8,878323,47.39870306416862,107.58414695561824,103.72911912257865,,55.72888323495587,,,,,,,
2021-03-30 12:03:00,107.5,107.75,105.0,105.2,406791,44.98969226266735,107.49065099657439,103.75824547658699,,57.17218147426885,,,,,,,
2021-03-31 12:03:00,105.0,107.0,104.9,106.15,284171,46.72116367502273,107.43807644768911,103.80560695229813,,57.17218147426885,,,,,,,
2021-04-01 12:04:00,106.5,108.5,106.5,107.35,316416,48.908725382848736,107.43462246934835,103.87579295324272,,57.17218147426885,,,,,,,
2021-04-05 12:04:00,106.55,106.95,103.73,104.78,306058,44.67781284947105,107.33051962741312,103.89369804327752,,57.78966846083739,,,,,,,
2021-04-06 12:04:00,105.4,108.03,103.5,107.55,508713,49.72586294687018,107.33912670084791,103.96610006222252,,57.78966846083739,,,,,,,
2021-04-07 12:04:00,109.85,110.7,105.28,106.58,1414481,48.07165524074245,107.30935702630487,104.01786045703,,57.78966846083739,,,,,,,
2021-04-08 12:04:00,107.25,108.5,106.0,106.33,388501,47.63185228950612,107.27095086841057,104.06364539847495,,57.78966846083739,,,,,,,
2021-04-09 12:04:00,106.2,107.7,105.4,105.7,323985,46.47786647291214,107.20934495200231,104.09604845989128,,57.78966846083739,,,,,,,
