datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,11.03,11.03,10.26,10.45,572,,,,,,,,,,,,
2008-07-18 12:07:00,9.81,11.35,9.81,10.88,2023,,,,,,,,,,,,
2008-07-21 12:07:00,11.1,11.35,10.58,11.17,688,,,,,,,,,,,,
2008-07-22 12:07:00,11.48,12.22,10.2,10.81,1284,,,,,,,,,,,,
2008-07-23 12:07:00,10.87,11.8,10.87,11.56,1734,,,,,,,,,,,,
2008-07-24 12:07:00,11.48,11.48,10.9,10.9,96,,,,,,,,,,,,
2008-07-28 12:07:00,10.68,10.9,10.42,10.58,983,,,,,,,,,,,,
2008-07-29 12:07:00,10.71,11.29,10.6,10.68,557,,,,,,,,,,,,
2008-07-30 12:07:00,10.74,11.23,10.65,10.65,557,,,,,,,,,,,,
2008-07-31 12:07:00,10.65,11.03,10.65,10.9,558,,,,,,,,,,,,
2008-08-01 12:08:00,10.94,10.94,10.62,10.67,381,,,,,,,,,,,,
2008-08-04 12:08:00,10.62,10.94,10.62,10.74,59,,,,,,,,,,,,
2008-08-05 12:08:00,10.42,10.42,10.39,10.39,25,,,,,,,,,,,,
2008-08-06 12:08:00,10.39,10.7,9.94,10.48,714,46.4549409325719,,,,,,,,,,,
2008-08-07 12:08:00,10.13,10.74,10.13,10.62,77,49.686936106294645,,,,,,,,,,,
2008-08-08 12:08:00,10.58,10.74,10.42,10.42,51,45.46496900986637,,,,,,,,,,,
2008-08-11 12:08:00,10.62,10.68,10.42,10.42,481,45.46496900986638,,,,,,,,,,,
2008-08-12 12:08:00,10.58,10.75,10.52,10.52,155,48.02590618323169,,,,,,,,,,,
2008-08-13 12:08:00,10.65,10.65,10.4,10.61,107,50.28850410888262,,,,,,,,,,,
2008-08-14 12:08:00,10.74,11.23,10.32,10.44,244,46.197499027652995,,,,,,,,,,,
2008-08-18 12:08:00,10.97,11.19,10.34,10.6,1457,50.2958547954678,,,,,,,,,,,
2008-08-19 12:08:00,10.39,10.81,10.36,10.46,166,46.92743113597812,,,,,,,,,,,
2008-08-20 12:08:00,11.23,11.23,10.62,10.87,63,56.18255209346595,,,,,,,,,,,
2008-08-21 12:08:00,10.65,10.74,10.58,10.59,1548,49.79601502674582,,,,,,,,,,,
2008-08-25 12:08:00,10.77,10.77,10.32,10.54,30,48.73073546137586,,,,,,,,,,,
2008-08-26 12:08:00,10.58,10.9,10.55,10.89,2187,55.85066783790931,,,,,,,,,,,
2008-08-27 12:08:00,10.9,11.31,10.45,10.86,9960,55.1437756636747,,,,,,,,,,,
2008-08-28 12:08:00,10.81,10.81,10.39,10.49,428,47.20774696452718,,,,,,,,,,,
2008-08-29 12:08:00,10.68,10.68,10.27,10.31,89,43.89791398780286,,,,,,,,,,,
2008-09-01 12:09:00,10.55,10.77,10.29,10.47,218,47.42643260311777,,,,,,,,,,,
2008-09-02 12:09:00,10.2,10.58,10.2,10.48,126,47.64805361674361,,,,,,,,,,,
2008-09-04 12:09:00,10.74,10.74,10.05,10.12,73,40.954823819352455,,,,,,,,,,,
2008-09-05 12:09:00,10.13,10.26,9.97,10.09,285,40.44495510308654,,,,,,,,,,,
2008-09-08 12:09:00,9.99,10.51,9.93,10.02,492,39.21807795284873,,,,,,,,,,,
2008-09-09 12:09:00,9.91,10.13,9.91,9.91,17,37.30311176378744,,,,,,,,,,,
2008-09-10 12:09:00,10.42,10.42,9.46,10.1,171,42.5235872305729,,,,,,,,,,,
2008-09-11 12:09:00,9.92,9.92,9.46,9.46,102,32.659015800388275,,,,,,,,,,,
2008-09-12 12:09:00,9.46,9.46,9.46,9.46,1,32.659015800388275,,,,,,,,,,,
2008-09-15 12:09:00,9.33,10.23,8.29,9.98,715,44.73885021540556,,,,,,,,,,,
2008-09-18 12:09:00,8.47,9.1,8.24,8.59,497,29.503528700644722,,,,,,,,,,,
2008-09-19 12:09:00,8.24,9.94,8.24,9.76,904,46.13203148765128,,,,,,,,,,,
2008-09-22 12:09:00,9.74,9.74,8.9,9.15,62,40.736895956048286,,,,,,,,,,,
2008-09-23 12:09:00,9.78,9.94,9.49,9.88,244,48.499212633389064,,,,,,,,,,,
2008-09-24 12:09:00,8.75,10.42,8.75,9.94,2649,49.0894515099376,,,,,,,,,,,
2008-09-25 12:09:00,9.62,9.78,9.3,9.42,151,44.34589436091488,,,,,,,,,,,
2008-09-26 12:09:00,9.29,9.3,8.85,8.85,546,39.80529672535985,,,,,,,,,,,
2008-09-29 12:09:00,8.59,8.59,7.85,7.85,118,33.35312448104753,,,,,,,,,,,
2008-09-30 12:09:00,7.69,7.95,6.41,6.65,2375,27.57654371765787,,,,,,,,,,,
2008-10-01 12:10:00,6.64,7.33,6.44,6.46,681,26.785516567498178,,,,,,,,,,,
2008-10-06 12:10:00,6.4,6.57,5.92,6.09,84,25.265619046525984,9.633428758097637,,,,,,,,,,
2008-10-07 12:10:00,6.52,6.89,5.78,6.39,1357,28.793687401922767,9.506235473466356,,,,,,,,,,
2008-10-08 12:10:00,6.66,6.66,5.89,6.48,278,29.86340020810036,9.387559572546106,,,,,,,,,,
2008-10-10 12:10:00,6.57,6.57,5.58,5.75,305,26.399189314735352,9.244910177544298,,,,,,,,,,
2008-10-14 12:10:00,6.56,6.84,5.92,6.21,1294,31.7702321633421,9.125894092150405,,,,,,,,,,
2008-10-15 12:10:00,6.08,6.08,5.05,5.1,1026,26.705793299345814,8.968015892458231,,,,,,,,,,
2008-10-16 12:10:00,4.63,4.89,4.19,4.4,157,24.097032540787467,8.788878014322615,,,,,,,,,,
2008-10-17 12:10:00,4.79,4.79,3.99,4.2,417,23.393882960822097,8.608922013760942,,,,,,,,,,
2008-10-20 12:10:00,3.99,4.43,3.67,3.91,78,22.37438143355901,8.424650562240906,,,5.160700270468155,,,,,,,
2008-10-21 12:10:00,3.79,4.27,3.79,4.27,338,26.647915907969065,8.261723089211852,,,5.160700270468155,,,,,,,
2008-10-22 12:10:00,4.09,4.48,4.09,4.48,12,29.0999699327554,8.11342022296825,,,5.160700270468155,,,,,,,
2008-10-24 12:10:00,4.19,4.22,4.16,4.22,38,27.858286972372113,7.960737076969495,,,5.160700270468155,,,,,,,
2008-10-27 12:10:00,3.9,3.91,3.83,3.83,155,26.061898836321603,7.798747387676574,,,5.484516171024168,,,,,,,
2008-10-28 12:10:00,3.67,3.99,3.67,3.98,88,27.985336178994714,7.648992588159846,,,5.484516171024168,,,,,,,
2008-10-31 12:10:00,4.54,4.73,4.32,4.73,2002,36.83346599051418,7.534522290584951,,,5.484516171024168,,,,,,,
2008-11-03 12:11:00,4.96,5.16,4.96,5.15,1275,41.191058548421815,7.4410116125227965,,,13.586925041693348,,,,,,,
2008-11-04 12:11:00,4.69,5.63,4.68,5.59,582,45.437652072369794,7.368422921835628,,,13.586925041693348,,,,,,,
2008-11-05 12:11:00,5.44,5.63,5.32,5.32,238,43.36815849296022,7.288092611175408,,,13.586925041693348,,,,,,,
2008-11-06 12:11:00,5.38,5.43,5.09,5.13,1045,41.92119885852098,7.203461528384215,,,13.586925041693348,,,,,,,
2008-11-07 12:11:00,5.36,5.37,5.12,5.37,441,44.44275398989206,7.131561076290717,,,13.586925041693348,,,,,,,
2008-11-10 12:11:00,5.44,5.44,5.44,5.44,1,45.1902011817119,7.065225347808728,,,22.558698849578803,,,,,,,
2008-11-11 12:11:00,5.22,5.7,5.22,5.34,275,44.27382562018994,6.997569451816229,,,22.558698849578803,,,,,,,
2008-11-12 12:11:00,5.15,5.57,5.14,5.43,112,45.34797013168003,6.9360961399802985,,,22.558698849578803,,,,,,,
2008-11-14 12:11:00,5.2,5.29,5.2,5.28,572,43.83153581041755,6.871151193314405,,,22.558698849578803,,,,,,,
2008-11-17 12:11:00,5.53,5.53,5.12,5.47,196,46.28191502782703,6.816204087694232,,,22.209490459115273,,,,,,,
2008-11-18 12:11:00,5.73,5.73,5.25,5.25,655,43.8941000934142,6.754784319549361,,,22.209490459115273,,,,,,,
2008-11-19 12:11:00,5.02,5.41,5.02,5.41,45,46.073194390051825,6.702047679567033,,,22.209490459115273,,,,,,,
2008-11-20 12:11:00,5.18,5.18,5.18,5.18,4,43.46012467826656,6.642359535270287,,,22.209490459115273,,,,,,,
2008-11-21 12:11:00,4.96,5.36,4.94,5.02,2110,41.68879717211354,6.578737592710668,,,22.209490459115273,,,,,,,
2008-11-24 12:11:00,4.79,4.8,4.78,4.78,552,39.11359363277436,6.50819886358476,,,21.189027668938422,,,,,,,
2008-11-25 12:11:00,4.99,4.99,4.6,4.6,316,37.254844016382705,6.433367535601045,,,21.189027668938422,,,,,,,
2008-11-26 12:11:00,4.41,4.73,4.39,4.48,641,36.02571025296556,6.356764887146102,,,21.189027668938422,,,,,,,
2008-11-28 12:11:00,4.64,4.64,4.64,4.64,10,38.919343689167924,6.289440773924687,,,21.189027668938422,,,,,,,
2008-12-01 12:12:00,4.44,4.45,4.42,4.45,85,36.791203018084,6.217305841613915,,,19.76000057364962,,,,,,,
2008-12-02 12:12:00,4.45,4.64,4.24,4.31,1682,35.261204246750594,6.142509534099644,,,19.76000057364962,,,,,,,
2008-12-03 12:12:00,4.26,4.49,4.18,4.47,1052,38.41337771616244,6.076920924919266,,,19.76000057364962,,,,,,,
2008-12-04 12:12:00,4.44,4.46,4.44,4.45,32,38.163236425075716,6.013120104334197,,,19.76000057364962,,,,,,,
2008-12-05 12:12:00,4.46,4.51,4.25,4.25,1326,35.662330829162556,5.943978139458347,,,19.76000057364962,,,,,,,
2008-12-08 12:12:00,4.44,4.44,4.06,4.06,1309,33.42160997612396,5.870096643793314,,,18.389247915077846,,,,,,,
2008-12-10 12:12:00,4.09,4.09,3.88,3.88,908,31.408232891055988,5.792053638154361,,,18.389247915077846,,,,,,,
2008-12-11 12:12:00,3.9,4.02,3.7,3.7,2205,29.494739349892527,5.710012319011053,,,18.389247915077846,,,,,,,
