datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,121.25,123.73,114.25,115.39,12978,,,,,,,,,,,,
2008-07-18 12:07:00,116.25,118.5,110.01,113.11,25200,,,,,,,,,,,,
2008-07-21 12:07:00,111.25,126.5,110.59,120.38,41913,,,,,,,,,,,,
2008-07-22 12:07:00,122.5,124.63,120.0,120.88,17827,,,,,,,,,,,,
2008-07-23 12:07:00,127.5,131.0,124.68,127.11,69685,,,,,,,,,,,,
2008-07-24 12:07:00,131.18,136.08,128.25,131.55,79867,,,,,,,,,,,,
2008-07-28 12:07:00,26.25,26.75,25.28,25.41,152383,,,,,,,,,,,,
2008-07-29 12:07:00,25.0,25.38,24.5,24.84,65030,,,,,,,,,,,,
2008-07-30 12:07:00,25.0,25.31,24.78,24.84,71899,,,,,,,,,,,,
2008-07-31 12:07:00,25.1,26.23,24.41,24.86,120670,,,,,,,,,,,,
2008-08-01 12:08:00,24.88,25.5,24.09,24.49,116220,,,,,,,,,,,,
2008-08-04 12:08:00,24.73,25.45,24.5,25.25,184611,,,,,,,,,,,,
2008-08-05 12:08:00,25.25,25.68,24.73,25.46,147143,,,,,,,,,,,,
2008-08-06 12:08:00,25.95,26.5,25.63,26.13,266277,14.110758832023095,,,,,,,,,,,
2008-08-07 12:08:00,25.0,26.68,25.0,26.34,172442,14.367528180874658,,,,,,,,,,,
2008-08-08 12:08:00,26.38,26.75,25.38,26.33,155422,14.365325836224159,,,,,,,,,,,
2008-08-11 12:08:00,27.0,28.88,26.28,28.39,583085,17.181644118871077,,,,,,,,,,,
2008-08-12 12:08:00,28.75,29.5,25.5,28.31,308467,17.158044373264005,,,,,,,,,,,
2008-08-13 12:08:00,28.13,29.34,27.84,28.4,100018,17.295672766992368,,,,,,,,,,,
2008-08-14 12:08:00,27.8,29.0,26.28,26.94,79697,16.807846914465543,,,,,,,,,,,
2008-08-18 12:08:00,26.76,27.0,26.18,26.68,77513,16.71741915725724,,,,,,,,,,,
2008-08-19 12:08:00,26.74,27.38,26.03,26.95,47327,17.215515923075543,,,,,,,,,,,
2008-08-20 12:08:00,27.34,30.98,26.63,29.53,281905,22.015173788569115,,,,,,,,,,,
