datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-07-17 12:07:00,65.21,71.46,63.38,64.7,1166646,,,,,,,,,,,,
2008-07-18 12:07:00,65.65,69.85,64.79,68.55,981179,,,,,,,,,,,,
2008-07-21 12:07:00,68.92,72.85,68.14,68.81,1440028,,,,,,,,,,,,
2008-07-22 12:07:00,68.51,73.95,63.85,69.06,1945777,,,,,,,,,,,,
2008-07-23 12:07:00,70.77,79.08,70.77,77.76,5181174,,,,,,,,,,,,
2008-07-24 12:07:00,77.76,84.11,70.77,77.78,5361518,,,,,,,,,,,,
2008-07-28 12:07:00,76.47,76.47,73.08,73.42,983017,,,,,,,,,,,,
2008-07-29 12:07:00,71.78,74.88,70.12,71.09,996902,,,,,,,,,,,,
2008-07-30 12:07:00,73.08,74.16,71.99,72.8,852145,,,,,,,,,,,,
2008-07-31 12:07:00,73.1,73.95,70.08,70.93,1892111,,,,,,,,,,,,
2008-08-01 12:08:00,70.31,70.31,68.65,68.9,1309051,,,,,,,,,,,,
2008-08-04 12:08:00,68.78,72.11,68.05,70.49,1124186,,,,,,,,,,,,
2008-08-05 12:08:00,69.96,73.84,69.96,73.05,2914866,,,,,,,,,,,,
2008-08-06 12:08:00,74.88,75.38,71.07,71.67,2356218,56.944097755183066,,,,,,,,,,,
2008-08-07 12:08:00,72.11,72.57,70.08,70.7,1042315,54.077451376265515,,,,,,,,,,,
2008-08-08 12:08:00,71.21,72.62,70.31,71.53,1462207,56.113317433088746,,,,,,,,,,,
2008-08-11 12:08:00,72.62,77.0,72.18,76.54,3058496,65.93131476218608,,,,,,,,,,,
2008-08-12 12:08:00,77.69,77.85,74.46,76.88,4367008,66.47937480570371,,,,,,,,,,,
2008-08-13 12:08:00,76.31,78.71,74.69,75.52,2006022,62.1710759163233,,,,,,,,,,,
2008-08-14 12:08:00,75.38,76.08,71.25,71.99,1364498,52.636035281916904,,,,,,,,,,,
2008-08-18 12:08:00,71.69,72.85,68.97,70.05,925262,48.25581892084629,,,,,,,,,,,
2008-08-19 12:08:00,69.41,71.37,67.7,69.41,2135680,46.87011222817486,,,,,,,,,,,
2008-08-20 12:08:00,70.28,70.54,68.6,68.85,1471829,45.63526027622507,,,,,,,,,,,
2008-08-21 12:08:00,68.9,69.29,67.33,67.75,1419153,43.22615989536613,,,,,,,,,,,
2008-08-25 12:08:00,68.42,68.46,66.38,66.64,810023,40.88090606378069,,,,,,,,,,,
2008-08-26 12:08:00,66.62,67.77,65.09,67.45,1118495,43.29850593885212,,,,,,,,,,,
2008-08-27 12:08:00,67.95,68.28,66.85,67.54,2048016,43.57461038210512,,,,,,,,,,,
2008-08-28 12:08:00,67.91,67.98,65.05,65.53,2003185,39.006335048288776,,,,,,,,,,,
2008-08-29 12:08:00,66.25,68.85,66.25,68.55,1390517,47.852374389994054,,,,,,,,,,,
2008-09-01 12:09:00,68.44,68.44,66.66,67.61,333436,45.633885884942636,,,,,,,,,,,
2008-09-02 12:09:00,67.95,70.72,67.72,70.42,1193227,52.694301970649796,,,,,,,,,,,
2008-09-04 12:09:00,69.85,72.5,67.54,71.37,2180406,54.83006675258664,,,,,,,,,,,
2008-09-05 12:09:00,70.05,71.12,69.27,70.58,1313296,52.69931381694382,,,,,,,,,,,
2008-09-08 12:09:00,72.48,73.08,71.46,71.72,981579,55.39319175462124,,,,,,,,,,,
2008-09-09 12:09:00,71.74,73.08,71.28,72.11,1306925,56.309914084708886,,,,,,,,,,,
2008-09-10 12:09:00,72.06,73.58,70.77,73.03,745972,58.47774542952092,,,,,,,,,,,
2008-09-11 12:09:00,72.59,73.03,70.35,71.28,639148,53.08230084333044,,,,,,,,,,,
2008-09-12 12:09:00,71.74,72.15,68.99,69.25,616807,47.59633837470523,,,,,,,,,,,
2008-09-15 12:09:00,67.91,68.42,63.66,64.7,654168,38.093488274839174,,,,,,,,,,,
2008-09-18 12:09:00,62.0,62.0,58.35,61.52,776119,33.11691288434771,,,,,,,,,,,
2008-09-19 12:09:00,62.48,65.67,62.48,64.08,898492,39.921425060422045,,,,,,,,,,,
2008-09-22 12:09:00,65.0,65.69,63.92,64.49,617955,40.95745974280051,,,,,,,,,,,
2008-09-23 12:09:00,63.8,63.85,61.75,62.51,1195512,37.58650705868496,,,,,,,,,,,
