datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2012-04-12 12:04:00,4.49,4.49,4.26,4.31,940724,,,,,,,,,,,,
2012-04-13 12:04:00,4.3,4.31,4.11,4.22,132886,,,,,,,,,,,,
2012-04-16 12:04:00,4.22,4.22,4.1,4.12,66672,,,,,,,,,,,,
2012-04-17 12:04:00,4.13,4.13,4.0,4.05,80956,,,,,,,,,,,,
2012-04-18 12:04:00,3.93,4.25,3.93,4.25,70645,,,,,,,,,,,,
2012-04-19 12:04:00,4.32,4.46,4.25,4.46,139538,,,,,,,,,,,,
2012-04-20 12:04:00,4.6,4.6,4.31,4.36,45858,,,,,,,,,,,,
2012-04-23 12:04:00,4.4,4.4,4.2,4.28,15605,,,,,,,,,,,,
2012-04-24 12:04:00,4.31,4.42,4.23,4.41,38854,,,,,,,,,,,,
2012-04-25 12:04:00,4.3,4.49,4.3,4.46,70776,,,,,,,,,,,,
2012-04-26 12:04:00,4.53,4.57,4.31,4.36,53815,,,,,,,,,,,,
2012-04-27 12:04:00,4.4,4.4,4.23,4.25,31995,,,,,,,,,,,,
2012-04-28 12:04:00,4.25,4.29,4.21,4.22,3280,,,,,,,,,,,,
2012-04-30 12:04:00,4.19,4.31,4.19,4.27,10566,48.02543667254895,,,,,,,,,,,
2012-05-02 12:05:00,4.35,4.35,4.16,4.21,14853,44.53261656675414,,,,,,,,,,,
2012-05-03 12:05:00,4.28,4.28,4.11,4.12,8361,39.85076634645291,,,,,,,,,,,
2012-05-04 12:05:00,4.09,4.11,3.96,4.0,17666,34.62392810670026,,,,,,,,,,,
2012-05-07 12:05:00,4.0,4.03,3.89,4.0,22876,34.62392810670026,,,,,,,,,,,
2012-05-08 12:05:00,4.0,4.13,3.96,4.1,31186,41.97883151858977,,,,,,,,,,,
2012-05-09 12:05:00,4.07,4.13,3.97,4.0,6479,37.44247309922203,,,,,,,,,,,
2012-05-10 12:05:00,4.08,4.08,3.9,3.93,7525,34.62206047929807,,,,,,,,,,,
2012-05-11 12:05:00,3.91,3.99,3.81,3.85,15726,31.684594121844512,,,,,,,,,,,
2012-05-14 12:05:00,3.87,3.9,3.78,3.8,6343,29.972947361667707,,,,,,,,,,,
2012-05-15 12:05:00,3.78,3.84,3.74,3.8,11652,29.972947361667707,,,,,,,,,,,
2012-05-16 12:05:00,3.86,3.86,3.64,3.67,15667,25.774414827066266,,,,,,,,,,,
2012-05-17 12:05:00,3.81,3.82,3.24,3.57,28510,23.094516722289313,,,,,,,,,,,
2012-05-18 12:05:00,3.58,3.61,3.47,3.57,12397,23.094516722289313,,,,,,,,,,,
2012-05-21 12:05:00,3.6,3.63,3.56,3.6,113135,25.77951419768725,,,,,,,,,,,
2012-05-22 12:05:00,3.6,3.68,3.58,3.6,10737,25.77951419768725,,,,,,,,,,,
2012-05-23 12:05:00,3.58,3.62,3.58,3.6,2357,25.77951419768725,,,,,,,,,,,
