datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2008-10-13 12:10:00,108.87,129.78,108.87,124.43,1080,,,,,,,,,,,,
2008-10-14 12:10:00,131.59,131.59,120.38,122.97,215,,,,,,,,,,,,
2008-10-15 12:10:00,118.66,130.72,118.66,130.72,56,,,,,,,,,,,,
2008-10-16 12:10:00,117.84,117.84,114.34,114.34,150,,,,,,,,,,,,
2008-10-17 12:10:00,125.55,125.98,115.21,117.15,155,,,,,,,,,,,,
2008-10-21 12:10:00,126.41,127.28,111.76,122.1,431,,,,,,,,,,,,
2008-10-22 12:10:00,116.07,126.41,110.03,113.74,10441,,,,,,,,,,,,
2008-10-23 12:10:00,117.32,117.36,117.32,117.36,200,,,,,,,,,,,,
2008-10-24 12:10:00,105.72,105.72,99.69,105.12,105,,,,,,,,,,,,
2008-10-27 12:10:00,101.41,101.41,91.93,101.37,2978,,,,,,,,,,,,
2008-10-28 12:10:00,97.97,114.3,97.97,103.78,192,,,,,,,,,,,,
2008-10-31 12:10:00,122.97,122.97,122.1,122.88,5523,,,,,,,,,,,,
2008-11-03 12:11:00,118.66,118.66,118.66,118.66,2000,,,,,,,,,,,,
2008-11-04 12:11:00,118.66,119.52,118.66,119.52,1084,50.56088196922797,,,,,,,,,,,
2008-11-05 12:11:00,130.72,130.72,118.66,118.66,112,49.762505923033785,,,,,,,,,,,
2008-11-06 12:11:00,113.48,119.52,110.9,114.09,5350,45.63843580536092,,,,,,,,,,,
2008-11-07 12:11:00,122.88,122.92,114.34,114.34,734,45.9025604952721,,,,,,,,,,,
2008-11-10 12:11:00,114.34,114.34,113.48,113.48,50,45.090946489192525,,,,,,,,,,,
2008-11-11 12:11:00,110.03,110.03,110.03,110.03,4,41.89102765168644,,,,,,,,,,,
2008-11-12 12:11:00,125.55,125.55,122.97,122.97,2,54.83694402056765,,,,,,,,,,,
2008-11-14 12:11:00,109.26,121.24,109.22,114.22,325,47.18226707374999,,,,,,,,,,,
2008-11-17 12:11:00,129.86,129.86,121.2,121.2,20,52.83787204686224,,,,,,,,,,,
2008-11-18 12:11:00,118.66,128.14,114.0,122.1,1414,53.52883481028759,,,,,,,,,,,
2008-11-19 12:11:00,140.21,140.21,104.09,121.8,3859,53.248785577393406,,,,,,,,,,,
2008-11-20 12:11:00,114.34,117.79,109.17,115.9,279,47.93708419011766,,,,,,,,,,,
2008-11-21 12:11:00,125.47,125.47,124.69,124.69,2,55.11996526003204,,,,,,,,,,,
2008-11-25 12:11:00,114.34,114.34,107.53,107.53,249,42.72676887677413,,,,,,,,,,,
2008-11-26 12:11:00,107.53,114.34,107.53,114.34,150,47.74780606802394,,,,,,,,,,,
2008-11-28 12:11:00,109.17,114.3,104.13,109.73,3525,44.87948281499879,,,,,,,,,,,
2008-12-02 12:12:00,113.44,116.07,101.5,116.07,6701,49.38292634893654,,,,,,,,,,,
2008-12-03 12:12:00,115.98,116.07,112.62,114.26,300,48.172863572726314,,,,,,,,,,,
2008-12-04 12:12:00,116.07,116.07,116.07,116.07,100,49.50534502335055,,,,,,,,,,,
2008-12-05 12:12:00,114.34,114.34,107.62,107.62,100,43.83871808452987,,,,,,,,,,,
2008-12-10 12:12:00,113.35,114.34,113.35,114.34,335,48.852802278012476,,,,,,,,,,,
2008-12-12 12:12:00,115.98,116.07,112.19,116.07,5060,50.08823486429901,,,,,,,,,,,
2008-12-15 12:12:00,112.88,118.66,112.84,117.66,3447,51.25363522070828,,,,,,,,,,,
2008-12-16 12:12:00,116.93,116.93,116.84,116.84,1205,50.59748607377933,,,,,,,,,,,
2008-12-17 12:12:00,114.34,116.93,114.34,116.93,1165,50.67212813341152,,,,,,,,,,,
2008-12-18 12:12:00,111.33,111.33,110.9,110.9,100,45.69103101532066,,,,,,,,,,,
2008-12-19 12:12:00,118.66,118.66,117.79,117.79,250,51.551384700047024,,,,,,,,,,,
2008-12-22 12:12:00,113.48,120.38,113.4,120.38,608,53.57920769489999,,,,,,,,,,,
2008-12-23 12:12:00,114.34,114.34,114.34,114.34,265,48.48286304267899,,,,,,,,,,,
2008-12-26 12:12:00,118.66,118.66,118.66,118.66,300,51.999592198146324,,,,,,,,,,,
2008-12-29 12:12:00,114.34,114.34,114.34,114.34,2,48.43865769455824,,,,,,,,,,,
2008-12-30 12:12:00,110.9,121.24,110.9,114.47,60,48.55283237558026,,,,,,,,,,,
2009-01-01 12:01:00,122.88,122.88,122.88,122.88,32,55.42884694666753,,,,,,,,,,,
2009-01-05 12:01:00,129.86,129.86,117.41,121.24,60,53.91555766695297,,,,,,,,,,,
2009-01-07 12:01:00,118.66,120.38,107.79,120.38,540,53.09691442352832,,,,,,,,,,,
2009-01-09 12:01:00,122.97,123.74,118.66,122.06,1384,54.54876454973525,,,,,,,,,,,
2009-01-13 12:01:00,116.5,126.37,116.5,122.1,350,54.58481053457698,118.06806732978767,,,,,,,,,,
2009-01-14 12:01:00,117.88,122.06,117.79,118.66,7546,50.84986605014783,118.09128037567835,,,,,,,,,,
2009-01-16 12:01:00,129.43,129.43,114.34,114.34,399,46.54286076129099,117.94417134133803,,,,,,,,,,
2009-01-19 12:01:00,110.9,118.66,110.9,118.66,11,51.01139743208693,117.97224305344243,,,47.42956368652469,,,,,,,
2009-01-20 12:01:00,111.07,117.79,111.07,117.79,7,50.103066489545746,117.96509626703293,,,47.42956368652469,,,,,,,
2009-01-21 12:01:00,118.57,118.57,118.57,118.57,20,50.946416129459905,117.98881798205126,,,47.42956368652469,,,,,,,
2009-01-23 12:01:00,104.0,117.62,103.57,108.31,1030,41.10484813970379,117.60925649255906,,,47.42956368652469,,,,,,,
2009-01-27 12:01:00,109.99,110.03,109.99,110.03,120,43.089608162859975,117.31203074775281,,,42.2446334607074,,,,,,,
2009-01-29 12:01:00,107.45,110.9,107.45,107.71,214,41.07871265364395,116.93548052235074,,,42.2446334607074,,,,,,,
2009-02-02 12:02:00,115.98,116.07,104.43,112.36,106,46.470805018401755,116.75604991363112,,,41.75550142058953,,,,,,,
2009-02-03 12:02:00,107.1,107.1,106.59,106.59,100,41.40710980277916,116.35738128956714,,,41.75550142058953,,,,,,,
2009-02-05 12:02:00,112.62,113.05,103.14,110.47,445,45.69247618938666,116.12650359193707,,,41.75550142058953,,,,,,,
2009-02-10 12:02:00,105.72,108.31,105.72,106.67,520,42.42018354859096,115.75566031382189,,,44.91508442269034,,,,,,,
2009-02-11 12:02:00,104.86,108.31,104.86,108.31,200,44.275006258493605,115.46367363484849,,,44.91508442269034,,,,,,,
