datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2023-02-20 12:02:00,30.25,31.75,30.25,31.75,8765770,,,,,,,,,,,,
2023-02-21 12:02:00,33.3,33.3,33.3,33.3,8902381,,,,,,,,,,,,
2023-02-22 12:02:00,34.95,34.95,34.0,34.95,31380875,,,,,,,,,,,,
2023-02-23 12:02:00,35.6,36.2,33.4,33.55,15096767,,,,,,,,,,,,
2023-02-24 12:02:00,33.65,33.95,31.9,31.95,11936852,,,,,,,,,,,,
2023-02-27 12:02:00,31.35,33.5,30.4,32.5,7186494,,,,,,,,,,,,
2023-02-28 12:02:00,32.4,33.75,32.2,33.35,5996625,,,,,,,,,,,,
2023-03-01 12:03:00,33.5,35.0,32.4,35.0,6631416,,,,,,,,,,,,
2023-03-02 12:03:00,36.45,36.75,35.75,36.75,4149208,,,,,,,,,,,,
2023-03-03 12:03:00,38.55,38.55,37.75,38.25,11609913,,,,,,,,,,,,
2023-03-06 12:03:00,38.15,39.4,36.4,38.3,14868814,,,,,,,,,,,,
2023-03-08 12:03:00,38.05,38.4,37.5,38.0,11493479,,,,,,,,,,,,
2023-03-09 12:03:00,38.65,38.9,38.0,38.3,8044416,,,,,,,,,,,,
2023-03-10 12:03:00,38.15,38.25,37.0,37.45,3408013,69.35165043760453,,,,,,,,,,,
2023-03-13 12:03:00,37.85,37.9,35.6,36.2,6382429,59.84483712018385,,,,,,,,,,,
2023-03-14 12:03:00,36.45,36.5,34.85,35.05,4942981,52.68885224699244,,,,,,,,,,,
2023-03-15 12:03:00,35.8,35.8,35.05,35.25,2586162,53.72519674064544,,,,,,,,,,,
2023-03-16 12:03:00,35.05,36.25,33.55,35.95,6789060,57.254461056673286,,,,,,,,,,,
2023-03-17 12:03:00,36.5,36.5,34.25,34.8,9770409,50.447355395004095,,,,,,,,,,,
2023-03-20 12:03:00,34.1,34.6,33.65,33.75,4757914,45.167137215870206,,,,,,,,,,,
2023-03-21 12:03:00,33.95,33.95,32.8,33.1,11742014,42.22101426804339,,,,,,,,,,,
2023-03-22 12:03:00,33.15,33.45,33.0,33.05,5527344,41.99410202336711,,,,,,,,,,,
